B L F2 L' U F'
F2 L' B U D2 F2
F2 L' B U' B2 U2
F2 L' B D' R2 U
F2 L' B D2 U F2
B L2 F2 L' U F
L2 F2 L' B U F
L F2 L' B U F'
L2 F2 B L' U F
L F2 B L' U F'
F2 B L' U' B' U2
L2 B F2 L' U F
L B F2 L' U F'
B F2 L' U' B' U2
U B F2 L' U D F2
L B F2 L' U D2 F'
L B F2 L' U F' D
L B F2 L' U F' D'
L B F2 L' U F' D2
U B F2 L' U2 L2 U'
L B F2 L' D U F'
U B F2 L' D U F2
L B F2 L' D' U F'
U B F2 L' D2 R2 U
L B F2 L' D2 U F'
L B F2 D L' U F'
L B F2 D' L' U F'
L B F2 D2 L' U F'
F2 B D L' U' B' U2
F2 B D' L' U' B' U2
F2 B D2 L' U' B' U2
L' B' U F2 L' B2 U
L' B' U F2 B2 L' U
B F' L F' L' U F2
L' B' U B2 F2 L' U
F2 B' L' B2 R2 U F'
F2 B' L' B2 U' B U2
B F' L2 F' L' U F
D2 B2 L R U' F R
L2 B' F2 L' B2 U F
U B' F2 L' R' B2 U
L B' F2 L' B2 U F'
U B' F2 R' L' B2 U
U B' F2 R' B2 L' U
D2 B2 R L U' F R
B F2 L U D' F B2
B F2 L U D' B2 F
B F2 L U F D' B2
B' F2 L' B2 R2 U F'
B' F2 L' B2 U' B U2
B F2 L D' U F B2
B F2 L D' U B2 F
B F2 L' R U' B' U2
B F2 L' R' U' B' U2
B F2 L' R2 U' B' U2
B F2 L' U L2 F L2
B F2 L' U' D B' U2
B F2 L' U' D' B' U2
B F2 L' U' D2 B' U2
B F2 L' U' B' U2 D
B F2 L' U' B' U2 D'
B F2 L' U' B' U2 D2
B F2 L' U' B' D U2
B F2 L' U' B' D' U2
B F2 L' U' B' D2 U2
B F2 L' U2 L2 U' F
B F2 L' D U' B' U2
B F2 L' D' U' B' U2
B F2 L' D2 U' B' U2
B F2 R L' U' B' U2
B F2 R' L' U' B' U2
B F2 R2 L' U' B' U2
B F2 D L' U' B' U2
B F2 D' L' U' B' U2
B F2 D2 L' U' B' U2
