U' L D' F' B' L2
U' L D' B' L2 F'
U' L D' B' F' L2
U2 L F2 U F B'
U2 L F2 U B' F
U' L B' D' L2 F'
U' L B' D' F' L2
U' L' D' L2 F' B'
U' L' D' L2 B' F'
L' U' D' L2 F' B'
L' U' D' L2 B' F'
L U' D' F' B' L2
L U' D' B' L2 F'
L U' D' B' F' L2
L U' B' D' L2 F'
L U' B' D' F' L2
L U2 F2 U F B'
L U2 F2 U B' F
L' D' U' L2 F' B'
L' D' U' L2 B' F'
L D' U' F' B' L2
L D' U' B' L2 F'
L D' U' B' F' L2
L D2 B2 U' F' B
L D2 B2 U' B F'
U' L' D' L2 F' D B'
U' L' D' L2 F' D' B'
U' L' D' L2 F' D2 B'
U' L' D' L2 F' B' D
U' L' D' L2 F' B' D'
U' L' D' L2 F' B' D2
U' L' D' L2 B' D F'
U' L' D' L2 B' D' F'
U' L' D' L2 B' D2 F'
U' L' D' L2 B' F' D
U' L' D' L2 B' F' D'
U' L' D' L2 B' F' D2
B' L' D' U' L2 F' B'
B' L' D' U' L2 B' F'
U2 L' D' U L2 F' B'
U2 L' D' U L2 B' F'
B2 L' D' U' L2 F' B'
B2 L' D' U' L2 B' F'
U' L' D' F' L2 D2 B2
B L' D' U' L2 F' B'
B L' D' U' L2 B' F'
U' L' D' B L2 F' B'
U' L' D' B L2 B' F'
U' L' D' B' L2 F' B'
U' L' D' B' L2 B' F'
U' L' D' B2 L2 F' B'
U' L' D' B2 L2 B' F'
U2 L' F2 R2 U F B
U2 L' F2 R2 U B F
U2 L' F2 U F D2 B2
U2 L' F2 U' F' U2 F2
U' L' B D' L2 F' B'
U' L' B D' L2 B' F'
U' L' B' D' L2 F' B'
U' L' B' D' L2 B' F'
D' L' B2 U' L' F' B'
D' L' B2 U' L' B' F'
U' L' B2 D' L2 F' B'
U' L' B2 D' L2 B' F'
F' L2 U' F' B' L' U
F' L2 U' B' F' L' U
U' L2 D' L' B' L' F'
U' L2 D' F' L' B' L'
U' L2 F' U' F' L' U
L' U D R2 F B U2
L' U D R2 B F U2
L' U D F R2 U2 F2
L U D R2 B U2 B2
L' U D' F U2 L2 F2
L' U D' F U2 F2 L2
L' U F U F U F
L' U' L2 D' F' B' L2
L' U' L2 D' B' L2 F'
L' U' L2 D' B' F' L2
L' U' L2 B' D' L2 F'
L' U' L2 B' D' F' L2
L U' L2 D' L2 F' B'
L U' L2 D' L2 B' F'
D' R B R' U' L2 F'
D' R B R' U' F' L2
L' U' D F' D2 L2 B2
L' U' D F' D2 B2 L2
L' U' D' L F' L B'
L' U' D' L2 D F' B'
L' U' D' L2 D B' F'
L' U' D' L2 D' F' B'
L' U' D' L2 D' B' F'
L' U' D' L2 D2 F' B'
L' U' D' L2 D2 B' F'
L' U' D' L2 F' D B'
L' U' D' L2 F' D' B'
L' U' D' L2 F' D2 B'
L' U' D' L2 F' B' D
L' U' D' L2 F' B' D'
L' U' D' L2 F' B' D2
L' U' D' L2 B' D F'
L' U' D' L2 B' D' F'
L' U' D' L2 B' D2 F'
L' U' D' L2 B' F' D
L' U' D' L2 B' F' D'
L' U' D' L2 B' F' D2
L U' D F' D2 B' L2
L U' D F' B' D2 L2
L' U' D' F' L2 D2 B2
L' U' D' B L2 F' B'
L' U' D' B L2 B' F'
L U' D B' D2 L2 F'
L U' D B' D2 F' L2
L U' D B' F' D2 L2
L' U' D' B' L2 F' B'
L' U' D' B' L2 B' F'
L' U' D' B2 L2 F' B'
L' U' D' B2 L2 B' F'
L U' D' L2 F' D2 B2
L U' D' F B' L2 F2
L U' D' F' B L2 B2
L U' D' F' B' L2 D
L U' D' F' B' L2 D'
L U' D' F' B' L2 D2
L U' D' F' B2 L2 B
L U' D' B L2 F' B2
L U' D' B L2 B2 F'
L U' D' B F' L2 B2
L U' D' B' L F' L
L U' D' B' L2 D F'
L U' D' B' L2 D' F'
L U' D' B' L2 D2 F'
L U' D' B' L2 F' D
L U' D' B' L2 F' D'
L U' D' B' L2 F' D2
L U' D' B' F L2 F2
L U' D' B' F' L2 D
L U' D' B' F' L2 D'
L U' D' B' F' L2 D2
L U' D' B2 L2 F' B
L U' D' B2 L2 B F'
L U' D' B2 F' L2 B
L U' D2 F' D B' L2
L2 U' F' U' L' F' U
L U' F' U' F' U B'
L U' F' B' U' F' U
L' U' B D' L2 F' B'
L' U' B D' L2 B' F'
L' U' B' D' L2 F' B'
L' U' B' D' L2 B' F'
L U' B' L D' L2 F'
L U' B' L D' F' L2
L U' B' L' D' L2 F'
L U' B' L' D' F' L2
L U' B' L2 D' L2 F'
L U' B' L2 D' F' L2
L U' B' U' F2 U F
L U' B' D F' D2 L2
L U' B' D' L F' L
L U' B' D' L2 D F'
L U' B' D' L2 D' F'
L U' B' D' L2 D2 F'
L U' B' D' L2 F' D
L U' B' D' L2 F' D'
L U' B' D' L2 F' D2
L U' B' D' F L2 F2
L U' B' D' F' L2 D
L U' B' D' F' L2 D'
L U' B' D' F' L2 D2
L U' B' D2 F' D L2
L' U' B2 D' L2 F' B'
L' U' B2 D' L2 B' F'
L U' B' F' U' F' U
L U' B2 D' L2 F' B
L U' B2 D' L2 B F'
L U' B2 D' F' L2 B
L U' B2 D' F' B L2
L U' B2 D' B L2 F'
L U' B2 D' B F' L2
R U2 L F2 U F' B'
R U2 L F2 U B' F'
L' U2 L2 F2 U F B'
L' U2 L2 F2 U B' F
D2 R' B2 R U' F' B'
D2 R' B2 R U' B' F'
L' U2 F2 R2 U F B
L' U2 F2 R2 U B F
L' U2 F2 U F D2 B2
L' U2 F2 U' F' U2 F2
L2 U2 F2 R U F B
L2 U2 F2 R U B F
R U2 F2 L U F B'
R U2 F2 L U B' F
L U2 F2 R U F B'
L U2 F2 R U B' F
L U2 F2 R' U F B'
L U2 F2 R' U B' F
L U2 F2 R2 U F B'
L U2 F2 R2 U B' F
L U2 F2 U D F B'
L U2 F2 U D B' F
L U2 F2 U D' F B'
L U2 F2 U D' B' F
L U2 F2 U D2 F B'
L U2 F2 U D2 B' F
L U2 F2 U F D B'
L U2 F2 U F D' B'
L U2 F2 U F D2 B'
L U2 F2 U F B' D
L U2 F2 U F B' D'
L U2 F2 U F B' D2
L U2 F2 U B' D F
L U2 F2 U B' D' F
L U2 F2 U B' D2 F
L U2 F2 U B' F D
L U2 F2 U B' F D'
L U2 F2 U B' F D2
L U2 F2 D U F B'
L U2 F2 D U B' F
L U2 F2 D' U F B'
L U2 F2 D' U B' F
L U2 F2 D2 U F B'
L U2 F2 D2 U B' F
L' D U R2 F B U2
L' D U R2 B F U2
L' D U F R2 U2 F2
L' D U' F' D2 L2 B2
L' D U' F' D2 B2 L2
L D U R2 B U2 B2
L D U' F' D2 B' L2
L D U' F' B' D2 L2
L D U' B' D2 L2 F'
L D U' B' D2 F' L2
L D U' B' F' D2 L2
L' D' L U' L F' B'
L' D' L U' L B' F'
L' D' L U' F' L B'
L2 D' L' U' B' L' F'
D' U' L D L F' B'
D' U' L D L B' F'
U' D' L D L F' B'
U' D' L D L B' F'
D' U' L D F' L B'
U' D' L D F' L B'
D' U' L F' D L B'
U' D' L F' D L B'
L' D' U F U2 L2 F2
L' D' U F U2 F2 L2
L' D' U' L F' L B'
L' D' U' L2 D F' B'
L' D' U' L2 D B' F'
L' D' U' L2 D' F' B'
L' D' U' L2 D' B' F'
L' D' U' L2 D2 F' B'
L' D' U' L2 D2 B' F'
L' D' U' L2 F' D B'
L' D' U' L2 F' D' B'
L' D' U' L2 F' D2 B'
L' D' U' L2 F' B' D
L' D' U' L2 F' B' D'
L' D' U' L2 F' B' D2
L' D' U' L2 B' D F'
L' D' U' L2 B' D' F'
L' D' U' L2 B' D2 F'
L' D' U' L2 B' F' D
L' D' U' L2 B' F' D'
L' D' U' L2 B' F' D2
L' D' U' F' L2 D2 B2
L' D' U' B L2 F' B'
L' D' U' B L2 B' F'
L' D' U' B' L2 F' B'
L' D' U' B' L2 B' F'
L' D' U' B2 L2 F' B'
L' D' U' B2 L2 B' F'
B' U' L D' F' B' L2
B' U' L D' B' L2 F'
B' U' L D' B' F' L2
B2 U' L D' F' B' L2
B2 U' L D' B' L2 F'
B2 U' L D' B' F' L2
B' U' L B' D' L2 F'
B' U' L B' D' F' L2
L D' U' L2 F' D2 B2
B2 U' L B' D' L2 F'
B2 U' L B' D' F' L2
L D' U' F B' L2 F2
L D' U' F' B L2 B2
L D' U' F' B' L2 D
L D' U' F' B' L2 D'
L D' U' F' B' L2 D2
L D' U' F' B2 L2 B
L D' U' B L2 F' B2
L D' U' B L2 B2 F'
B' U' L' D' L2 F' B'
B' U' L' D' L2 B' F'
L D' U' B F' L2 B2
L D' U' B' L F' L
L D' U' B' L2 D F'
L D' U' B' L2 D' F'
L D' U' B' L2 D2 F'
L D' U' B' L2 F' D
L D' U' B' L2 F' D'
L D' U' B' L2 F' D2
L D' U' B' F L2 F2
L D' U' B' F' L2 D
L D' U' B' F' L2 D'
L D' U' B' F' L2 D2
L D' U' B2 L2 F' B
L D' U' B2 L2 B F'
B U' L D' F' B' L2
B U' L D' B' L2 F'
B U' L D' B' F' L2
L D' U' B2 F' L2 B
B2 U' L' D' L2 F' B'
B2 U' L' D' L2 B' F'
B U' L B' D' L2 F'
B U' L B' D' F' L2
B U' L' D' L2 F' B'
B U' L' D' L2 B' F'
U' D' F' L D L B'
D' U' F' L D L B'
L' D' B U' L2 F' B'
L' D' B U' L2 B' F'
L' D' B' U' L2 F' B'
L' D' B' U' L2 B' F'
R D' B R' U' L2 F'
R D' B R' U' F' L2
L D' B U' L2 F' B2
L D' B U' L2 B2 F'
L D' B U' F' L2 B2
L D' B U' F' B2 L2
L D' B U' B2 L2 F'
L D' B U' B2 F' L2
L' D' B2 U' L2 F' B'
L' D' B2 U' L2 B' F'
L D' B2 U' L2 F' B
L D' B2 U' L2 B F'
L D' B2 U' F' L2 B
L D' B2 U' F' B L2
L D' B2 U' B L2 F'
L D' B2 U' B F' L2
L2 D2 L' B2 U' F' B
L2 D2 L' B2 U' B F'
L' D2 L2 B2 U' F' B
L' D2 L2 B2 U' B F'
R D2 R' B2 U' F' B'
R D2 R' B2 U' B' F'
B' U2 L F2 U F B'
B' U2 L F2 U B' F
B2 U2 L F2 U F B'
B2 U2 L F2 U B' F
L D2 U' F' D B' L2
B U2 L F2 U F B'
B U2 L F2 U B' F
L' D2 B2 L2 U' F' B'
L' D2 B2 L2 U' B' F'
L' D2 B2 U F U2 F2
L' D2 B2 U' F' D2 B2
L2 D2 B2 L' U' F' B'
L2 D2 B2 L' U' B' F'
U' F L F2 D' B' L
L D2 B2 L U' F' B
L D2 B2 L U' B F'
L D2 B2 L' U' F' B
L D2 B2 L' U' B F'
L D2 B2 L2 U' F' B
L D2 B2 L2 U' B F'
R D2 B2 R' U' F' B
R D2 B2 R' U' B F'
L D2 B2 U' D F' B
L D2 B2 U' D B F'
L D2 B2 U' D' F' B
L D2 B2 U' D' B F'
L D2 B2 U' D2 F' B
L D2 B2 U' D2 B F'
L D2 B2 U' F' D B
L D2 B2 U' F' D' B
L D2 B2 U' F' D2 B
L D2 B2 U' F' B D
L D2 B2 U' F' B D'
L D2 B2 U' F' B D2
L D2 B2 U' B D F'
L D2 B2 U' B D' F'
L D2 B2 U' B D2 F'
L D2 B2 U' B F' D
L D2 B2 U' B F' D'
L D2 B2 U' B F' D2
L D2 B2 D U' F' B
L D2 B2 D U' B F'
L D2 B2 D' U' F' B
L D2 B2 D' U' B F'
L D2 B2 D2 U' F' B
L D2 B2 D2 U' B F'
F2 U2 F2 L U' F' B'
F2 U2 F2 L U' B' F'
U2 F D R2 F L' U
U2 F D F L' R2 U
U2 F D F R2 L' U
U' F' L U' F' U B'
F D R2 F L' B U
F D R2 F B L' U
F D R2 B F L' U
U' F' L B' U' F' U
U2 F' L F' U F B'
U2 F' L F' U B' F
U' F' L2 U' F' L' U
D' F' L2 U' B' L U
U' F' U' L F' U B'
U' F' U' F' L U B'
L' F2 U D R2 F B
L' F2 U D R2 B F
U2 F2 U L B' L' F
U2 F2 U F L B' L'
L F2 U D R2 F B'
L F2 U D R2 B' F
L F2 U D F R2 B'
L F2 U D F B' R2
L F2 U D B' R2 F
L F2 U D B' F R2
L F2 U B' D R2 F
L F2 U B' D F R2
L' F2 D U R2 F B
L' F2 D U R2 B F
L F2 U2 F2 U' F' B'
L F2 U2 F2 U' B' F'
L F2 D U R2 F B'
L F2 D U R2 B' F
L F2 D U F R2 B'
L F2 D U F B' R2
L F2 D U B' R2 F
L F2 D U B' F R2
U2 F2 D2 R' U F B
U2 F2 D2 R' U B F
F2 D2 R' B2 U F B'
F2 D2 R' B2 U B' F
L F2 D2 B2 U F B
L F2 D2 B2 U B F
U' B L D' F' B' L2
U' B L D' B' L2 F'
U' B L D' B' F' L2
U' B L B' D' L2 F'
U' B L B' D' F' L2
U' B L' D' L2 F' B'
U' B L' D' L2 B' F'
F2 D2 B2 R' U F B
F2 D2 B2 R' U B F
L' B U' D' L2 F' B'
L' B U' D' L2 B' F'
L B U' B2 D' L2 F'
L B U' B2 D' F' L2
L' B D' U' L2 F' B'
L' B D' U' L2 B' F'
L B U2 F2 U F B2
L B U2 F2 U B2 F
U' B' L D' F' B' L2
U' B' L D' B' L2 F'
U' B' L D' B' F' L2
U' B' L B' D' L2 F'
U' B' L B' D' F' L2
U' B' L' D' L2 F' B'
U' B' L' D' L2 B' F'
L' B' U' D' L2 F' B'
L' B' U' D' L2 B' F'
D' B' U2 L U L F'
D' B' U2 L U F' L
L' B' D' U' L2 F' B'
L' B' D' U' L2 B' F'
L B' D2 B2 U' F' B2
L B' D2 B2 U' B2 F'
U' B2 L D' F' B' L2
U' B2 L D' B' L2 F'
U' B2 L D' B' F' L2
U' B2 L B' D' L2 F'
U' B2 L B' D' F' L2
U' B2 L' D' L2 F' B'
U' B2 L' D' L2 B' F'
D' B2 L' U' L' F' B'
D' B2 L' U' L' B' F'
D' B2 U' L' B' L' F'
D2 B2 U' R' B R F'
D2 B2 U' F' R' B R
L' B2 U' D' L2 F' B'
L' B2 U' D' L2 B' F'
D' B2 U' F' L' B' L'
L B2 U' D' L2 F' B
L B2 U' D' L2 B F'
L B2 U' D' F' L2 B
L B2 U' D' F' B L2
L B2 U' D' B L2 F'
L B2 U' D' B F' L2
L B2 U' B D' L2 F'
L B2 U' B D' F' L2
L' B2 D' U' L2 F' B'
L' B2 D' U' L2 B' F'
D2 B2 D2 L U' F' B'
D2 B2 D2 L U' B' F'
L B2 U2 F2 U F B
L B2 U2 F2 U B F
L B2 D' U' L2 F' B
L B2 D' U' L2 B F'
L B2 D' U' F' L2 B
L B2 D' U' F' B L2
L B2 D' U' B L2 F'
L B2 D' U' B F' L2
L B2 D2 B2 U' F' B'
L B2 D2 B2 U' B' F'
