B' L' U L2 U L'
B' L' U2 D' L B2
B' L' D F2 U2 L
B' L' D' U2 L B2
D' R' B D2 F2 R
U2 D B' L' F U2
D U2 B' L' F U2
B D2 F2 R D B2
U2 B' L' U L2 U
U2 B' L' U2 D' B2
U2 B' L' D F2 U2
U2 B' L' D' U2 B2
D B' L' F U2 L
D U2 B' L' F D2 U2
U2 D2 B' D' L' F U2
D U2 B2 L' F B U2
D U2 B2 L' B F U2
F U2 D' B' U2 R' B
F2 U2 B' U L U R
F U2 B' U L U R'
B U2 B2 L' U L2 U
B U2 B2 L' U2 D' B2
B U2 B2 L' D F2 U2
B U2 B2 L' D' U2 B2
B' D L' U L2 U L'
B' D L' U2 D' L B2
D' F U2 B' U2 R' B
B' D L' D F2 U2 L
B' D L' D' U2 L B2
B D R D F2 R B2
B D R D F2 B2 R
B D R D B2 F2 R
B D F2 R D F2 B2
B D F2 R D B2 F2
B' D' L' U L2 U L'
B' D' L' U2 D' L B2
B' D' L' D F2 U2 L
B' D' L' D' U2 L B2
F2 D' R U2 F' B' U2
F2 D' R U2 B' F' U2
F2 D' R' B R2 D2 F2
F2 D' R' B2 R2 F' B'
F2 D' R' B2 R2 B' F'
D' F' B2 R2 F' R B
F D' U2 B' U2 R' B
D' F2 R U2 F' B' U2
D' F2 R U2 B' F' U2
D' F2 R' B R2 D2 F2
D' F2 R' B2 R2 F' B'
D' F2 R' B2 R2 B' F'
F2 D' B R' B R2 F'
B' D2 L' U L2 U L'
B' D2 L' U2 D' L B2
B' D2 L' D F2 U2 L
B' D2 L' D' U2 L B2
D' F2 B R' B R2 F'
B D2 R F2 D R B2
B D2 R F2 D B2 R
U2 F2 B' U L U R
B D2 U R' U' F2 R
D' B L' B2 R' U2 B
U2 B L' B2 U L U
D B L' F B2 R' U2
D B L' B2 R' F U2
D B L' B2 F R' U2
D' B R' D2 F2 B R
D' B R' D2 B F2 R
B D2 F2 R U R2 U'
B D2 F2 R D B2 D
B D2 F2 R D B2 D'
B D2 F2 R D B2 D2
B D2 F2 R B D B2
B D2 F2 R B' D B2
B D2 F2 R B2 D B2
B D2 F2 U R' U' R2
B D2 F2 D R D B2
B D2 F2 D' R D B2
D' B R2 D2 F2 R B
B D2 F2 D2 R D B2
D B U2 L' F B2 U2
D B U2 L' B2 F U2
D B U2 B2 L' F U2
F2 B R D B2 D F2
F2 B R D2 F2 D' B2
R' B D2 F2 R D B2
D B D2 R' F2 B R
D B D2 R' B F2 R
D B D2 R2 F2 R B
R2 B D2 F2 R D B2
D B D2 F2 R' B R2
D' B F2 R' B R2 F'
R B D2 F2 R D B2
U' B' L' U L2 U L2
D' B' L' R F' U2 L
D' B' L' R' U2 L B
R' B' L' U L2 U L'
R' B' L' U2 D' L B2
D2 B' L' U2 D' L B'
R' B' L' D F2 U2 L
D' B' L' U2 D2 L B'
R' B' L' D' U2 L B2
D2 B' L' D' U2 L B'
D' B' L' D2 U2 L B'
U2 B' L' U L2 U D
U2 B' L' U L2 U D'
U2 B' L' U L2 U D2
U2 B' L' U L2 D U
U2 B' L' U L2 D' U
U2 B' L' U L2 D2 U
U2 B' L' U' D2 R2 U'
U2 B' L' U2 D' B2 D
U2 B' L' U2 D' B2 D'
U2 B' L' U2 D' B2 D2
U2 B' L' U2 B D' B2
U2 B' L' U2 B' D' B2
U2 B' L' U2 B2 D' B2
U2 B' L' D F2 U2 D
U2 B' L' D F2 U2 D'
U2 B' L' D F2 U2 D2
U2 B' L' D F2 D U2
U2 B' L' D F2 D' U2
U2 B' L' D F2 D2 U2
U2 B' L' D' U2 B2 D
U2 B' L' D' U2 B2 D'
U2 B' L' D' U2 B2 D2
U2 B' L' D' F U2 B2
U2 B' L' D' F' U2 B2
U2 B' L' D' F2 U2 B2
U2 B' L' D2 U' R2 U'
U2 B' L' F U L2 U
U2 B' L' F U2 D' B2
U2 B' L' F D F2 U2
U2 B' L' F D' U2 B2
U2 B' L' F' U L2 U
R2 B' L' U L2 U L'
U2 B' L' F' U2 D' B2
D B' L' R F U2 L
U2 B' L' F' D F2 U2
U2 B' L' F' D' U2 B2
U2 B' L' F2 U L2 U
D B' L' R' F U2 L
U2 B' L' F2 U2 D' B2
U2 B' L' F2 D F2 U2
U2 B' L' F2 D' U2 B2
D B' L' R2 F U2 L
R2 B' L' U2 D' L B2
R2 B' L' D F2 U2 L
F2 B D R D F2 B2
F2 B D R D B2 F2
R2 B' L' D' U2 L B2
D B' L' U2 L2 B' L'
D B' L' D F U2 L
D B' L' D' F U2 L
D B' L' D2 F U2 L
D B' L' F R U2 L
D B' L' F R' U2 L
D B' L' F R2 U2 L
D B' L' F U2 L D
D B' L' F U2 L D'
D B' L' F U2 L D2
D B' L' F U2 D L
D B' L' F U2 D' L
D B' L' F U2 D2 L
D B' L' F D U2 L
D B' L' F D' U2 L
D' B' R L' F' U2 L
D B' L' F D2 U2 L
R B' L' U L2 U L'
R B' L' U2 D' L B2
R B' L' D F2 U2 L
D' B' R' L' U2 L B
R B' L' D' U2 L B2
D B' R L' F U2 L
F2 B D2 R F2 D B2
D B' R' L' F U2 L
D B' R2 L' F U2 L
U2 B' U L U D2 R2
U2 B' U L U' L2 U2
U2 B' U L D' B2 U
U2 B' U L D2 U R2
D B' U2 L' F U2 F'
U2 B' D L' U L2 U
U2 B' D L' U2 D' B2
U2 B' D L' D F2 U2
U2 B' D L' D' U2 B2
D2 B' D' L' F U2 L
U2 B' D' L' U L2 U
U2 B' D' L' U2 D' B2
U2 B' D' L' D F2 U2
U2 B' D' L' D' U2 B2
D' B' D2 L' F U2 L
U2 B' D2 L' U L2 U
U2 B' D2 L' U2 D' B2
U2 B' D2 L' D F2 U2
U2 B' D2 L' D' U2 B2
U2 B' F2 U L U R
U2 B2 L' B U L U
D' B2 R2 F2 R F B
D' B2 R2 F2 R B F
U' B2 U' L' B U2 B2
U' B2 U' B L' U2 B'
B F2 R D B2 D F2
B F2 R D2 F2 D' B2
D B2 U2 L' F B U2
D B2 U2 L' B F U2
D B2 U2 B L' F U2
B F2 D R D F2 B2
B F2 D R D B2 F2
D' B2 F' R2 F' R B
B F2 D2 R F2 D B2
