R' U L2 R B U
R' U R L2 B U
R' U R B L2 U
B2 L2 B U L' R'
B2 L2 B U R' L'
D' B' U R' B' L
U2 D' F U' B2 L R
U2 D' F U' B2 R L
R2 D' F2 B' R' B' L'
R2 D' B' F2 R' B' L'
D' U2 F U' B2 L R
D' U2 F U' B2 R L
U2 F U' D' B2 L R
U2 F U' D' B2 R L
U2 F D' U' B2 L R
U2 F D' U' B2 R L
D' F B' U R' B' L
D' F' B' U R' B' L
D F2 R' U R B U
F' D' B' U R' B' L
B D' B U L B R'
F2 D' B' U R' B' L
F D' B' U R' B' L
D' F2 B' U R' B' L
R' B L U L R U
R' B L U R L U
L2 B U' L U F U
B2 F L2 B U L' R'
B2 F L2 B U R' L'
R2 B D' F2 B2 L' R'
R2 B D' F2 B2 R' L'
R2 B D' B2 F2 L' R'
R2 B D' B2 F2 R' L'
R' B' R' D' F2 L' B2
R' B' R' D' F2 B2 L'
R' B' R' D' B2 F2 L'
R' B' U L2 R U R2
R' B' U R L2 U R2
D' B' U R B' L R2
D' B' U R B' R2 L
D' B' U R' B' L D
D' B' U R' B' L D'
D' B' U R' B' L D2
D' B' U R' B' D L
D' B' U R' B' D' L
D' B' U R' B' D2 L
D' B' U R2 B' L R
D' B' U R2 B' R L
L2 B' U R' B' L B
L2 B' U B' L B R'
R' B' U2 R' D' F2 B2
R' B' U2 R' D' B2 F2
B2 F' L2 B U L' R'
B2 F' L2 B U R' L'
L' B' D L' F U R'
R2 B' D' F2 L' R' B2
R2 B' D' F2 R' L' B2
R2 B' D' F2 R' B2 L'
L2 B' D2 F U L' R'
L2 B' D2 F U R' L'
D' B' F U R' B' L
D' B' F' U R' B' L
D' B' F2 U R' B' L
L' B2 L' B U L2 R'
L' B2 L' B U R' L2
F' B2 L2 B U L' R'
F' B2 L2 B U R' L'
B2 F2 L2 B U L' R'
B2 F2 L2 B U R' L'
F2 B2 L2 B U L' R'
F2 B2 L2 B U R' L'
L2 B2 U L B R' B'
F B2 L2 B U L' R'
F B2 L2 B U R' L'
L2 B2 U B R' B' L
L2 B2 D2 F' U L R
L2 B2 D2 F' U R L
