F' U' B' U' R'
F' L2 U F U R
F' R' U' F' B' U'
F' R' U' B' F' U'
U' R' B' U' R' B
U' R2 B' U' R' B2
B' U F' L' B U2
B' U F' B L' U2
B' U B F' L' U2
F' U' D B' U' R'
F' U' D' B' U' R'
F' U' D2 B' U' R'
F' U' F B' U' R'
F' U' F' B' U' R'
F' U' F2 B' U' R'
F' U' B' U' R' D
F' U' B' U' R' D'
F' U' B' U' R' D2
F' U' B' U' D R'
F' U' B' U' D' R'
F' U' B' U' D2 R'
F' U' B' D U' R'
F' U' B' D' U' R'
F' U' B' D2 U' R'
F' U' B' F U' R'
F' U' B' F' U' R'
F' U' B' F2 U' R'
F' D U' B' U' R'
D2 F' U' B' U' R'
D' F' U' B' U' R'
D F' U' B' U' R'
F' D' U' B' U' R'
F' D2 U' B' U' R'
U' B' R2 U' B R
U' B' U F' U2 R'
U' B' U' R2 B R
F' R' U' F' B' U' D
F' R' U' F' B' U' D'
F' R' U' F' B' U' D2
F' R' U' F' B' D U'
F' R' U' F' B' D' U'
F' R' U' F' B' D2 U'
F' R' U' B' D F' U'
F' R' U' B' D' F' U'
F' R' U' B' D2 F' U'
F' R' U' B' F' U' D
F' R' U' B' F' U' D'
F' R' U' B' F' U' D2
F' R' U' B' F' D U'
F' R' U' B' F' D' U'
F' R' U' B' F' D2 U'
R' U' B' D' F' R U'
R' U' B' F' R' U' B
R2 U' B' R F' U' B2
F' R' D U' F' B' U'
F' R' D U' B' F' U'
R U' B' R' U' D' R2
R U' B' R' U2 B2 U
R U' B' R' D' U' R2
R U' B' R' D2 F2 U'
R U' B' U2 B2 L U
R U' B' D' R' U' R'
R U' B' D2 R' F2 U'
R U' B' D2 F2 R' U'
F' R' D' U' F' B' U'
F' R' D' U' B' F' U'
F' R' D2 U' F' B' U'
F' R' D2 U' B' F' U'
F2 R' F U' F2 B' U'
F2 R' F U' B' F2 U'
U' R' F B' U' R' B
B' R' F' R' U' F' B
B' R' F' R' U' B F'
U' R' F' B' U' R' B
U' R' F2 B' U' R' B
F R' F2 U' F B' U'
F R' F2 U' B' F U'
U' R' B' R U' R2 B
U' R' B' U' R' D B
U' R' B' U' R' D' B
U' R' B' U' R' D2 B
U' R' B' U' R' B D
U' R' B' U' R' B D'
U' R' B' U' R' B D2
U' R' B' F U' R' B
U' R' B' F' U' R' B
U' R' B' F2 U' R' B
R2 U2 D B R' D L2
R2 U2 D B D L2 R'
R2 U2 D B D R' L2
U2 R2 U B' U' R' B2
B' R2 U' D F' B R'
B' R2 U' D B F' R'
B' R2 U' D' F' B R
B' R2 U' D' B F' R
B' R2 U' F' D B R'
B' R2 U' B D' F' R
B' R2 D U' F' B R'
B' R2 D U' B F' R'
B R2 D L2 F B R'
B R2 D L2 B R' F
B R2 D L2 B F R'
U' R2 D B' U' R' B2
B' R2 D' U' F' B R
B' R2 D' U' B F' R
U' R2 D' B' U' R' B2
U' R2 D2 B' U' R' B2
U' R2 F B' U' R' B2
U' R2 F' B' U' R' B2
U' R2 F2 B' U' R' B2
U' R2 B' R U' R2 B2
U' R2 B' R U' B2 R2
U' R2 B' R2 U' R B2
U' R2 B' R2 U' B2 R
U' R2 B' U' R B2 R2
U' R2 B' U' R' B2 D
U' R2 B' U' R' B2 D'
U' R2 B' U' R' B2 D2
U' R2 B' U' R2 B2 R
U' R2 B' D' R2 U' R
U' R2 B' F U' R' B2
U' R2 B' F' U' R' B2
U' R2 B' F2 U' R' B2
B' U L F' L' B U2
B' U L F' B L' U2
R2 D U' B' U' B2 R'
B' U L B F' L' U2
R2 D U2 B R' D L2
R2 D U2 B D L2 R'
R2 D U2 B D R' L2
B' U L' F' L' B U2
B' U L' F' B L' U2
B' U L' B F' L' U2
L' D F' R U B U
F' U L2 F L2 U R
B' U L2 F' L' B U2
B' U L2 F' B L' U2
B' U L2 B F' L' U2
F2 U L2 F U R B'
F2 U L2 F U B' R
U' D R' B' U' R' B
R2 D B R' D L2 F
R2 D B D L2 R' F
R2 D B D L2 F R'
R2 D B D R' L2 F
U' D R2 B' U' R' B2
B' U D F' L' B U2
B' U D F' B L' U2
B' U D B F' L' U2
B' U D' F' L' B U2
B' U D' F' B L' U2
B' U D' B F' L' U2
B' U D2 F' L' B U2
B' U D2 F' B L' U2
F U D' L2 F U R
B' U D2 B F' L' U2
F' U F U2 B' U' R
B' U F' L B L2 U2
B' U F' L' D B U2
B' U F' L' D' B U2
B' U F' L' D2 B U2
B' U F' L' B U2 D
B' U F' L' B U2 D'
B' U F' L' B U2 D2
B' U F' L' B D U2
B' U F' L' B D' U2
B' U F' L' B D2 U2
B' U F' D L' B U2
B' U F' D B L' U2
B' U F' D' L' B U2
B' U F' D' B L' U2
B' U F' D2 L' B U2
U' D B' R2 U' B R
B' U F' D2 B L' U2
B' U F' B L' U2 D
B' U F' B L' U2 D'
B' U F' B L' U2 D2
B' U F' B L' D U2
B' U F' B L' D' U2
B' U F' B L' D2 U2
B' U F' B D L' U2
B' U F' B D' L' U2
B' U F' B D2 L' U2
B' U F' B' L' B2 U2
U' D B' U F' U2 R'
U' D B' U' R2 B R
B' U B L F' L' U2
B' U B L' F' L' U2
B' U B L2 F' L' U2
B' U B D F' L' U2
B' U B D' F' L' U2
B' U B D2 F' L' U2
B' U B F' L' U2 D
B' U B F' L' U2 D'
B' U B F' L' U2 D2
B' U B F' L' D U2
B' U B F' L' D' U2
B' U B F' L' D2 U2
B' U B F' D L' U2
B' U B F' D' L' U2
B' U B F' D2 L' U2
B' U B' F' L' B2 U2
R' D' U' F' R B' U'
R' D' U' F' B' R U'
R' D' U' B' F' R U'
U' D' R' B' U' R' B
D' U' R' B' U' R' B
D2 U' R' B' U' R' B
U' D' R2 B' U' R' B2
D' U' R2 B' U' R' B2
D2 U' R2 B' U' R' B2
D U' R' B' U' R' B
D U' R2 B' U' R' B2
B' U' R' B' R' F' B
B' U' R' B' R' B F'
F' U' R' B' R U' R2
B' U' R2 F' B' R' B2
B' U' R2 B' F' R' B2
F' U' R2 B' R2 U' R
F' U' D F B' U' R'
F' U' D F' B' U' R'
F' U' D F2 B' U' R'
F' U' D B' U' R' D
F' U' D B' U' R' D'
F' U' D B' U' R' D2
F' U' D B' U' D R'
F' U' D B' U' D' R'
F' U' D B' U' D2 R'
F' U' D B' D U' R'
F' U' D B' D' U' R'
F' U' D B' D2 U' R'
F' U' D B' F U' R'
F' U' D B' F' U' R'
F' U' D B' F2 U' R'
F' U' D' F B' U' R'
F' U' D' F' B' U' R'
F' U' D' F2 B' U' R'
U' D' B' R2 U' B R
D' U' B' R2 U' B R
F' U' D' B' U' R' D
F' U' D' B' U' R' D'
F' U' D' B' U' R' D2
F' U' D' B' U' D R'
F' U' D' B' U' D' R'
F' U' D' B' U' D2 R'
F' U' D' B' D U' R'
U' D' B' U F' U2 R'
F' U' D' B' D' U' R'
F' U' D' B' D2 U' R'
F' U' D' B' F U' R'
F' U' D' B' F' U' R'
F' U' D' B' F2 U' R'
D' U' B' U F' U2 R'
U' D' B' U' R2 B R
D' U' B' U' R2 B R
D2 U' B' R2 U' B R
D2 U' B' U F' U2 R'
F U' D R2 B' U' R'
D2 U' B' U' R2 B R
F U' D B' R2 U' R
F' U' D2 F B' U' R'
F' U' D2 F' B' U' R'
F' U' D2 F2 B' U' R'
F' U' D2 B' U' R' D
F' U' D2 B' U' R' D'
F' U' D2 B' U' R' D2
F' U' D2 B' U' D R'
F' U' D2 B' U' D' R'
F' U' D2 B' U' D2 R'
F' U' D2 B' D U' R'
F' U' D2 B' D' U' R'
F' U' D2 B' D2 U' R'
F' U' D2 B' F U' R'
F' U' D2 B' F' U' R'
F' U' D2 B' F2 U' R'
D U' B' R2 U' B R
D U' B' U F' U2 R'
D U' B' U' R2 B R
F' U' F D B' U' R'
F' U' F D' B' U' R'
F' U' F D2 B' U' R'
F' U' F B' U' R' D
F' U' F B' U' R' D'
F' U' F B' U' R' D2
F' U' F B' U' D R'
F' U' F B' U' D' R'
F' U' F B' U' D2 R'
F' U' F B' D U' R'
F' U' F B' D' U' R'
F' U' F B' D2 U' R'
F U' D2 B' U' R' B'
F' U' F' D B' U' R'
B' U' F' B L U2 L'
F' U' F' D' B' U' R'
F' U' F' D2 B' U' R'
F' U' F' B' U' R' D
F' U' F' B' U' R' D'
F' U' F' B' U' R' D2
F' U' F' B' U' D R'
F' U' F' B' U' D' R'
F' U' F' B' U' D2 R'
F' U' F' B' D U' R'
F' U' F' B' D' U' R'
F' U' F' B' D2 U' R'
F' U' F2 D B' U' R'
F' U' F2 D' B' U' R'
F' U' F2 D2 B' U' R'
F' U' F2 B' U' R' D
F' U' F2 B' U' R' D'
F' U' F2 B' U' R' D2
F' U' F2 B' U' D R'
F' U' F2 B' U' D' R'
F' U' F2 B' U' D2 R'
F' U' F2 B' D U' R'
F' U' F2 B' D' U' R'
F' U' F2 B' D2 U' R'
B' U' B F' L U2 L'
F' U' B' U L U2 R'
F' U' B' U L' U2 R'
F' U' B' U L2 U2 R'
F' U' B' U' R2 D R
F' U' B' U' R2 D' R
F' U' B' U' R2 D2 R
F' U' B' U' D R' D
F' U' B' U' D R' D'
F' U' B' U' D R' D2
F' U' B' U' D' R' D
F' U' B' U' D' R' D'
F' U' B' U' D' R' D2
F' U' B' U' D2 R' D
F' U' B' U' D2 R' D'
F' U' B' U' D2 R' D2
F' U' B' U' F' R' F
F' U' B' U' F2 R' F2
F' U' B' D U' R' D
F' U' B' D U' R' D'
F' U' B' D U' R' D2
F' U' B' D F U' R'
F' U' B' D F' U' R'
F' U' B' D F2 U' R'
F' U' B' D' U' R' D
F' U' B' D' U' R' D'
F' U' B' D' U' R' D2
F2 U' B' U F U2 R'
F' U' B' D' F U' R'
F' U' B' D' F' U' R'
F' U' B' D' F2 U' R'
F' U' B' D2 U' R' D
F' U' B' D2 U' R' D'
F' U' B' D2 U' R' D2
F' U' B' D2 F U' R'
F' U' B' D2 F' U' R'
F' U' B' D2 F2 U' R'
F' U' B' F U' R' D
F' U' B' F U' R' D'
F' U' B' F U' R' D2
F' U' B' F U' D R'
F' U' B' F U' D' R'
F' U' B' F U' D2 R'
F' U' B' F D U' R'
F' U' B' F D' U' R'
F' U' B' F D2 U' R'
F' U' B' F' U' R' D
F' U' B' F' U' R' D'
F' U' B' F' U' R' D2
F' U' B' F' U' D R'
F' U' B' F' U' D' R'
F' U' B' F' U' D2 R'
F' U' B' F' D U' R'
F' U' B' F' D' U' R'
F' U' B' F' D2 U' R'
F' U' B' F2 U' R' D
F' U' B' F2 U' R' D'
F' U' B' F2 U' R' D2
F' U' B' F2 U' D R'
F' U' B' F2 U' D' R'
F' U' B' F2 U' D2 R'
F' U' B' F2 D U' R'
F' U' B' F2 D' U' R'
F' U' B' F2 D2 U' R'
U' D2 R' B' U' R' B
F U' B' U F2 U2 R'
F U' B' U' R' D2 B2
F U' B' U' D2 R' B2
F U' B' D R2 U' R
F U' B' D2 U' R' B2
U' D2 R2 B' U' R' B2
F' U2 R U B' U' R'
F' U2 R' U B' U' R'
U' D2 B' R2 U' B R
U' D2 B' U F' U2 R'
U' D2 B' U' R2 B R
F' U2 R2 U B' U' R'
U' F D R2 B' U' R'
U' F D B' R2 U' R
F' D L2 U F U R
F' D L2 U F U R
U' F D2 B' U' R' B'
F' D R' U' F' B' U'
F' D R' U' B' F' U'
U' F B' U F2 U2 R'
U' F B' U' R' D2 B2
U' F B' U' D2 R' B2
U' F B' D R2 U' R
U' F B' D2 U' R' B2
B' D U F' L' B U2
B' D U F' B L' U2
B' D U B F' L' U2
L' F' L U' B' U' R'
F' D U' F B' U' R'
F' D U' F' B' U' R'
F' D U' F2 B' U' R'
F' D U' B' U' R' D
F' D U' B' U' R' D'
F' D U' B' U' R' D2
F' D U' B' U' D R'
F' D U' B' U' D' R'
F' D U' B' U' D2 R'
F' D U' B' D U' R'
F' D U' B' D' U' R'
F' D U' B' D2 U' R'
F' D U' B' F U' R'
F' D U' B' F' U' R'
F' D U' B' F2 U' R'
L' F' L' U F U R
F D U' R2 B' U' R'
L F' L U F U R
D' F' L2 U F U R
D2 F' L2 U F U R
F D U' B' R2 U' R
F2 D F U' B' U' R'
L F' L' U' B' U' R'
D F' L2 U F U R
L2 F' R U F2 B U
L2 F' R U B F2 U
D2 F' R' U' F' B' U'
D' F' R' U' F' B' U'
D2 F' R' U' B' F' U'
D' F' R' U' B' F' U'
L F' R U B U L
D F' R' U' F' B' U'
D F' R' U' B' F' U'
L F' R' U' F' U' L'
D2 F' U' D B' U' R'
D' F' U' D B' U' R'
D2 F' U' D' B' U' R'
D' F' U' D' B' U' R'
D2 F' U' D2 B' U' R'
D' F' U' D2 B' U' R'
D2 F' U' F B' U' R'
D' F' U' F B' U' R'
D2 F' U' F' B' U' R'
D' F' U' F' B' U' R'
D2 F' U' F2 B' U' R'
D' F' U' F2 B' U' R'
D2 F' U' B' U' R' D
D2 F' U' B' U' R' D'
D2 F' U' B' U' R' D2
D2 F' U' B' U' D R'
D2 F' U' B' U' D' R'
D2 F' U' B' U' D2 R'
D2 F' U' B' D U' R'
D2 F' U' B' D' U' R'
D' F' U' B' U' R' D
D' F' U' B' U' R' D'
D' F' U' B' U' R' D2
D' F' U' B' U' D R'
D' F' U' B' U' D' R'
D' F' U' B' U' D2 R'
D2 F' U' B' D2 U' R'
D2 F' U' B' F U' R'
D' F' U' B' D U' R'
D2 F' U' B' F' U' R'
D2 F' U' B' F2 U' R'
D' F' U' B' D' U' R'
D' F' U' B' D2 U' R'
D' F' U' B' F U' R'
D' F' U' B' F' U' R'
D' F' U' B' F2 U' R'
D F' U' D B' U' R'
D F' U' D' B' U' R'
D F' U' D2 B' U' R'
D F' U' F B' U' R'
D F' U' F' B' U' R'
D F' U' F2 B' U' R'
D F' U' B' U' R' D
D F' U' B' U' R' D'
D F' U' B' U' R' D2
D F' U' B' U' D R'
D F' U' B' U' D' R'
D F' U' B' U' D2 R'
D F' U' B' D U' R'
D F' U' B' D' U' R'
D F' U' B' D2 U' R'
D F' U' B' F U' R'
D F' U' B' F' U' R'
D F' U' B' F2 U' R'
D2 F' D U' B' U' R'
D' F' D U' B' U' R'
F' D' L2 U F U R
D2 F' D' U' B' U' R'
D' F' D' U' B' U' R'
D F' D U' B' U' R'
D2 F' D2 U' B' U' R'
D' F' D2 U' B' U' R'
D F' D' U' B' U' R'
F' D' R' U' F' B' U'
F' D' R' U' B' F' U'
D F' D2 U' B' U' R'
B' D' U F' L' B U2
B' D' U F' B L' U2
B' D' U B F' L' U2
F' D' U' F B' U' R'
F' D' U' F' B' U' R'
F' D' U' F2 B' U' R'
F' D' U' B' U' R' D
F' D' U' B' U' R' D'
F' D' U' B' U' R' D2
F' D' U' B' U' D R'
F' D' U' B' U' D' R'
F' D' U' B' U' D2 R'
F' D' U' B' D U' R'
F' D' U' B' D' U' R'
F' D' U' B' D2 U' R'
F' D' U' B' F U' R'
F' D' U' B' F' U' R'
F' D' U' B' F2 U' R'
F D' U L2 F U R
F2 D' F U' B' U' R'
F' D2 L2 U F U R
F' D2 R' U' F' B' U'
F' D2 R' U' B' F' U'
U' F2 B' U F U2 R'
B' D2 U F' L' B U2
B' D2 U F' B L' U2
B' D2 U B F' L' U2
F' D2 U' F B' U' R'
F' D2 U' F' B' U' R'
F' D2 U' F2 B' U' R'
F' D2 U' B' U' R' D
F' D2 U' B' U' R' D'
F' D2 U' B' U' R' D2
F' D2 U' B' U' D R'
F' D2 U' B' U' D' R'
F' D2 U' B' U' D2 R'
F' D2 U' B' D U' R'
F' D2 U' B' D' U' R'
F' D2 U' B' D2 U' R'
F' D2 U' B' F U' R'
F' D2 U' B' F' U' R'
F' D2 U' B' F2 U' R'
F D2 U' B' U' R' B'
F2 D2 F U' B' U' R'
U' B R' B2 U' R' B
U' B R2 B2 U' R' B'
U' B' R2 U' D B R
U' B' R2 U' D' B R
U' B' R2 U' D2 B R
U' B' R2 U' B R D
U' B' R2 U' B R D'
U' B' R2 U' B R D2
U' B' R2 U' B D R
U' B' R2 U' B D' R
U' B' R2 U' B D2 R
U' B' R2 U' B' R B2
U' B' R2 U' B2 R B'
U' B' R2 D U' B R
U' B' R2 D' U' B R
U' B' R2 D2 U' B R
U' B' U L F' U2 R'
U' B' U L' F' U2 R'
U' B' U L2 F' U2 R'
U' B' U D F' U2 R'
U' B' U D' F' U2 R'
U' B' U D2 F' U2 R'
U' B' U F' L U2 R'
U' B' U F' L' U2 R'
U' B' U F' L2 U2 R'
U' B' U F' U2 R' D
U' B' U F' U2 R' D'
U' B' U F' U2 R' D2
U' B' U F' U2 D R'
U' B' U F' U2 D' R'
U' B' U F' U2 D2 R'
U' B' U F' D U2 R'
U' B' U F' D' U2 R'
U' B' U F' D2 U2 R'
D2 B' U F' L' B U2
D2 B' U F' B L' U2
D' B' U F' L' B U2
D' B' U F' B L' U2
D2 B' U B F' L' U2
D' B' U B F' L' U2
U' B' U' R2 D B R
U' B' U' R2 D' B R
U' B' U' R2 D2 B R
U' B' U' R2 B R D
U' B' U' R2 B R D'
U' B' U' R2 B R D2
U' B' U' R2 B D R
U' B' U' R2 B D' R
U' B' U' R2 B D2 R
U' B' U' R2 B' R B2
U' B' U' R2 B2 R B'
U' B' U' D R2 B R
U' B' U' D' R2 B R
U' B' U' D2 R2 B R
U' B' U' B' R2 B R'
D B' U F' L' B U2
D B' U F' B L' U2
D B' U B F' L' U2
U' B' D R2 U' B R
U' B' D U F' U2 R'
U' B' D U' R2 B R
U' B' D' R2 U' B R
U' B' D' U F' U2 R'
U' B' D' U' R2 B R
U' B' D2 R2 U' B R
U' B' D2 U F' U2 R'
U' B' D2 U' R2 B R
R2 B' D' R2 U' F' R
U' B' F U F2 U2 R'
U' B' F U' R' D2 B2
U' B' F U' D2 R' B2
F2 B' U F B U2 R
U' B' F D R2 U' R
U' B' F D2 U' R' B2
F2 B' U B F U2 R
U' B' F2 U F U2 R'
B' F2 U F B U2 R
B' F2 U B F U2 R
