B L' U L2 U2 B
B L' U' D2 B R2
B L' U' B D2 R2
B L' D F2 U' B
B L' D2 U' B R2
L' B U L U2 B
L' B U' B2 R' B'
L2 U' L B F U' B
B' R B2 L' U' B R2
B' R' U B2 L' U' B
L' U' B2 U B' U' R'
B' R' B' U B' L' U'
B R2 L' U L2 F' U2
B R2 L' U F' L2 U2
B R2 L' U' D2 R2 B
B R2 L' D2 U' R2 B
B' R2 B2 L' U' B R
B U L U' L2 U' B
B U L U2 D F2 B
B U L U2 D B F2
B U L U2 B D F2
B U L D U2 F2 B
B U L D U2 B F2
B U L D' B2 U2 B'
L' D B U' D' B2 R'
L' D B D' U' B2 R'
B2 U D B' L' F U'
B2 U B' L' U L2 U2
B2 U B' L' U' D2 R2
B2 U B' L' D F2 U'
B2 U B' L' D2 U' R2
L' D' B R2 U L U2
L' D' B U' D B2 R'
L' D' B D U' B2 R'
L' D' B' R2 B2 U' R
L' D2 B U L F2 U2
L' D2 B U F2 L U2
L' D2 B U' D2 B2 R'
L' D2 B D2 U' B2 R'
B D L' U L2 U2 B
B D L' U' D2 B R2
B D L' U' B D2 R2
B D L' D F2 U' B
B D L' D2 U' B R2
L' F B U L U2 B
L' F B U' B2 R' B'
B2 D U B' L' F U'
B2 D B' L' F U' B
B D' L' U L2 U2 B
B D' L' U' D2 B R2
B D' L' U' B D2 R2
B D' L' D F2 U' B
B D' L' D2 U' B R2
L' F' B U L U2 B
L' F' B U' B2 R' B'
B D2 L' U L2 U2 B
B D2 L' U' D2 B R2
B D2 L' U' B D2 R2
B D2 L' D F2 U' B
B D2 L' D2 U' B R2
L' F2 B U L U2 B
L' F2 B U' B2 R' B'
U' B L F L2 U' B
U' B L' U' B D' R2
U' B L' U2 B' U B2
D' B L' R2 U L2 U2
D' B L' R2 U' D2 R2
D' B L' R2 D F2 U'
D2 B L' U L2 F2 U2
D' B L' R2 D2 U' R2
D2 B L' U F2 L2 U2
D2 B L' U' D2 R2 B2
D2 B L' U' D2 B2 R2
D2 B L' D R2 F2 U'
D2 B L' D F2 R2 U'
D' B L' D F2 U' B2
D2 B L' D2 U' R2 B2
D2 B L' D2 U' B2 R2
U2 B L' F U' B R
D B L' D F2 R U'
U B L' U' B' R' B2
L' B R U' B2 R' B
B' D2 F2 R U R2 B'
B' D2 F2 R U B' R2
L B L2 U L' U2 B
L B L2 F2 U' B R
D' B R2 L' U L2 U2
D' B R2 L' U' D2 R2
D' B R2 L' D F2 U'
D' B R2 L' D2 U' R2
L' B R2 U L F' U2
L' B R2 U F' L U2
L' B U L U2 D B
L' B U L U2 D' B
L' B U L U2 D2 B
L' B U L U2 B D
L' B U L U2 B D'
L' B U L U2 B D2
L' B U L D U2 B
L' B U L D' U2 B
L' B U L D2 U2 B
L' B U L F U2 B
L' B U L F' U2 B
L' B U L F2 U2 B
L' B U D L U2 B
L' B U D' L U2 B
L' B U D2 L U2 B
L' B U F L U2 B
L' B U F' L U2 B
L' B U F2 L U2 B
L' B U' R B2 R' B
L' B U' D B2 R' B'
L' B U' D' B2 R' B'
L' B U' D2 B2 R' B'
L' B U' B2 R B' R2
L' B U' B2 R' D B'
L' B U' B2 R' D' B'
L' B U' B2 R' D2 B'
L' B U' B2 R' B' D
L' B U' B2 R' B' D'
L' B U' B2 R' B' D2
L' B U' B2 R2 B' R
L' B U' B2 D R' B'
L' B U' B2 D' R' B'
L' B U' B2 D2 R' B'
L' B U2 B2 U R' B'
L' B D U L U2 B
L' B D U' B2 R' B'
L' B D' U L U2 B
L' B D' U' B2 R' B'
L' B D2 U L U2 B
L' B D2 U' B2 R' B'
L' B F U L U2 B
L' B F U' B2 R' B'
L' B F' U L U2 B
L' B F' U' B2 R' B'
L' B F2 U L U2 B
L' B F2 U' B2 R' B'
B F U L U2 F B
B F U L U2 B F
F B U L U2 F B
F B U L U2 B F
D' B' L' R2 B2 U' R
B F U' B2 R' F' B'
B F U' B2 R' B' F'
F B U' B2 R' F' B'
F B U' B2 R' B' F'
L' B' R B2 U' B R2
D' B' R2 L' B2 U' R
D' B' R2 B2 L' U' R
L' B' R2 B2 U' B R
L B' R' D F2 B' L2
L B' R' D B' L2 F2
L B' R' D B' F2 L2
L' B' U' R' D B' L2
L' B' U' D R' B' L2
L' B' D U' R' B' L2
F2 B' R' D B' L2 F
L B' D R' F2 B' L2
L B' D R' B' L2 F2
L B' D R' B' F2 L2
L B' D F2 R' B' L2
U' B2 U B' L' U' R'
B' F2 R' D B' L2 F
