F2 L R U2 B U
F2 L R' F' R2 U'
F' L R' F' R U'
L R U2 L2 B U
R L U2 L2 B U
L R U2 B L2 U
R L U2 B L2 U
R' L D' F' U' B2
R' L D2 F' R2 U'
L R D2 R2 F' U'
R L D2 R2 F' U'
R' L F' U' D' B2
R' L F' U2 L2 U
R' L F' D' U' B2
R' L F' D2 R2 U'
L R' D' F' U' B2
L R' D2 F' R2 U'
U2 L' U2 L2 F U'
L R' F' U' D' B2
L R' F' U2 L2 U
L R' F' D' U' B2
L R' F' D2 R2 U'
U2 L' D B' U F2
U2 L' D2 R2 B' U
U2 L' D2 B' R2 U
U2 L' B' U D F2
U2 L' B' U2 L2 U'
U2 L' B' D U F2
U2 L' B' D2 R2 U
F2 R L U2 B U
F' R' L F' R U'
L U' D' B' R' B'
F2 R' L F' R2 U'
L U' B D' B2 R'
L U' B' R' D' B2
L U' B' D' R' B2
F' R' F' L R U'
F' R' F' R L U'
L U2 L' B' L' U
F2 R' F' L R2 U'
F2 R' F' R2 L U'
L D' R' F' U' B2
L D' U' B' R' B'
L D2 R' F' R' U'
F' D' L U' B' R'
R' F' D' L U' B'
R2 F2 L R F' U'
R' F2 R F L U'
R2 F2 R L F' U'
R2 F2 R F' L U'
U2 B' L' B' R' U
U2 B2 L' R' B' U
U2 B2 R' L' B' U
U2 B2 R' L' B' U
L R' F2 U2 L2 B' U
L R' F2 D' F U' B2
L R' F2 D2 R2 F U'
L R' F2 D2 F R2 U'
U2 L' D B' R U F2
U2 L' D B' R' U F2
U2 L' D B' R2 U F2
U2 L' D B' U F2 D
U2 L' D B' U F2 D'
U2 L' D B' U F2 D2
U2 L' D B' D R2 U
R L' B U2 B' L2 U'
U2 L' D' B' U' B' U2
U2 L' D2 R B' R U
U2 L' D2 R2 D B' U
U2 L' D2 R2 D' B' U
U2 L' D2 R2 D2 B' U
U2 L' D2 R2 B' U D
U2 L' D2 R2 B' U D'
U2 L' D2 R2 B' U D2
U2 L' D2 R2 B' D U
U2 L' D2 R2 B' D' U
U2 L' D2 R2 B' D2 U
U2 L' D2 B R2 B2 U
U2 L' D2 B' R2 U D
U2 L' D2 B' R2 U D'
U2 L' D2 B' R2 U D2
U2 L' D2 B' R2 D U
U2 L' D2 B' R2 D' U
U2 L' D2 B' R2 D2 U
U2 L' D2 B' U D' F2
U2 L' D2 B' D' U F2
U2 L' B' R U D F2
U2 L' B' R U2 L2 U'
U2 L' B' R D U F2
U2 L' B' R D2 R2 U
U2 L' B' R' U D F2
U2 L' B' R' U2 L2 U'
U2 L' B' R' D U F2
U2 L' B' R' D2 R2 U
U2 L' B' R2 U D F2
U2 L' B' R2 U2 L2 U'
U2 L' B' R2 D U F2
U2 L' B' R2 D2 R2 U
U2 L' B' U D F2 D
U2 L' B' U D F2 D'
U2 L' B' U D F2 D2
U2 L' B' U F D F2
U2 L' B' U F' D F2
U2 L' B' U F2 D F2
U2 L' B' U' D' B2 U2
U2 L' B' U2 L2 U' D
U2 L' B' U2 L2 U' D'
U2 L' B' U2 L2 U' D2
U2 L' B' U2 L2 D U'
U2 L' B' U2 L2 D' U'
U2 L' B' U2 L2 D2 U'
U2 L' B' D R U F2
U2 L' B' D R' U F2
U2 L' B' D R2 U F2
U2 L' B' D U F2 D
U2 L' B' D U F2 D'
U2 L' B' D U F2 D2
U2 L' B' D' U' B2 U2
U2 L' B' D2 R2 U D
U2 L' B' D2 R2 U D'
U2 L' B' D2 R2 U D2
U2 L' B' D2 R2 D U
U2 L' B' D2 R2 D' U
U2 L' B' D2 R2 D2 U
U2 L' B2 D B U F2
L R2 D' F' U' R B2
L R2 D' F' U' B2 R
U2 L' B2 D2 B R2 U
L U L' U L' B' U
B2 L2 B2 L R' F' U'
B2 L2 B2 R' L F' U'
B2 L2 B2 R' F' L U'
L U D F' L' F' U2
D2 R L U2 L2 B U
D2 R L U2 B L2 U
D' R L U2 L2 B U
D' R L U2 B L2 U
D2 R L D2 R2 F' U'
D' R L D2 R2 F' U'
L U D' F U2 R B2
L U D' F U2 B2 R
F2 R L U2 D B U
F2 R L U2 D' B U
F2 R L U2 D2 B U
L U D' F' L' U2 B2
F2 R L U2 B U D
F2 R L U2 B U D'
F2 R L U2 B U D2
F2 R L U2 B D U
F2 R L U2 B D' U
F2 R L U2 B D2 U
F2 R L D U2 B U
F2 R L D' U2 B U
D R L U2 L2 B U
D R L U2 B L2 U
F2 R L D2 U2 B U
F2 R L F U2 B U
F R L U2 B L U
F2 R L F' U2 B U
D R L D2 R2 F' U'
F2 R L F2 U2 B U
U2 R L' U2 L2 F U'
U2 R L' D B' U F2
U2 R L' D2 R2 B' U
U2 R L' D2 B' R2 U
B2 R L' B R2 F' U
U2 R L' B' U D F2
U2 R L' B' U2 L2 U'
U2 R L' B' D U F2
U2 R L' B' D2 R2 U
L U F U L2 U R
L U F U2 R D' B2
L U F U2 D' R B2
L U F U2 D' B2 R
L U F D F2 L' U2
L U F D' U2 R B2
L U F D' U2 B2 R
L U F' L' U L' U
L U F' D L' F2 U2
L U F' D F2 U2 R
L U F' D' L' U2 B2
F2 R U2 B2 R' B' U
F2 R D L U2 B U
F2 R D' L U2 B U
F2 R D2 L U2 B U
F2 R F L U2 B U
F2 R F' L U2 B U
F2 R F2 L U2 B U
L U' R D' B' R' B'
L U' R B D' B2 R'
L U' R B' R' D' B2
L U' R B' D' R' B2
B2 R B L' R2 F' U
B2 R B R2 L' F' U
L U' R' D' B' R' B'
L U' R' B D' B2 R'
L U' R' B' R' D' B2
L U' R' B' D' R' B2
U2 R B' L' B' R' U
L U' R2 D' B' R' B'
L U' R2 B D' B2 R'
L U' R2 B' R' D' B2
L U' R2 B' D' R' B2
U2 R B2 L' R' B' U
U2 R B2 R' L' B' U
L U' D B D2 B2 R'
L U' D B' R' D2 B2
L U' D B' D2 R' B2
D2 R' L D' F' U' B2
D' R' L D' F' U' B2
D2 R' L D2 F' R2 U'
L U' D' R B' R' B'
D' R' L D2 F' R2 U'
L U' D' R' B' R' B'
D2 R' L F' U' D' B2
D2 R' L F' U2 L2 U
D2 R' L F' D' U' B2
L U' D' R2 B' R' B'
D2 R' L F' D2 R2 U'
D' R' L F' U' D' B2
D' R' L F' U2 L2 U
D' R' L F' D' U' B2
D' R' L F' D2 R2 U'
F2 R' L D F' U' B2
F' R' L F' R U' D
F' R' L F' R U' D'
F' R' L F' R U' D2
F' R' L F' R D U'
F' R' L F' R D' U'
F' R' L F' R D2 U'
F' R' L F' D R U'
F' R' L F' D' R U'
F' R' L F' D2 R U'
L U' D' B' R B' R2
F2 R' L F R2 F2 U'
L U' D' B' R' D B'
L U' D' B' R' D' B'
L U' D' B' R' D2 B'
L U' D' B' R' B' D
L U' D' B' R' B' D'
L U' D' B' R' B' D2
L U' D' B' R2 B' R
L U' D' B' D R' B'
L U' D' B' D' R' B'
L U' D' B' D2 R' B'
D R' L D' F' U' B2
F2 R' L F' R2 U' D
F2 R' L F' R2 U' D'
F2 R' L F' R2 U' D2
F2 R' L F' R2 D U'
F2 R' L F' R2 D' U'
F2 R' L F' R2 D2 U'
F2 R' L F' U' D B2
F2 R' L F' D U' B2
D R' L D2 F' R2 U'
F2 R' L F2 R2 F U'
D R' L F' U' D' B2
D R' L F' U2 L2 U
D R' L F' D' U' B2
D R' L F' D2 R2 U'
B2 R' L' U2 F' B2 U'
B2 R' L' U2 B2 F' U'
F R' L F R F2 U'
U2 R' L' U2 L2 F U'
F R' L F' U2 L' U
F' R' L' F' L2 R U'
F' R' L' F' R L2 U'
U2 R' L' D B' U F2
L U' D2 B D B2 R'
U2 R' L' D2 R2 B' U
U2 R' L' D2 B' R2 U
L U' D2 B' D R' B2
F2 R' L' F' L2 R2 U'
F2 R' L' F' R2 L2 U'
U2 R' L' B' U D F2
U2 R' L' B' U2 L2 U'
U2 R' L' B' D U F2
U2 R' L' B' D2 R2 U
L U' B R D' B2 R'
L U' B R' D' B2 R'
L U' B R2 D' B2 R'
L U' B D' R B2 R'
L U' B D' R' B2 R'
L U' B D' R2 B2 R'
L U' B D' B2 R' D
L U' B D' B2 R' D'
L U' B D' B2 R' D2
L U' B D' B2 D R'
L U' B D' B2 D' R'
L U' B D' B2 D2 R'
F2 R' D L F' U' B2
L U' B' R' U' L2 U
L U' B' R' D' B2 D
L U' B' R' D' B2 D'
L U' B' R' D' B2 D2
L U' B' R' B D' B2
L U' B' R' B' D' B2
L U' B' R' B2 D' B2
L U' B' R2 D' R B2
L U' B' R2 D' B2 R
L U' B' U' L2 U R'
L U' B' D R' D2 B2
F2 R' D F' L U' B2
L U' B' D' R B2 R2
L U' B' D' R' B2 D
L U' B' D' R' B2 D'
L U' B' D' R' B2 D2
L U' B' D' R2 B2 R
F' R' D' L F' U' B'
F' R' D' F' L U' B'
L2 U2 L U2 F L2 U'
R' U2 L' U2 L2 F' U'
R' U2 L' U2 F' L2 U'
R' U2 L' D2 R2 B U
F2 R' F L R2 F2 U'
F2 R' F L F2 R2 U'
F2 R' F R2 L F2 U'
F2 R' F R2 F2 L U'
L U2 L' D B' L' U
L U2 L' D' B' L' U
F R' F L R F2 U'
R U2 L' D B U F2
L U2 L' D2 B' L' U
R U2 L' D2 B R2 U
F' R' F' L R U' D
F' R' F' L R U' D'
F' R' F' L R U' D2
F' R' F' L R D U'
F' R' F' L R D' U'
F' R' F' L R D2 U'
F' R' F' L D R U'
F' R' F' L D' R U'
F' R' F' L D2 R U'
F R' F R L F2 U'
F R' F R F2 L U'
L U2 L' B L' B2 U
L U2 L' B' L' U D
L U2 L' B' L' U D'
L U2 L' B' L' U D2
L U2 L' B' L' D U
L U2 L' B' L' D' U
L U2 L' B' L' D2 U
F' R' F' R L U' D
F' R' F' R L U' D'
F' R' F' R L U' D2
F' R' F' R L D U'
F' R' F' R L D' U'
F' R' F' R L D2 U'
L U2 L' B' D L' U
F' R' F' R D L U'
L U2 L' B' D' L' U
F' R' F' R D' L U'
L U2 L' B' D2 L' U
F' R' F' R D2 L U'
R U2 L' B U D F2
R U2 L' B U2 L2 U'
R U2 L' B D U F2
L U2 L' B2 L' B U
R U2 L' B D2 R2 U
F2 R' F' L R2 U' D
F2 R' F' L R2 U' D'
F2 R' F' L R2 U' D2
F2 R' F' L R2 D U'
F2 R' F' L R2 D' U'
F2 R' F' L R2 D2 U'
F2 R' F' L U' D B2
F2 R' F' L D U' B2
D2 R' F' D' L U' B'
D' R' F' D' L U' B'
F' R' F' D L R U'
F' R' F' D R L U'
F2 R' F' R2 L U' D
F2 R' F' R2 L U' D'
F2 R' F' R2 L U' D2
F2 R' F' R2 L D U'
F2 R' F' R2 L D' U'
F2 R' F' R2 L D2 U'
F2 R' F' R2 D L U'
F2 R' F' R2 D' L U'
F' R' F' D' L R U'
F2 R' F' R2 D2 L U'
F' R' F' D' R L U'
F' R' F' D2 L R U'
F' R' F' D2 R L U'
L U2 L2 D' B U R'
F R' F' L U' D' B2
F R' F' L U2 L2 U
F R' F' L D' U' B2
F R' F' L D2 R2 U'
F2 R' F' D L U' B2
D2 R' F2 R F L U'
D' R' F2 R F L U'
D R' F' D' L U' B'
F2 R' F2 R2 F L U'
D R' F2 R F L U'
U2 R' B' L' B' R' U
U2 R' B2 L' R' B' U
U2 R' B2 R' L' B' U
L U2 D' L' B' U B'
F' R2 L F' R F' U'
L U2 D' B' U B' R'
F R2 L F R F' U'
U2 R2 L' U2 L2 F U'
U2 R2 L' D B' U F2
U2 R2 L' D2 R2 B' U
U2 R2 L' D2 B' R2 U
U2 R2 L' B' U D F2
U2 R2 L' B' U2 L2 U'
U2 R2 L' B' D U F2
U2 R2 L' B' D2 R2 U
L U2 B L' B' L' U
R U2 B D L' U F
L U2 B' L' B' L' U
R2 U2 B2 L' R' B U
R2 U2 B2 R' L' B U
R2 U2 B2 R' B L' U
L U2 B2 L' B' L' U
R' D L D' F' U' B2
R' D L D2 F' R2 U'
R' D L F' U' D' B2
R' D L F' U2 L2 U
R' D L F' D' U' B2
R' D L F' D2 R2 U'
R U2 B2 R' B' L' U
R D L U2 L2 B U
R D L U2 B L2 U
R D L D2 R2 F' U'
F R2 F L R F' U'
F' R2 F' L R F' U'
F' R2 F' R L F' U'
F R2 F R L F' U'
F' R2 F' R F' L U'
F R2 F R F' L U'
D' R2 F2 L R F' U'
D2 R2 F2 L R F' U'
D' R2 F2 R L F' U'
D2 R2 F2 R L F' U'
D' R2 F2 R F' L U'
D2 R2 F2 R F' L U'
D R2 F2 L R F' U'
D R2 F2 R L F' U'
D R2 F2 R F' L U'
L D R D R2 F' U'
L D R' D F' R2 U'
L D R' D2 F' U' B2
L D R' F' R2 U' B
L D R' F' U F' U2
U2 R2 B' L' B' R' U
U2 R2 B2 L' R' B' U
U2 R2 B2 R' L' B' U
L D U F' L' F' U2
L D U' B D2 B2 R'
L D U' B' R' D2 B2
L D U' B' D2 R' B2
U2 D L' U2 L2 F U'
U2 D L' D B' U F2
U2 D L' D2 R2 B' U
U2 D L' D2 B' R2 U
U2 D L' B' U D F2
U2 D L' B' U2 L2 U'
U2 D L' B' D U F2
U2 D L' B' D2 R2 U
R' D F' D' L U' B'
L D F U F U2 R
R' D F2 R F L U'
L D F' U F' L' U2
R' D' L D' F' U' B2
R' D' L D2 F' R2 U'
R' D' L F' U' D' B2
R' D' L F' U2 L2 U
R' D' L F' D' U' B2
R' D' L F' D2 R2 U'
R D' L U2 L2 B U
R D' L U2 B L2 U
R D' L D2 R2 F' U'
U2 D B' L' B' R' U
U2 D B2 L' R' B' U
L D' R U2 B U B
U2 D B2 R' L' B' U
L D' R D' R2 F' U'
L D' R' D' F' R2 U'
L D' R' F' R U' B2
L D' R' F' R' U' B2
L D' R' F' R2 U' B2
L D' R' F' U' B2 D
L D' R' F' U' B2 D'
L D' R' F' U' B2 D2
L D' R' F' D' R2 U'
U2 D' L' U2 L2 F U'
U2 D' L' D B' U F2
U2 D' L' D2 R2 B' U
U2 D' L' D2 B' R2 U
U2 D' L' B' U D F2
U2 D' L' B' U2 L2 U'
U2 D' L' B' D U F2
U2 D' L' B' D2 R2 U
L D' U F U2 R B2
L D' U F U2 B2 R
L D' U F' L' U2 B2
L D' U' R B' R' B'
L D' U' R' B' R' B'
L D' U' R2 B' R' B'
L D' U' B' R B' R2
L D' U' B' R' D B'
L D' U' B' R' D' B'
L D' U' B' R' D2 B'
L D' U' B' R' B' D
L D' U' B' R' B' D'
L D' U' B' R' B' D2
L D' U' B' R2 B' R
L D' U' B' D R' B'
L D' U' B' D' R' B'
L D' U' B' D2 R' B'
L D' U2 L' B' U B'
L D' U2 B' U B' R'
R' D' F' D' L U' B'
L D' F R' F' U' B2
L D' F U' B' R' B'
R' D' F2 R F L U'
L D' F' R' F' U' B2
L D' F' U' B' R' B'
L D' F2 R' F' U' B2
L D' F2 U' B' R' B'
R' D2 L D' F' U' B2
R' D2 L D2 F' R2 U'
R' D2 L F' U' D' B2
R' D2 L F' U2 L2 U
R' D2 L F' D' U' B2
R' D2 L F' D2 R2 U'
R2 D2 L U2 B' L2 U
U2 D' B' L' B' R' U
R D2 L U2 L2 B U
R D2 L U2 B L2 U
