F2 L' R' B' U' F
L' R' F2 B' U' F'
R' L' F2 B' U' F'
L' R' B' F2 U' F'
R' L' B' F2 U' F'
F2 R' L' B' U' F
F2 R' U' F' L' F
R' F2 L' B' U' F
R' F2 U' F' L' F
F2 R' B U' F' L' F
F2 R' B' L' B' U' F
F2 R' B' U' F' L' F
F2 R' B2 L' B' U' F
F2 R' B2 U' F' L' F
F2 R2 L' B' R U' F
F2 R2 D2 R U' F' L'
R' D F L' B' U' R2
F' U' F' R' U' L' F
R' F L' B' U' F R
L' F R' F B' U' F'
L' F R' B' F U' F'
L' F U R' F B' U'
L' F U R' B' F U'
L' F U F R' B' U'
R' F D F L' B' U'
F D R' F L' B' U'
R' F' L' F' B' U' F2
R' F' L' B' F' U' F2
F D F L' R' B' U'
F D F R' L' B' U'
F2 D' L' R' B' L U'
F2 D' R' L' B' L U'
U' F2 L' R' U' F L'
L2 F2 L R' B' U' F
R' F2 L' D B' U' F
R' F2 L' D' B' U' F
R' F2 L' D2 B' U' F
R' F2 L' B' U' D F
R' F2 L' B' U' D' F
R' F2 L' B' U' D2 F
R' F2 L' B' U' F D
R' F2 L' B' U' F D'
R' F2 L' B' U' F D2
R' F2 L' B' D U' F
R' F2 L' B' D' U' F
R' F2 L' B' D2 U' F
R F2 L' R2 B' U' F
U' F2 R' L' U' F L'
U' F2 R' U' L' F L'
U' F2 R' U' F L' F
R F2 L' B' R2 U' F
L' F2 R' D B' L U'
L2 F2 R' L B' U' F
D F2 R' U' R' F' L'
R' F2 U' L' F' L' F2
R F2 R2 L' B' U' F
R' F2 U' F' L' D F
R' F2 U' F' L' D' F
R' F2 U' F' L' D2 F
R' F2 U' F' L' F D
R' F2 U' F' L' F D'
R' F2 U' F' L' F D2
R' F2 U' F2 L' F L'
R F2 R2 U' F' L' F
R' F2 D' L' B' L U'
R' F2 B L' B' U' F
F2 D2 R' U B U2 L
R' F2 B U' F' L' F
R' F2 B' L' B' U' F
R' F2 B' U' F' L' F
R' F2 B2 L' B' U' F
R' F2 B2 U' F' L' F
R' B L' F2 B' U' F'
R' B L' B' F2 U' F'
F2 B L' B' R' U' F
R' B F2 L' B' U' F
R' B F2 U' F' L' F
F2 B U' F' L' F B'
F2 B U' F' L' B' F
R' B' L' F2 B' U' F'
R' B' L' B' F2 U' F'
R' B' F2 L' B' U' F
R' B' F2 U' F' L' F
D2 B2 L R F U F2
D2 B2 L F R U F'
R' B2 L' F2 B' U' F'
R' B2 L' B' F2 U' F'
D2 B2 R L F U F2
B F2 L' B' R' U' F
B F2 U' F' L' F B'
B F2 U' F' L' B' F
R' B2 F2 L' B' U' F
R' B2 F2 U' F' L' F
