D' R U2 L2 F' B
D' R U2 L2 B F'
D' R U2 F' L2 B
D' R U2 F' B L2
D' R U2 B L2 F'
D' R U2 B F' L2
D' R' F' B U2 L2
D' R' B F' U2 L2
D' R' F' B U2 L2 D
D' R' F' B U2 L2 D'
D' R' F' B U2 L2 D2
D' R' F' B D2 R2 U2
D' R' F' B2 U2 L2 F
B R' F' U F' U F
D R' F' D2 R' B U2
D' R' F2 B U2 L2 B'
D' R' B R2 U2 L2 B
D' R' B R2 U2 B L2
D' R' B D2 R2 U2 B
D' R' B D2 F' R2 U2
D' R' B F' R U2 L2
D' R' B F' R' U2 L2
D' R' B F' R2 U2 L2
D' R' B F' U2 L2 D
D' R' B F' U2 L2 D'
D' R' B F' U2 L2 D2
D' R' B F' D2 R2 U2
D' R' B F2 U2 L2 B'
D' R' B2 F' U2 L2 F
R U2 B U' R' F2 U
R U2 B U' F2 R' U
U2 D L D2 L2 F B'
U2 D L D2 L2 B' F
U2 D L' D2 F B' L2
U2 D L' D2 B' F L2
U2 D L' F D2 B' L2
U2 D L' F B' D2 L2
U2 D L' B' D2 F L2
U2 D L' B' F D2 L2
B U R' F' L' F' U
F' U D F' L' U F
F' U D2 F' L' R U
F' U D2 F' R L' U
L' D' L2 F2 R F' B
L' D' L2 F2 R B F'
F' U F' D L' U F
B U F' L' F' R' U
B U F2 D R' U B
U2 D' L' D2 B' L' F
U2 D' L' B' D2 L' F
R' D' F' R U2 L2 F'
R' D' F' R U2 F' L2
R' D' F' R' B U2 L2
F U' L2 B' L R' U'
F U' L2 B' R' L U'
L D' F2 L2 R F' B
L D' F2 L2 R B F'
L D' F2 R L2 F' B
L D' F2 R L2 B F'
L D' F2 R F' L2 B
L D' F2 R F' B L2
L D' F2 R B L2 F'
L D' F2 R B F' L2
D' U2 L' D2 B' L' F
D U2 L D2 L2 F B'
D U2 L D2 L2 B' F
D' U2 L' B' D2 L' F
D U2 L' D2 F B' L2
D U2 L' D2 B' F L2
D U2 L' F D2 B' L2
D U2 L' F B' D2 L2
D U2 L' B' D2 F L2
D U2 L' B' F D2 L2
B' U2 L' D' B' L2 F
D' F R U2 L2 F' B
D' F R U2 L2 B F'
D' F R U2 F' L2 B
D' F R U2 F' B L2
D' F R U2 B L2 F'
D' F R U2 B F' L2
D' F R' F' B U2 L2
D' F R' B F' U2 L2
F' D U F' L' U F
D' F' R U2 L2 F' B
D' F' R U2 L2 B F'
D' F' R U2 F' L2 B
D' F' R U2 F' B L2
D' F' R U2 B L2 F'
D' F' R U2 B F' L2
U F' L' D2 F' R U
D' F' R' F' B U2 L2
D' F' R' B F' U2 L2
R' F' U D2 F' R U
U F' D L' F' U F2
R' F' D2 U F' R U
R' F' B U F' R' U
U F' D2 L' F' R U
D' F2 R U2 L2 F' B
D' F2 R U2 L2 B F'
D' F2 R U2 F' L2 B
D' F2 R U2 F' B L2
D' F2 R U2 B L2 F'
D' F2 R U2 B F' L2
D' F2 R' F' B U2 L2
D' F2 R' B F' U2 L2
F' D2 U F' L' R U
F' D2 U F' R L' U
L F2 B R' U R2 B
D' B R U2 L2 F' B
D' B R U2 L2 B F'
D' B R U2 F' L2 B
D' B R U2 F' B L2
D' B R U2 B L2 F'
D' B R U2 B F' L2
D' B R' F' B U2 L2
D' B R' B F' U2 L2
R2 B U R' F2 U B
U' B U2 L R' F2 U
U' B U2 L F2 R' U
U' B U2 R' L F2 U
U' B U2 R' F2 L U
R2 B U F2 R' U B
U' B U2 F2 L R' U
U' B U2 F2 R' L U
R B U R' F2 L' U
U' B D2 B2 L R' U'
U' B D2 B2 R' L U'
R' B F' U F' R' U
U' B' L R' U' D' L2
U' B' L R' U2 F2 U
U' B' L R' D' U' L2
U' B' L R' D2 B2 U'
F' B U F' L' R' U
F' B U F' R' L' U
U' B' L D' R' U' L2
U' B' L D2 R' B2 U'
L B F2 R' U R2 B
U2 B' L' D' B' L2 F
D' B' R U2 L2 F' B
D' B' R U2 L2 B F'
D' B' R U2 F' L2 B
D' B' R U2 F' B L2
D' B' R U2 B L2 F'
D' B' R U2 B F' L2
U' B' R' L U' D' L2
U' B' R' L U2 F2 U
U' B' R' L D' U' L2
U' B' R' L D2 B2 U'
U' B' R' D' L U' L
U' B' R' D2 L B2 U'
D' B' R' F' B U2 L2
D' B' R' B F' U2 L2
U' B' D' L R' U' L
U' B' D' R' L U' L
U' B' D2 L R' B2 U'
U' B' D2 R' L B2 U'
B F' U F' L' R' U
B F' U F' R' L' U
D' B2 R U2 L2 F' B
D' B2 R U2 L2 B F'
D' B2 R U2 F' L2 B
D' B2 R U2 F' B L2
D' B2 R U2 B L2 F'
D' B2 R U2 B F' L2
D' B2 R' F' B U2 L2
D' B2 R' B F' U2 L2
