R' U F' B2 U' B'
R' U B2 F' U' B'
B2 R' F' U' F B
B2 R' F' U' B F
R2 D L2 R B R'
R2 D R L2 B R'
R2 D R B L2 R'
R2 D R B R' L2
R' F' B2 U' F B'
R' F' B2 U' B' F
R' B U F' B U'
R' B U B F' U'
R' B2 F' U' F B'
R' B2 F' U' B' F
R' B U F' B U' D'
R' B U F' B U' D2
R' B U F' B D U'
R' B U F' B D' U'
R' B U F' B D2 U'
R' B U B D F' U'
R' B U B D' F' U'
R' B U B D2 F' U'
R' B U B F' U' D
R' B U B F' U' D'
R' B U B F' U' D2
R' B U B F' D U'
R' B U B F' D' U'
R' B U B F' D2 U'
R B R2 F' U F B
R B R2 F' U B F
R' B D U F' B U'
R' B D U B F' U'
R' B D' U F' B U'
R' B D' U B F' U'
R' B D2 U F' B U'
R' B D2 U B F' U'
U' B' L U R' B L
B2 F U' F' B' R' B
B2 F U' B' F' R' B
U' B' L2 F U R' B
U' B' U R' B D L2
R' B' U F' B' U' B'
R' B' U B' F' U' B'
B2 F' R' F' U' F2 B
B2 F' R' F' U' B F2
B2 F' U' F B' R' B
R B' D' R2 B D L2
B2 F' U' B' R' F B
B2 F' U' B' R' B F
B2 F' U' B' F R' B
L' B2 R' F' U' F B
L' B2 R' F' U' B F
R2 B2 R F' U' F B
R2 B2 R F' U' B F
L2 B2 R' F' U' F B
L2 B2 R' F' U' B F
U B2 R' F U' B R
L B2 R' F' U' F B
L B2 R' F' U' B F
F' B2 R' F' U' F2 B
F' B2 R' F' U' B F2
B2 F2 R' F' U' F' B
B2 F2 R' F' U' B F'
F2 B2 R' F' U' F' B
F2 B2 R' F' U' B F'
R' B2 D F' U' F B'
R' B2 D F' U' B' F
F' B2 U' F B' R' B
R' B2 D' F' U' F B'
R' B2 D' F' U' B' F
F' B2 U' B' R' F B
F' B2 U' B' R' B F
F' B2 U' B' F R' B
B2 F2 U' F2 B' R' B
B2 F2 U' B' R' F2 B
B2 F2 U' B' R' B F2
B2 F2 U' B' F2 R' B
F2 B2 U' F2 B' R' B
F2 B2 U' B' R' F2 B
F2 B2 U' B' R' B F2
F2 B2 U' B' F2 R' B
U B2 U2 B' U R' B
R' B2 D2 F' U' F B'
R' B2 D2 F' U' B' F
F B2 U' F' B' R' B
F B2 U' B' F' R' B
R' B2 F' R U' F B'
R' B2 F' R U' B' F
R' B2 F' R' U' F B'
R' B2 F' R' U' B' F
R' B2 F' R2 U' F B'
R' B2 F' R2 U' B' F
R' B2 F' U' D F B'
R' B2 F' U' D B' F
R' B2 F' U' D' F B'
R' B2 F' U' D' B' F
R' B2 F' U' D2 F B'
R' B2 F' U' D2 B' F
R' B2 F' U' F D B'
R' B2 F' U' F D' B'
R' B2 F' U' F D2 B'
R' B2 F' U' F B' D
R' B2 F' U' F B' D'
R' B2 F' U' F B' D2
R' B2 F' U' B' D F
R' B2 F' U' B' D' F
R' B2 F' U' B' D2 F
R' B2 F' U' B' F D
R' B2 F' U' B' F D'
R' B2 F' U' B' F D2
R' B2 F' D U' F B'
R' B2 F' D U' B' F
R' B2 F' D' U' F B'
R' B2 F' D' U' B' F
R' B2 F' D2 U' F B'
R' B2 F' D2 U' B' F
U B2 F R' U' B R2
U B2 F U' R' B R2
