B' L U' B2 U' B
B' L U2 D B' L2
B' L D U2 B' L2
B' L D' R2 U2 B'
B U B2 L U2 B'
B U' D2 R' F2 B
B U' D2 R' B F2
B U' D2 F2 R' B
B D2 U' R' F2 B
B D2 U' R' F2 B
B D2 U' R' B F2
B D2 U' F2 R' B
B U B2 L U2 D2 B'
B U B2 L U2 B' D
B U B2 L U2 B' D'
B U B2 L U2 B' D2
B U B2 L D U2 B'
B U B2 L D' U2 B'
B U B2 L D2 U2 B'
B U B2 L F U2 B'
B U B2 L F' U2 B'
B U B2 L F2 U2 B'
B U B2 L' F L2 U2
B U B2 F L U2 B'
B U B2 F' L U2 B'
B U B2 F2 L U2 B'
B U' D2 R' F2 D B
B U' D2 R' F2 D' B
B U' D2 R' F2 D2 B
B U' D2 R' F2 B D
B U' D2 R' F2 B D'
B U' D2 R' F2 B D2
B U' D2 R' B F2 D
B U' D2 R' B F2 D'
B U' D2 R' B F2 D2
B U' D2 F R' F B
B U' D2 F R' B F
B U' D2 F2 R' D B
B U' D2 F2 R' D' B
B U' D2 F2 R' D2 B
B U' D2 F2 R' B D
B U' D2 F2 R' B D'
B U' D2 F2 R' B D2
B U' F D2 R' F2 B
B U' F D2 R' B F2
B U' F D2 F2 R' B
B U' F' D2 R' F2 B
B U' F' D2 R' B F2
B U' F' D2 F2 R' B
B U' F2 D2 R' F2 B
B U' F2 D2 R' B F2
B U' F2 D2 F2 R' B
B' U' B2 U' D2 R' B
B' U' B2 D2 U' R' B
B U' B2 L U2 B' L'
B' D L U2 D' L B'
B' D L D' U2 L B'
B D L2 U' D R' B
B D L2 D U' R' B
B D L2 F' R U' R2
B D F' L2 R U' R2
B D F' R L2 U' R2
R2 F' U' B' L U2 B'
B' D' R2 D L U2 B'
B D2 L U' R' F2 B
B D2 L U' R' B F2
B D2 L U' F2 R' B
B D2 L' U' R' F2 B
B D2 L' U' R' B F2
B D2 L' U' F2 R' B
B D2 L2 U' R' F2 B
B D2 L2 U' R' B F2
B D2 L2 U' F2 R' B
B D2 R U' R2 F2 B
B D2 R U' R2 B F2
B D2 U R' F2 L' B
B D2 U R' F2 B L'
B D2 U R' B F2 L'
B D2 U' R' F2 D B
B D2 U' R' F2 D' B
B D2 U' R' F2 D2 B
B D2 U' R' F2 B D
B D2 U' R' F2 B D'
B D2 U' R' F2 B D2
B D2 U' R' B F2 D
B D2 U' R' B F2 D'
B D2 U' R' B F2 D2
B D2 U' F R' F B
B D2 U' F R' B F
B D2 U' F2 R' D B
B D2 U' F2 R' D' B
B D2 U' F2 R' D2 B
B D2 U' F2 R' B D
B D2 U' F2 R' B D'
B D2 U' F2 R' B D2
L B L U' R' F B2
L B L U' R' B2 F
L B L U' F R' B2
B D2 F U' R' F B
B D2 F U' R' B F
B D2 F U' F R' B
B D2 F' U' F' R' B
U' B U B2 L U2 B'
U' B U' D2 R' F2 B
U' B U' D2 R' B F2
U' B U' D2 F2 R' B
B' F L U' B2 U' B
B' F L U2 D B' L2
U2 B U B2 L U2 B'
B' F L D U2 B' L2
B' F L D' R2 U2 B'
U2 B U' D2 R' F2 B
U2 B U' D2 R' B F2
U2 B U' D2 F2 R' B
L2 B U' F R' D B2
U B U B2 L U2 B'
U B U' D2 R' F2 B
U B U' D2 R' B F2
U B U' D2 F2 R' B
U' B D2 U' R' F2 B
U' B D2 U' R' B F2
U' B D2 U' F2 R' B
U2 B D2 U' R' F2 B
U2 B D2 U' R' B F2
U2 B D2 U' F2 R' B
U B D2 U' R' F2 B
U B D2 U' R' B F2
U B D2 U' F2 R' B
U' B' L U' B2 U' B
U' B' L U2 D B' L2
U' B' L D U2 B' L2
U' B' L D' R2 U2 B'
F' B U B2 L U2 B'
F2 B U B2 L U2 B'
F' B U' D2 R' F2 B
F' B U' D2 R' B F2
F' B U' D2 F2 R' B
F2 B U' D2 R' F2 B
F2 B U' D2 R' B F2
F2 B U' D2 F2 R' B
U2 B' L U' B2 U' B
U2 B' L U2 D B' L2
U2 B' L D U2 B' L2
U2 B' L D' R2 U2 B'
B F U B2 L U2 B'
R2 B' L U F' U B'
F B U B2 L U2 B'
B F U' D2 R' F2 B
B F U' D2 R' B F2
B F U' D2 F2 R' B
U B' L U' B2 U' B
F B U' D2 R' F2 B
F B U' D2 R' B F2
F B U' D2 F2 R' B
U B' L U2 D B' L2
U B' L D U2 B' L2
U B' L D' R2 U2 B'
R B' L U2 D B' L
R B' L D U2 B' L
F' B D2 U' R' F2 B
F' B D2 U' R' B F2
F' B D2 U' F2 R' B
F2 B D2 U' R' F2 B
F2 B D2 U' R' B F2
F2 B D2 U' F2 R' B
B' F' L U' B2 U' B
B' F' L U2 D B' L2
B' F' L D U2 B' L2
B' F' L D' R2 U2 B'
F' B' L U' B2 U' B
F' B' L U2 D B' L2
F' B' L D U2 B' L2
F' B' L D' R2 U2 B'
F2 B' L U' B2 U' B
B F D2 U' R' F2 B
B F D2 U' R' B F2
F2 B' L U2 D B' L2
B F D2 U' F2 R' B
F2 B' L D U2 B' L2
F2 B' L D' R2 U2 B'
F B D2 U' R' F2 B
F B D2 U' R' B F2
F B D2 U' F2 R' B
F B' L U' B2 U' B
F B' L U2 D B' L2
F B' L D U2 B' L2
F B' L D' R2 U2 B'
B F' U B2 L U2 B'
B F' U' D2 R' F2 B
B F' U' D2 R' B F2
B F' U' D2 F2 R' B
B' F2 L U' B2 U' B
B' F2 L U2 D B' L2
B' F2 L D U2 B' L2
B' F2 L D' R2 U2 B'
B F' D2 U' R' F2 B
B F' D2 U' R' B F2
B F' D2 U' F2 R' B
B F2 U B2 L U2 B'
B F2 U' D2 R' F2 B
B F2 U' D2 R' B F2
B F2 U' D2 F2 R' B
B F2 D2 U' R' F2 B
B F2 D2 U' R' B F2
B F2 D2 U' F2 R' B
