B2 L R D' F' B2
B2 L R D' B2 F'
B2 L R F' D' B2
B2 L R F' D' B2
B2 L' U L2 R F'
B2 L' U R L2 F'
B2 L' U R F' L2
R' U L' U R2 F'
L' U R D2 L2 F'
L' U R D2 F' L2
L' U R F' D2 L2
B2 R L D' F' B2
B2 R L D' B2 F'
B2 R L F' D' B2
L' U' R' U2 R2 F'
L' U' R' B U2 R2
B2 R F' D' L B'
R' B U L' U R2
L' B2 U L R F'
L' B2 U R L F'
L' B2 U R F' L
L' U R D2 L2 D2 F'
L' U R D2 L2 F' D
L' U R D2 L2 F' D'
L' U R D2 L2 F' D2
L' U R D2 F L2 F2
L' U R D2 F' L2 D
L' U R D2 F' L2 D'
L' U R D2 F' L2 D2
L' U R F' L D2 L2
L' U R F' L' D2 L2
L' U R F' L2 D2 L2
L' U R F' U2 R2 U2
L' U R F' D2 L2 D
L' U R F' D2 L2 D'
L' U R F' D2 L2 D2
L' U R F2 D2 F L2
L' U R' B U2 R2 B'
L' U R' B U2 B' R2
L' U R2 F' R' F' L'
L' U R2 F2 L' R' F'
L' U R2 F2 R' L' F'
B2 R L U' L2 U F'
B2 R L D' F' B2 D
B2 R L D' F' B2 D'
B2 R L D' F' B2 D2
B2 R L D' B2 D F'
B2 R L D' B2 D' F'
B2 R L D' B2 D2 F'
B2 R L D' B2 F' D
B2 R L D' B2 F' D'
B2 R L D' B2 F' D2
B2 R L D2 F' D B2
B2 R L F' U' L2 U
B2 R L F' D' B2 D
B2 R L F' D' B2 D'
B2 R L F' D' B2 D2
B2 R L F' B D' B2
B2 R L F' B' D' B2
B2 R L F' B2 D' B2
B2 R L F2 D' F B2
B2 R L F2 D' B2 F
B2 R L B D' F' B2
B2 R L B D' B2 F'
B2 R L B F' D' B2
B2 R L B' D' F' B2
B2 R L B' D' B2 F'
B2 R L B' F' D' B2
B2 R L B2 D' F' B2
B2 R L B2 D' B2 F'
B2 R L B2 F' D' B2
B2 R L' F' L2 D' B2
F2 R U L' R2 B U2
F2 R U R2 L' B U2
F2 R U R2 B L' U2
B2 R U' L' U L2 F'
B2 R U' L' U F' L2
B2 R D L D' F' B2
B2 R D L D' B2 F'
B2 R D L F' D' B2
L' U B2 L R F' B2
L' U B2 L R B2 F'
L' U B2 L B2 R F'
L' U B2 R L F' B2
L' U B2 R L B2 F'
L' U B2 R F' L B2
B2 R D F' D' L B'
B2 R D' L D' F' B2
B2 R D' L D' B2 F'
B2 R D' L F' D' B2
L' U' L R' U2 R2 F'
L' U' L R' B U2 R2
B2 R D' F' D' L B'
B2 R D2 L D' F' B2
B2 R D2 L D' B2 F'
B2 R D2 L F' D' B2
L' U' L' R' U2 R2 F'
L' U' L' R' B U2 R2
B2 R D2 F' D' L B'
R U' L' U D2 L2 F'
R U' L' U D2 F' L2
R U' L' U F' D2 L2
L' U' L2 R' U2 R2 F'
L' U' L2 R' B U2 R2
R U' L' U' R2 B U2
R U' L' D' F2 U F
R U' L' D2 U L2 F'
R U' L' D2 U F' L2
B2 R F' D' L D B'
B2 R F' D' L D' B'
B2 R F' D' L D2 B'
B2 R F' D' L B' D
B2 R F' D' L B' D'
B2 R F' D' L B' D2
B' R F' B' D' L B'
L' U' R D2 F' L2 B'
L' U' R F' D2 L2 B'
B R F' D' B L B'
B R F' B D' L B'
L' U' R' L U2 R2 F'
L' U' R' L B U2 R2
L' U' R' L' U2 R2 F'
L' U' R' L' B U2 R2
L' U' R' L2 U2 R2 F'
L' U' R' L2 B U2 R2
L' U' R' U2 R2 D F'
L' U' R' U2 R2 D' F'
L' U' R' U2 R2 D2 F'
L' U' R' U2 R2 F' D
L' U' R' U2 R2 F' D'
L' U' R' U2 R2 F' D2
L' U' R' U2 F R2 F'
L' U' R' U2 F' R2 F'
L' U' R' U2 F2 R2 F'
L' U' R' D2 L2 B U2
L' U' R' D2 B L2 U2
L' U' R' B L U2 R2
L' U' R' B L' U2 R2
L' U' R' B L2 U2 R2
L' U' R' B U2 R2 D
L' U' R' B U2 R2 D'
L' U' R' B U2 R2 D2
L' U' R' B D2 L2 U2
B R B L D' F' B2
B R B L D' B2 F'
B R B L F' D' B2
B' R B' L D' F' B2
B' R B' L D' B2 F'
B' R B' L F' D' B2
B R B F' D' L B'
B' R B' F' D' L B'
R U' D' L' F2 U F
B2 R' L' U L2 R2 F'
B2 R' L' U R2 L2 F'
B2 R' L' U R2 F' L2
R U' D2 L' U L' F'
F2 R' L' U' R2 U' F'
F2 R' L' D B U2 B
F2 R' L' D' F2 B U2
F2 R' L' D' B F2 U2
F2 R' L' B U' R2 U'
F2 R' L' B U2 D B2
F2 R' L' B D U2 B2
F2 R' L' B D' F2 U2
D2 R' U L' U R2 F
D2 R' U L' U F R2
U' R' U L' U R2 F'
U2 R' U L' U R2 F'
R' U' F2 R U' R F'
U R' U L' U R2 F'
L' U' B U2 R F' L'
F2 R' D L' B U2 B
L' U' B2 U2 L R F'
L' U' B2 U2 R L F'
L' U' B2 U2 R F' L
F2 R' D B L' U2 B
F2 R' D' L' F2 B U2
F2 R' D' L' B F2 U2
F2 R' D' F2 B U2 R
F2 R' D' B L' F2 U2
F2 R' D' B F2 U2 R
R' U2 L' U L R2 F'
R' U2 L' U R2 L F'
R' U2 L' U R2 F' L
F2 R' B L' U' R2 U'
F2 R' B L' U2 D B2
F2 R' B L' D U2 B2
F2 R' B L' D' F2 U2
U' R' B U L' U R2
R' U2 R2 U' L' U F'
U2 R' B U L' U R2
F2 R' B D L' U2 B2
F2 R' B D' L' F2 U2
F2 R' B D' F2 U2 R
U R' B U L' U R2
R U2 R2 B U L' U
B2 R2 L D' R' F' B2
B2 R2 L D' R' B2 F'
L' U2 B2 U' L R F'
L' U2 B2 U' R L F'
L' U2 B2 U' R F' L
B2 U L R D' F' B2
B2 U L R D' B2 F'
B2 U L R F' D' B2
B2 U L' U L2 R F'
B2 U L' U R L2 F'
B2 U L' U R F' L2
B U L' U R F' L'
B2 U R L D' F' B2
B2 U R L D' B2 F'
B2 U R L F' D' B2
B2 U R F' D' L B'
R' D B U L' B U
R' D B U B L' U
R D' L D' L2 F' B2
R D' L D' L2 B2 F'
R D' L D' F' L2 B2
R D' L D' F' B2 L2
R D' L D' B2 L2 F'
R D' L D' B2 F' L2
B2 U' L R D' F' B2
B2 U' L R D' B2 F'
B2 U' L R F' D' B2
R D' U' L' F2 U F
B2 U' L' U L2 R F'
B2 U' L' U R L2 F'
B2 U' L' U R F' L2
B2 U' R L D' F' B2
B2 U' R L D' B2 F'
B2 U' R L F' D' B2
B2 U' R F' D' L B'
R' D' B U' F2 R U'
F U' R' F' B U2 R
F U' R' B F' U2 R
L D' B2 L D R F'
L D' B2 D L R F'
L D' B2 D R L F'
L D' B2 D R F' L
R D2 L D' L F' B2
R D2 L D' L B2 F'
R D2 L D' F' L B2
R D2 L F' D' L B2
R D2 L2 U' L U F'
R D2 L2 F' U' L U
B2 U2 L R D' F' B2
B2 U2 L R D' B2 F'
B2 U2 L R F' D' B2
R D2 U' L' U L' F'
B2 U2 L' U L2 R F'
B2 U2 L' U R L2 F'
B2 U2 L' U R F' L2
B2 U2 R L D' F' B2
B2 U2 R L D' B2 F'
B2 U2 R L F' D' B2
R D2 F' L D' L B'
R' D2 B L2 U L U
B2 U2 R F' D' L B'
B2 D L D' R F' B2
B2 D L D' R B2 F'
B2 D L D' B2 R F'
R2 F' D R' F' L' B
R2 F' D R' F' B L'
R2 F' D R' B F' L'
R F' D' L D' B' L2
R F' D' L B' D' L2
R F' D' L' D' L2 B'
R F' D2 L D L B'
R2 F2 L' R' D F' B2
R2 F2 L' R' D B2 F'
R2 F2 L' R' F' D B2
R2 F2 R U' L' R2 F'
R2 F2 R U' R2 L' F'
R2 F2 R' L' D F' B2
R2 F2 R' L' D B2 F'
R2 F2 R' L' F' D B2
R2 F2 R' D L' F' B2
R2 F2 R' D L' B2 F'
R2 F2 R' D B2 L' F'
R' F2 U' R U' R F'
L' F2 U' L' R' B U2
L' F2 U' R' L' B U2
L' F2 U' R' B L' U2
B' D2 L' U R F L'
B2 D2 L' U R F L2
R' F2 B U' R U' R
R' B L U L2 U R2
R' B L U2 R2 D' B2
R' B L' U2 R2 D B2
R' B L2 U L U R2
R' B U L' U R2 D
R' B U L' U R2 D'
R' B U L' U R2 D2
R' B U L' D B2 U
R' B U L' B U R2
R' B U L' B' U R2
R' B U L' B2 U R2
R' B U D L' B2 U
R' B U D B2 L' U
R' B U B L' U R2
R' B U B' L' U R2
R' B U B2 L' U R2
R' B U' D' F2 R U'
R' B U' F2 R U' R
R' B U2 R2 U' L' U
R' B D U L' B2 U
R' B D U B2 L' U
R' B D' U' F2 R U'
R' B D2 L2 U L U
R' B F2 U' R U' R
U' B2 L R D' F' B2
U' B2 L R D' B2 F'
U' B2 L R F' D' B2
U' B2 L' U L2 R F'
U' B2 L' U R L2 F'
U' B2 L' U R F' L2
L2 B2 L R D F' B2
L2 B2 L R D B2 F'
L2 B2 L R F' D B2
U2 B2 L R D' F' B2
U2 B2 L R D' B2 F'
U2 B2 L R F' D' B2
D2 B2 L' U R F L2
U2 B2 L' U L2 R F'
U2 B2 L' U R L2 F'
U2 B2 L' U R F' L2
U B2 L R D' F' B2
U B2 L R D' B2 F'
U B2 L R F' D' B2
U' B2 R L D' F' B2
U' B2 R L D' B2 F'
U' B2 R L F' D' B2
U' B2 R F' D' L B'
U B2 L' U L2 R F'
U B2 L' U R L2 F'
U B2 L' U R F' L2
L2 B2 R L D F' B2
L2 B2 R L D B2 F'
L2 B2 R L F' D B2
U2 B2 R L D' F' B2
U2 B2 R L D' B2 F'
U2 B2 R L F' D' B2
L2 B2 R D L F' B2
L2 B2 R D L B2 F'
L2 B2 R D F' L B2
L' B2 R' U L R2 F'
L' B2 R' U R2 L F'
L' B2 R' U R2 F' L
L B2 L2 U L' R F'
L B2 L2 U R L' F'
L2 B2 R F' L D B2
L2 B2 R F' D L B2
U2 B2 R F' D' L B'
L2 B2 R' U' L R2 F'
L2 B2 R' U' R2 L F'
L2 B2 R' U' R2 F' L
U B2 R L D' F' B2
U B2 R L D' B2 F'
U B2 R L F' D' B2
L B2 R D' L F' B2
L B2 R D' L B2 F'
L B2 R D' F' L B2
L B2 R F' D' L B2
U B2 R F' D' L B'
L' B2 U L R D F'
L' B2 U L R D' F'
L' B2 U L R D2 F'
L' B2 U L R F' D
L' B2 U L R F' D'
L' B2 U L R F' D2
L' B2 U L' R F' L2
L' B2 U R L D F'
L' B2 U R L D' F'
L' B2 U R L D2 F'
L' B2 U R L F' D
L' B2 U R L F' D'
L' B2 U R L F' D2
L' B2 U R L' F' L2
L' B2 U R D L F'
L' B2 U R D F' L
L' B2 U R D' L F'
L' B2 U R D' F' L
L' B2 U R D2 L F'
L' B2 U R D2 F' L
L' B2 U R F L F2
L' B2 U R F' L D
L' B2 U R F' L D'
L' B2 U R F' L D2
L' B2 U R F' D L
L' B2 U R F' D' L
L' B2 U R F' D2 L
