F2 L' R2 U F'
F2 L' U' B U2
F2 R2 L' U F'
F2 L' R2 U D F'
F2 L' R2 U D' F'
F2 L' R2 U D2 F'
F2 L' R2 U F' D
F2 L' R2 U F' D'
F2 L' R2 U F' D2
F2 L' R2 D U F'
F2 L' R2 D' U F'
F2 L' R2 D2 U F'
F2 L' U R2 F' R2
F2 L' U' D B U2
F2 L' U' D' B U2
F2 L' U' D2 B U2
F2 L' U' B U2 D
F2 L' U' B U2 D'
F2 L' U' B U2 D2
F2 L' U' B D U2
F2 L' U' B D' U2
F2 L' U' B D2 U2
F2 L' D R2 U F'
F2 L' D U' B U2
F2 L' D' R2 U F'
F2 L' D' U' B U2
F2 L' D2 R2 U F'
F2 L' D2 U' B U2
F2 R D2 L' U F
F2 R2 L' U D F'
F2 R2 L' U D' F'
F2 R2 L' U D2 F'
F2 R2 L' U F' D
F2 R2 L' U F' D'
F2 R2 L' U F' D2
F2 R2 L' D U F'
F2 R2 L' D' U F'
F2 R2 L' D2 U F'
F2 R2 D L' U F'
F2 R2 D' L' U F'
F2 R2 D2 L' U F'
F R2 F L' U F2
B U F2 B' L' U
B U B' F2 L' U
F2 U' B U L' U
F2 D L' R2 U F'
F2 D L' U' B U2
F2 D R2 L' U F'
F2 D' L' R2 U F'
F2 D' L' U' B U2
L' F2 L' R2 U F'
L' F2 L' U' B U2
F2 D' R2 L' U F'
L2 F2 L' R2 U F'
L2 F2 L' U' B U2
L F2 L' R2 U F'
L F2 L' U' B U2
L' F2 R2 L' U F'
L2 F2 R2 L' U F'
L F2 R2 L' U F'
R2 F2 U2 R' U' F
F2 D2 L' R2 U F'
F2 D2 L' U' B U2
F2 D2 R2 L' U F'
U' B U F2 L' U
F2 L' R2 D2 U F' D'
F2 L' R2 D2 U F' D2
F2 L' U R2 F R2 F2
F2 L' U R2 F' R2 D
F2 L' U R2 F' R2 D'
F2 L' U R2 F' R2 D2
F2 L' U R2 F2 R2 F
F2 L' U D R2 F' R2
F2 L' U D' R2 F' R2
F2 L' U D2 R2 F' R2
F2 L' U F R2 F' R2
F2 L' U F U2 B U2
F2 L' U F' R2 F' R2
F2 L' U F' U2 B U2
F2 L' U F2 R2 F' R2
F2 L' U F2 U2 B U2
F2 L' U B' D2 F2 B
F2 L' U B' D2 B F2
F2 L' U' L B L' U2
F2 L' U' L2 B L2 U2
F2 L' U' D B U2 D
F2 L' U' D B U2 D'
F2 L' U' D B U2 D2
F2 L' U' D B D U2
F2 L' U' D B D' U2
F2 L' U' D B D2 U2
F2 L' U' D' B U2 D
F2 L' U' D' B U2 D'
F2 L' U' D' B U2 D2
F2 L' U' D' B D U2
F2 L' U' D' B D' U2
F2 L' U' D' B D2 U2
F2 L' U' D2 B U2 D
F2 L' U' D2 B U2 D'
F2 L' U' D2 B U2 D2
F2 L' U' D2 B D U2
F2 L' U' D2 B D' U2
F2 L' U' D2 B D2 U2
F2 L' U' B' U2 D2 F2
F2 L' U' B' D2 U2 F2
F2 L' U' B2 D B' U2
F2 L' U' B2 D' B' U2
F2 L' U' B2 D2 B' U2
F2 L' U2 L U B U2
F2 L' U2 L' U B U2
F2 L' U2 L2 U B U2
F2 L' D R2 U D F'
F2 L' D R2 U D' F'
F2 L' D R2 U D2 F'
F2 L' D R2 U F' D
F2 L' D R2 U F' D'
F2 L' D R2 U F' D2
F2 L' D R2 D U F'
F2 L' D R2 D' U F'
F2 L' D R2 D2 U F'
F2 L' D U R2 F' R2
F2 L' D U' B U2 D
F2 L' D U' B U2 D'
F2 L' D U' B U2 D2
F2 L' D U' B D U2
F2 L' D U' B D' U2
F2 L' D U' B D2 U2
R2 L' F2 U2 R' U' F
F2 L' D' R2 U D F'
F2 L' D' R2 U D' F'
F2 L' D' R2 U D2 F'
F2 L' D' R2 U F' D
F2 L' D' R2 U F' D'
F2 L' D' R2 U F' D2
F2 L' D' R2 D U F'
F2 L' D' R2 D' U F'
F2 L' D' R2 D2 U F'
F2 L' D' U R2 F' R2
F2 L' D' U' B U2 D
F2 L' D' U' B U2 D'
F2 L' D' U' B U2 D2
F2 L' D' U' B D U2
F2 L' D' U' B D' U2
F2 L' D' U' B D2 U2
F2 L' D2 R2 U D F'
F2 L' D2 R2 U D' F'
F2 L' D2 R2 U D2 F'
F2 L' D2 R2 U F' D
F2 L' D2 R2 U F' D'
F2 L' D2 R2 U F' D2
F2 L' D2 R2 D U F'
F2 L' D2 R2 D' U F'
F2 L' D2 R2 D2 U F'
F2 L' D2 U R2 F' R2
F2 L' D2 U' B U2 D
F2 L' D2 U' B U2 D'
F2 L' D2 U' B U2 D2
F2 L' D2 U' B D U2
F2 L' D2 U' B D' U2
F2 L' D2 U' B D2 U2
F' L' F' L' R2 U F'
F' L' F' L' U' B U2
F' L' F' R2 L' U F'
F2 L' F' R2 F U F2
B2 L' F2 L' B2 U F
F2 L' F2 R2 F2 U F
B2 L' F2 B2 L' U F
F2 L' B' D' B R2 U
F2 L' B' D2 B U F2
B2 L' B2 F2 L' U F
F2 L2 R2 D L U F'
F2 L2 R2 D' L U F'
F2 L2 R2 D2 L U F'
L' R2 F2 U2 R' U' F
L2 R2 F2 U2 R' U' F
R2 L2 F2 U2 R' U' F
L R2 F2 U2 R' U' F
F2 L2 D L R2 U F'
F2 L2 D L U' B U2
F2 L2 D R2 L U F'
F2 L2 D' L R2 U F'
F2 L2 D' L U' B U2
F2 L2 D' R2 L U F'
F2 L2 D2 L R2 U F'
F2 L2 D2 L U' B U2
F2 L2 D2 R2 L U F'
F' L2 F' L' R2 U F'
F' L2 F' L' U' B U2
F' L2 F' R2 L' U F'
B2 L2 F2 L' B2 U F'
B2 L2 F2 B2 L' U F'
B2 L2 B2 F2 L' U F'
F2 R L' U R F' R'
D R U R U2 F' R'
B2 R U' D' L2 R2 F
B2 R U' D' L2 F R2
B2 R U' D' R2 L2 F
U2 R U2 R F2 U F
U2 R U2 F2 R U F'
B R U2 F2 B' U F2
B R U2 B' F2 U F2
B2 R D' U' L2 R2 F
B2 R D' U' L2 F R2
B2 R D' U' R2 L2 F
F2 R D2 L' R U F
F2 R D2 L' R' U F
F2 R D2 L' R2 U F
F2 R D2 L' U D F
F2 R D2 L' U D' F
F2 R D2 L' U D2 F
F2 R D2 L' U F D
F2 R D2 L' U F D'
F2 R D2 L' U F D2
F2 R D2 L' D U F
F2 R D2 L' D' U F
F2 R D2 L' D2 U F
U2 R D2 L' B2 U' F
F2 R D2 R L' U F
F2 R D2 R' L' U F
F2 R D2 R2 L' U F
U2 R D2 B2 L' U' F
F R F L' R U F'
F R F R L' U F'
F R F D2 L' U F
F2 R' L' U2 L U' F
F2 R' L' D R' U F'
F2 R' L' D' R' U F'
F2 R' L' D2 R' U F'
L' U' B U F2 L' U
L2 U' B U F2 L' U
L U' B U F2 L' U
F2 R' D L' R' U F'
F2 R' D R' L' U F'
F2 R' D' L' R' U F'
F2 R' D' R' L' U F'
F2 R' D2 L' R' U F'
F2 R' D2 R' L' U F'
F R' F L' R' U F'
F R' F R' L' U F'
F2 R2 L U D' F' B2
F2 R2 L U D' B2 F'
F2 R2 L U F' D' B2
F2 R2 L D' U F' B2
F2 R2 L D' U B2 F'
F2 R2 L' U L' F' L
F2 R2 L' U L2 F' L2
F2 R2 L' U D F' D
F2 R2 L' U D F' D'
F2 R2 L' U D F' D2
F2 R2 L' U D' F' D
F2 R2 L' U D' F' D'
F2 R2 L' U D' F' D2
F2 R2 L' U D2 F' D
F2 R2 L' U D2 F' D'
F2 R2 L' U D2 F' D2
F2 R2 L' U F2 D F
F2 R2 L' U F2 D' F
F2 R2 L' U F2 D2 F
F2 R2 L' U' B U2 F'
F2 R2 L' U' B' U2 F'
F2 R2 L' U' B2 U2 F'
F2 R2 L' U2 L U' F'
F2 R2 L' U2 L' U' F'
F2 R2 L' U2 L2 U' F'
F2 R2 L' D U F' D
F2 R2 L' D U F' D'
F2 R2 L' D U F' D2
F2 R2 L' D' U F' D
F2 R2 L' D' U F' D'
F2 R2 L' D' U F' D2
F2 R2 L' D2 U F' D
F2 R2 L' D2 U F' D'
F2 R2 L' D2 U F' D2
F2 R2 L2 D L U F'
F2 R2 L2 D' L U F'
F2 R2 L2 D2 L U F'
F2 R2 D L' U D F'
F2 R2 D L' U D' F'
F2 R2 D L' U D2 F'
F2 R2 D L' U F' D
F2 R2 D L' U F' D'
F2 R2 D L' U F' D2
F2 R2 D L' D U F'
F2 R2 D L' D' U F'
F2 R2 D L' D2 U F'
F2 R2 D' L' U D F'
F2 R2 D' L' U D' F'
F2 R2 D' L' U D2 F'
F2 R2 D' L' U F' D
F2 R2 D' L' U F' D'
F2 R2 D' L' U F' D2
F2 R2 D' L' D U F'
F2 R2 D' L' D' U F'
F2 R2 D' L' D2 U F'
F2 R2 D2 L' U D F'
F2 R2 D2 L' U D' F'
F2 R2 D2 L' U D2 F'
F2 R2 D2 L' U F' D
F2 R2 D2 L' U F' D'
F2 R2 D2 L' U F' D2
F2 R2 D2 L' D U F'
F2 R2 D2 L' D' U F'
F2 R2 D2 L' D2 U F'
F R2 F L' R U F2
F R2 F L' R' U F2
F R2 F L' R2 U F2
F R2 F L' U F2 D
F R2 F L' U F2 D'
F R2 F L' U F2 D2
F R2 F L' D R2 U
F R2 F R L' U F2
F R2 F R' L' U F2
F R2 F R2 L' U F2
F R2 F D L' R2 U
F R2 F D R2 L' U
R' D R' U F' B2 L
R' D R' U B2 L F'
R' D R' U B2 F' L
F2 R2 B' L' B U F'
F2 R2 B2 L' B2 U F'
B U L F2 L' B' U
U2 D R U R U2 F'
U' D B R2 U' R' U'
B U F2 D B' L' U
B U F2 D' B' L' U
B U F2 D2 B' L' U
B U F2 B L' B2 U
B U F2 B' L' U D
B U F2 B' L' U D'
B U F2 B' L' U D2
B U F2 B' L' D U
B U F2 B' L' D' U
B U F2 B' L' D2 U
B U F2 B' D L' U
B U F2 B' D' L' U
B U F2 B' D2 L' U
B U F2 B2 L' B U
B U B F2 L' B2 U
B U B' L F2 L' U
B U B' L' F2 L' U
B U B' L2 F2 L' U
B U B' F2 L' U D
B U B' F2 L' U D'
B U B' F2 L' U D2
B U B' F2 L' D U
B U B' F2 L' D' U
B U B' F2 L' D2 U
B U B' F2 D L' U
B U B' F2 D' L' U
B U B' F2 D2 L' U
B U B2 F2 L' B U
B U' R U2 F2 B' U
B U' R U2 B' F2 U
D' U' B U' R U' L2
U' D' B U' R U' L2
D2 U' B U' B R U'
F2 U' D B U L' U
F2 U' D' B U L' U
D U' B R2 U' R' U'
F2 U' D2 B U L' U
U2 D' B2 R U' L2 F
F2 U' F2 B U' R U'
F' U' B U F' L' U
F2 U' B U L' U D
F2 U' B U L' U D'
F2 U' B U L' U D2
F2 U' B U L' D U
F2 U' B U L' D' U
F2 U' B U L' D2 U
F2 U' B U D L' U
F2 U' B U D' L' U
F2 U' B U D2 L' U
F2 U' B D U L' U
F2 U' B D' U L' U
F2 U' B D2 U L' U
F2 U' B F2 U' R U'
F U' B U F L' U
D U2 R U R U2 F'
F2 U2 L D2 R2 U' F'
F2 U2 L' U B U2 B'
U' D2 B U' B R U'
F2 U2 R2 U2 L' U F'
D' U2 B2 R U' L2 F
D2 U2 B2 L2 R U' F
D2 U2 B2 R L2 U' F
D2 U2 B2 R U B' U2
U2 D2 B2 L2 R U' F
U2 D2 B2 R L2 U' F
U2 D2 B2 R U B' U2
B U2 F2 B' L' U F2
L' F R2 F L' U F2
L2 F R2 F L' U F2
L F R2 F L' U F2
B U2 B' F2 L' U F2
F2 D L' R2 U D F'
F2 D L' R2 U D' F'
F2 D L' R2 U D2 F'
F2 D L' R2 U F' D
F2 D L' R2 U F' D'
F2 D L' R2 U F' D2
F2 D L' R2 D U F'
F2 D L' R2 D' U F'
F2 D L' R2 D2 U F'
F2 D L' U R2 F' R2
F2 D L' U' D B U2
F2 D L' U' D' B U2
F2 D L' U' D2 B U2
F2 D L' U' B U2 D
F2 D L' U' B U2 D'
F2 D L' U' B U2 D2
F2 D L' U' B D U2
F2 D L' U' B D' U2
F2 D L' U' B D2 U2
F2 D L' D R2 U F'
F2 D L' D U' B U2
F2 D L' D' R2 U F'
F2 D L' D' U' B U2
F2 D L' D2 R2 U F'
F2 D L' D2 U' B U2
F2 D R D2 L' U F
U' F B U F L' U
F2 D R2 L' U D F'
F2 D R2 L' U D' F'
F2 D R2 L' U D2 F'
F2 D R2 L' U F' D
F2 D R2 L' U F' D'
F2 D R2 L' U F' D2
F2 D R2 L' D U F'
F2 D R2 L' D' U F'
F2 D R2 L' D2 U F'
F2 D R2 D L' U F'
F2 D R2 D' L' U F'
F2 D R2 D2 L' U F'
F2 D U' B U L' U
F' D F' L' R2 U F'
F' D F' L' U' B U2
F' D F' R2 L' U F'
F2 D' L' R2 U D F'
F2 D' L' R2 U D' F'
F2 D' L' R2 U D2 F'
F2 D' L' R2 U F' D
F2 D' L' R2 U F' D'
F2 D' L' R2 U F' D2
F2 D' L' R2 D U F'
F2 D' L' R2 D' U F'
F2 D' L' R2 D2 U F'
F2 D' L' U R2 F' R2
F2 D' L' U' D B U2
F2 D' L' U' D' B U2
F2 D' L' U' D2 B U2
F2 D' L' U' B U2 D
F2 D' L' U' B U2 D'
F2 D' L' U' B U2 D2
F2 D' L' U' B D U2
F2 D' L' U' B D' U2
F2 D' L' U' B D2 U2
F2 D' L' D R2 U F'
F2 D' L' D U' B U2
F2 D' L' D' R2 U F'
F2 D' L' D' U' B U2
F2 D' L' D2 R2 U F'
F2 D' L' D2 U' B U2
B2 D' R U' L2 R F
B2 D' R U' R L2 F
F2 D' R D2 L' U F
F2 D' R2 L' U D F'
F2 D' R2 L' U D' F'
F2 D' R2 L' U D2 F'
F2 D' R2 L' U F' D
F2 D' R2 L' U F' D'
F2 D' R2 L' U F' D2
F2 D' R2 L' D U F'
F2 D' R2 L' D' U F'
F2 D' R2 L' D2 U F'
F2 D' R2 D L' U F'
F2 D' R2 D' L' U F'
F2 D' R2 D2 L' U F'
U' F2 L' U' L B U2
F2 D' U' B U L' U
D' F2 L' R2 U L' F'
L' F2 L' R2 U D F'
L' F2 L' R2 U D' F'
L' F2 L' R2 U D2 F'
L' F2 L' R2 U F' D
L' F2 L' R2 U F' D'
L' F2 L' R2 U F' D2
D' F2 L' U' B U2 L'
L' F2 L' R2 D U F'
L' F2 L' R2 D' U F'
L' F2 L' R2 D2 U F'
L' F2 L' U R2 F' R2
L' F2 L' U' D B U2
L' F2 L' U' D' B U2
L' F2 L' U' D2 B U2
L' F2 L' U' B U2 D
L' F2 L' U' B U2 D'
L' F2 L' U' B U2 D2
L' F2 L' U' B D U2
L' F2 L' U' B D' U2
L' F2 L' U' B D2 U2
L' F2 L' D R2 U F'
L' F2 L' D U' B U2
L' F2 L' D' R2 U F'
L' F2 L' D' U' B U2
L' F2 L' D2 R2 U F'
L' F2 L' D2 U' B U2
L2 F2 L' R2 U D F'
L2 F2 L' R2 U D' F'
L2 F2 L' R2 U D2 F'
L2 F2 L' R2 U F' D
L2 F2 L' R2 U F' D'
L2 F2 L' R2 U F' D2
L2 F2 L' R2 D U F'
L2 F2 L' R2 D' U F'
L2 F2 L' R2 D2 U F'
U2 F2 L' U D R2 F'
L2 F2 L' U R2 F' R2
L2 F2 L' U' D B U2
L2 F2 L' U' D' B U2
L2 F2 L' U' D2 B U2
L2 F2 L' U' B U2 D
L2 F2 L' U' B U2 D'
L2 F2 L' U' B U2 D2
L2 F2 L' U' B D U2
L2 F2 L' U' B D' U2
L2 F2 L' U' B D2 U2
U2 F2 L' D U R2 F'
L2 F2 L' D R2 U F'
L2 F2 L' D U' B U2
L2 F2 L' D' R2 U F'
L2 F2 L' D' U' B U2
L2 F2 L' D2 R2 U F'
L2 F2 L' D2 U' B U2
R2 F2 L' U2 R' U' F'
D F2 L' U' R2 U2 F'
D F2 L' U' B R2 U2
F' D' F' L' R2 U F'
F' D' F' L' U' B U2
U F2 L' R2 U F' R2
F' D' F' R2 L' U F'
L F2 L' R2 U D F'
L F2 L' R2 U D' F'
L F2 L' R2 U D2 F'
L F2 L' R2 U F' D
L F2 L' R2 U F' D'
L F2 L' R2 U F' D2
L F2 L' R2 D U F'
L F2 L' R2 D' U F'
L F2 L' R2 D2 U F'
L F2 L' U R2 F' R2
L F2 L' U' D B U2
L F2 L' U' D' B U2
L F2 L' U' D2 B U2
L F2 L' U' B U2 D
L F2 L' U' B U2 D'
L F2 L' U' B U2 D2
L F2 L' U' B D U2
L F2 L' U' B D' U2
L F2 L' U' B D2 U2
L F2 L' D R2 U F'
L F2 L' D U' B U2
L F2 L' D' R2 U F'
L F2 L' D' U' B U2
L F2 L' D2 R2 U F'
L F2 L' D2 U' B U2
L' F2 R D2 L' U F
L2 F2 R D2 L' U F
R2 F2 R U D F B2
R2 F2 R U D B2 F
R2 F2 R U F D B2
R2 F2 R U2 R2 U' F
R2 F2 R D U F B2
R2 F2 R D U B2 F
D' F2 R2 L' U L' F'
L' F2 R2 L' U D F'
L' F2 R2 L' U D' F'
L' F2 R2 L' U D2 F'
L' F2 R2 L' U F' D
L' F2 R2 L' U F' D'
L' F2 R2 L' U F' D2
L' F2 R2 L' D U F'
L' F2 R2 L' D' U F'
L' F2 R2 L' D2 U F'
L' F2 R2 D L' U F'
L F2 R D2 L' U F
L' F2 R2 D' L' U F'
L' F2 R2 D2 L' U F'
L2 F2 R2 L' U D F'
L2 F2 R2 L' U D' F'
L2 F2 R2 L' U D2 F'
L2 F2 R2 L' U F' D
L2 F2 R2 L' U F' D'
L2 F2 R2 L' U F' D2
L2 F2 R2 L' D U F'
L2 F2 R2 L' D' U F'
L2 F2 R2 L' D2 U F'
L2 F2 R2 D L' U F'
L2 F2 R2 D' L' U F'
L2 F2 R2 D2 L' U F'
R2 F2 R2 U2 R U' F
U F2 R2 L' U F' R2
L F2 R2 L' U D F'
L F2 R2 L' U D' F'
L F2 R2 L' U D2 F'
L F2 R2 L' U F' D
L F2 R2 L' U F' D'
L F2 R2 L' U F' D2
L F2 R2 L' D U F'
L F2 R2 L' D' U F'
L F2 R2 L' D2 U F'
L F2 R2 D L' U F'
L F2 R2 D' L' U F'
L F2 R2 D2 L' U F'
R2 F2 U F U R' U'
R' F2 U2 L R2 U' F
L' F2 U' B U L' U
R' F2 U2 R2 L U' F
L2 F2 U' B U L' U
F2 D2 L' R2 U D F'
F2 D2 L' R2 U D' F'
F2 D2 L' R2 U D2 F'
F2 D2 L' R2 U F' D
F2 D2 L' R2 U F' D'
F2 D2 L' R2 U F' D2
R' F2 D R' U F' B2
R' F2 D R' U B2 F'
F2 D2 L' R2 D U F'
F2 D2 L' R2 D' U F'
F2 D2 L' R2 D2 U F'
L' F2 D L' R2 U F'
L' F2 D L' U' B U2
F2 D2 L' U R2 F' R2
F2 D2 L' U' D B U2
F2 D2 L' U' D' B U2
F2 D2 L' U' D2 B U2
F2 D2 L' U' B U2 D
F2 D2 L' U' B U2 D'
F2 D2 L' U' B U2 D2
F2 D2 L' U' B D U2
F2 D2 L' U' B D' U2
F2 D2 L' U' B D2 U2
F2 D2 L' D R2 U F'
F2 D2 L' D U' B U2
L' F2 D R2 L' U F'
R2 F2 U2 R' U' D F
R2 F2 U2 R' U' D' F
R2 F2 U2 R' U' D2 F
R2 F2 U2 R' U' F D
R2 F2 U2 R' U' F D'
R2 F2 U2 R' U' F D2
R2 F2 U2 R' D U' F
R2 F2 U2 R' D' U' F
R2 F2 U2 R' D2 U' F
F2 D2 L' D' R2 U F'
F2 D2 L' D' U' B U2
F2 D2 L' D2 R2 U F'
F2 D2 L' D2 U' B U2
R2 F2 U2 D R' U' F
R2 F2 U2 D' R' U' F
R2 F2 U2 D2 R' U' F
L F2 U' B U L' U
L2 F2 D L' R2 U F'
U2 F2 D L' U R2 F'
L2 F2 D L' U' B U2
L2 F2 D R2 L' U F'
L' F2 D' L' R2 U F'
L' F2 D' L' U' B U2
L' F2 D' R2 L' U F'
R2 F2 D U2 R' U' F
L2 F2 D' L' R2 U F'
L2 F2 D' L' U' B U2
R' F2 D2 L2 R' U F'
L F2 D L' R2 U F'
L F2 D L' U' B U2
L2 F2 D' R2 L' U F'
R' F2 D2 R' L2 U F'
L' F2 D2 L' R2 U F'
L' F2 D2 L' U' B U2
L F2 D R2 L' U F'
L' F2 D2 R2 L' U F'
F2 D2 R D2 L' U F
R2 F2 D' U2 R' U' F
L2 F2 D2 L' R2 U F'
L2 F2 D2 L' U' B U2
L F2 D' L' R2 U F'
U' F2 B U L' U L
L F2 D' L' U' B U2
L2 F2 D2 R2 L' U F'
L F2 D' R2 L' U F'
R2 F2 D2 U2 R' U' F
L F2 D2 L' R2 U F'
L F2 D2 L' U' B U2
F2 D2 R2 L' U D F'
F2 D2 R2 L' U D' F'
F2 D2 R2 L' U D2 F'
F2 D2 R2 L' U F' D
F2 D2 R2 L' U F' D'
F2 D2 R2 L' U F' D2
F2 D2 R2 L' D U F'
F2 D2 R2 L' D' U F'
F2 D2 R2 L' D2 U F'
L F2 D2 R2 L' U F'
F2 D2 R2 D L' U F'
F2 D2 R2 D' L' U F'
F2 D2 R2 D2 L' U F'
F2 D2 U' B U L' U
F' D2 F' L' R2 U F'
F' D2 F' L' U' B U2
F' D2 F' R2 L' U F'
U' B R' D R2 U2 B2
U2 B R U2 F2 U F2
U' B R' D' F2 U2 L2
U' B U L F2 L' U
U' B U L' F2 L' U
U' B U L2 F2 L' U
U' B U F2 L' U D
U' B U F2 L' U D'
U' B U F2 L' U D2
U' B U F2 L' D U
U' B U F2 L' D' U
U' B U F2 L' D2 U
U' B U F2 D L' U
U' B U F2 D' L' U
U' B U F2 D2 L' U
U' B U' R U' D' L2
U' B U' R U2 F2 U
U' B U' R D' U' L2
U' B U' R D2 B2 U'
L' B U F2 B' L' U
L' B U B' F2 L' U
U' B U' D' R U' L2
U' B U' D2 R B2 U'
U' B U' D2 B2 R U'
L2 B U F2 B' L' U
L2 B U B' F2 L' U
L B U F2 B' L' U
L B U B' F2 L' U
U' B D R2 U' R' U'
U2 B U2 F2 L' U F2
U' B D' U' R U' L2
U' B D2 U' R B2 U'
U' B D2 U' B2 R U'
U' B F U F L' U
U' B F2 U L' U L
F2 B U B' L' U L
B F U F B' L' U
B F U B' F L' U
F B U F B' L' U
F B U B' F L' U
U2 B' R D2 B2 U' F2
U2 B' R D2 B2 U' F2
F2 B' L' D' B R2 U
F2 B' L' D2 B U F2
F2 B' L' B R2 U F'
F2 B' L' B U' B U2
U2 B' D2 R B2 U' F2
U2 B' D2 B2 R U' F2
F2 B' D' L' B R2 U
F2 B' D' B L' R2 U
F2 B' D' B R2 L' U
R2 B2 L F2 B2 U F
F2 B' D2 L' B U F2
R2 B2 L B2 F2 U F
F2 B' D2 B L' U F2
B' F2 L' D' B R2 U
B' F2 L' D2 B U F2
B' F2 L' B R2 U F'
B' F2 L' B U' B U2
U2 B2 R U' D' L2 F
U2 B2 R D' U' L2 F
B F2 U B' L' U L
U2 B2 D' R U' L2 F
B' F2 D' L' B R2 U
B' F2 D' B L' R2 U
B' F2 D' B R2 L' U
B' F2 D2 L' B U F2
B' F2 D2 B L' U F2
