U L R' F U R2
U' L R' F' U R2
R' L F' U L' R2
R' L F' U R2 L'
L R' F' U L' R2
L R' F' U R2 L'
U' R' L F' U R2
U R' L F U R2
U' R' F' L U R2
R' F' L U L2 R2
R' F' L U R2 L2
R F' L' D' F2 B2
R F' L' D' B2 F2
L R' B2 F' U R2 L'
R2 U L R F U R2
R' U L F U F' R2
R U L F R2 B U
R2 U R L F U R2
U R L F R2 U R2
U' R U' L R2 F' U
U2 R U' L R2 F U
U2 R U' L F R2 U
U' R U' R2 L F' U
U' R U' R2 F' L U
U2 R U' R2 L F U
R U' L R' F' R' U
L2 U' L' R' F' U R2
L' U' L2 R' F' U R2
D2 R F' L' D' F2 B2
D2 R F' L' D' B2 F2
D' R F' L' D' F2 B2
D' R F' L' D' B2 F2
B2 R F' L' D F2 B2
B2 R F' L' D B2 F2
D R F' L' D' F2 B2
D R F' L' D' B2 F2
L' U' R' L2 F' U R2
L2 U' R' L' F' U R2
L' U' R' F' L2 U R2
R U' R' L F' R' U
R U' R' F' L R' U
R U' R' F' R' L U
U' R' L D F' B2 U
U' R' L D B2 F' U
D2 R' L F' U L' R2
D2 R' L F' U R2 L'
D' R' L F' U L' R2
D' R' L F' U R2 L'
F' R' L F U L2 R
F' R' L F U R L2
U' R' L F' U R2 D
U' R' L F' U R2 D'
U' R' L F' U R2 D2
U' R' L F' D B2 U
U' R' L F' B U R2
U' R' L F' B' U R2
U' R' L F' B2 U R2
U' R' L B F' U R2
B2 R' L F' U' L' R2
B2 R' L F' U' R2 L'
U' R' L B' F' U R2
U' R' L B2 F' U R2
U2 R' L B U L R2
D R' L F' U L' R2
U2 R' L B U R2 L
D R' L F' U R2 L'
U R' L D F B2 U
U R' L D B2 F U
U R' L F U R2 D
U R' L F U R2 D'
U R' L F U R2 D2
U R' L F D B2 U
U R' L F B U R2
U' R' L' F' L2 U R2
U R' L F B' U R2
U R' L F B2 U R2
U R' L B F U R2
U R' L B' F U R2
U R' L B2 F U R2
U' R' D L F' B2 U
U' R' D L B2 F' U
U' R' D F' L B2 U
U R' D L F B2 U
U R' D L B2 F U
F R' D' L F2 B' U
F R' D' L B' F2 U
F R' D' F2 L B' U
U' R' F L F2 U R2
D2 R' F' L U L2 R2
D2 R' F' L U R2 L2
D' R' F' L U L2 R2
D' R' F' L U R2 L2
U R' F L F U R2
U' R' F' L U R2 D
U' R' F' L U R2 D'
U' R' F' L U R2 D2
U' R' F' L D B2 U
U' R' F' L B U R2
U' R' F' L B' U R2
U' R' F' L B2 U R2
B2 R' F' L U' L2 R2
B2 R' F' L U' R2 L2
D R' F' L U L2 R2
D R' F' L U R2 L2
U' R' F' D L B2 U
U R' F' L F U R2
U R' F2 L F U R2
L U2 B U' L R F
L U2 B U' R L F
R' D L F' B2 U L'
R' D L B2 F' U L'
L D R' F' U L' R2
L D R' F' U R2 L'
D' U L R' F U R2
D2 U L R' F U R2
U' D L R' F' U R2
D U L R' F U R2
U D L R' F U R2
R' D F' L B2 U L2
D' U R' L F U R2
D2 U R' L F U R2
U' D R' L F' U R2
U' D R' F' L U R2
D U R' L F U R2
U D R' L F U R2
D' U' L R' F' U R2
U' D' L R' F' U R2
D2 U' L R' F' U R2
L D' R' F' U L' R2
L D' R' F' U R2 L'
D U' L R' F' U R2
U D' L R' F U R2
U' D' R' L F' U R2
D' U' R' L F' U R2
D2 U' R' L F' U R2
U' D' R' F' L U R2
D' U' R' F' L U R2
D2 U' R' F' L U R2
D U' R' L F' U R2
U D' R' L F U R2
D U' R' F' L U R2
R D' F' L' D' F' B2
R D' F' L' D' B2 F'
R D' F' L' F' D' B2
U' D2 L R' F' U R2
U D2 L R' F U R2
U' D2 R' L F' U R2
L D2 R' F' U L' R2
L D2 R' F' U R2 L'
U' D2 R' F' L U R2
U D2 R' L F U R2
U' F L R' F' U R
R' F L U' R U2 R
R' F L F2 U L' R2
R' F L F2 U R2 L'
R F L' D' F2 L' B2
R F L' D' F2 B2 L'
R F L' D' B2 F2 L'
U' F R' L F' U R
U' F R' F' L U R
R F D' F2 L' D' B2
R' F' L U L2 R2 D
R' F' L U L2 R2 D'
R' F' L U L2 R2 D2
R' F' L U R2 L2 D
R' F' L U R2 L2 D'
R' F' L U R2 L2 D2
R' F' L D F2 B2 U
R' F' L D B2 F2 U
R' F' L F U L2 R2
R' F' L F U R2 L2
R' F' L F' U L2 R2
R' F' L F' U R2 L2
R' F' L F2 U L2 R2
R' F' L F2 U R2 L2
R' F' L B U L2 R2
R' F' L B U R2 L2
R' F' L B' U L2 R2
R' F' L B' U R2 L2
R' F' L B2 U L2 R2
R' F' L B2 U R2 L2
R' F' L' R2 D' F2 B2
R' F' L' R2 D' B2 F2
U F' L R' F U R
R F' L R2 U L2 R2
R F' L R2 U R2 L2
U F' L F R' U R2
R F' L' U' L2 R2 U
R F' L' U' R2 L2 U
R F' L' D' F2 B2 D
R F' L' D' F2 B2 D'
R F' L' D' F2 B2 D2
R F' L' D' B2 F2 D
R F' L' D' B2 F2 D'
R F' L' D' B2 F2 D2
R F' L' F D' F2 B2
R F' L' F D' B2 F2
R F' L' F' D' F2 B2
R F' L' F' D' B2 F2
R F' L' F2 D' F2 B2
R F' L' F2 D' B2 F2
R F' L' B D' F2 B2
R F' L' B D' B2 F2
R F' L' B' D' F2 B2
R F' L' B' D' B2 F2
R F' L' B2 D' F2 B2
R F' L' B2 D' B2 F2
R' F' R2 L' D' F2 B2
R' F' R2 L' D' B2 F2
U F' R' L F U R
R' F' U L' R2 D' B2
R' F' U R2 L' D' B2
R F' R2 L U L2 R2
R F' R2 L U R2 L2
R' F' D L B2 U L2
R F' U' L R2 U L2
R F' U' R2 L U L2
R F' D' L' F2 D' B2
R' F2 L F U L' R2
R' F2 L F U R2 L'
L' B' D' R F' L' B2
L' B' D' R F' B2 L'
L' B' D' R B2 F' L'
L' B' D' B2 R F' L'
