F' L2 B U R' F2
F' L2 B U F2 R'
B R' D' F L' B2
B R' D' F B2 L'
B R' D' B2 F L'
L2 F' U' B' L U2
F' B L2 U R' F2
F' B L2 U F2 R'
B F R' D' L2 B2
B F R' D' B2 L2
F B R' D' L2 B2
F B R' D' B2 L2
B' F D' B2 L2 R'
B' F D' B2 R' L2
B F D' L2 R' B2
B F D' R' L2 B2
B F D' R' B2 L2
F B D' L2 R' B2
F B D' R' L2 B2
F B D' R' B2 L2
F' B' L2 U F2 R
B' F' L2 U F2 R
B F' L2 U R' F2
B F' L2 U F2 R'
F B' D' B2 L2 R'
F B' D' B2 R' L2
U' F B R' D' B2 L2
D F D' B L2 R' B'
D F D' B R' L2 B'
D F D' B2 L2 B' R'
U' F B D' L2 R' B2
U' F B D' R' L2 B2
U' F B D' R' B2 L2
U2 F B R' D' L2 B2
U2 F B R' D' B2 L2
U' F B' D' B2 L2 R'
U' F B' D' B2 R' L2
U2 F B D' L2 R' B2
U2 F B D' R' L2 B2
U2 F B D' R' B2 L2
U F B R' D' L2 B2
U F B R' D' B2 L2
U2 F B' D' B2 L2 R'
U2 F B' D' B2 R' L2
U F B D' L2 R' B2
U F B D' R' L2 B2
U F B D' R' B2 L2
U F B' D' B2 L2 R'
U F B' D' B2 R' L2
L F' L U' B' L U2
U' F' L2 B U R' F2
U' F' L2 B U F2 R'
B2 D F D' L2 B' R'
B D F R' D' L2 B'
B D F D' L2 R' B'
B D F D' R' L2 B'
U2 F' L2 B U R' F2
U2 F' L2 B U F2 R'
L2 F' R U' B' L U2
U F' L2 B U R' F2
U F' L2 B U F2 R'
D' F' R' B U F2 B
D' F' R' B U B F2
L2 F' R' U' B' L U2
D2 F' R2 U' R' F2 L'
L2 F' R2 U' B' L U2
D2 F' U2 R2 U' R' F2
D2 F' U2 R2 U' F2 R'
L2 F' U' B' L U2 D
L2 F' U' B' L U2 D'
L2 F' U' B' L U2 D2
L2 F' U' B' L D U2
L2 F' U' B' L D' U2
L2 F' U' B' L D2 U2
L2 F' U' B' D L U2
L2 F' U' B' D' L U2
L2 F' U' B' D2 L U2
D2 F' D R2 U R' B2
U' F' B L2 U R' F2
U' F' B L2 U F2 R'
F D' L2 B D B R'
U' F' B' L2 U F2 R
U2 F' B L2 U R' F2
U2 F' B L2 U F2 R'
L2 F' B U R' D2 F2
L2 F' B U D2 R' F2
L2 F' B U D2 F2 R'
L2 F' B U' B2 L U2
L2 F' B D' R2 U R
L2 F' B D2 U R' F2
L2 F' B D2 U F2 R'
U2 F' B' L2 U F2 R
B D' R' B2 D' F L'
U F' B L2 U R' F2
U F' B L2 U F2 R'
U F' B' L2 U F2 R
B' D' F B2 R' D' L2
B' D' F B2 D' L2 R'
B' D' F B2 D' R' L2
B' D' F' U F2 B2 R'
B' D' F' U B2 R' F2
B' D' F' U B2 F2 R'
B D' F R' B2 D' L2
B D' F' U R' F2 B2
B D' F' U R' B2 F2
B D' F' U F2 R' B2
F D' B L2 D B R'
B' D' B2 R' D' F L'
B' D' B2 F R' D' L2
B' D' B2 F D' L2 R'
B' D' B2 F D' R' L2
B D2 R2 B U' R F
B D2 F D R' B2 L
U' B R' D' F L' B2
U' B R' D' F B2 L'
U' B R' D' B2 F L'
U2 B R' D' F L' B2
U2 B R' D' F B2 L'
U2 B R' D' B2 F L'
U B R' D' F L' B2
U B R' D' F B2 L'
U B R' D' B2 F L'
R B R' F D' L2 B2
R B R' F D' B2 L2
R2 B U' R' D' F B2
R2 B U' R' D' B2 F
R2 B U' R' F D' B2
R2 B U' D' R' F B2
R2 B U' D' R' B2 F
R2 B U' D' F R' B2
R2 B U' F R' D' B2
R2 B U' F D' R' B2
F' B L2 R U R2 F2
F' B L2 R U F2 R2
F' B L2 R2 U R F2
F' B L2 U R F2 R2
F' B L2 U R' F2 D
F' B L2 U R' F2 D'
F' B L2 U R' F2 D2
F' B L2 U F R' F
F' B L2 U F2 R' D
F' B L2 U F2 R' D'
F' B L2 U F2 R' D2
F' B L2 U F2 D R'
F' B L2 U F2 D' R'
F' B L2 U F2 D2 R'
B' F L2 F2 U R F2
F' B L2 D R2 U R
R' B D' R' F L' B2
R' B D' R' F B2 L'
R' B D' R' B2 F L'
R' B D' F L' R' B2
R' B D' F R' L' B2
R' B D' F R' B2 L'
F' B R L2 U R2 F2
F' B R L2 U F2 R2
B' F R D' B2 L2 R'
B' F R D' B2 R' L2
L2 B D' F' R2 U R
B F L2 F2 U R' F2
B F L2 F2 U F2 R'
R2 B D' U' R' F B2
R2 B D' U' R' B2 F
R2 B D' U' F R' B2
B' F R' D' B2 L2 R'
B' F R' D' B2 R' L2
U' B F R' D' L2 B2
U' B F R' D' B2 L2
F B L2 F2 U R' F2
F B L2 F2 U F2 R'
U' B F D' L2 R' B2
U' B F D' R' L2 B2
U' B F D' R' B2 L2
F' B R' F2 D' L2 B2
F' B R' F2 D' B2 L2
L2 B D2 F' U F' R'
U' B F' L2 U R' F2
U' B F' L2 U F2 R'
R2 B D2 R2 U' R F
F' B R2 L2 U R F2
B' F R2 D' B2 L2 R'
B' F R2 D' B2 R' L2
B F R' U' L2 F2 U
U2 B F R' D' L2 B2
U2 B F R' D' B2 L2
B F R' U' F2 L2 U
B F R' D' L' B2 L'
B F R' D' L2 B2 D
B F R' D' L2 B2 D'
B F R' D' L2 B2 D2
B F R' D' B L2 B
B F R' D' B2 L2 D
B F R' D' B2 L2 D'
B F R' D' B2 L2 D2
U2 B F D' L2 R' B2
U2 B F D' R' L2 B2
U2 B F D' R' B2 L2
F B R' U' L2 F2 U
F B R' U' F2 L2 U
B F R' B D' L2 B2
B F R' B D' B2 L2
B F R' B' D' L2 B2
B F R' B' D' B2 L2
U2 B F' L2 U R' F2
U2 B F' L2 U F2 R'
F B R' D' L' B2 L'
F B R' D' L2 B2 D
F B R' D' L2 B2 D'
F B R' D' L2 B2 D2
B F R' B2 D' L2 B2
B F R' B2 D' B2 L2
F B R' D' B L2 B
F B R' D' B2 L2 D
F B R' D' B2 L2 D'
F B R' D' B2 L2 D2
F' B U R' F2 D' B2
L2 B F' U R' D2 F2
L2 B F' U D2 R' F2
L2 B F' U D2 F2 R'
L2 B F' U' B2 L U2
F B R' B D' L2 B2
F B R' B D' B2 L2
F B R' B' D' L2 B2
F B R' B' D' B2 L2
B F R2 D' L2 R B2
B F R2 D' L2 B2 R
B F R2 D' R L2 B2
B F R2 D' R B2 L2
F B R' B2 D' L2 B2
F B R' B2 D' B2 L2
L2 B F' D' R2 U R
B F R2 D' B2 L2 R
B F R2 D' B2 R L2
U B F R' D' L2 B2
U B F R' D' B2 L2
L2 B F' D2 U R' F2
L2 B F' D2 U F2 R'
F' B U F2 R' D' B2
F' B U F2 D' R' B2
B' F U' L2 F2 U R
F B R2 D' L2 R B2
U B F D' L2 R' B2
F B R2 D' L2 B2 R
F B R2 D' R L2 B2
F B R2 D' R B2 L2
U B F D' R' L2 B2
U B F D' R' B2 L2
F B R2 D' B2 L2 R
F B R2 D' B2 R L2
U B F' L2 U R' F2
U B F' L2 U F2 R'
L2 B' L U L' F' U
B F U' L2 F2 U R'
F B U' L2 F2 U R'
B F U' F2 L2 U R'
F B U' F2 L2 U R'
B' F D' R B2 L2 R'
B' F D' R B2 R' L2
B' F D' R' B2 L2 R'
B' F D' R' B2 R' L2
B' F D' R2 B2 L2 R'
B' F D' R2 B2 R' L2
B2 F D' L2 B' R' B'
B' F D' B L2 B R'
B F D R' D2 B2 L
B' F D' B2 L2 R' D
B' F D' B2 L2 R' D'
B' F D' B2 L2 R' D2
B' F D' B2 L2 D R'
B' F D' B2 L2 D' R'
B' F D' B2 L2 D2 R'
B' F D' B2 R' L2 D
B' F D' B2 R' L2 D'
B' F D' B2 R' L2 D2
F B D R' D2 B2 L
B2 F D' B' R' B' L2
B F D' L' R' B2 L'
B F D' L2 R B2 R2
B F D' L2 R' B2 D
B F D' L2 R' B2 D'
B F D' L2 R' B2 D2
B F D' L2 R2 B2 R
B F D' R L2 B2 R2
B F D' R B2 L2 R2
B F D' R B2 R2 L2
B F D' R' L' B2 L'
B F D' R' L2 B2 D
B F D' R' L2 B2 D'
B F D' R' L2 B2 D2
B F D' R' B L2 B
B F D' R' B2 L2 D
B F D' R' B2 L2 D'
B F D' R' B2 L2 D2
B F D' R2 L2 B2 R
B F D' R2 B2 L2 R
B F D' R2 B2 R L2
F B D' L' R' B2 L'
F B D' L2 R B2 R2
F B D' L2 R' B2 D
F B D' L2 R' B2 D'
F B D' L2 R' B2 D2
F B D' L2 R2 B2 R
F B D' R L2 B2 R2
F B D' R B2 L2 R2
F B D' R B2 R2 L2
F B D' R' L' B2 L'
F B D' R' L2 B2 D
F B D' R' L2 B2 D'
F B D' R' L2 B2 D2
F B D' R' B L2 B
F B D' R' B2 L2 D
F B D' R' B2 L2 D'
F B D' R' B2 L2 D2
F B D' R2 L2 B2 R
F B D' R2 B2 L2 R
F B D' R2 B2 R L2
B' F' L2 R U F2 R
B' F' L2 R' U F2 R
B' F' L2 R2 U F2 R
B' F' L2 U R F2 R
B' F' L2 U R' F2 R
B' F' L2 U R2 F2 R
B' F' L2 U F2 R D
B' F' L2 U F2 R D'
B' F' L2 U F2 R D2
B' F' L2 U F2 D R
B' F' L2 U F2 D' R
B' F' L2 U F2 D2 R
B' F' L2 U' L' U2 F2
F' B' L2 R U F2 R
F' B' L2 R' U F2 R
F' B' L2 R2 U F2 R
F' B' L2 U R F2 R
F' B' L2 U R' F2 R
F' B' L2 U R2 F2 R
F' B' L2 U F2 R D
F' B' L2 U F2 R D'
F' B' L2 U F2 R D2
F' B' L2 U F2 D R
F' B' L2 U F2 D' R
F' B' L2 U F2 D2 R
F' B' L2 U' L' U2 F2
B' F' L2 B U F2 R
B' F' L2 B' U F2 R
B' F' L2 B2 U F2 R
B' F' R L2 U F2 R
F' B' L2 B U F2 R
F' B' L2 B' U F2 R
F' B' L2 B2 U F2 R
B2 F' L2 B' U R' F2
B2 F' L2 B' U F2 R'
F' B' R L2 U F2 R
B F' L2 R U R2 F2
B F' L2 R U F2 R2
B F' L2 R2 U R F2
B F' L2 U R F2 R2
B F' L2 U R' F2 D
B F' L2 U R' F2 D'
B F' L2 U R' F2 D2
B F' L2 U F R' F
B F' L2 U F2 R' D
B F' L2 U F2 R' D'
B F' L2 U F2 R' D2
B F' L2 U F2 D R'
B F' L2 U F2 D' R'
B F' L2 U F2 D2 R'
B F' L2 D R2 U R
B' F' R' L2 U F2 R
F' B' R' L2 U F2 R
B F' R L2 U R2 F2
B F' R L2 U F2 R2
F B' L2 F2 U R F2
B' F' R2 L2 U F2 R
F' B' R2 L2 U F2 R
F B' R D' B2 L2 R'
F B' R D' B2 R' L2
R' B' D' F B2 L' R'
R' B' D' F B2 R' L'
R' B' D' B2 R' F L'
R' B' D' B2 F L' R'
R' B' D' B2 F R' L'
B F' R' F2 D' L2 B2
B F' R' F2 D' B2 L2
F B' R' D' B2 L2 R'
F B' R' D' B2 R' L2
B F' R2 L2 U R F2
B' F' U F2 D' B2 R'
F' B' U F2 D' B2 R'
U' B' F D' B2 L2 R'
U' B' F D' B2 R' L2
F B' R2 D' B2 L2 R'
F B' R2 D' B2 R' L2
U' B' F' L2 U F2 R
B F' U R' F2 D' B2
B F' U F2 R' D' B2
B F' U F2 D' R' B2
U2 B' F D' B2 L2 R'
U2 B' F D' B2 R' L2
U2 B' F' L2 U F2 R
F B' U' L2 F2 U R
U B' F D' B2 L2 R'
U B' F D' B2 R' L2
U B' F' L2 U F2 R
F B' D' R B2 L2 R'
F B' D' R B2 R' L2
F B' D' R' B2 L2 R'
F B' D' R' B2 R' L2
F B' D' R2 B2 L2 R'
F B' D' R2 B2 R' L2
F B' D' B L2 B R'
F B' D' B2 L2 R' D
F B' D' B2 L2 R' D'
F B' D' B2 L2 R' D2
F B' D' B2 L2 D R'
F B' D' B2 L2 D' R'
F B' D' B2 L2 D2 R'
F B' D' B2 R' L2 D
F B' D' B2 R' L2 D'
F B' D' B2 R' L2 D2
F' B2 L2 B' U R' F2
F' B2 L2 B' U F2 R'
F B2 D' L2 B' R' B'
F B2 D' B' R' B' L2
