B2 L R' F' U' B
B2 L U' B' R' B
B2 R' L F' U' B
B2 R' F' L U' B
R' U2 F' B2 U' B'
R' U2 B2 F' U' B'
B2 D2 L U' B' R'
R B R2 F' U B
B2 F' L U' B' R' B
R' B' U2 F' B' U' B'
R' B' U2 B' F' U' B'
B2 F' R' L F' U' B
B2 F' R' F' L U' B
U' B2 L R' U' B R'
U' B2 L U' R' B R'
U' B2 L U' B R' B
L' B2 L R' F' U' B
L' B2 L U' B' R' B
L2 B2 L R' F' U' B
U2 B2 L R' F U' B
L2 B2 L U' B' R' B
U2 B2 L F R' U' B
B2 F' D2 L U' B' R'
L B2 L R' F' U' B
L B2 L U' B' R' B
F' B2 L R' F' U' B
B2 F2 L R' F' U' B
F' B2 L U' B' R' B
F2 B2 L R' F' U' B
B2 F2 L U' B' R' B
F2 B2 L U' B' R' B
U' B2 R' L U' B R'
L' B2 R' L F' U' B
F B2 L R' F' U' B
L' B2 R' F' L U' B
L2 B2 R' L F' U' B
F B2 L U' B' R' B
U2 B2 R' L F U' B
L2 B2 R' F' L U' B
L B2 R' L F' U' B
F' B2 R' L F' U' B
L B2 R' F' L U' B
B2 F2 R' L F' U' B
F2 B2 R' L F' U' B
F' B2 R' F' L U' B
B2 F2 R' F' L U' B
F2 B2 R' F' L U' B
F B2 R' L F' U' B
F B2 R' F' L U' B
L' B2 D2 L U' B' R'
R B2 U2 R2 B' U B2
R B2 U2 B' R2 U B
L2 B2 D2 L U' B' R'
U2 B2 D2 L F U' B'
L B2 D2 L U' B' R'
F' B2 D2 L U' B' R'
B2 F2 D2 L U' B' R'
F2 B2 D2 L U' B' R'
F B2 D2 L U' B' R'
