B' L U B U2 B'
B' L' D2 R2 U' F'
B L2 R' B2 U' F
B R B2 R2 U' F'
B R' L2 B2 U' F
B' R' U2 L U F
B R' U' D L2 F
B R' D U' L2 F
B R' B2 U B U2
B' R2 U2 L U F'
B' U2 L R2 U F'
B' U2 L U' B U2
B' U2 R2 L U F'
B D R' U' L2 F
U' B R' B2 U' R
B L2 R' B2 U' F D2
B L2 R' B2 D U' F
B L2 R' B2 D' U' F
B L2 R' B2 D2 U' F
B L2 R2 B2 R U' F
F' L2 U F B' L U
B' L2 U B U L' U
F' L2 U B' F L U
B' L2 U2 L' R2 U F'
B' L2 U2 L' U' B U2
B' L2 U2 R2 L' U F'
D2 L2 U2 F L' U F'
B L2 D R' U' F L2
U2 L2 D2 F L' U F'
U L2 D2 F L' U R2
B R L2 B2 R2 U' F
B R U' D L2 F B2
B R U' D L2 B2 F
B' R U2 L R U F'
B' R U2 R L U F'
B R D U' L2 F B2
B R D U' L2 B2 F
D' R F' U' F B' U'
D' R F' U' B' F U'
D' R B' R2 U' F' B
D' R B' R2 U' B F'
D' R B' U F' B U2
D' R B' U B F' U2
B R B2 L R2 U' F'
B R B2 L' R2 U' F'
B R B2 L2 R2 U' F'
B R B2 R2 L U' F'
B R B2 R2 L' U' F'
B R B2 R2 L2 U' F'
B R B2 R2 U' D F'
B R B2 R2 U' D' F'
B R B2 R2 U' D2 F'
B R B2 R2 U' F' D
B R B2 R2 U' F' D'
B R B2 R2 U' F' D2
B R B2 R2 D U' F'
B R B2 R2 D' U' F'
B R B2 R2 D2 U' F'
B R' L B2 L U' F
B R' L' B2 L' U' F
B R' L2 U' D F L2
B R' L2 U' F D L2
B R' L2 D U' F L2
B R' L2 B2 U' D F
B R' L2 B2 U' D' F
B R' L2 B2 U' D2 F
B R' L2 B2 U' F D
B R' L2 B2 U' F D'
B R' L2 B2 U' F D2
B R' L2 B2 D U' F
B R' L2 B2 D' U' F
B R' L2 B2 D2 U' F
B R' U D B' U2 L2
B R' U D' R2 B' U2
B R' U D' B' R2 U2
B R' U B' U' B' U'
R' U' B R' B2 U' R
B R' U' L2 D F L2
B R' U' L2 F D L2
B' R' U2 L R U F
B' R' U2 L R' U F
B' R' U2 L R2 U F
B' R' U2 L U D F
B' R' U2 L U D' F
B' R' U2 L U D2 F
B' R' U2 L U F D
B' R' U2 L U F D'
B' R' U2 L U F D2
B R' U' D L2 D F
B R' U' D L2 D' F
B R' U' D L2 D2 F
B R' U' D L2 F D
B R' U' D L2 F D'
B R' U' D L2 F D2
B' R' U2 L D U F
B' R' U2 L D' U F
B R' U' D F L2 F
B' R' U2 L D2 U F
B R' U' D F' L2 F
B R' U' D F2 L2 F
B' R' U2 R L U F
B R' U' F D L2 F
B' R' U2 R' L U F
B R' U' F' D L2 F
B' R' U2 R2 L U F
B R' U' F2 D L2 F
R2 U' B R' B2 U' R
B' R' U2 D L U F
B' R' U2 D' L U F
B' R' U2 D2 L U F
R U' B R' B2 U' R
B' R' D U2 L U F
B R' D L' U' L' F
B R' D U B' U2 L2
B R' D U' L2 D F
B R' D U' L2 D' F
B R' D U' L2 D2 F
B R' D U' L2 F D
B R' D U' L2 F D'
B R' D U' L2 F D2
B R' D U' F L2 F
B R' D U' F' L2 F
B R' D U' F2 L2 F
B' R' D' U2 L U F
B R' D' U R2 B' U2
B R' D' U B' R2 U2
B' R' D2 U2 L U F
U' R' B R' B2 U' R2
B R' B D L2 B U'
D' R' B' R2 U' F' B2
D' R' B' R2 U' B2 F'
B R' B D B L2 U'
D' R' B' U B U2 B
B R' B D2 B U' F2
U' R' B' U2 L U R
D' R' B' D' R2 U' F'
B' R' B2 R' B2 U' F'
B R' B2 L U B U2
B R' B2 L' U B U2
B R' B2 L2 U B U2
B R' B2 U D B U2
B R' B2 U D' B U2
B R' B2 U D2 B U2
B R' B2 U B U2 D
B R' B2 U B U2 D'
B R' B2 U B U2 D2
B R' B2 U B D U2
B R' B2 U B D' U2
B R' B2 U B D2 U2
B R' B2 U' R2 F' R2
B R' B2 U2 R2 U F'
B R' B2 D U B U2
B R' B2 D' U B U2
B R' B2 D2 U B U2
B' R2 L' U' D' F' B2
B' R2 L' U' D' B2 F'
B' R2 L' U' F' D' B2
L2 U2 D2 F L' U F'
B' R2 L' U2 L2 U F'
B' R2 L' D' U' F' B2
B' R2 L' D' U' B2 F'
B' R2 L2 U2 L' U F'
B R2 L2 B2 R U' F
B' R2 U' F' U' L U
D' R2 U' B' R' U' R
B' R2 U2 L U D F'
B' R2 U2 L U D' F'
B' R2 U2 L U D2 F'
B' R2 U2 L U F' D
B' R2 U2 L U F' D'
B' R2 U2 L U F' D2
B' R2 U2 L D U F'
B' R2 U2 L D' U F'
B' R2 U2 L D2 U F'
B' R2 U2 D L U F'
B' R2 U2 D' L U F'
B' R2 U2 D2 L U F'
B' R2 D U2 L U F'
B R2 D R U' L2 F
B' R2 D' U2 L U F'
B' R2 D2 U2 L U F'
U' R2 B' U2 L U R2
F' U L2 F B' L U
F' U L2 B' F L U
B2 U B2 U' B' R' U'
B2 U' L' B' D L2 F
U' D' R' B' U' R B2
U' D' R' B' U' B2 R
D' U' R' B' U' R B2
D' U' R' B' U' B2 R
D2 U' F' B' R U' R'
U' D' B' R' U' B R
D' U' B' R' U' B R
D2 U' B' F' R U' R'
F' U' F B R' B2 U'
F' U' F B' U2 L U
F U' D2 F' R B' U'
F U' D2 F' B' R U'
F U' D2 B' F' R U'
F2 U' F2 B R' B2 U'
F2 U' F2 B' U2 L U
F U' F' B R' B2 U'
F' U' B R' F B2 U'
F U' F' B' U2 L U
F' U' B R' B2 F U'
D2 U2 L2 F L' U F'
F2 U' B R' F2 B2 U'
F2 U' B R' B2 F2 U'
F' U' B F R' B2 U'
U2 D2 L2 F L' U F'
F2 U' B F2 R' B2 U'
F' U' B' F U2 L U
F2 U' B' F2 U2 L U
F U' B F' R' B2 U'
B' U2 L R2 U D F'
B' U2 L R2 U D' F'
B' U2 L R2 U D2 F'
B' U2 L R2 U F' D
B' U2 L R2 U F' D'
B' U2 L R2 U F' D2
B' U2 L R2 D U F'
B' U2 L R2 D' U F'
B' U2 L R2 D2 U F'
B' U2 L U R2 F' R2
B' U2 L U' D B U2
B' U2 L U' D' B U2
B' U2 L U' D2 B U2
B' U2 L U' B U2 D
B' U2 L U' B U2 D'
B' U2 L U' B U2 D2
B' U2 L U' B D U2
B' U2 L U' B D' U2
B' U2 L U' B D2 U2
B' U2 L D R2 U F'
B' U2 L D U' B U2
F U' B' F' U2 L U
B' U2 L D' R2 U F'
B' U2 L D' U' B U2
B' U2 L D2 R2 U F'
B' U2 L D2 U' B U2
L2 D2 U2 F L' U F'
U' D2 F' B' R U' R'
B' U2 R2 L U D F'
B' U2 R2 L U D' F'
B' U2 R2 L U D2 F'
B' U2 R2 L U F' D
B' U2 R2 L U F' D'
B' U2 R2 L U F' D2
B' U2 R2 L D U F'
B' U2 R2 L D' U F'
B' U2 R2 L D2 U F'
B' U2 R2 D L U F'
B' U2 R2 D' L U F'
B' U2 R2 D2 L U F'
U' D2 B' F' R U' R'
B' U2 D L R2 U F'
B' U2 D L U' B U2
B' U2 D R2 L U F'
B' U2 D' L R2 U F'
B' U2 D' L U' B U2
B' U2 D' R2 L U F'
B2 U2 D' R2 F' L' U
B' U2 D2 L R2 U F'
B' U2 D2 L U' B U2
B' U2 D2 R2 L U F'
B' D L U B U2 B'
B' D L' D2 R2 U' F'
B D L' R' U' L' F
B2 D L2 B U2 L U
B2 D L2 B' R' B2 U'
B' D R' U2 L U F
U' F B R' B2 U' R
B' D R2 U2 L U F'
B D R' L' U' L' F
B D R' U B' U2 L2
B D R' U' L2 D F
B D R' U' L2 D' F
B D R' U' L2 D2 F
B D R' U' L2 F D
B D R' U' L2 F D'
B D R' U' L2 F D2
B D R' U' F L2 F
B D R' U' F' L2 F
B D R' U' F2 L2 F
B' D U2 L R2 U F'
B' D U2 L U' B U2
B' D U2 R2 L U F'
B2 D B L2 U2 L' U
B2 D B' L2 R' B2 U'
B2 D B' R' L2 B2 U'
B2 D B' R' B2 L2 U'
D2 F' U' R F B' U'
D2 F' U' R B' F U'
B' D' L U B U2 B'
D2 F' U' B' R F U'
B' D' L' D2 R2 U' F'
B' D' R' U2 L U F
U' F' B R' B2 U' R
B' D' R2 U2 L U F'
B D' R' U R' B' U2
B' D' U2 L R2 U F'
B' D' U2 L U' B U2
B' D' U2 R2 L U F'
B2 D' U2 R2 F' L' U
B2 D' B U2 L R2 U
B2 D' B U2 R2 L U
B2 D' B' R' B2 L U'
B' D2 L U B U2 B'
B' D2 L' D2 R2 U' F'
B' D2 R' U2 L U F
U' F2 B R' B2 U' R
B' D2 R2 U2 L U F'
B D2 R' U' D' L2 F
B D2 R' D' U' L2 F
B' D2 U2 L R2 U F'
B' D2 U2 L U' B U2
B' D2 U2 R2 L U F'
R' B L2 R' B2 U' F
F D2 U' F' R B' U'
F D2 U' F' B' R U'
F D2 U' B' F' R U'
L2 B L2 R' B' U' F
R2 B L2 R' B2 U' F
R' B R B2 R2 U' F'
U' B R' U' R D L2
U' B R' U' D L2 R
U' B R' U' D R L2
R' B R' L2 B2 U' F
U' B R' D U' L2 R
U' B R' D U' R L2
R' B R' U' D L2 F
R' B R' D U' L2 F
R B L2 R' B2 U' F
U' B R' B2 U' R D
U' B R' B2 U' R D'
U' B R' B2 U' R D2
U' B R' B2 U' D R
U' B R' B2 U' D' R
U' B R' B2 U' D2 R
U' B R' B2 D U' R
U' B R' B2 D' U' R
U' B R' B2 D2 U' R
R' B R' B2 U B U2
L2 B R' L2 B' U' F
R2 B R B2 R2 U' F'
R2 B R' L2 B2 U' F
B2 D2 B U2 L U F2
R2 B R' U' D L2 F
U' B R2 B2 R U' R
R2 B R' D U' L2 F
R2 B R' B2 U B U2
B2 D2 B' R' B2 U' F2
L B R' U B' R' U2
R B R B2 R2 U' F'
R B R' L2 B2 U' F
R B R' U' D L2 F
R B R' D U' L2 F
R B R' B2 U B U2
U' B D R' U' L2 R
U' B D R' U' R L2
R' B D R' U' L2 F
U B U2 R' B2 U' R
R2 B D R' U' L2 F
R B D R' U' L2 F
U' B F R' B2 U' R
U' B F' R' B2 U' R
U' B F2 R' B2 U' R
R' B' L U B U2 B'
R' B' L' D2 R2 U' F'
R2 B' L U B U2 B'
D B' L R2 U' F' B'
D B' L R2 U' B' F'
D B' L U B U2 B2
D B' L U' B' D2 F2
U B' L U' L' U2 L
D B' L' U F B U2
D B' L' U B F U2
R2 B' L' D2 R2 U' F'
R B' L U B U2 B'
U' B' R U2 L U R'
U' B' R' U2 L U R
R' B' R' U2 L U F
R B' L' D2 R2 U' F'
U' B' R2 U2 L U R2
R' B' R2 U2 L U F'
R2 B' R' U2 L U F
D B' R2 L U' F' B'
D B' R2 L U' B' F'
R2 B' R2 U2 L U F'
R B' R' U2 L U F
U' B' U2 L U' L' U2
R' B' U2 L R2 U F'
U2 B' U' L B U L'
R' B' U2 L U' B U2
R B' R2 U2 L U F'
R' B' U2 R2 L U F'
R2 B' U2 L R2 U F'
R2 B' U2 L U' B U2
R2 B' U2 R2 L U F'
R B' U2 L R2 U F'
R B' U2 L U' B U2
R B' U2 R2 L U F'
D' B2 D L2 B R' U'
D' B2 D B L2 R' U'
D' B2 D B R' L2 U'
L2 B2 D L2 B' R' U'
D2 B2 D2 B R' U' F2
