U L U R' U2 R
R' U' L U2 L' U
U2 R' U' L U' R
B2 U R' U L B2
R' B2 U R' U B2
U R' U2 L R U' L'
U R' U2 R L U' L'
U2 R' D U' L U' R
L' U2 L R' U' L U'
U2 R' D' U' L U' R
U2 R' D2 U' L U' R
L U2 L' R' U R U
L2 U2 L2 R' U' L U'
R2 U2 R U' L U' R'
L' U2 R' L U' L U'
L' U2 R' D L U2 F2
L' U2 R' D' L B2 U2
L2 U2 R' L2 U' L U'
L' U2 R' D' B2 U2 R'
L U2 R' L' U R U
U2 R' B U2 D' R F'
U2 R' B D' U2 R F'
L' U2 D L R' U2 F2
R U2 R2 U' L U' R2
L' U2 D R' L U2 F2
D2 R' B2 U R' U B2
D' R' B2 U R' U B2
L' U2 D' L R' B2 U2
L' U2 D' L B2 U2 L
F' R' B2 U R' U B2
L' U2 D' R' L B2 U2
L' U2 D' R' B2 U2 R'
F2 R' B2 U R' U B2
U2 R' B2 U R' U R2
U2 R' B2 U2 R D' F2
D R' B2 U R' U B2
L' U2 D' B2 U2 L R'
L' U2 D' B2 U2 R' L
F R' B2 U R' U B2
B2 R2 U R U L B2
L2 D L D R2 F2 L'
L' D L2 R2 F2 L' R
L' D L2 R2 F2 R L'
R D L' D L2 F2 R
L' D L2 F2 R D2 L2
L' D R2 L2 F2 L' R
L' D R2 L2 F2 R L'
L' D R2 F2 L' D2 R2
R' D U' L U2 L' U
D' U L U R' U2 R
D2 U L U R' U2 R
F' U L U R' U2 R
L' D U2 L R' U2 F2
L' D U2 R' L U2 F2
F2 U L U R' U2 R
D U L U R' U2 R
F U L U R' U2 R
B2 U L' R' U L2 B2
B2 U L' R' U B2 L2
U D L U R' U2 R
B2 U L2 R' U L' B2
B2 U L2 R' U B2 L'
L' D F2 U2 L R' U2
L' D F2 U2 R' L U2
L' D F2 B2 L R' B2
L' D F2 B2 R' L B2
B2 U R' L' U L2 B2
B2 U R' L' U B2 L2
B2 U R' L2 U L' B2
B2 U R' L2 U B2 L'
B2 U R' U L B2 D
B2 U R' U L B2 D'
B2 U R' U L B2 D2
B2 U R' U L' B2 L2
B2 U R' U L2 B2 L'
B2 U R' D L2 U L'
U2 D R' U' L U' R
B2 U R' F U L B2
B2 U R' F' U L B2
B2 U R' F2 U L B2
L' D B2 L R' F2 B2
L' D B2 L R' B2 F2
L' D B2 L F2 R' B2
R' D B2 U R' U B2
L' D B2 R' L F2 B2
L' D B2 R' L B2 F2
B2 U D L2 R' U L'
L' D B2 R' F2 L B2
B2 U D R' L2 U L'
L' D B2 F2 L R' B2
L' D B2 F2 R' L B2
L' D' L R' B2 U2 B2
L' D' L B2 U2 L B2
L' D' L' D2 R2 F2 L'
B2 U F R' U L B2
B2 U F' R' U L B2
L' D' R D2 L2 F2 R
B2 U F2 R' U L B2
L' D' R' L B2 U2 B2
L' D' R' B2 U2 R' B2
U D' L U R' U2 R
R' D' U' L U2 L' U
L' D' U2 L R' B2 U2
L' D' U2 L B2 U2 L
L' D' U2 R' L B2 U2
L' D' U2 R' B2 U2 R'
L' D' U2 B2 U2 L R'
L' D' U2 B2 U2 R' L
U2 D' R' U' L U' R
B U' L' B' L U' B'
R' D' B2 U R' U B2
L' D' B2 U2 L R' B2
L' D' B2 U2 R' L B2
L2 D2 L R2 D F2 L'
U D2 L U R' U2 R
L2 D2 R2 L D F2 L'
D' U2 R' U' L U' R
R' D2 U' L U2 L' U
D2 U2 R' U' L U' R
U2 D2 R' U' L U' R
D U2 R' U' L U' R
B2 U2 L U' R' U B2
B2 U2 L B2 U L U'
B2 U2 L2 B2 L' D F2
F' U2 R' U' L U' R
B2 U2 R' U L R B2
B2 U2 R' U L B2 R
B2 U2 R' U R L B2
F2 U2 R' U' L U' R
F U2 R' U' L U' R
R' D2 B2 U R' U B2
B U2 D F' B' L' F
B U2 D B' F' L' F
U F L U R' U2 R
B U2 F' D B' L' F
B U2 F' B' L' D F2
R' F U' L U2 L' U
B U2 B' F' L' D F2
R' F B2 U R' U B2
B2 D U L2 R' U L'
B2 D U R' L2 U L'
U F' L U R' U2 R
B D U2 F' B' L' F
B D U2 B' F' L' F
R' F' U' L U2 L' U
B D' R U2 F' B' L'
B D' R U2 B' F' L'
B D' R' B U2 L B2
R' F' B2 U R' U B2
U F2 L U R' U2 R
L F2 R D2 L2 D F2
R' F2 U' L U2 L' U
B D' B' R' B U2 B'
U' F2 D2 B2 R' U L
R' F2 B2 U R' U B2
L F2 B2 U' L R B2
L F2 B2 U' L B2 R
L F2 B2 U' R L B2
B2 D2 F2 U R' U L
R' B U2 B' U L U'
R2 B D' R U2 F' B'
R2 B D' R U2 B' F'
B2 F U R' U L B2
R' B' U' L U' F B
R' B' U' L U' B F
B2 F' U R' U L B2
L2 B2 L B2 R' D F2
L2 B2 L B2 D R' F2
L2 B2 L B2 D F2 R'
L2 B2 L' U' L2 B2 R'
L' B2 L2 U' L' R' B2
L' B2 L2 U' R' L' B2
L' B2 L2 U' R' B2 L'
R2 B2 R U R2 U B2
R2 B2 R U2 B2 D' F2
R' B2 U L R' U B2
R' B2 U L' R' U B2
R' B2 U L2 R' U B2
R' B2 U R' L U B2
R' B2 U R' L' U B2
R' B2 U R' L2 U B2
R' B2 U R' U B2 D
R' B2 U R' U B2 D'
R' B2 U R' U B2 D2
R' B2 U R' D L2 U
D2 B2 U R' U L B2
R' B2 U D L2 R' U
R' B2 U D R' L2 U
D' B2 U R' U L B2
D B2 U R' U L B2
R B2 R2 U R U B2
L B2 U L' U2 L2 B2
L B2 U L' U2 B2 L2
R' B2 U2 B2 U L U'
F' B2 U R' U L B2
R B2 U R' U B2 L
B2 F2 U R' U L B2
R' B2 D U L2 R' U
R' B2 D U R' L2 U
L B2 U' L B2 D2 R2
F2 B2 U R' U L B2
L B2 U' L2 B2 L' R'
L B2 U' L2 B2 R' L'
F B2 U R' U L B2
R' B2 D2 F2 U R' U
R' B2 F U R' U B2
R' B2 F' U R' U B2
R' B2 F2 U R' U B2
L B2 F2 U' L R B2
L B2 F2 U' L B2 R
L B2 F2 U' R L B2
