F' R D' F2 B L
F' R D' B L F2
F' R D' B F2 L
F' R B L D' F2
F' R B D' L F2
F' R B D' F2 L
U R' F' L' U R
F' R D' B F2 L D
F' R D' B F2 L D'
F' R D' B F2 L D2
F' R D' B F2 D L
F' R D' B F2 D' L
F' R D' B F2 D2 L
F R D' F2 B L R
F R D' F2 B R L
F R D' B F2 L R
F R D' B F2 R L
F' R D2 B D L F2
F' R D2 B D F2 L
F' R F D' F2 B L
F' R F D' B L F2
F' R F D' B F2 L
F' R F B L D' F2
F' R F B D' L F2
F' R F B D' F2 L
F' R F' D' F2 B L
F' R F' D' B L F2
F' R F' D' B F2 L
F' R F' B L D' F2
F' R F' B D' L F2
F' R F' B D' F2 L
F' R F2 D' F2 B L
F' R F2 D' B L F2
F' R F2 D' B F2 L
F' R F2 B L D' F2
F' R F2 B D' L F2
F' R F2 B D' F2 L
D2 R B L D' R' F2
D2 R B L D' F2 R'
F' R B L U' R2 U
F' R B L D' F2 D
F' R B L D' F2 D'
F' R B L D' F2 D2
F' R B L F D' F2
F' R B L F' D' F2
F' R B L F2 D' F2
F' R B L2 D' L' F2
F' R B U' R2 U L
D2 R B D' L R' F2
D2 R B D' L F2 R'
D2 R B D' R' L F2
D2 R B D' R' F2 L
D2 R B D' F2 L R'
D2 R B D' F2 R' L
F' R B D L D2 F2
F' R B D' L F2 D
F' R B D' L F2 D'
F' R B D' L F2 D2
F' R B D' L' F2 L2
F' R B D' F' L F'
F' R B D' F2 L D
F' R B D' F2 L D'
F' R B D' F2 L D2
F' R B D' F2 D L
F' R B D' F2 D' L
F' R B D' F2 D2 L
F' R B F L D' F2
F' R B F D' L F2
F' R B F D' F2 L
F' R B F' L D' F2
F' R B F' D' L F2
F' R B F' D' F2 L
F' R B F2 L D' F2
F' R B F2 D' L F2
F' R B F2 D' F2 L
F R B D' F2 L R
F R B D' F2 R L
U R' L F' L' U R
U R' L' F' L' U R
U R' L2 F' L' U R
U' R' F' U R B L
B' R' F' U2 D' R F'
B' R' F' D' U2 R F'
U R' F' L' U R D
U R' F' L' U R D'
U R' F' L' U R D2
U R' F' L' U D R
U R' F' L' U D' R
U R' F' L' U D2 R
U R' F' L' D U R
U R' F' L' D' U R
U R' F' L' D2 U R
U R' F' L' B U R
U R' F' L' B' U R
U R' F' L' B2 U R
U R' F' D L' U R
U R' F' D' L' U R
U R' F' D2 L' U R
U R' F' B L' U R
U R' F' B' L' U R
U R' F' B2 L' U R
F' R' B U L R2 B
F' R' B U R2 L B
D R' B U' F' U2 L
U R' B F' L' U R
U R' B' F' L' U R
U R' B2 F' L' U R
F' U R' F' L' U R2
U' D R' B L F U
F2 U R' F' L' B' U
D U R' F' L' B U
D U R' F' B L' U
D U R' B F' L' U
U D R' F' L' B U
U D R' F' B L' U
U D R' B F' L' U
D U' R' B L F U
R D' F2 D' B L R'
R D' F2 D' B R' L
R D2 B R' D L F2
R D2 B R' D F2 L
R D2 B D L R' F2
R D2 B D L F2 R'
R D2 B D R' L F2
R D2 B D R' F2 L
R D2 B D F2 L R'
R D2 B D F2 R' L
F' D R D' F2 B L
F' D R D' B L F2
F' D R D' B F2 L
F' D R B L D' F2
F' D R B D' L F2
F' D R B D' F2 L
R F D' F2 B L R
R F D' F2 B R L
R F D' B F2 L R
R F D' B F2 R L
R F B D' F2 L R
R F B D' F2 R L
U2 F' L' R D' F2 B'
U2 F' L' R D' B' F2
U2 F' L' R B' D' F2
U2 F' L' B' D' R F'
U F' L' R' F' U R2
L' F' R D' F2 B L
L' F' R D' B L F2
L' F' R D' B F2 L
U2 F' R L' D' F2 B'
U2 F' R L' D' B' F2
U2 F' R L' B' D' F2
L' F' R B L D' F2
L' F' R B D' L F2
L' F' R B D' F2 L
U2 F' R D' L' F2 B'
U2 F' R D' L' B' F2
L2 F' R D' F2 B L
L2 F' R D' B L F2
L2 F' R D' B F2 L
L2 F' R B L D' F2
L2 F' R B D' L F2
L2 F' R B D' F2 L
L F' R D' F2 B L
L F' R D' B L F2
L F' R D' B F2 L
L F' R B L D' F2
L F' R B D' L F2
L F' R B D' F2 L
U F' R' L' F' U R2
F' D' R D' F2 B L
F' D' R D' B L F2
F' D' R D' B F2 L
F' D' R B L D' F2
F' D' R B D' L F2
F' D' R B D' F2 L
R F' D' B L R F2
R F' D' B R L F2
R F' D' B R F2 L
R F' B L D' R F2
R F' B D' L R F2
R F' B D' R L F2
R F' B D' R F2 L
F' D2 R D' F2 B L
F' D2 R D' B L F2
F' D2 R D' B F2 L
F' D2 R B L D' F2
F' D2 R B D' L F2
F' D2 R B D' F2 L
R B L F D' F2 R
R B L F' D' R F2
R' B U' F' U2 L R
R' B U' F' U2 R L
R B F D' F2 L R
R B F D' F2 R L
R B F' L D' R F2
R B F' D' L R F2
R B F' D' R L F2
R B F' D' R F2 L
R' B' U' F' R' U2 R2
