L' R U2 D' F B2
L' R U2 D' B2 F
L' R U2 F D' B2
F2 L U L2 R F
F2 L U R L2 F
L' R D F2 U2 F'
L' R D' U2 F B2
L' R D' U2 B2 F
R L' U2 D' F B2
R L' U2 D' B2 F
F2 L' R D' F B2
F2 L' R D' B2 F
R L' U2 F D' B2
F2 L' R F D' B2
R L' D F2 U2 F'
R L' D' U2 F B2
R L' D' U2 B2 F
F2 L' D' R F B2
F2 L' D' R B2 F
F2 L' D' B2 R F
F2 R L' D' F B2
F2 R L' D' F B2
F2 R L' D' B2 F
F2 R L' F D' B2
L U' L2 R U2 F
L U' R L2 U2 F
L U' R B' L2 U2
L U' B' L2 R U2
L U' B' R L2 U2
L' D R F2 U2 F'
L' D F2 U2 L' F'
L' D' R U2 F B2
L' D' R U2 B2 F
D2 L' R U2 D' F' B2
D2 L' R U2 D' B2 F'
D2 L' R U2 F' D' B2
R L' U2 D' F B2 D
R L' U2 D' F B2 D'
R L' U2 D' F B2 D2
D2 L' R D F2 U2 F
R L' U2 D' B2 D F
R L' U2 D' B2 D' F
R L' U2 D' B2 D2 F
R L' U2 D' B2 F D
R L' U2 D' B2 F D'
R L' U2 D' B2 F D2
R2 L' U2 F D' B2 L
R L' U2 D2 F D B2
D2 L' R D' U2 F' B2
D2 L' R D' U2 B2 F'
U' L' R U2 D' F B2
U' L' R U2 D' B2 F
U' L' R U2 F D' B2
B2 L' R U' R2 U' F
R L' U2 F U' L2 U
R L' U2 F D' B2 D
R L' U2 F D' B2 D'
R L' U2 F D' B2 D2
U2 L' R U2 D' F B2
U2 L' R U2 D' B2 F
R L' U2 F B D' B2
R L' U2 F B' D' B2
U2 L' R U2 F D' B2
R L' U2 F B2 D' B2
U' L' R D F2 U2 F'
B2 L' R U2 D F B2
B2 L' R U2 D B2 F
B2 L' R U2 F D B2
U' L' R D' U2 F B2
U' L' R D' U2 B2 F
U2 L' R D F2 U2 F'
F2 L' R D' F B2 D
F2 L' R D' F B2 D'
F2 L' R D' F B2 D2
B2 L' R D U2 F B2
B2 L' R D U2 B2 F
F2 L' R D' B2 D F
F2 L' R D' B2 D' F
F2 L' R D' B2 D2 F
F2 L' R D' B2 F D
F2 L' R D' B2 F D'
F2 L' R D' B2 F D2
R L' U2 F2 D' F' B2
R L' U2 F2 D' B2 F'
U2 L' R D' U2 F B2
U2 L' R D' U2 B2 F
F2 L' R D2 F D B2
B2 L' R D' F2 U2 F'
R L' U2 B D' F B2
R L' U2 B D' B2 F
U L' R U2 D' F B2
U L' R U2 D' B2 F
R L' U2 B F D' B2
U L' R U2 F D' B2
F2 L' R F U' L2 U
F2 L' R F D' B2 D
F2 L' R F D' B2 D'
F2 L' R F D' B2 D2
F2 L' R F B D' B2
F2 L' R F B' D' B2
F2 L' R F B2 D' B2
R L' U2 B' D' F B2
R L' U2 B' D' B2 F
R L' U2 B' F D' B2
U L' R D F2 U2 F'
R L' U2 B2 D' F B2
R L' U2 B2 D' B2 F
U L' R D' U2 F B2
U L' R D' U2 B2 F
R L' U2 B2 F D' B2
F2 L' R F2 D' F' B2
F2 L' R F2 D' B2 F'
F2 L' R B D' F B2
F2 L' R B D' B2 F
F2 L' R B F D' B2
F2 L' R B' D' F B2
F2 L' R B' D' B2 F
F2 L' R B' F D' B2
R2 L' D R' F2 U2 F'
F2 L' R B2 D' F B2
F2 L' R B2 D' B2 F
F2 L' R B2 F D' B2
F2 L' R' F R2 D' B2
R L' D F2 U2 D F'
R L' D F2 U2 D' F'
R L' D F2 U2 D2 F'
R L' D F2 U2 F' D
R L' D F2 U2 F' D'
R L' D F2 U2 F' D2
R L' D F2 D U2 F'
R L' D F2 D' U2 F'
R L' D F2 D2 U2 F'
R L' D F2 B U2 F'
R L' D F2 B' U2 F'
R L' D F2 B2 U2 F'
R L' D B F2 U2 F'
R L' D B' F2 U2 F'
R L' D B2 F2 U2 F'
R2 L' D' R' U2 F B2
R2 L' D' R' U2 B2 F
F2 L' R2 D' R' F B2
F2 L' R2 D' R' B2 F
F2 L' R2 D' F R' B2
R2 L' D' U2 F B2 L
R2 L' D' U2 B2 F L
F2 L' R2 F R' D' B2
F2 L' R2 F D' R' B2
R L' D' U2 F B2 D
R L' D' U2 F B2 D'
R L' D' U2 F B2 D2
R L' D' U2 B2 D F
R L' D' U2 B2 D' F
R L' D' U2 B2 D2 F
R L' D' U2 B2 F D
R L' D' U2 B2 F D'
R L' D' U2 B2 F D2
R L' D' F' U2 F2 B2
R L' D' F' U2 B2 F2
R L' D' F2 U2 F' B2
R L' D' F2 U2 B2 F'
R L' D' B U2 F B
R L' D' B U2 B F
R L' D' B' U2 F B'
R L' D' B' U2 B' F
L R' D2 U L2 R2 F
L R' D2 U L2 F R2
L R' D2 U R2 L2 F
R L' D2 U' R2 U' F
R L' D2 U2 F D B2
R L' F D F2 U2 F2
R L' F' U L2 U F2
R L' F' U2 F2 D' B2
U' L' D R F2 U2 F'
F2 L' D R D2 F B2
F2 L' D R D2 B2 F
U2 L' D R F2 U2 F'
D L' D R F2 U2 F
R L' F2 U L2 U F'
U L' D R F2 U2 F'
D' L' D F2 U2 L' F
U' L' D F2 U2 L' F'
R L' F2 U2 D' F' B2
R L' F2 U2 D' B2 F'
R L' F2 U2 F' D' B2
U2 L' D F2 U2 L' F'
R L' F2 D F2 U2 F
R L' F2 D' U2 F' B2
R L' F2 D' U2 B2 F'
D' L' D' R U2 F' B2
D' L' D' R U2 B2 F'
U L' D F2 U2 L' F'
U' L' D' R U2 F B2
U' L' D' R U2 B2 F
F2 L' D' R F B2 D
F2 L' D' R F B2 D'
F2 L' D' R F B2 D2
F2 L' D' R B2 D F
F2 L' D' R B2 D' F
U2 L' D' R U2 F B2
F2 L' D' R B2 D2 F
F2 L' D' R B2 F D
F2 L' D' R B2 F D'
F2 L' D' R B2 F D2
U2 L' D' R U2 B2 F
F2 L' D' R' F R2 B2
F2 L' D' R' F B2 R2
F2 L' D' R' B2 R2 F
F2 L' D' R' B2 F R2
F2 L' D' R2 F R' B2
B L' D' R F' U2 F2
U L' D' R U2 F B2
U L' D' R U2 B2 F
R L' B U2 D' F B2
R L' B U2 D' B2 F
R L' B U2 F D' B2
R L' B D F2 U2 F'
F2 L' D' B' R F B'
F2 L' D' B' R B' F
R L' B D' U2 F B2
R L' B D' U2 B2 F
F2 L' D' B2 R D F
F2 L' D' B2 R D' F
F2 L' D' B2 R D2 F
F2 L' D' B2 R F D
F2 L' D' B2 R F D'
F2 L' D' B2 R F D2
F2 L' D' B2 R' F R2
F2 L' D' B2 R2 F R'
F2 L' D' B2 D R F
F2 L' D' B2 D' R F
F2 L' D' B2 D2 R F
R L' B' U2 D' F B2
R L' B' U2 D' B2 F
R L' B' U2 F D' B2
R L' B' D F2 U2 F'
R L' B' D' U2 F B2
R L' B' D' U2 B2 F
F L' F R D' L' B2
F L' F R D' B2 L'
R L' B2 U2 D' F B2
R L' B2 U2 D' B2 F
R L' B2 U2 F D' B2
R L' B2 D F2 U2 F'
F L' F D' L' R B2
R L' B2 D' U2 F B2
F L' F D' L' B2 R
R L' B2 D' U2 B2 F
F L' F D' R L' B2
F L' F D' R B2 L'
F L' F D' B2 L' R
F L' F D' B2 R L'
L R2 U' L2 R' U2 F
L R2 U' R' L2 U2 F
L R2 U' R' B' L2 U2
L' R2 U2 D' F B2 L
F2 L' B R D' F B2
F2 L' B R D' B2 F
F2 L' B R F D' B2
L' R2 U2 D' B2 F L
L' R2 U2 F D' B2 L
F2 L' B D' R F B2
F2 L' B D' R B2 F
F2 L' B D' B2 R F
L' R2 D R' F2 U2 F'
F2 L' B' R D' F B2
F2 L' B' R D' B2 F
F2 L' B' R F D' B2
F2 L' B' D' R F B2
F2 L' B' D' R B2 F
F2 L' B' D' B2 R F
L' R2 D' R' U2 F B2
L' R2 D' R' U2 B2 F
F2 L' B2 R D' F B2
F2 L' B2 R D' B2 F
F2 L' B2 R F D' B2
L' R2 D' U2 F B2 L
L' R2 D' U2 B2 F L
F2 L' B2 D' R F B2
F2 L' B2 D' R B2 F
F2 L' B2 D' B2 R F
R U L U' L2 U2 F
R U L U' B' L2 U2
L' U L2 U' R B' U2
L' U L2 U' B' R U2
L U L' F2 L' R F
L U L' F2 R L' F
L U R B' L2 U2 B
L U R' D2 L2 R2 F
L U R' D2 L2 F R2
L U R' D2 R2 L2 F
D2 R L' U L2 U F'
D2 R L' U2 D' F' B2
D2 R L' U2 D' B2 F'
D2 R L' U2 F' D' B2
D2 R L' D F2 U2 F
U' R L' U2 D' F B2
U' R L' U2 D' B2 F
U' R L' U2 F D' B2
D2 R L' D' U2 F' B2
D2 R L' D' U2 B2 F'
U' R L' D F2 U2 F'
B2 R L' U' R2 U' F
U' R L' D' U2 F B2
U' R L' D' U2 B2 F
B2 R L' U2 D F B2
B2 R L' U2 D B2 F
B2 R L' U2 F D B2
U2 R L' U2 D' F B2
U2 R L' U2 D' B2 F
U2 R L' U2 F D' B2
B2 R L' D U2 F B2
B2 R L' D U2 B2 F
U2 R L' D F2 U2 F'
B2 R L' D' F2 U2 F'
F2 R L' D' F B2 D
F2 R L' D' F B2 D'
F2 R L' D' F B2 D2
U2 R L' D' U2 F B2
U2 R L' D' U2 B2 F
F2 R L' D' B2 D F
F2 R L' D' B2 D' F
F2 R L' D' B2 D2 F
F2 R L' D' B2 F D
F2 R L' D' B2 F D'
F2 R L' D' B2 F D2
F2 R L' D2 F D B2
F2 R L' F U' L2 U
F2 R L' F D' B2 D
F2 R L' F D' B2 D'
F2 R L' F D' B2 D2
F2 R L' F B D' B2
F2 R L' F B' D' B2
F2 R L' F B2 D' B2
F2 R L' F2 D' F' B2
F2 R L' F2 D' B2 F'
F2 R L' B D' F B2
F2 R L' B D' B2 F
F2 R L' B F D' B2
U R L' U2 D' F B2
U R L' U2 D' B2 F
U R L' U2 F D' B2
F2 R L' B' D' F B2
F2 R L' B' D' B2 F
F2 R L' B' F D' B2
U R L' D F2 U2 F'
F2 R L' B2 D' F B2
F2 R L' B2 D' B2 F
F2 R L' B2 F D' B2
U R L' D' U2 F B2
U R L' D' U2 B2 F
L' U F2 L2 U L F'
L' U F2 L2 U F' L
F2 R U' L U L2 F
L U' L2 R U2 D F
L U' L2 R U2 D' F
L U' L2 R U2 D2 F
L U' L2 R U2 F D
L U' L2 R U2 F D'
L U' L2 R U2 F D2
L U' L2 R D U2 F
L U' L2 R D' U2 F
L U' L2 R D2 U2 F
L U' L2 R B U2 F
L U' L2 R B' U2 F
L U' L2 R B2 U2 F
L U' L2 U2 F2 L' F'
L U' L2 D R U2 F
L U' L2 D' R U2 F
L U' L2 D2 R U2 F
L U' L2 B R U2 F
L U' L2 B' R U2 F
L U' L2 B2 R U2 F
L U' R L2 U2 D F
L U' R L2 U2 D' F
L U' R L2 U2 D2 F
L U' R L2 U2 F D
L U' R L2 U2 F D'
L U' R L2 U2 F D2
L U' R L2 D U2 F
L U' R L2 D' U2 F
L U' R L2 D2 U2 F
L U' R L2 B U2 F
L U' R L2 B' U2 F
L U' R L2 B2 U2 F
L U' R D2 B' U2 R2
L U' R B L2 B2 U2
L U' R B' L2 U2 D
L U' R B' L2 U2 D'
L U' R B' L2 U2 D2
L U' R B' L2 D U2
L U' R B' L2 D' U2
L U' R B' L2 D2 U2
L U' R B' U2 D2 R2
L U' R B' D2 U2 R2
L U' R B2 L2 B U2
L U' R' B' L2 R2 U2
L U' R' B' R2 L2 U2
F2 R' L U L2 R2 F
F2 R' L U L2 F R2
F2 R' L U R2 L2 F
L U' D2 R B' U2 R
F2 R' L' F R2 D' B2
L U' D2 B' R U2 R
B2 R' U L' R2 U2 F
B2 R' U R2 L' U2 F
L U' B L2 R B2 U2
L U' B L2 B2 R U2
L U' B R L2 B2 U2
L U' B R B2 L2 U2
L U' B' L2 R U2 D
L U' B' L2 R U2 D'
L U' B' L2 R U2 D2
L U' B' L2 R D U2
L U' B' L2 R D' U2
L U' B' L2 R D2 U2
L U' B' L2 D R U2
L U' B' L2 D' R U2
L U' B' L2 D2 R U2
L U' B' R L2 U2 D
L U' B' R L2 U2 D'
L U' B' R L2 U2 D2
L U' B' R L2 D U2
L U' B' R L2 D' U2
L U' B' R L2 D2 U2
L U' B' R U2 D2 R2
L U' B' R D2 U2 R2
L U' B' D2 R U2 R
L U' B2 L2 B R U2
L' U2 D' F2 L' F' B2
L' U2 D' F2 L' B2 F'
L' U2 D' F2 B2 L' F'
L' U2 D' B2 F2 L' F'
F2 R2 L U L2 R' F
F2 R2 L U L2 F R'
F2 R2 L U R' L2 F
F2 R2 L' D' R' F B2
F2 R2 L' D' R' B2 F
F2 R2 L' D' F R' B2
F2 R2 L' F R' D' B2
F2 R2 L' F D' R' B2
L' U2 F2 D' L' F' B2
L' U2 F2 D' L' B2 F'
L' U2 F2 D' B2 L' F'
L' D R U2 D2 F B2
L' D R U2 D2 B2 F
L' D R D2 U2 F B2
L' D R D2 U2 B2 F
L' D R F2 U2 D F'
L' D R F2 U2 D' F'
L' D R F2 U2 D2 F'
L' D R F2 U2 F' D
L' D R F2 U2 F' D'
L' D R F2 U2 F' D2
L' D R F2 D U2 F'
L' D R F2 D' U2 F'
L' D R F2 D2 U2 F'
L' D R F2 B U2 F'
L' D R F2 B' U2 F'
L' D R F2 B2 U2 F'
L' D R B F2 U2 F'
L' D R B' F2 U2 F'
L' D R B2 F2 U2 F'
L' D R' F2 R2 B U2
F2 U L U L2 R F
F2 U L U R L2 F
B' U L' R U2 F B
B' U L' R U2 B F
F2 U L' R D' F B2
F2 U L' R D' B2 F
F2 U L' R F D' B2
F2 U L' D' R F B2
F2 U L' D' R B2 F
F2 U L' D' B2 R F
B' U R L' U2 F B
B' U R L' U2 B F
F2 U R L' D' F B2
F2 U R L' D' B2 F
F2 U R L' F D' B2
L' D F2 R2 B U2 L'
L' D F2 U2 L F' L2
L' D F2 U2 L' D F'
L' D F2 U2 L' D' F'
L' D F2 U2 L' D2 F'
L' D F2 U2 L' F' D
L' D F2 U2 L' F' D'
L' D F2 U2 L' F' D2
L' D F2 U2 L2 F' L
L' D F2 U2 D L' F'
L' D F2 U2 D' L' F'
L' D F2 U2 D2 L' F'
L' D F2 D U2 L' F'
L' D F2 D' U2 L' F'
L' D F2 D2 U2 L' F'
L' D F2 B U2 L' F'
L' D F2 B' U2 L' F'
L' D F2 B2 U2 L' F'
L' D B R F2 U2 F'
L' D B F2 U2 L' F'
L' D B' R F2 U2 F'
L' D B' F2 U2 L' F'
L' D B2 R F2 U2 F'
L' D B2 F2 U2 L' F'
L' D' R U2 F B2 D
L' D' R U2 F B2 D'
L' D' R U2 F B2 D2
L' D' R U2 B2 D F
L' D' R U2 B2 D' F
L' D' R U2 B2 D2 F
L' D' R U2 B2 F D
L' D' R U2 B2 F D'
L' D' R U2 B2 F D2
B' U F2 L' R F B
B' U F2 L' R B F
L' D' R D2 F2 U2 F'
B' U F2 R L' F B
B' U F2 R L' B F
L' D' R F' U2 F2 B2
L' D' R F' U2 B2 F2
B' U F2 R B L' F
L' D' R F2 U2 F' B2
L' D' R F2 U2 B2 F'
L' D' R B U2 F B
L' D' R B U2 B F
L' D' R B' U2 F B'
L' D' R B' U2 B' F
L' D' R2 U2 F B2 L
L' D' R2 U2 B2 F L
F2 U' L U L2 R F
F2 U' L U R L2 F
L' D' U2 F2 L' F' B2
L' D' U2 F2 L' B2 F'
L' D' U2 F2 B2 L' F'
L' D' U2 B2 F2 L' F'
B' U' L' R U2 F B'
B' U' L' R U2 B' F
F2 U' L' R D' F B2
F2 U' L' R D' B2 F
F2 U' L' R F D' B2
F2 U' L' D' R F B2
F2 U' L' D' R B2 F
F2 U' L' D' B2 R F
B' U' R L' U2 F B'
B' U' R L' U2 B' F
L' D' F2 L' F' B2 R'
L' D' F2 L' B2 F' R'
F2 U' R L' D' F B2
F2 U' R L' D' B2 F
F2 U' R L' F D' B2
L' D' F2 U2 L' F' B2
L' D' F2 U2 L' B2 F'
L' D' F2 U2 B2 L' F'
L' D' B' R U2 F B'
L' D' B' R U2 B' F
L D' B2 U' B R U2
L' D2 R U' R U' F
B' U' F2 L' R F B'
B' U' F2 L' R B' F
B' U' F2 L' B' R F
B' U' F2 R L' F B'
B' U' F2 R L' B' F
F2 U2 L U L2 R F
F2 U2 L U R L2 F
L D2 U' R B' U2 R
F2 U2 L' R D' F B2
F2 U2 L' R D' B2 F
F2 U2 L' R F D' B2
L D2 U' B' R U2 R
F2 U2 L' D' R F B2
F2 U2 L' D' R B2 F
F2 U2 L' D' B2 R F
F2 U2 R L' D' F B2
F2 U2 R L' D' B2 F
F2 U2 R L' F D' B2
L F U' L2 U2 F L'
F2 D' L' D' R F' B2
F2 D' L' D' R B2 F'
F2 D' L' D' B2 R F'
U' F2 L U L2 R F
U' F2 L U R L2 F
D2 F2 L U L2 R F'
D2 F2 L U R L2 F'
D2 F2 L U R F' L2
U' F2 L' R D' F B2
U' F2 L' R D' B2 F
U' F2 L' R F D' B2
U2 F2 L U L2 R F
U2 F2 L U R L2 F
D2 F2 L' R D' F' B2
D2 F2 L' R D' B2 F'
D2 F2 L' R F' D' B2
U' F2 L' D' R F B2
U' F2 L' D' R B2 F
U' F2 L' D' B2 R F
D' F2 L' D' R F' B2
D' F2 L' D' R B2 F'
D' F2 L' D' B2 R F'
U2 F2 L' R D' F B2
U2 F2 L' R D' B2 F
U2 F2 L' R F D' B2
U F2 L U L2 R F
U F2 L U R L2 F
U2 F2 L' D' R F B2
U2 F2 L' D' R B2 F
U2 F2 L' D' B2 R F
U' F2 R L' D' F B2
U' F2 R L' D' B2 F
U' F2 R L' F D' B2
U F2 L' R D' F B2
U F2 L' R D' B2 F
U F2 L' R F D' B2
D2 F2 R L' D' F' B2
D2 F2 R L' D' B2 F'
D2 F2 R L' F' D' B2
U F2 L' D' R F B2
U F2 L' D' R B2 F
U F2 L' D' B2 R F
U2 F2 R L' D' F B2
U2 F2 R L' D' B2 F
U2 F2 R L' F D' B2
U F2 R L' D' F B2
U F2 R L' D' B2 F
U F2 R L' F D' B2
L' F2 U L2 U L F'
L' F2 U L2 U F' L
F2 D2 L U L2 R F'
F2 D2 L U R L2 F'
F2 D2 L U R F' L2
L' F2 U2 D' L' F' B2
L' F2 U2 D' L' B2 F'
L' F2 U2 D' B2 L' F'
F2 D2 L' R D' F' B2
F2 D2 L' R D' B2 F'
F2 D2 L' R F' D' B2
L F2 U' L2 U2 F L
L' F2 D F2 R U2 F
L F2 U' B' L2 U2 L
L' F2 D' L' F' B2 R'
L' F2 D' L' B2 F' R'
L' F2 D' U2 L' F' B2
L' F2 D' U2 L' B2 F'
L' F2 D' U2 B2 L' F'
F2 D2 R L' D' F' B2
F2 D2 R L' D' B2 F'
F2 D2 R L' F' D' B2
L' B R U2 D' F B2
L' B R U2 D' B2 F
L' B R U2 F D' B2
L' B R D F2 U2 F'
L' B R D' U2 F B2
L' B R D' U2 B2 F
L B U D2 F2 L' R2
L B U D2 F2 R2 L'
L B U' L2 R B2 U2
L B U' L2 B2 R U2
L B U' R L2 B2 U2
L B U' R B2 L2 U2
L' B D R F2 U2 F'
L' B D F2 U2 L' F'
L B U' B2 L2 R U2
L B U' B2 R L2 U2
L' B D' R U2 F B2
L' B D' R U2 B2 F
L B D' R2 B2 U L
L B D2 U F2 L' R2
L B D2 U F2 R2 L'
L' B' R U2 D' F B2
L' B' R U2 D' B2 F
L' B' R U2 F D' B2
L' B' R D F2 U2 F'
L' B' R D' U2 F B2
L' B' R D' U2 B2 F
L B' L2 R U L2 U
L B' L2 R U2 D' B2
L B' L2 R D F2 U2
L B' L2 R D' U2 B2
L B' L2 D R F2 U2
L B' L2 D F2 U2 L'
L B' L2 D' R U2 B2
L B' R L2 U L2 U
L B' R L2 U2 D' B2
L B' R L2 D F2 U2
L B' R L2 D' U2 B2
L' B' D R F2 U2 F'
L' B' D F2 U2 L' F'
L' B' D' R U2 F B2
L' B' D' R U2 B2 F
F2 B' U L' R F B
F2 B' U L' R B F
F2 B' U R L' F B
F2 B' U R L' B F
F2 B' U R B L' F
F2 B' U' L' R F B'
F2 B' U' L' R B' F
F2 B' U' L' B' R F
F2 B' U' R L' F B'
F2 B' U' R L' B' F
L' B2 R U2 D' F B2
L' B2 R U2 D' B2 F
L' B2 R U2 F D' B2
L' B2 R D F2 U2 F'
L' B2 R D' U2 F B2
L' B2 R D' U2 B2 F
B2 F2 L' R D F B2
B2 F2 L' R D B2 F
B2 F2 L' R F D B2
R B2 L' U' R' U' F
F2 B2 L' R D F B2
F2 B2 L' R D B2 F
F2 B2 L' R F D B2
B2 F2 R L' D F B2
B2 F2 R L' D B2 F
B2 F2 R L' F D B2
F2 B2 R L' D F B2
F2 B2 R L' D B2 F
F2 B2 R L' F D B2
B2 F2 R' U' L' R2 F
B2 F2 R' U' L' F R2
B2 F2 R' U' R2 L' F
F2 B2 R' U' L' R2 F
F2 B2 R' U' L' F R2
F2 B2 R' U' R2 L' F
B' F2 U L' R F B
B' F2 U L' R B F
B' F2 U R L' F B
B' F2 U R L' B F
B' F2 U R B L' F
B' F2 U' L' R F B'
B' F2 U' L' R B' F
B' F2 U' L' B' R F
L' B2 D R F2 U2 F'
B' F2 U' R L' F B'
B' F2 U' R L' B' F
L B2 U' L2 B R U2
L' B2 D F2 U2 L' F'
L B2 U' B L2 R U2
L B2 U' B R L2 U2
L' B2 D' R U2 F B2
L' B2 D' R U2 B2 F
