U2 L' U L2 F U2
U2 L' U' D2 R2 B'
U2 L' U' D2 B' R2
U2 L' U' B' D2 R2
U2 L' D F2 U' B'
U2 L' D2 U' R2 B'
U2 L' D2 U' B' R2
B2 U2 L' U' R' B'
U2 L2 F2 L U' R B'
U2 L2 F2 L U' B' R
U2 R L' U L2 F U2
U2 R L' U' D2 R2 B'
U2 R L' U' D2 B' R2
U2 R L' U' B' D2 R2
U2 R L' D F2 U' B'
U2 R L' D2 U' R2 B'
U2 R L' D2 U' B' R2
F2 R L2 F2 U B R
B2 R U2 L' U' B R2
B R U2 L' U' B R'
R' U' L D F' U2 F'
R' U' L D' F' B2 U2
R' U' L D' B2 F' U2
R' U' L F' U' L2 U'
R' U' L F' U2 D F2
R' U' L F' D U2 F2
R' U' L F' D' B2 U2
R U' L U' L2 U' B
R U' L U2 D F2 B
R U' L U2 D B F2
R U' L U2 B D F2
R U' L D U2 F2 B
R U' L D U2 B F2
R U' L D' B2 U2 B'
F2 R F2 U B2 R' B'
F2 R F2 U' L U2 B
F2 R F2 B2 U R' B'
F2 R B2 F2 U R' B'
U2 R' L' U L2 F U2
U2 R' L' U' D2 R2 B'
U2 R' L' U' D2 B' R2
U2 R' L' U' B' D2 R2
U2 R' L' D F2 U' B'
U2 R' L' D2 U' R2 B'
U2 R' L' D2 U' B' R2
R' U' F' D' L B' U2
L2 U2 L U L2 U2 B'
L2 U2 L U F L2 U2
R' U2 L' U L2 F' U2
R' U2 L' U F' L2 U2
R' U2 L' U' D2 R2 B
R' U2 L' D2 U' R2 B
R U2 L' U L2 U2 B
R U2 L' U' D2 B R2
R U2 L' U' B D2 R2
R U2 L' D F2 U' B
R U2 L' D2 U' B R2
U2 R2 L' U L2 F U2
U2 R2 L' U' D2 R2 B'
U2 R2 L' U' D2 B' R2
U2 R2 L' U' B' D2 R2
U2 R2 L' D F2 U' B'
U2 R2 L' D2 U' R2 B'
U2 R2 L' D2 U' B' R2
U2 D L' U L2 F U2
U2 D L' U' D2 R2 B'
U2 D L' U' D2 B' R2
U2 D L' U' B' D2 R2
U2 D L' D F2 U' B'
U2 D L' D2 U' R2 B'
U2 D L' D2 U' B' R2
B2 U R' U L' U' B'
U2 D' L' U L2 F U2
U2 D' L' U' D2 R2 B'
U2 D' L' U' D2 B' R2
U2 D' L' U' B' D2 R2
U2 D' L' D F2 U' B'
U2 D' L' D2 U' R2 B'
U2 D' L' D2 U' B' R2
D' U2 L' U L2 F U2
D' U2 L' U' D2 R2 B'
D' U2 L' U' D2 B' R2
D' U2 L' U' B' D2 R2
D2 U2 L' U L2 F U2
D' U2 L' D F2 U' B'
D2 U2 L' U' D2 R2 B'
D2 U2 L' U' D2 B' R2
D2 U2 L' U' B' D2 R2
D' U2 L' D2 U' R2 B'
D' U2 L' D2 U' B' R2
D2 U2 L' D F2 U' B'
D2 U2 L' D2 U' R2 B'
D2 U2 L' D2 U' B' R2
U2 D2 L' U L2 F U2
U2 D2 L' U' D2 R2 B'
U2 D2 L' U' D2 B' R2
U2 D2 L' U' B' D2 R2
U2 D2 L' D F2 U' B'
U2 D2 L' D2 U' R2 B'
U2 D2 L' D2 U' B' R2
D U2 L' U L2 F U2
D U2 L' U' D2 R2 B'
D U2 L' U' D2 B' R2
D U2 L' U' B' D2 R2
D U2 L' D F2 U' B'
D U2 L' D2 U' R2 B'
D U2 L' D2 U' B' R2
B2 U2 L' R U' R2 B'
B2 U2 L' R U' B' R2
B2 U2 L' R2 U' R B'
B2 U2 L' R2 U' B' R
B2 U2 L' U' R B' R2
B2 U2 L' U' R' D B'
B2 U2 L' U' R' D' B'
B2 U2 L' U' R' D2 B'
B2 U2 L' U' R' B' D
B2 U2 L' U' R' B' D'
B2 U2 L' U' R' B' D2
B2 U2 L' U' R2 B' R
B2 U2 L' U' D R' B'
B2 U2 L' U' D' R' B'
B2 U2 L' U' D2 R' B'
B' U2 L' F U' R B'
B' U2 L' F U' B' R
B2 U2 L' D U' R' B'
B2 U2 L' D' U' R' B'
B2 U2 L' D2 U' R' B'
B2 U2 L' F U' R' B'
B2 U2 L' F' U' R' B'
B2 U2 L' F2 U' R' B'
B U2 L' U' B R' B2
B2 U2 R L' U' R2 B'
B2 U2 R L' U' B' R2
B2 U2 R2 L' U' R B'
B2 U2 R2 L' U' B' R
B2 U2 D L' U' R' B'
B2 U2 D' L' U' R' B'
B U2 D L' F U' B'
B2 U2 D2 L' U' R' B'
B2 D U2 L' U' R' B'
B D U2 L' F U' B'
L F' U' L2 B' R' U'
U' F2 L U R U B
B2 D' U2 L' U' R' B'
B2 D2 U2 L' U' R' B'
F2 B R F2 U B R'
U2 B' L' B U' B2 R'
U B' U L' U' B' R'
L2 B2 R' U' L' F' U2
U B2 R' U L' U' B'
B2 F2 R F2 U B R2
F2 B2 R F2 U B R2
B2 F2 R' D' F2 L2 B'
F2 B2 R' D' F2 L2 B'
B F2 R F2 U B R'
D2 B2 U2 L' U' R' B'
D' B2 U2 L' U' R' B'
U B2 U L' U' R' B'
R2 B2 U2 L' U' R' B
D B2 U2 L' U' R' B'
