D L2 B R F
D L' B L' R F
D L' B R L' F
D L2 D B R F
D L2 D' B R F
D L2 D2 B R F
D L2 F D2 B R'
D L2 B R D F
D L2 B R D' F
D L2 B R D2 F
D L2 B R F D
D L2 B R F D'
D L2 B R F D2
D L2 B R' F R2
D L2 B R2 F R'
D L2 B D R F
D L2 B D' R F
D L2 B D2 R F
D L2 B' R F B2
D L2 B' R B2 F
D L2 B2 R F B'
D L2 B2 R B' F
B2 R2 U' F' R' B'
U' D L2 B R F
U2 D L2 B R F
U D L2 B R F
D U L2 B R F
L2 D B R F L2
B2 U B U2 R B2
B2 U B U2 B2 R
D U' L2 B R F
B2 U' R2 F' R' B'
B2 U' B' R D2 F2
B' U' B' U' R B'
B' U' B' U' B' R
B2 U' B' D2 R F2
D U2 L2 B R F
F' D L2 F B R
F' D L2 B F R
D F' L2 F B R
D F' L2 B F R
D B L2 R D2 F2
L2 B R D' F L'
D' B R D2 F2 L'
D B L2 D2 R F2
D B R L2 D2 F2
D' B D2 L2 R F2
D' B D2 R L2 F2
D' B D2 R F2 L2
D B D2 R F2 L'
D' B' R2 U2 R' B2
D B' U2 L2 R B2
D B' U2 L2 B2 R
D B' U2 R L2 B2
D B' U2 R B2 L2
D B' U2 B2 L2 R
D B' U2 B2 R L2
L2 B2 U' R F B'
L2 B2 U' R B' F
L2 B2 U' B' R F
D L2 B D2 R D F
D L2 B D2 R D' F
D L2 B D2 R D2 F
D L2 B D2 R F D
D L2 B D2 R F D'
D L2 B D2 R F D2
D L2 B D2 R' F R2
D L2 B D2 R2 F R'
D L2 B' R F B2 D
D L2 B' R F B2 D'
D L2 B' R F B2 D2
D L2 B' R B2 D F
D L2 B' R B2 D' F
D L2 B' R B2 D2 F
D L2 B' R B2 F D
D L2 B' R B2 F D'
D L2 B' R B2 F D2
D L2 B' R' F R2 B2
D L2 B' R' F B2 R2
D L2 B' R' B2 R2 F
D L2 B' R' B2 F R2
D L2 B' R2 F R' B2
L2 U D B R F L2
U' L2 B2 U' R F B'
U' L2 B2 U' R B' F
U' L2 B2 U' B' R F
D L2 B2 R D F B'
D L2 B2 R D B' F
D L2 B2 R D' F B'
D L2 B2 R D' B' F
D L2 B2 R D2 F B'
D L2 B2 R D2 B' F
D L2 B2 R F D B'
D L2 B2 R F D' B'
D L2 B2 R F D2 B'
D L2 B2 R F B' D
D L2 B2 R F B' D'
D L2 B2 R F B' D2
D L2 B2 R B' D F
D L2 B2 R B' D' F
D L2 B2 R B' D2 F
D L2 B2 R B' F D
D L2 B2 R B' F D'
D L2 B2 R B' F D2
D L2 B2 R' F R2 B'
D L2 B2 R' F B' R2
D L2 B2 R' B' R2 F
F2 L2 B2 U' R' F B'
F2 L2 B2 U' R' B' F
D L2 B2 R' B' F R2
U2 L2 B2 U' R F B'
U2 L2 B2 U' R B' F
F2 L2 B2 U' F R' B'
D L2 B2 R2 F R' B'
U2 L2 B2 U' B' R F
D L2 B2 D R F B'
D L2 B2 D R B' F
D L2 B2 D B' R F
D L2 B2 D' R F B'
D L2 B2 D' R B' F
D L2 B2 D' B' R F
D L2 B2 D2 R F B'
D L2 B2 D2 R B' F
D L2 B2 D2 B' R F
U L2 B2 U' R F B'
U L2 B2 U' R B' F
U L2 B2 U' B' R F
D R L D2 L F B'
D R L D2 L B' F
D R L2 F R' B R
L2 U B R D' F L'
D' R U2 R F' B' U2
D' R U2 R B' F' U2
D' R U2 B' R F' U2
L2 U B2 U' R F B'
L2 U B2 U' R B' F
L2 U B2 U' B' R F
B R D' F L' D' F2
B R D' F D' L' F2
B R D' F' D' F2 L'
B R D2 F D F L'
B' R B D L2 F B
B' R B D L2 B F
D' R B' R F' U2 R'
L2 U' D B R F L2
D R' L2 F R B R
B' R' U' B' U' R2 B'
B' R' U' B' U' B' R2
L2 U' B R D' F L'
F' R' D L2 F R B
L2 U' B2 U' R F B'
L2 U' B2 U' R B' F
L2 U' B2 U' B' R F
B' R' B' U' R2 F' B'
B' R' B' U' R2 B' F'
L2 U2 D B R F L2
D' R2 L F' U2 R' F'
D' R2 L2 F' U2 R' F2
D' R2 L2 F' U2 F2 R'
D R2 L2 F R' D2 B2
D R2 L2 F D2 R' B2
B2 R2 U' D F' R' B'
B2 R2 U' D' F' R' B'
B2 R2 U' D2 F' R' B'
B2 R2 U' F R' F2 B'
B2 R2 U' F R' B' F2
B2 R2 U' F' R B' R2
B2 R2 U' F' R' D B'
B2 R2 U' F' R' D' B'
B2 R2 U' F' R' D2 B'
B2 R2 U' F' R' B' D
B2 R2 U' F' R' B' D'
B2 R2 U' F' R' B' D2
B2 R2 U' F' R2 B' R
B2 R2 U' F' D R' B'
B2 R2 U' F' D' R' B'
B2 R2 U' F' D2 R' B'
B2 R2 U' F2 R' F B'
B2 R2 U' F2 R' B' F
B2 R2 U' B' D2 F' R
L2 U2 B R D' F L'
B2 R2 D U' F' R' B'
L2 U2 B2 U' R F B'
L2 U2 B2 U' R B' F
L2 U2 B2 U' B' R F
B2 R2 D' U' F' R' B'
B2 R2 D2 U' F' R' B'
R D L D L F B'
R D L D L B' F
B2 R2 F U' R' F2 B'
B2 R2 F U' R' B' F2
B2 R2 F U' F2 R' B'
D' R2 F' L U2 R' F'
L' D L2 D B R F'
D' R2 F' L2 U2 R' F
D' R2 F' L2 U2 F R'
R2 D L2 R2 B R F
L' D L2 B D R F'
R2 D L2 F R' D2 B2
R2 D L2 F D2 R' B2
L2 D L2 B R D2 F2
D' R2 F' B2 L B U2
L2 D L2 B D2 R F2
L D L2 D2 B R F'
D R2 F' U2 L2 R' F
D R2 F' U2 L2 F R'
D R2 F' U2 R' L2 F
L D L2 B D2 R F'
B2 R2 F2 U' R' F B'
B2 R2 F2 U' R' B' F
B2 R2 F2 U' F R' B'
D R2 F2 L2 R' F B'
D R2 F2 L2 R' B' F
D R2 F2 L2 F R' B'
D R2 F2 R' L2 F B'
D R2 F2 R' L2 B' F
R2 D R2 L2 B R F
D' R2 B' U2 R2 B R'
D' R2 B' D2 F' U2 R
D' R2 B2 L F' B U2
D' R2 B2 L B F' U2
L2 D U B R F L2
D' R2 B2 F' L B U2
L2 D U' B R F L2
B2 U L B U2 R B
L2 D U2 B R F L2
L2 D F L2 D2 B R'
U' D L' B L' R F
U' D L' B R L' F
U2 D L' B L' R F
U2 D L' B R L' F
U' D L2 D B R F
U' D L2 D' B R F
U' D L2 D2 B R F
U' D L2 F D2 B R'
D U L' B L' R F
D U L' B R L' F
U' D L2 B R D F
U' D L2 B R D' F
U' D L2 B R D2 F
U' D L2 B R F D
U' D L2 B R F D'
U' D L2 B R F D2
U' D L2 B R' F R2
U' D L2 B R2 F R'
U' D L2 B D R F
U' D L2 B D' R F
U' D L2 B D2 R F
U' D L2 B' R F B2
U' D L2 B' R B2 F
U2 D L2 D B R F
U' D L2 B2 R F B'
U' D L2 B2 R B' F
U2 D L2 D' B R F
U2 D L2 D2 B R F
U D L' B L' R F
U D L' B R L' F
U2 D L2 F D2 B R'
U2 D L2 B R D F
U2 D L2 B R D' F
U2 D L2 B R D2 F
U2 D L2 B R F D
U2 D L2 B R F D'
U2 D L2 B R F D2
U2 D L2 B R' F R2
U2 D L2 B R2 F R'
D U L2 D B R F
R2 D F' U2 L2 R' F
R2 D F' U2 L2 F R'
U2 D L2 B D R F
R2 D F' U2 R' L2 F
U2 D L2 B D' R F
U2 D L2 B D2 R F
U2 D L2 B' R F B2
U2 D L2 B' R B2 F
D U L2 D' B R F
U2 D L2 B2 R F B'
U2 D L2 B2 R B' F
D U L2 D2 B R F
D U L2 F D2 B R'
D U L2 B R D F
D U L2 B R D' F
D U L2 B R D2 F
D U L2 B R F D
D U L2 B R F D'
D U L2 B R F D2
D U L2 B R' F R2
D U L2 B R2 F R'
D U L2 B D R F
D U L2 B D' R F
D U L2 B D2 R F
U D L2 D B R F
D U L2 B' R F B2
D U L2 B' R B2 F
U D L2 D' B R F
D U L2 B2 R F B'
D U L2 B2 R B' F
U D L2 D2 B R F
R2 D F2 L2 R' F B'
R2 D F2 L2 R' B' F
R2 D F2 L2 F R' B'
U D L2 F D2 B R'
R2 D F2 R' L2 F B'
R2 D F2 R' L2 B' F
U D L2 B R D F
U D L2 B R D' F
U D L2 B R D2 F
U D L2 B R F D
U D L2 B R F D'
U D L2 B R F D2
U D L2 B R' F R2
U D L2 B R2 F R'
U D L2 B D R F
U D L2 B D' R F
U D L2 B D2 R F
U D L2 B' R F B2
U D L2 B' R B2 F
L' D B L2 D R F'
U D L2 B2 R F B'
U D L2 B2 R B' F
L2 D B R F L2 D
L2 D B R F L2 D'
L2 D B R F L2 D2
L2 D B R F' L2 F2
L2 D B R F2 L2 F'
L2 D B R' F L2 R2
L2 D B R' F R2 L2
L2 D B R2 F L2 R'
L2 D B R2 F R' L2
L D B L R F L
L D B L2 D2 R F'
L D B R L F L
L2 D B' R F L2 B2
L2 D B' R F B2 L2
L2 D B' R B2 F L2
L2 D B2 R F B' L2
L2 D B2 R B' F L2
B2 U D B U2 R B2
B2 U D B U2 B2 R
B U D L2 B U' R
U' D F' L2 F B R
U' D F' L2 B F R
B U D B L2 U' R
U2 D F' L2 F B R
U2 D F' L2 B F R
B2 U D' B U2 R B2
B2 U D' B U2 B2 R
D U F' L2 F B R
D U F' L2 B F R
U D F' L2 F B R
U D F' L2 B F R
B2 U D2 B U2 R B2
B2 U D2 B U2 B2 R
U' D B L2 R D2 F2
U' D B L2 D2 R F2
U' D B R L2 D2 F2
D' U B R D2 F2 L'
B U D2 B U' R F2
U2 D B L2 R D2 F2
D' U B D2 L2 R F2
D' U B D2 R L2 F2
D' U B D2 R F2 L2
U2 D B L2 D2 R F2
U' D B D2 R F2 L'
U2 D B R L2 D2 F2
D U B L2 R D2 F2
D U B L2 D2 R F2
D U B R L2 D2 F2
D' U B' R2 U2 R' B2
U2 D B D2 R F2 L'
U' D B' U2 L2 R B2
U' D B' U2 L2 B2 R
U' D B' U2 R L2 B2
U D B L2 R D2 F2
U' D B' U2 R B2 L2
U D B L2 D2 R F2
U' D B' U2 B2 L2 R
U' D B' U2 B2 R L2
U D B R L2 D2 F2
D U B D2 R F2 L'
U2 D B' U2 L2 R B2
U2 D B' U2 L2 B2 R
U2 D B' U2 R L2 B2
U2 D B' U2 R B2 L2
U D B D2 R F2 L'
U2 D B' U2 B2 L2 R
U2 D B' U2 B2 R L2
D U B' U2 L2 R B2
D U B' U2 L2 B2 R
D U B' U2 R L2 B2
D U B' U2 R B2 L2
B2 U F2 B L' U2 B2
D U B' U2 B2 L2 R
D U B' U2 B2 R L2
B2 U B L U2 R B2
B2 U B L U2 B2 R
B2 U B L' U2 R B2
B2 U B L' U2 B2 R
B2 U B L2 U2 R B2
B2 U B L2 U2 B2 R
U D B' U2 L2 R B2
U D B' U2 L2 B2 R
U D B' U2 R L2 B2
U D B' U2 R B2 L2
U D B' U2 B2 L2 R
U D B' U2 B2 R L2
B2 U B U2 R B2 D
B2 U B U2 R B2 D'
B2 U B U2 R B2 D2
B2 U B U2 R' B2 R2
B2 U B U2 B' R B'
B2 U B U2 B2 R D
B2 U B U2 B2 R D'
B2 U B U2 B2 R D2
B2 U B U2 B2 D R
B2 U B U2 B2 D' R
B2 U B U2 B2 D2 R
B2 U B D2 F2 L' U2
B2 U B F2 L' U2 B2
B U B U B U2 R
B U B U' R2 F' R'
L2 D' R2 F' U2 R' F2
L2 D' R2 F' U2 F2 R'
R2 D' R2 B' U2 R B2
R2 D' R2 B' U2 B2 R
L D' R2 F' U2 R' F'
D U' L' B L' R F
D U' L' B R L' F
D U' L2 D B R F
D U' L2 D' B R F
D U' L2 D2 B R F
D U' L2 F D2 B R'
D U' L2 B R D F
D U' L2 B R D' F
D U' L2 B R D2 F
D U' L2 B R F D
D U' L2 B R F D'
D U' L2 B R F D2
D U' L2 B R' F R2
D U' L2 B R2 F R'
D U' L2 B D R F
D U' L2 B D' R F
D U' L2 B D2 R F
D U' L2 B' R F B2
D U' L2 B' R B2 F
D U' L2 B2 R F B'
D U' L2 B2 R B' F
L2 D' F D2 L2 B R'
L2 D' F D2 B L2 R'
L2 D' F D2 B R' L2
R2 D' F' R2 B' U2 R
B2 U' R B' R F' R'
L' D' B R D' F2 L'
L2 D' B R F2 L' F'
B' U' R' B' U' R2 B'
B' U' R' B' U' B' R2
B2 U' R' B' R' F' R'
L2 D' B D2 R F L2
B2 U' R2 D F' R' B'
D U' F' L2 F B R
D U' F' L2 B F R
B2 U' R2 D' F' R' B'
B2 U' R2 D2 F' R' B'
B2 U' R2 F R' F2 B'
B2 U' R2 F R' B' F2
B2 U' R2 F' R B' R2
B2 U' R2 F' R' D B'
B2 U' R2 F' R' D' B'
B2 U' R2 F' R' D2 B'
B2 U' R2 F' R' B' D
B2 U' R2 F' R' B' D'
B2 U' R2 F' R' B' D2
B2 U' R2 F' R2 B' R
B2 U' R2 F' D R' B'
B2 U' R2 F' D' R' B'
B2 U' R2 F' D2 R' B'
B2 U' R2 F2 R' F B'
B2 U' R2 F2 R' B' F
B2 U' R2 B' D2 F' R
R2 D' B' R2 U2 B R'
D' U' B R D2 F2 L'
U' D' B R D2 F2 L'
B2 U' D R2 F' R' B'
B2 U' D B' R D2 F2
U' D' B D2 L2 R F2
B2 U' D B' D2 R F2
U' D' B D2 R L2 F2
D' U' B D2 L2 R F2
U' D' B D2 R F2 L2
D' U' B D2 R L2 F2
D' U' B D2 R F2 L2
U2 D' B R D2 F2 L'
B2 U' D' R2 F' R' B'
B' U' D' B' R2 U' R'
U' D' B' R2 U2 R' B2
D' U' B' R2 U2 R' B2
D U' B L2 R D2 F2
D U' B L2 D2 R F2
D U' B R L2 D2 F2
B2 U' D' B' R D2 F2
B2 U' D' B' D2 R F2
U2 D' B D2 L2 R F2
U2 D' B D2 R L2 F2
U2 D' B D2 R F2 L2
U D' B R D2 F2 L'
B2 U' D2 R2 F' R' B'
D U' B D2 R F2 L'
B U' D' R2 F' U R'
U2 D' B' R2 U2 R' B2
B2 U' D2 B' R D2 F2
B2 U' D2 B' D2 R F2
U D' B D2 L2 R F2
U D' B D2 R L2 F2
U D' B D2 R F2 L2
D U' B' U2 L2 R B2
B2 U' F R2 F' R B'
D U' B' U2 L2 B2 R
B2 U' F R2 F' B' R
D U' B' U2 R L2 B2
D U' B' U2 R B2 L2
B2 U' F R2 B' F' R
D U' B' U2 B2 L2 R
D U' B' U2 B2 R L2
U D' B' R2 U2 R' B2
B2 U' F2 B' D2 F2 R
B2 U' B R B2 D2 F2
B2 U' B U2 R B2 L
D U2 L' B L' R F
D U2 L' B R L' F
B' U' B' R' U' R2 B'
B' U' B' R' U' B' R2
B' U' B' R2 U' R' B'
B2 U' B' R U2 B2 U2
B2 U' B' R D2 F2 D
B2 U' B' R D2 F2 D'
B2 U' B' R D2 F2 D2
B' U' B' U' R D B'
B' U' B' U' R D' B'
B' U' B' U' R D2 B'
B' U' B' U' R B' D
B' U' B' U' R B' D'
B' U' B' U' R B' D2
B2 U' B' R F D2 F2
B' U' B' U' R' B' R2
B2 U' B' R F' D2 F2
B2 U' B' R F2 D2 F2
B' U' B' U' D R B'
B' U' B' U' D B' R
B' U' B' U' D' R B'
B' U' B' U' D' B' R
B' U' B' U' D2 R B'
B' U' B' U' D2 B' R
D U2 L2 D B R F
B' U' B' U' B R B2
B' U' B' U' B' R D
B' U' B' U' B' R D'
B' U' B' U' B' R D2
B' U' B' U' B' D R
B' U' B' U' B' D' R
B' U' B' U' B' D2 R
D U2 L2 D' B R F
B2 U' B' R2 D2 R' F2
B2 U' B' R2 D2 F2 R'
B' U' B' D U' R B'
B' U' B' D U' B' R
D U2 L2 D2 B R F
B' U' B' D' U' R B'
B' U' B' D' U' B' R
D U2 L2 F D2 B R'
B' U' B' D2 U' R B'
B' U' B' D2 U' B' R
B2 U' B' U2 B2 U2 R
B2 U' B' D R D F2
D U2 L2 B R D F
D U2 L2 B R D' F
D U2 L2 B R D2 F
D U2 L2 B R F D
D U2 L2 B R F D'
D U2 L2 B R F D2
D U2 L2 B R' F R2
D U2 L2 B R2 F R'
D U2 L2 B D R F
D U2 L2 B D' R F
D U2 L2 B D2 R F
D U2 L2 B' R F B2
D U2 L2 B' R B2 F
B2 U' B' D2 R F2 D
B2 U' B' D2 R F2 D'
B2 U' B' D2 R F2 D2
B2 U' B' D2 R' F2 R2
B2 U' B' D2 R2 F2 R'
D U2 L2 B2 R F B'
D U2 L2 B2 R B' F
B2 U' B' F2 D2 F2 R
B' U2 R U B' U' B'
D U2 F' L2 F B R
D U2 F' L2 B F R
B' U2 R B D L2 B
B' U2 R B D B L2
B' U2 R B2 U B U'
D' U2 B R D2 F2 L'
L' D2 B R D' L2 F'
L' D2 B R D' F' L2
D' U2 B D2 L2 R F2
D' U2 B D2 R L2 F2
D' U2 B D2 R F2 L2
L2 D2 B R D' F L2
D' U2 B' R2 U2 R' B2
D U2 B L2 R D2 F2
D U2 B L2 D2 R F2
L2 D2 B D' R F L2
D U2 B R L2 D2 F2
B2 U2 R2 U F' R' B'
D U2 B D2 R F2 L'
D U2 B' U2 L2 R B2
D U2 B' U2 L2 B2 R
D U2 B' U2 R L2 B2
D U2 B' U2 R B2 L2
D U2 B' U2 B2 L2 R
D U2 B' U2 B2 R L2
D F L2 D2 F B R'
D F L2 D2 B R' F
D F L2 D2 B F R'
D F L2 F' B R F2
D F L2 B F' R F2
B' U2 B D L2 B R
B' U2 B D B L2 R
B' U2 B D B R L2
D' F R2 F' B' U2 R
D' F R2 B' F' U2 R
B' U2 B2 U B U' R
B U2 B2 U' B' U' R
F2 D L' U2 L' F B
F2 D L' U2 L' B F
F2 D L' U2 B L' F
F' D L' B L' F R
F' D L2 R' F R B
L2 F D L2 D B R'
F' D L2 D F B R
F' D L2 D B F R
F' D L2 D' F B R
F' D L2 D' B F R
F' D L2 D2 F B R
F' D L2 D2 B F R
F' D L2 F D B R
F' D L2 F D' B R
F' D L2 F D2 B R
F' D L2 F B R D
F' D L2 F B R D'
F' D L2 F B R D2
F' D L2 F B D R
F' D L2 F B D' R
F' D L2 F B D2 R
F' D L2 F B' R B2
F' D L2 F B2 R B'
F' D L2 B R F R
F' D L2 B R' F R
F' D L2 B R2 F R
F' D L2 B D F R
F' D L2 B D' F R
F' D L2 B D2 F R
F' D L2 B F R D
F' D L2 B F R D'
F' D L2 B F R D2
F' D L2 B F D R
F' D L2 B F D' R
F' D L2 B F D2 R
F' D L2 B' F R B2
F2 D L2 F B2 R' B'
F' D L2 B2 F R B'
F2 D L2 B2 R' F B'
F2 D L2 B2 R' B' F
F2 D L2 B2 F R' B'
D' F D2 L2 F B R'
D' F D2 L2 B R' F
D' F D2 L2 B F R'
B D L2 B U' R B'
F D L2 D F B R'
B D L2 B U' B' R
F D L2 D B R' F
F D L2 D B F R'
F D L2 F D B R'
F' D R' L2 F R B
L2 F D2 B R' D' L2
L2 F D2 B D' L2 R'
L2 F D2 B D' R' L2
B2 D R2 U' F' R' B'
B2 D U B U2 R B2
B2 D U B U2 B2 R
B D U L2 B U' R
B2 D U' R2 F' R' B'
B2 D U' B' R D2 F2
B D U B L2 U' R
B2 D U' B' D2 R F2
F' D F L2 B R F
F2 D F L2 F B R
F2 D F L2 B F R
D F' L' B L' F R
D F' L2 R' F R B
D F' L2 D F B R
D F' L2 D B F R
D F' L2 D' F B R
D F' L2 D' B F R
D F' L2 D2 F B R
D F' L2 D2 B F R
D F' L2 F D B R
D F' L2 F D' B R
D F' L2 F D2 B R
D F' L2 F B R D
D F' L2 F B R D'
D F' L2 F B R D2
D F' L2 F B D R
D F' L2 F B D' R
D F' L2 F B D2 R
D F' L2 F B' R B2
D F' L2 F B2 R B'
D F' L2 B R F R
D F' L2 B R' F R
D F' L2 B R2 F R
F2 D F2 L2 B R F
D F' L2 B D F R
D F' L2 B D' F R
D F' L2 B D2 F R
D F' L2 B F R D
D F' L2 B F R D'
D F' L2 B F R D2
D F' L2 B F D R
D F' L2 B F D' R
D F' L2 B F D2 R
D F' L2 B' F R B2
D F' L2 B2 F R B'
D F' R' L2 F R B
D' F' R2 F' B' L' U2
D' F' R2 B' F' L' U2
F2 D B' L' U2 L' B2
F2 D B' L' U2 B2 L'
F2 D B' U2 L2 B2 R'
U' F' D L2 F B R
U' F' D L2 B F R
R2 F' U2 R' D L2 F
R2 F' U2 D L2 R' F
R2 F' U2 D L2 F R'
R2 F' U2 D R' L2 F
U2 F' D L2 F B R
U2 F' D L2 B F R
R2 F' D U2 L2 R' F
R2 F' D U2 L2 F R'
R2 F' D U2 R' L2 F
U F' D L2 F B R
U F' D L2 B F R
D' F' D2 L2 F B R
D' F' D2 L2 B F R
R2 F' D' R2 B' U2 R
B D' R U' R F' U
B2 D' R2 U' F' R' B'
F' D' R2 F' B' L' U2
F' D' R2 B' F' L' U2
F2 D' R2 B' L' F' U2
B2 D' U B U2 R B2
B2 D' U B U2 B2 R
B' D' U' B' R2 U' R'
B2 D' U' R2 F' R' B'
B2 D' U' B' R D2 F2
B2 D' U' B' D2 R F2
B D' U' R2 F' U R'
D F2 L' U2 L' F B
D F2 L' U2 L' B F
D F2 L' U2 B L' F
D F2 L2 F B2 R' B'
D F2 L2 B2 R' F B'
D F2 L2 B2 R' B' F
D F2 L2 B2 F R' B'
R2 F2 R' D L2 F B'
R2 F2 R' D L2 B' F
B' D' B' R2 U' F' R'
D' F2 R2 B' L' F' U2
F2 D' B D2 F2 L2 R
F2 D' B D2 F2 R L2
F2 D' B' L' R2 U2 B2
F2 D' B' R2 L' U2 B2
D2 F2 U B D2 F2 R
D2 F2 U' B' L' U2 B2
R2 F2 D L2 R' F B'
R2 F2 D L2 R' B' F
R2 F2 D L2 F R' B'
R2 F2 D R' L2 F B'
R2 F2 D R' L2 B' F
B D2 R F D' F L'
