F2 L B' L' R' U
F2 L B' R' L' U
F2 U R' D F' R
F2 U D R' F' R
F2 U2 F' L' F U'
F2 D U R' F' R
F2 D2 B' R' B U
L B' L' R' F2 U
L B' L' F2 R' U
L B' R' L' F2 U
F2 B' D2 R' B U
B' F2 D2 R' B U
D2 R' B U2 L B U'
F2 R' B' D2 R' B U
F2 R2 L B' L' R' U
F2 R2 L B' R' L' U
F2 R2 U R' D F' R
F2 R2 U D R' F' R
F2 R2 U2 F' L' F U'
F2 R2 D U R' F' R
F2 R2 D2 B' R' B U
B' R2 F2 U2 L' F U'
F2 R2 B' D2 R' B U
D' U L2 R' D2 F' R
D' U L2 D2 R' F' R
D' U L2 B R' F' B'
D' U L2 B R' B' F'
F2 U R D R2 F' R
D' U R' L2 D2 F' R
F2 U R' D F' R D
F2 U R' D F' R D'
F2 U R' D F' R D2
F2 U R' D F' D R
F2 U R' D F' D' R
F2 U R' D F' D2 R
U' D R2 U2 R' F' R
D U R' F' R D2 L2
U D R' F' R D2 L2
F2 U D R' F' R D
F2 U D R' F' R D'
F2 U D R' F' R D2
F2 U D R' F' D R
F2 U D R' F' D' R
F2 U D R' F' D2 R
F2 U D R2 F' R F'
F2 U D F' R' F' R2
F2 U D' R' D2 F' R
F2 U D' B R' F' B'
F2 U D' B R' B' F'
F2 U F R' D F' R
D' U B R' F' B' L2
D' U B R' B' L2 F'
D' U B R' B' F' L2
F2 U F D R' F' R
F2 U F' R' D F' R
F2 U F' D R' F' R
F2 U F2 R' D F' R
F2 U F2 D R' F' R
F2 U B' D' B R' F'
D' U' L' B' L U2 L2
U' D' L' B' L U2 L2
F2 U' L U B' U F
U D' L2 R' D2 F' R
U D' L2 D2 R' F' R
U D' L2 B R' F' B'
U D' L2 B R' B' F'
F2 U' L' B' U' F U'
U D' R' L2 D2 F' R
D U' R2 U2 R' F' R
L D' B' L' R' U L'
D' U' B U2 L2 R' F'
U' D' B U2 L2 R' F'
L D' B' R' L' U L'
D' U' B U2 R' L2 F'
U' D' B U2 R' L2 F'
D' U' B U2 R' F' L2
U' D' B U2 R' F' L2
U' D' B' L U2 F L
D' U' B' L U2 F L
F2 U' D' L' B' L U2
U2 D' B U' L2 R' F'
U2 D' B U' R' L2 F'
U2 D' B U' R' F' L2
F2 U' D' B U2 R' F'
F2 U' D' B' L U2 F
U D' B R' F' B' L2
U D' B R' B' L2 F'
U D' B R' B' F' L2
F2 U2 L U2 B' R' U
B U2 L U2 F2 B' U
B U2 L U2 B' F2 U
F2 U2 L' F U2 R U
F2 U2 L' F' L' F2 U'
B U2 L' F L2 B' U'
D' U2 B U' L2 R' F'
D' U2 B U' R' L2 F'
D' U2 B U' R' F' L2
F2 U2 D F' L' U' R
F2 U2 F' L' D F U'
F2 U2 F' L' D' F U'
F2 U2 F' L' D2 F U'
F2 U2 F' L' F U' D
F2 U2 F' L' F U' D'
F2 U2 F' L' F U' D2
F2 U2 F' L' F D U'
F2 U2 F' L' F D' U'
F2 U2 F' L' F D2 U'
F2 U2 F2 L' F L' U'
D F U' L' R2 B' U2
D F U' L' B' R2 U2
D F U' R2 L' B' U2
L' F U2 F L R U
L' F U2 F R L U
F2 D R U R' F' R
F2 D R' U R' F' R
F2 D R2 U R' F' R
F2 D U R' F' R D
F2 D U R' F' R D'
F2 D U R' F' R D2
F2 D U R' F' D R
F2 D U R' F' D' R
F2 D U R' F' D2 R
F2 D U R2 F' R F'
F2 D U F' R' F' R2
F2 D U2 F' L' U' R
U2 F' L' F U' D' L2
U2 F' L' F U2 F2 U
U2 F' L' F D' U' L2
U2 F' L' F D2 B2 U'
F' D F' R2 U R' F'
F' D F' U R' F' R2
F' D F' B' R' U R2
F D F U' L' B' U2
F' D B' F' R' U R2
F2 D B' D R' B U
D F' U' R2 U2 R' F'
B' D' R' B U L2 R'
B' D' R' B U R' L2
F2 D' U R' D2 F' R
F2 D' U B R' F' B'
F2 D' U B R' B' F'
L' F2 L U2 F' L' U'
F2 D' U' L' B' L U2
R' F2 L B' L' R' U
R' F2 L B' R' L' U
F2 D' U' B U2 R' F'
F2 D' U' B' L U2 F
R2 F2 L B' L' R' U
R2 F2 L B' R' L' U
L2 F2 L' B' L' R' U
L2 F2 L' B' R' L' U
R F2 L B' L' R' U
R F2 L B' R' L' U
B' D' B U L2 R' F'
B' D' B U R' L2 F'
B' D' B U R' F' L2
F2 D' B U2 L U' R'
R' F2 U R' D F' R
R' F2 U D R' F' R
F2 D' B' R' U' L U2
F2 D' B' R' B2 U R'
R2 F2 U R' D F' R
R2 F2 U D R' F' R
R' F2 U2 F' L' F U'
R F2 U R' D F' R
R F2 U D R' F' R
R' F2 D U R' F' R
R2 F2 U2 F' L' F U'
R2 F2 D U R' F' R
R F2 U2 F' L' F U'
F2 D2 R U2 F' L' U'
R' F2 D2 B' R' B U
B' D2 R' D B U L2
R F2 D U R' F' R
B' D2 R' D2 F2 B U
B' D2 R' D2 B F2 U
B' D2 R' B U2 B U'
F2 D2 R' B U2 L U'
F2 D2 R' B' R' B2 U
R2 F2 D2 B' R' B U
R' F2 B' D2 R' B U
R F2 D2 B' R' B U
R2 F2 B' D2 R' B U
L F2 B' R' U D B2
L F2 B' R' U2 R2 U'
L F2 B' R' D U B2
L F2 B' R' D2 L2 U
R F2 B' D2 R' B U
F' D2 F' B' R' B U
F D2 F B' R' B U
F2 D2 B' R' D B U
F2 D2 B' R' D' B U
F2 D2 B' R' D2 B U
F2 D2 B' R' B U D
F2 D2 B' R' B U D'
F2 D2 B' R' B U D2
F2 D2 B' R' B D U
F2 D2 B' R' B D' U
F2 D2 B' R' B D2 U
F' D2 B' F' R' B U
F2 D2 B2 R' B R' U
F D2 B' R' F B U
F D2 B' R' B F U
D' B U2 L U' L R'
D' B U2 L U' R' L
F D2 B' F R' B U
F2 B U2 L U2 B' U
F2 B U2 L' F L2 U'
L B' L R' F2 L2 U
L B' L F2 L2 R' U
L B' L F2 R' L2 U
L B' L' R F2 R2 U
L B' L' R' U D' L2
L B' L' R' D' U L2
L B' L' R' F2 U D
L B' L' R' F2 U D'
L B' L' R' F2 U D2
L B' L' R' F2 D U
L B' L' R' F2 D' U
L B' L' R' F2 D2 U
L B' L' D' R' U L2
L B' L' F R' F U
L B' L' F2 R' U D
L B' L' F2 R' U D'
L B' L' F2 R' U D2
L B' L' F2 R' D U
L B' L' F2 R' D' U
L B' L' F2 R' D2 U
L B' L' F2 D R' U
L B' L' F2 D' R' U
L B' L' F2 D2 R' U
B' F D2 R' F B U
B' F D2 R' B F U
L B' L2 R' F2 L U
D' B' R' U' L U2 L
B' F D2 F R' B U
D2 B' R' B U D L2
D2 B' R' B U2 B2 U'
D2 B' R' B D U L2
D2 B' R' B D2 F2 U
L B' L2 F2 L R' U
L B' L2 F2 R' L U
D' B' R' B2 U L2 R'
D' B' R' B2 U R' L2
L B' R L' F2 R2 U
F2 B D2 B2 R' B U
F2 B' L R' B' L' U
L B' R' L F2 L2 U
L B' R' L' U D' L2
L B' R' L' D' U L2
L B' R' L' F2 U D
L B' R' L' F2 U D'
L B' R' L' F2 U D2
L B' R' L' F2 D U
L B' R' L' F2 D' U
L B' R' L' F2 D2 U
L B' R' L2 F2 L U
L B' R' D' L' U L'
L B' R' F2 U2 R U'
F2 B' R' L B' L' U
F2 B' R' D' B U R'
L B' D' L' R' U L'
U B' D' L2 B R' F'
L B' D' R' L' U L'
U B' D' B L2 R' F'
U B' D' B R' L2 F'
U B' D' B R' F' L2
R' B' F2 D2 R' B U
B' F' D F' R' U R2
F' B' D F' R' U R2
R2 B' F2 D2 R' B U
F2 B' D' R' B U R'
L B' F2 R' U D B2
L B' F2 R' U2 R2 U'
L B' F2 R' D U B2
L B' F2 R' D2 L2 U
F2 B' D' B U R' F'
B' F' D2 F' R' B U
B' F2 L R' B' L' U
F2 B' D2 R' D B U
F2 B' D2 R' D' B U
F2 B' D2 R' D2 B U
F' B' D2 F' R' B U
F2 B' D2 R' B U D
F2 B' D2 R' B U D'
F2 B' D2 R' B U D2
F2 B' D2 R' B D U
F2 B' D2 R' B D' U
F2 B' D2 R' B D2 U
R B' F2 D2 R' B U
F B' D2 R' F B U
F B' D2 R' B F U
L B2 L' F2 B R' U
L B2 L' B R' F2 U
L B2 L' B F2 R' U
F B' D2 F R' B U
B' F2 R' L B' L' U
B' F2 R' D' B U R'
B F2 U2 L U2 B' U
B F2 U2 L' F L2 U'
B' F2 D' R' B U R'
B' F2 D' B U R' F'
B' F2 D2 R' D B U
B' F2 D2 R' D' B U
B' F2 D2 R' D2 B U
B' F2 D2 R' B U D
B' F2 D2 R' B U D'
B' F2 D2 R' B U D2
B' F2 D2 R' B D U
B' F2 D2 R' B D' U
B' F2 D2 R' B D2 U
B F2 D2 B2 R' B U
