F2 L' U L' F' B'
F2 L' U L' B' F'
F L' F' U F L'
F L' F2 U F2 L'
D R' F2 U F' B
D R' F2 U B F'
F2 U L' B' L' F'
F2 U F' L' B' L'
F' U2 R U' L2 F2
F' U2 R U' F2 L2
U F L D' L B2
L F L' U F L2
U F L2 U' L U
U F U' L' U L'
F D L' F2 U F2
F' D F2 L' R2 U
F' D F2 R2 L' U
F' U2 D' L2 B2 R U'
F' U2 D' R L2 B2 U'
F' U2 D' R B2 L2 U'
F' U2 D' B2 L2 R U'
F' U2 D' B2 R L2 U'
R' F L' F' U F L'
R' F L' F2 U F2 L'
L2 F L' U L' F L2
U F L U' L2 U L'
U F L D L D2 B2
U F L D' L B2 D
U F L D' L B2 D'
U F L D' L B2 D2
U F L D' L' B2 L2
U F L D' L2 B2 L'
U F L D2 L D B2
U F L B2 D' B2 L
R2 F L' F' U F L'
R2 F L' F2 U F2 L'
L F L' R U F L2
L F L' R' U F L2
L F L' R2 U F L2
L F L' U F L2 D
L F L' U F L2 D'
L F L' U F L2 D2
L F L' U F' L2 F2
L F L' U F2 L2 F'
L F L' D F2 U F'
L F L' F' U L2 F2
L F L' F' U F2 L2
L F L' F2 U L2 F'
L F L' F2 U F' L2
R F L' F' U F L'
R F L' F2 U F2 L'
U F L2 U' L U D
U F L2 U' L U D'
U F L2 U' L U D2
U F L2 U' L D U
U F L2 U' L D' U
U F L2 U' L D2 U
U F L2 U' D L U
U F L2 U' D' L U
U F L2 U' D2 L U
U F L2 D U' L U
U F L2 D' U' L U
U F L2 D2 U' L U
U F L2 B2 U R' U'
L F R L' U F L2
F' U2 B R U' L2 F2
F' U2 B R U' F2 L2
L F R' L' U F L2
D F R' F U F' B
D F R' F U B F'
F' U2 B' R U' L2 F2
F' U2 B' R U' F2 L2
L F R2 L' U F L2
F' U2 B2 R U' L2 F2
F' U2 B2 R U' F2 L2
F' D L F2 L' R2 U
F' D L F2 R2 L' U
U F U' L' U L' D
U F U' L' U L' D'
U F U' L' U L' D2
U F U' L' U D L'
U F U' L' U D' L'
U F U' L' U D2 L'
U F U' L' D U L'
U F U' L' D' U L'
U F U' L' D2 U L'
R' F D L' F2 U F2
U F U' D L' F2 U
F' D L' F2 L' R2 U
F' D L' F2 R2 L' U
F D L F2 L2 U F2
R2 F D L' F2 U F2
F D L' R F2 U F2
F D L' R' F2 U F2
F D L' R2 F2 U F2
F' D L2 F2 L' R2 U
F' D L2 F2 R2 L' U
U F D L D' L2 B2
U F D L D' B2 L2
F D L' F2 R U F2
F D L' F2 R' U F2
F D L' F2 R2 U F2
F D L' F2 U F2 D
F D L' F2 U F2 D'
F D L' F2 U F2 D2
F D L' F2 D R2 U
R F D L' F2 U F2
U F D U' L' F2 U
F D L2 F2 L U F2
D F D' F L' U F'
F D R L' F2 U F2
F D R' L' F2 U F2
F' D R2 F2 U2 R' U'
U F B L D' L B2
U F B L2 U' L U
U F B U' L' U L'
F D R2 L' F2 U F2
U F B' L D' L B2
U F B' L2 U' L U
U F B' U' L' U L'
U F B2 L D' L B2
U F B2 L2 U' L U
U F B2 U' L' U L'
F' D F R2 F L' U
U F' L F2 L D' B2
F2 D F' L' F' U F
F' D F2 L' R2 U D
F' D F2 L' R2 U D'
F' D F2 L' R2 U D2
F' D F2 L' R2 D U
F' D F2 L' R2 D' U
F' D F2 L' R2 D2 U
F' D F2 L' U D' F2
F' D F2 L' D' U F2
U F' L2 U R U' F2
F' D F2 R2 L' U D
F' D F2 R2 L' U D'
F' D F2 R2 L' U D2
F' D F2 R2 L' D U
F' D F2 R2 L' D' U
F' D F2 R2 L' D2 U
F' D F2 R2 D L' U
F' D F2 R2 D' L' U
F' D F2 R2 D2 L' U
U2 F' R F U' F L2
F' D F2 D' L' U F2
U F' L2 F2 U' L' U
U F' R U' L2 R' F2
U F' R U' L2 F2 R'
U F' R U' R' L2 F2
U F' R U' R' F2 L2
U F' R U' F2 L2 R'
U F' R U' F2 R' L2
F D F2 U2 R U' F2
U' F' U' R U' L2 F2
U' F' U' R U' F2 L2
U F' U R U' L2 F2
U F' U R U' F2 L2
R' F' U2 R U' L2 F2
R' F' U2 R U' F2 L2
R2 F' U2 R U' L2 F2
R2 F' U2 R U' F2 L2
R' F' D F2 L' R2 U
R' F' D F2 R2 L' U
R F' U2 R U' L2 F2
R F' U2 R U' F2 L2
R2 F' D F2 L' R2 U
F D' L' D2 F2 U F2
R2 F' D F2 R2 L' U
R F' D F2 L' R2 U
R F' D F2 R2 L' U
F' D' U2 L2 R B2 U'
F' D' U2 L2 B2 R U'
R' F2 L' U L' F' B'
R' F2 L' U L' B' F'
F' D' U2 R L2 B2 U'
F' D' U2 R B2 L2 U'
F' D' U2 B2 L2 R U'
F' D' U2 B2 R L2 U'
R2 F2 L' U L' F' B'
R2 F2 L' U L' B' F'
U F2 L F' L D' B2
R F2 L' U L' F' B'
R F2 L' U L' B' F'
U F2 L2 F' U' L' U
R' F2 U L' B' L' F'
R' F2 U F' L' B' L'
R2 F2 U L' B' L' F'
D F2 U R' B R F'
R2 F2 U F' L' B' L'
D F2 U F' R' B R
L F2 U L' F B' L2
L F2 U L' B' F L2
R F2 U L' B' L' F'
R F2 U F' L' B' L'
F D2 L' D' F2 U F2
D F2 D2 L U F' B'
D F2 D2 L U B' F'
B2 F L D' L R2 B2
B2 F L D' L B2 R2
B2 F L D' R2 L B2
B' F L2 U' L B U
B2 F L2 U' L B2 U
U B F L D' L B2
U B F L2 U' L U
B' F U' L' B U L'
U B F U' L' U L'
B2 F U' L' B2 U L'
B' F U' B L' U L'
B2 F U' B2 L' U L'
B F U' B' L' U L'
F B U' B' L' U L'
F B' L2 U' L B U
F B' U' L' B U L'
U B' F L D' L B2
U B' F L2 U' L U
U B' F U' L' U L'
F B' U' B L' U L'
F B2 L D' L R2 B2
F B2 L D' L B2 R2
F B2 L D' R2 L B2
F B2 L2 U' L B2 U
F B2 U' L' B2 U L'
F B2 U' B2 L' U L'
U B2 F L D' L B2
U B2 F L2 U' L U
U B2 F U' L' U L'
