F L' R2 U' L2 U'
F L' R2 U2 D F2
F L' R2 D U2 F2
F L' R2 D' B2 U2
F R2 L' U' L2 U'
F R2 L' U2 D F2
F R2 L' D U2 F2
F R2 L' D' B2 U2
R2 F L' U' L2 U'
R2 F L' U2 D F2
R2 F L' D U2 F2
R2 F L' D' B2 U2
D' L2 F2 R U B' R'
L U R2 L' F L' U2
L U R2 F L' F U2
F R L' U2 D F2 L'
F R L' D R U2 F2
F R L' D U2 F2 L'
L U F L' R2 F U2
F R L' D' R B2 U2
L U F L' F R2 U2
F R L' D' B2 R U2
L U F R2 L' F U2
L U' D2 L2 R' B R'
L U' D2 L2 B R' B
L U' D2 R' L2 B R'
L U' D2 R' B L2 R'
L U' D2 R' B R' L2
L U' D2 B L2 R' B
L U' D2 B R' L2 B
L U' D2 B R' B L2
F R' L' D R' U2 F2
F R' L' D' R' B2 U2
F R' L' D' B2 U2 L
B2 R' U' R' F L' U2
B2 R' U' F L' R' U2
B2 R' U' F R' L' U2
F R2 L' U D2 R2 U
F R2 L' U' L2 U' D
F R2 L' U' L2 U' D'
F R2 L' U' L2 U' D2
F R2 L' U' L2 D U'
F R2 L' U' L2 D' U'
F R2 L' U' L2 D2 U'
F R2 L' U2 D F2 D
F R2 L' U2 D F2 D'
F R2 L' U2 D F2 D2
F R2 L' U2 F D F2
F R2 L' U2 F' D F2
F R2 L' U2 F2 D F2
F R2 L' D U2 F2 D
F R2 L' D U2 F2 D'
F R2 L' D U2 F2 D2
F R2 L' D B U2 F2
F R2 L' D B' U2 F2
F R2 L' D B2 U2 F2
F R2 L' D' B2 U2 D
F R2 L' D' B2 U2 D'
F R2 L' D' B2 U2 D2
F R2 L' D' B2 D U2
F R2 L' D' B2 D' U2
F R2 L' D' B2 D2 U2
F R2 L' D2 U R2 U
F R2 L' B U' L2 U'
F R2 L' B U2 D F2
F R2 L' B D U2 F2
F R2 L' B D' B2 U2
F R2 L' B' U' L2 U'
F R2 L' B' U2 D F2
F R2 L' B' D U2 F2
F R2 L' B' D' B2 U2
F R2 L' B2 U' L2 U'
F R2 L' B2 U2 D F2
F R2 L' B2 D U2 F2
F R2 L' B2 D' B2 U2
F R2 U' L U L2 U2
F R2 U' L U' D2 R2
F R2 U' L D F2 U'
F R2 U' L D2 U' R2
F R2 U' F2 L U' R
F R2 D L' U' L2 U'
F R2 D L' U2 D F2
F R2 D L' D U2 F2
F R2 D L' D' B2 U2
F R2 D' L' U' L2 U'
F R2 D' L' U2 D F2
F R2 D' L' D U2 F2
F R2 D' L' D' B2 U2
U' R2 F L' U' L2 U'
F R2 D2 L' U' L2 U'
U' R2 F L' U2 D F2
F R2 D2 L' U2 D F2
U' R2 F L' D U2 F2
F R2 D2 L' D U2 F2
U' R2 F L' D' B2 U2
F R2 D2 L' D' B2 U2
U2 R2 F L' U' L2 U'
U2 R2 F L' U2 D F2
U2 R2 F L' D U2 F2
U2 R2 F L' D' B2 U2
B2 R2 F D' L' U2 F
U R2 F L' U' L2 U'
U R2 F L' U2 D F2
U R2 F L' D U2 F2
U R2 F L' D' B2 U2
B R2 F D L' U2 F
F' R2 F2 U' L U' R'
L D R F' R B2 U'
L D R F' B2 R U'
L D R B2 F' R U'
F R2 B D L' U2 F
F R2 B2 L' U R' U
L D F' R F' B2 U'
L D F' R B2 F' U'
L D F' B2 R F' U'
L D B2 R F' R U'
L D B2 F' R F' U'
F U' L U L2 R2 U2
F U' L U R2 L2 U2
F U' L U' D2 L2 R2
F U' L U' D2 R2 L2
F U' L D F2 B2 U'
F U' L D B2 F2 U'
F U' L D2 U' L2 R2
F U' L D2 U' R2 L2
B' U' R2 F L' B' U2
B' U' F L' R2 B' U2
B' U' F L' B' R2 U2
B' U' F R2 L' B' U2
L D2 R' U' L2 B R'
L D2 R' U' B L2 R'
L D2 R' U' B R' L2
L D2 U' L2 R' B R'
L D2 U' L2 B R' B
L D2 U' R' L2 B R'
L D2 U' R' B L2 R'
L D2 U' R' B R' L2
L D2 U' B L2 R' B
L D2 U' B R' L2 B
L D2 U' B R' B L2
L D2 B U' L2 R' B
L D2 B U' R' L2 B
L D2 B U' R' B L2
U' F L' R2 U' L2 U'
U' F L' R2 U2 D F2
U' F L' R2 D U2 F2
R' F L' R' U' L2 U'
U' F L' R2 D' B2 U2
R' F L' R' U2 D F2
R' F L' R' D U2 F2
R' F L' R' D' B2 U2
R' F L' D R' U2 F2
R' F L' D' R' B2 U2
R' F L' D' B2 U2 L
U2 F L' R2 U' L2 U'
U2 F L' R2 U2 D F2
U2 F L' R2 D U2 F2
U2 F L' R2 D' B2 U2
R2 F L' U D2 R2 U
R2 F L' U' L2 U' D
R2 F L' U' L2 U' D'
R2 F L' U' L2 U' D2
R2 F L' U' L2 D U'
R2 F L' U' L2 D' U'
R2 F L' U' L2 D2 U'
R2 F L' U2 D F2 D
R2 F L' U2 D F2 D'
R2 F L' U2 D F2 D2
R2 F L' U2 F D F2
R2 F L' U2 F' D F2
R2 F L' U2 F2 D F2
R2 F L' D U2 F2 D
R2 F L' D U2 F2 D'
R2 F L' D U2 F2 D2
R2 F L' D B U2 F2
R2 F L' D B' U2 F2
R2 F L' D B2 U2 F2
R2 F L' D' B2 U2 D
R2 F L' D' B2 U2 D'
R2 F L' D' B2 U2 D2
R2 F L' D' B2 D U2
R2 F L' D' B2 D' U2
R2 F L' D' B2 D2 U2
R2 F L' D2 U R2 U
U F L' R2 U' L2 U'
U F L' R2 U2 D F2
U F L' R2 D U2 F2
U F L' R2 D' B2 U2
R2 F L' B U' L2 U'
R2 F L' B U2 D F2
R2 F L' B D U2 F2
R2 F L' B D' B2 U2
R2 F L' B' U' L2 U'
R2 F L' B' U2 D F2
R2 F L' B' D U2 F2
R2 F L' B' D' B2 U2
R2 F L' B2 U' L2 U'
R2 F L' B2 U2 D F2
R2 F L' B2 D U2 F2
R2 F L' B2 D' B2 U2
R' F R' L' U' L2 U'
R' F R' L' U2 D F2
R' F R' L' D U2 F2
R' F R' L' D' B2 U2
U' F R2 L' U' L2 U'
U' F R2 L' U2 D F2
U' F R2 L' D U2 F2
U' F R2 L' D' B2 U2
U2 F R2 L' U' L2 U'
U2 F R2 L' U2 D F2
U2 F R2 L' D U2 F2
U2 F R2 L' D' B2 U2
U F R2 L' U' L2 U'
U F R2 L' U2 D F2
U F R2 L' D U2 F2
U F R2 L' D' B2 U2
L F U L' R2 F U2
L F U L' F R2 U2
R2 F U' L U L2 U2
R2 F U' L U' D2 R2
R2 F U' L D F2 U'
R2 F U' L D2 U' R2
L F U R2 L' F U2
F' D L B2 R2 U' R'
R2 F U' F2 L U' R
R2 F D L' U' L2 U'
R2 F D L' U2 D F2
R2 F D L' D U2 F2
R2 F D L' D' B2 U2
F D L' U' L2 B2 U'
F D L' U' B2 L2 U'
F D L' U2 D L2 F2
F D L' U2 D F2 L2
F D L' D U2 L2 F2
F D L' D U2 F2 L2
F D L' D' R2 B2 U2
F D L' D' B2 R2 U2
R2 F D' L' U' L2 U'
R2 F D' L' U2 D F2
R2 F D' L' D U2 F2
R2 F D' L' D' B2 U2
R2 F D2 L' U' L2 U'
R2 F D2 L' U2 D F2
R2 F D2 L' D U2 F2
R2 F D2 L' D' B2 U2
R2 F B D L' U2 F
R2 F B2 L' U R' U
L' F' R D F2 L' B'
F D' L' D R2 U2 F2
F D' L' D' B2 U2 L2
F' D2 L U' L R B2
F' D2 L U' L B2 R
F' D2 L U' R L B2
F D2 L' U' L2 U' L
F D2 L' U2 D L' F2
F D2 L' D U2 L' F2
F D2 L' D' B2 U2 L'
F' D2 B2 L2 R D' F2
F' D2 B2 R L2 D' F2
B2 F L' R2 U R U
B2 F R2 L' U R U
R2 B F D L' U2 F
B F R2 D L' U2 F
F B R2 D L' U2 F
F B2 L' R2 U R U
F B2 R2 L' U R U
R2 B2 F L' U R' U
