F R U R2 B R
F R U' F' U2 R'
U' R' F U F2 B
U' R' F U B F2
D' F L' R U R'
D' F R L' U R'
U' F R' U F' B
U' F R' U B F'
R2 F R U B R
R2 F R U B D' R
R2 F R U B D2 R
R2 F R U B' R B2
R2 F R U B2 R B'
U' F R' D' U F' B
U' F R' D' U B F'
U' F R' D2 U F' B
U' F R' D2 U B F'
R2 F R D U B R
D F R U D' R' B
R2 F R D' U B R
R2 F R D2 U B R
D F R D' U R' B
R2 F R B' U R B2
R2 F R B' U B2 R
R2 F R B2 U R B'
R2 F R B2 U B' R
R F R U R2 D2 B2
R F R U' F2 U2 R2
D' F D L' R U R'
D' F D R L' U R'
D' F D' L' R U R'
D' F D' R L' U R'
R2 F D R B2 U B'
R2 F D B2 R U B
D' F D2 L' R U R'
D' F D2 R L' U R'
D' F B L' R U R'
D' F B R L' U R'
R F D' L2 R U R2
R F D' R L2 U R2
F D R U D' R' B
F D R D' U R' B
D' F B' L' R U R'
D' F B' R L' U R'
R F D2 R U R2 B2
R F D2 R U B2 R2
R2 F B R U B R
D' F B2 L' R U R'
D' F B2 R L' U R'
R2 F B' R U B R
D F B' L R U R'
D F B' R L U R'
R2 F B2 R U B R
R2 F B2 R U B R
D2 F' L D' B' L2 F
U' F' R' F2 U F B
U' F' R' F2 U B F
F D B' L R U R'
F D B' R L U R'
D' F' U' F2 L' R U
D' F' U' F2 R L' U
R F' U F2 R U R2
F D' R U D R' B
F D' R D U R' B
B' D' F L' R U R'
B' D' F R L' U R'
B2 D' F L' R U R'
B2 D' F R L' U R'
B D' F L' R U R'
B D' F R L' U R'
D' F2 U' F' R U B
F' D2 L D F2 B' L2
F' D2 L D B' L2 F2
F' D2 L D B' F2 L2
F D2 L R U R' B'
F D2 R L U R' B'
F D2 R U D2 R' B
F D2 R D2 U R' B
B' F R U R2 B R
B' F R U' F' U2 R'
B2 F R U R2 B R
B2 F R U' F' U2 R'
B F R U R2 B R
D' B F L' R U R'
B F R U' F' U2 R'
D' B F R L' U R'
F B R U R2 B R
F B R U' F' U2 R'
R2 B F R U B R
U2 B' U R' F U B
U2 B' U F R' U B
F B' R U R2 B R
F B' R U' F' U2 R'
D' B' F L' R U R'
D' B' F R L' U R'
D B' F L R U R'
R2 B' F R U B R
D B' F R L U R'
F B2 R U R2 B R
F B2 R U' F' U2 R'
D' B2 F L' R U R'
D' B2 F R L' U R'
R2 B2 F R U B R
