F U' L D' F2
F U' D' L F2
F U' D' F2 L
F U2 R2 U L
D2 F L2 U' L'
D' F U' F L
F D' U' L F2
F D' U' F2 L
F D2 L2 U' L'
F D2 L2 U' L'
D' L' F U' F L2 R
D' L' F U' F R L2
F2 L' F' U' L2 D' F2
F2 L' F' U2 R2 U L2
F2 L' F' D' B2 U' F2
F' L' F2 U' L2 D' F2
F' L' F2 U2 R2 U L2
F' L' F2 D' B2 U' F2
F L' B U' L2 D' F2
F L' B U2 R2 U L2
F L' B D' B2 U' F2
D L' B' U' L2 F R
F L' B' U' L2 D' F2
F L' B' U2 R2 U L2
L2 R2 D B' U B' L'
R2 L2 D B' U B' L'
F L' B' D' B2 U' F2
F L' B2 U' L2 D' F2
F L' B2 U2 R2 U L2
F L' B2 D' B2 U' F2
L2 R2 D2 B' L2 U L
R2 L2 D2 B' L2 U L
U' L2 R2 B' U L' B
U' L2 R2 B' U B L'
U2 L2 R2 B' L2 U L
F L2 U D B2 U2 L'
U L2 U R2 B' U L'
U' L2 U' R2 B' U L'
F' L2 U' D' L' F2 R
U L2 U B' R2 U L'
F L2 U' L' U' R2 U
F L2 U' L' D' F2 D
F L2 U' L' D' F2 D'
F L2 U' L' D' F2 D2
F L2 U' L' F D' F2
F L2 U' L' F' D' F2
F L2 U' L' F2 D' F2
F L2 U' L2 D' L F2
F L2 U' L2 D' F2 L
F L2 U' D L' D2 F2
U' L2 U' B' R2 U L'
F L2 U' D' L F2 L2
F L2 U' D' L' F2 D
F L2 U' D' L' F2 D'
F L2 U' D' L' F2 D2
F L2 U' D' L2 F2 L
F L2 U' F2 D' F2 L'
D2 L2 U2 D B' U L'
D2 L2 U2 D' B' U L'
D2 L2 U2 D2 B' U L'
F2 L2 U2 R2 B U L'
B L2 U2 R2 B' U L
D2 L2 U2 B' U L' D
D2 L2 U2 B' U L' D'
D2 L2 U2 B' U L' D2
D2 L2 U2 B' U D L'
D2 L2 U2 B' U D' L'
D2 L2 U2 B' U D2 L'
D2 L2 U2 B' D U L'
D2 L2 U2 B' D' U L'
D2 L2 U2 B' D2 U L'
F L2 U2 R2 U L' D
F L2 U2 R2 U L' D'
F L2 U2 R2 U L' D2
F L2 U2 R2 U D L'
F L2 U2 R2 U D' L'
F L2 U2 R2 U D2 L'
F L2 U2 R2 D U L'
D' L2 U2 B' U L' F2
F L2 U2 R2 D' U L'
F L2 U2 R2 D2 U L'
L2 R2 B' U L' D B2
L2 R2 B' U D L' B2
L2 R2 B' U D B2 L'
R2 L2 B' U L' D B2
R2 L2 B' U D L' B2
R2 L2 B' U D B2 L'
B L2 U2 B' R2 U L
L2 R2 B' U2 R2 U' L'
R2 L2 B' U2 R2 U' L'
L2 R2 B' D U L' B2
L2 R2 B' D U B2 L'
R2 L2 B' D U L' B2
R2 L2 B' D U B2 L'
D2 L2 D U2 B' U L'
L2 R2 B' D2 L2 U L
D L2 D L2 F U' L
R2 L2 B' D2 L2 U L
F L2 D U B2 U2 L'
F L2 D U' L' D2 F2
D' L2 D' L2 F U' L
F L2 D' L U' L2 F2
F L2 D' L U' F2 L2
D2 L2 D' U2 B' U L'
F' L2 D' U' L' F2 R
F L2 D' L2 U' L F2
F L2 D' L2 U' F2 L
F L2 D' U' L F2 L2
F L2 D' U' L' F2 D
F L2 D' U' L' F2 D'
F L2 D' U' L' F2 D2
F L2 D' U' L2 F2 L
F L2 D' B U' L' F2
F L2 D' B' U' L' F2
F2 L2 D2 L2 F' U' L
F L2 D' B2 U' L' F2
D2 L2 D2 U2 B' U L'
B L2 D2 L2 F U' L'
F L2 D2 L2 U' L D
F L2 D2 L2 U' L D'
F L2 D2 L2 U' L D2
F L2 D2 L2 U' D L
F L2 D2 L2 U' D' L
F L2 D2 L2 U' D2 L
F L2 D2 L2 D U' L
F L2 D2 L2 D' U' L
F L2 D2 L2 D2 U' L
F L2 D2 B L2 U' L
F L2 D2 B' L2 U' L
F L2 D2 B2 L2 U' L
F' L2 F2 U' D' F2 L'
F' L2 F2 D' U' F2 L'
D2 L2 B U' L' D' R2
D2 L2 B U' D' L' R2
D2 L2 B U' D' R2 L'
D2 L2 B U2 B2 U L'
D2 L2 B D' U' L' R2
D2 L2 B D' U' R2 L'
F L2 B U' L' D' F2
F L2 B U' D' L' F2
F L2 B U2 R2 U L'
F L2 B D' U' L' F2
F L2 B D2 L2 U' L
U2 L2 B' L2 R2 U L
R2 U R2 F U' L F'
R2 U R2 F U' F' L
U2 L2 B' R2 L2 U L
F L2 B' U' L' D' F2
F L2 B' U' D' L' F2
F L2 B' U2 R2 U L'
F L2 B' D' U' L' F2
F L2 B' D2 L2 U' L
D2 L2 B2 U2 B U L'
F L2 B2 U' L' D' F2
F L2 B2 U' D' L' F2
F L2 B2 U2 R2 U L'
F L2 B2 D' U' L' F2
F L2 B2 D2 L2 U' L
L U' L R2 B' U B
D2 R F L2 R' U' L'
D2 R F R' L2 U' L'
D' R F R' U' F L
L' U' L2 D' F R F
L' U' L2 F D' R F2
L' U' L2 F' D' F2 R
F' R F2 L' R' U' L2
F' R F2 R' L' U' L2
L U' R2 L B' U B
L2 U' R2 B' U L' B
L2 U' R2 B' U B L'
L' U' F L2 D' R F2
L' U2 R B R U L2
L2 U2 R B' R U L'
R2 U2 R' F R' U' L
L2 U2 R2 D B' U L'
L2 U2 R2 D' B' U L'
L2 U2 R2 D2 B' U L'
R2 U2 R2 D F U' L
R2 U2 R2 D' F U' L
R2 U2 R2 D2 F U' L
R2 U2 R2 F U' L D
R2 U2 R2 F U' L D'
R2 U2 R2 F U' L D2
R2 U2 R2 F U' D L
R2 U2 R2 F U' D' L
R2 U2 R2 F U' D2 L
R2 U2 R2 F D U' L
R2 U2 R2 F D' U' L
R2 U2 R2 F D2 U' L
L2 U2 R2 B' U L' D
L2 U2 R2 B' U L' D'
L2 U2 R2 B' U L' D2
L2 U2 R2 B' U D L'
L2 U2 R2 B' U D' L'
L2 U2 R2 B' U D2 L'
L2 U2 R2 B' D U L'
L2 U2 R2 B' D' U L'
L2 U2 R2 B' D2 U L'
R2 U2 D F U' L B2
L2 U2 D' B' U L' F2
R2 U2 F R2 U' L D
R2 U2 F R2 U' L D'
R2 U2 F R2 U' L D2
R2 U2 F R2 U' D L
R2 U2 F R2 U' D' L
R2 U2 F R2 U' D2 L
R2 U2 F R2 D U' L
R2 U2 F R2 D' U' L
R2 U2 F R2 D2 U' L
R2 U2 F U' L D B2
R2 U2 F U' D L B2
R2 U2 F D U' L B2
U' R2 L2 B' U L' B
U' R2 L2 B' U B L'
F' R2 U L D R2 B2
F' R2 U L D B2 R2
U2 R2 L2 B' L2 U L
F' R2 U D L R2 B2
F' R2 U D L B2 R2
F' R2 U D R2 L B2
R2 U2 F' R2 F2 U' L
U' R2 U F U' L F'
U' R2 U F U' F' L
L2 U2 B R2 B2 U L'
F' R2 U2 R2 F2 U' L
F2 R2 U2 R2 F' U' L
F' R2 U2 F2 R2 U' L
U2 R2 U2 D F U' L
U2 R2 U2 D' F U' L
U2 R2 U2 D2 F U' L
U2 R2 U2 F U' L D
U2 R2 U2 F U' L D'
U2 R2 U2 F U' L D2
U2 R2 U2 F U' D L
U2 R2 U2 F U' D' L
U2 R2 U2 F U' D2 L
U2 R2 U2 F D U' L
U2 R2 U2 F D' U' L
U2 R2 U2 F D2 U' L
L2 U2 B' R2 U L' D
L2 U2 B' R2 U L' D'
L2 U2 B' R2 U L' D2
L2 U2 B' R2 U D L'
L2 U2 B' R2 U D' L'
L2 U2 B' R2 U D2 L'
L2 U2 B' R2 D U L'
L2 U2 B' R2 D' U L'
L2 U2 B' R2 D2 U L'
L2 U2 B' U L' D' F2
L2 U2 B' U D' L' F2
F' R2 D U L R2 B2
F' R2 D U L B2 R2
F' R2 D U R2 L B2
L2 U2 B' D' U L' F2
U2 R2 D U2 F U' L
U2 R2 D' U2 F U' L
F' R2 D2 L2 B2 U L'
F2 R2 D2 L2 B U L'
U2 R2 D2 U2 F U' L
D2 R2 F L2 R2 U' L'
D2 R2 F R2 L2 U' L'
D' R2 F R2 U' F L
U2 R2 F' U L D R2
U2 R2 F' U D L R2
U2 R2 F' U D R2 L
U2 R2 F' U2 F2 U' L
R2 D L2 B' U B' L'
U2 R2 F' D U L R2
U2 R2 F' D U R2 L
U2 R2 F2 U2 F' U' L
R2 D U2 F U' L B2
F U R U R U L
F U R' U R' U L
F' U D B2 R' U2 R'
F' U D' L2 U2 L' F2
F U D R B2 R' U2
F U D R' B2 R' U2
F U D R2 B2 R' U2
L' D' L F B2 U' F
F U D B2 R' U2 D
F U D B2 R' U2 D'
F U D B2 R' U2 D2
F U D B2 R' D U2
F U D B2 R' D' U2
F U D B2 R' D2 U2
L' D' L B2 F U' F
F U D B2 D R' U2
F U D B2 D' R' U2
F U D B2 D2 R' U2
F U D' R U2 L F2
F U D' R U2 F2 L
F U D' R' U2 L F2
F U D' R' U2 F2 L
F U D' R2 U2 L F2
F U D' R2 U2 F2 L
F U D' B2 R' U2 F2
L2 D' L2 F U' F L
D U B2 R' U' F U'
D' U' L F' D F' R
U' D' L F' D F' R
U D B2 R' U' F U'
F' U' L D R2 D2 F2
F' U' L D' F2 D2 R2
F2 U' L U' R2 B U
F U B2 R' U R' U
F U B2 D R' B2 U2
F U B2 D B2 U2 L
F U B2 D' R' U2 F2
L2 D' U2 B' U L' F2
F U' L U D2 L2 U'
F U' L U' R2 U D
F U' L U' R2 U D'
F U' L U' R2 U D2
F U' L U' R2 D U
F U' L U' R2 D' U
F U' L U' R2 D2 U
F U' L U2 D B2 U2
F U' L D U2 B2 U2
F U' L D F D2 F2
F U' L D F' D2 F2
F U' L D F2 D2 F2
F U' L D' L' F2 L
F U' L D' L2 F2 L2
F U' L D' R F2 R'
F U' L D' R2 F2 R2
F U' L D' F D F
F U' L D' F D' F
F U' L D' F D2 F
F U' L D' F' D F'
F U' L D' F' D' F'
F U' L D' F' D2 F'
F U' L D2 U L2 U'
L' D' F B2 U' F R
F U' L D2 F D F2
F U' L D2 F' D F2
F U' L D2 F2 D F2
F U' L F U' R2 U
F U' L F D' F2 D
F U' L F D' F2 D'
F U' L F D' F2 D2
F U' L F' U' R2 U
F U' L F' D' F2 D
F U' L F' D' F2 D'
F U' L F' D' F2 D2
F U' L F2 U' R2 U
F U' L F2 D' F2 D
F U' L F2 D' F2 D'
F U' L F2 D' F2 D2
F U' L B D' F2 B'
F U' L B D' B' F2
F U' L B' D' F2 B
F U' L B' D' B F2
F' U' L2 D' L' F2 R
F U' L' U' R2 U L2
F U' L' D' F2 D L2
F U' L' F L2 D' F2
F U' L' F' L2 D' F2
F U' L' F2 L2 D' F2
F U' L2 U' R2 U L'
F U' L2 D L' D2 F2
F U' L2 D' L F2 L2
F U' L2 D' L' F2 D
F U' L2 D' L' F2 D'
F U' L2 D' L' F2 D2
F U' L2 D' L2 F2 L
F U' L2 F2 D' F2 L'
U' D' F' L D F' R2
D' U' F' L D F' R2
D' U' F' D L F' R2
U' D' F' D L F' R2
D' U' F' D F' L R2
D' U' F' D F' R2 L
U' D' F' D F' L R2
U' D' F' D F' R2 L
D2 U' F' D L R2 F2
D2 U' F' D L F2 R2
D2 U' F' D R2 L F2
D2 U' F' D R2 F2 L
D2 U' F' D F2 L R2
D2 U' F' D F2 R2 L
U' D' F2 L U F' U'
D' U' F2 L U F' U'
D' U' F2 U F' U' L
U' D' F2 U F' U' L
L' D' B2 L F U' F
F' U' D L R2 D2 F2
F2 U' R2 B U B' L
F' U' D R2 L D2 F2
F' U' D R2 D2 L F2
F' U' D R2 D2 F2 L
L' D' B2 U' F R F
L' D' B2 F U' F R
F' U' D' L' F2 L2 R
F' U' D' L' F2 R L2
F U' D L U2 B2 U2
F U' D L D2 F2 D
F U' D L D2 F2 D'
F U' D L D2 F2 D2
F U' D L F D2 F2
F U' D L F' D2 F2
F' U' D' F2 D2 L R2
F' U' D' F2 D2 R2 L
F U' D L F2 D2 F2
F U' D L2 D2 L' F2
F U' D F L D2 F2
F U' D F D2 L F2
F U' D F D2 F2 L
F U' D F' L D2 F2
F U' D F' D2 L F2
F U' D F' D2 F2 L
F U' D F2 L D2 F2
F U' D F2 D2 L F2
F U' D F2 D2 F2 L
F U' D' L R F2 R'
F U' D' L R2 F2 R2
F U' D' L F D F
F U' D' L F D' F
F U' D' L F D2 F
F U' D' L F' D F'
F U' D' L F' D' F'
F U' D' L F' D2 F'
F U' D' L' F' L2 F'
F U' D' L' F2 L2 D
F U' D' L' F2 L2 D'
F U' D' L' F2 L2 D2
F U' D' R L F2 R'
F U' D' R F2 L R'
F U' D' R F2 R' L
F U' D' R2 L F2 R2
F U' D' R2 F2 L R2
F U' D' R2 F2 R2 L
F U' D' F D F L
F U' D' F D' F L
F U' D' F D2 F L
F U' D' F' L D F'
F U' D' F' L D' F'
F U' D' F' L D2 F'
F U' D' F' L F' D
F U' D' F' L F' D'
F U' D' F' L F' D2
F U' D' F' L' F' L2
F U' D' F' D L F'
F U' D' F' D F' L
F U' D' F' D' L F'
F U' D' F' D' F' L
F U' D' F' D2 L F'
F U' D' F' D2 F' L
F U' D' F2 L2 D L'
F U' D' F2 L2 D' L'
F U' D' F2 L2 D2 L'
F U' D' F2 D L D
F U' D' F2 D L D'
F U' D' F2 D L D2
F U' D' F2 D' L D
F U' D' F2 D' L D'
F U' D' F2 D' L D2
F U' D' F2 D2 L D
F U' D' F2 D2 L D'
F U' D' F2 D2 L D2
F U' D2 L U L U'
F U' D2 F D L F2
F U' D2 F D F2 L
F U' D2 F' D L F2
F U' D2 F' D F2 L
F U' D2 F2 D L F2
F U' D2 F2 D F2 L
L2 D2 L2 D F U' L
F U' F L U' R2 U
F U' F L D' F2 D
F U' F L D' F2 D'
F U' F L D' F2 D2
F U' F L F D' F2
F U' F L F' D' F2
F U' F L F2 D' F2
L2 D2 L2 D' F U' L
L2 D2 L2 D2 F U' L
F U' F L2 D' L' F2
L2 D2 L2 F U' L D
L2 D2 L2 F U' L D'
L2 D2 L2 F U' L D2
L2 D2 L2 F U' D L
L2 D2 L2 F U' D' L
L2 D2 L2 F U' D2 L
L2 D2 L2 F D U' L
L2 D2 L2 F D' U' L
L2 D2 L2 F D2 U' L
R2 D2 L2 D B' U L'
R2 D2 L2 D' B' U L'
R2 D2 L2 D2 B' U L'
F U' F U' R2 U L
F U' F D L D2 F2
F U' F D' L F2 D
F U' F D' L F2 D'
F U' F D' L F2 D2
F U' F D' L' F2 L2
F U' F D' F' L F'
R2 D2 L2 B' U L' D
R2 D2 L2 B' U L' D'
R2 D2 L2 B' U L' D2
R2 D2 L2 B' U D L'
R2 D2 L2 B' U D' L'
R2 D2 L2 B' U D2 L'
F U' F D' F2 L D
F U' F D' F2 L D'
F U' F D' F2 L D2
F U' F D' F2 D L
F U' F D' F2 D' L
F U' F D' F2 D2 L
R2 D2 L2 B' D U L'
R2 D2 L2 B' D' U L'
R2 D2 L2 B' D2 U L'
F U' F' L U' R2 U
F U' F' L D' F2 D
F U' F' L D' F2 D'
F U' F' L D' F2 D2
F U' F' L F D' F2
F U' F' L F' D' F2
F U' F' L F2 D' F2
F U' F' L2 D' L' F2
F U' F' U' R2 U L
F U' F' D L D2 F2
F U' F' D' L F2 D
F U' F' D' L F2 D'
F U' F' D' L F2 D2
F U' F' D' L' F2 L2
F U' F' D' F' L F'
F U' F' D' F2 L D
F U' F' D' F2 L D'
F U' F' D' F2 L D2
F U' F' D' F2 D L
F U' F' D' F2 D' L
F U' F' D' F2 D2 L
F U' F2 L U' R2 U
F U' F2 L D' F2 D
F U' F2 L D' F2 D'
F U' F2 L D' F2 D2
F U' F2 L F D' F2
F U' F2 L F' D' F2
F U' F2 L F2 D' F2
F U' F2 L2 D' L' F2
F U' F2 U' R2 U L
F U' F2 D L D2 F2
F U' F2 D' L F2 D
F U' F2 D' L F2 D'
F U' F2 D' L F2 D2
F U' F2 D' L' F2 L2
F U' F2 D' F' L F'
F U' F2 D' F2 L D
F U' F2 D' F2 L D'
F U' F2 D' F2 L D2
F U' F2 D' F2 D L
F U' F2 D' F2 D' L
F U' F2 D' F2 D2 L
F U' B' D' F2 B L
F U' B' D' B L F2
F U' B' D' B F2 L
U' D2 F' D L R2 F2
U' D2 F' D L F2 R2
U' D2 F' D R2 L F2
U' D2 F' D R2 F2 L
U' D2 F' D F2 L R2
U' D2 F' D F2 R2 L
L2 D2 F' L2 F U' L'
F U2 R D R U L
F U2 R D' R U L
F U2 R D2 R U L
R2 D2 B L2 B' U L
F U2 R F' U L F
F' U2 R2 U L D R2
F' U2 R2 U D L R2
F' U2 R2 U D R2 L
F' U2 R2 U2 F2 U' L
F' U2 R2 D U L R2
F' U2 R2 D U R2 L
F U2 R' D R' U L
F U2 R' D' R' U L
F U2 R' D2 R' U L
F U2 R' F R' U L
F U2 R' F' R' U L
F U2 R' F2 R' U L
F U2 R2 U L2 D L'
F U2 R2 U L2 D' L'
F U2 R2 U L2 D2 L'
F U2 R2 U D L D
F U2 R2 U D L D'
F U2 R2 U D L D2
F U2 R2 U D' L D
F U2 R2 U D' L D'
F U2 R2 U D' L D2
F U2 R2 U D2 L D
F U2 R2 U D2 L D'
F U2 R2 U D2 L D2
F U2 R2 U F L F'
F U2 R2 U F2 L F2
F U2 R2 U' R U2 L
F U2 R2 U' R' U2 L
F U2 R2 U' R2 U2 L
F U2 R2 D U L D
F U2 R2 D U L D'
F U2 R2 D U L D2
F U2 R2 D F U L
F U2 R2 D F' U L
F U2 R2 D F2 U L
U' F L U' R2 U R2
F U2 R2 D' U L D
F U2 R2 D' U L D'
F U2 R2 D' U L D2
F U2 R2 D' F U L
F U2 R2 D' F' U L
F U2 R2 D' F2 U L
F U2 R2 D2 U L D
F U2 R2 D2 U L D'
F U2 R2 D2 U L D2
F U2 R2 D2 F U L
F U2 R2 D2 F' U L
F U2 R2 D2 F2 U L
F U2 R2 F U L D
F U2 R2 F U L D'
F U2 R2 F U L D2
F U2 R2 F U D L
F U2 R2 F U D' L
F U2 R2 F U D2 L
F U2 R2 F D U L
F U2 R2 F D' U L
F U2 R2 F D2 U L
F U2 R2 F' U L D
F U2 R2 F' U L D'
F U2 R2 F' U L D2
F U2 R2 F' U D L
F U2 R2 F' U D' L
F U2 R2 F' U D2 L
U' F L D' F2 D R2
F U2 R2 F' D U L
F U2 R2 F' D' U L
F U2 R2 F' D2 U L
F U2 R2 F2 U L D
F U2 R2 F2 U L D'
F U2 R2 F2 U L D2
F U2 R2 F2 U D L
F U2 R2 F2 U D' L
F U2 R2 F2 U D2 L
D2 F L D L U' L'
F U2 R2 F2 D U L
F U2 R2 F2 D' U L
F U2 R2 F2 D2 U L
D2 F L D' L U' L'
D2 F L D2 L U' L'
D2 F L' D' L' B2 U'
D2 F L' D' B2 L' U'
D F L D L2 U' L2
F U2 D' R U L F2
F U2 D' R U F2 L
F U2 D' R' U L F2
F U2 D' R' U F2 L
D2 F L' B L' U' L'
F U2 D' R2 U L F2
F U2 D' R2 U F2 L
D2 F L' B' L' U' L'
F U2 D' F U F L
D2 F L' B2 L' U' L'
F U2 D' F' U L F'
F U2 D' F' U F' L
D' F L2 U B' U2 L'
D' F L2 U' L2 F L
D2 F L2 U R U2 L'
D2 F L2 U R' U2 L'
D2 F L2 U R2 U2 L'
D2 F L2 U' L2 D L
D2 F L2 U' L2 D' L
D2 F L2 U' L2 D2 L
D2 F L2 U' D L' D
D2 F L2 U' D L' D'
D2 F L2 U' D L' D2
D2 F L2 U' D' L' D
D2 F L2 U' D' L' D'
D2 F L2 U' D' L' D2
D2 F L2 U' D2 L' D
D2 F L2 U' D2 L' D'
D2 F L2 U' D2 L' D2
D2 F L2 U' B' L' B
D2 F L2 U' B2 L' B2
D2 F L2 D U' L' D
D2 F L2 D U' L' D'
D2 F L2 D U' L' D2
D2 F L2 D B U' L'
D2 F L2 D B' U' L'
D2 F L2 D B2 U' L'
D2 F L2 D' U' L' D
D2 F L2 D' U' L' D'
D2 F L2 D' U' L' D2
D F L' U B2 U2 L2
D F L' U' L2 D2 F2
D2 F L2 D' B U' L'
D2 F L2 D' B' U' L'
D2 F L2 D' B2 U' L'
D2 F L2 D2 U' L' D
D2 F L2 D2 U' L' D'
D2 F L2 D2 U' L' D2
D2 F L2 D2 B U' L'
D2 F L2 D2 B' U' L'
D2 F L2 D2 B2 U' L'
D2 F L2 B U' L' D
D2 F L2 B U' L' D'
D2 F L2 B U' L' D2
D2 F L2 B U' D L'
D2 F L2 B U' D' L'
D2 F L2 B U' D2 L'
D2 F L2 B D U' L'
D2 F L2 B D' U' L'
D2 F L2 B D2 U' L'
D2 F L2 B' U' L' D
D2 F L2 B' U' L' D'
D2 F L2 B' U' L' D2
D2 F L2 B' U' D L'
D2 F L2 B' U' D' L'
D2 F L2 B' U' D2 L'
D2 F L2 B' D U' L'
D2 F L2 B' D' U' L'
D2 F L2 B' D2 U' L'
D2 F L2 B2 U' L' D
D2 F L2 B2 U' L' D'
D2 F L2 B2 U' L' D2
D2 F L2 B2 U' D L'
D2 F L2 B2 U' D' L'
D2 F L2 B2 U' D2 L'
D2 F L2 B2 D U' L'
D2 F L2 B2 D' U' L'
D2 F L2 B2 D2 U' L'
D F L' B' U' L2 F
F U2 F R2 U L D
F U2 F R2 U L D'
F U2 F R2 U L D2
F U2 F R2 U D L
F U2 F R2 U D' L
F U2 F R2 U D2 L
D F L2 U B2 U2 L'
F U2 F R2 D U L
D F L2 U' L' D2 F2
F U2 F R2 D' U L
F U2 F R2 D2 U L
F U2 F R2 F U L
F U2 F R2 F' U L
F U2 F R2 F2 U L
D F L2 U' D2 L' F2
F U2 F U L D' F2
F U2 F U D' L F2
F U2 F U D' F2 L
D F L2 D L2 U' L
D F L2 D2 U' L' F2
F U2 F D' U L F2
F U2 F D' U F2 L
F U2 F' R2 U L D
F U2 F' R2 U L D'
