R' U' B' R' F' B2
R' U' B' R' B2 F'
D' R2 F' L' R U'
D' R2 F' R L' U'
R2 F' L' R U' B
R2 F' R L' U' B
U2 B' R' B2 U B'
R2 D F' L' R U' B
R2 D F' R L' U' B
U2 D B U2 L R' U'
U2 D B U2 R' L U'
U2 D B' L R' B2 U
U2 D B' R' L B2 U
L' D' R2 F' L' R U'
L' D' R2 F' R L' U'
L2 D' R2 F' L' R U'
L2 D' R2 F' R L' U'
L D' R2 F' L' R U'
L D' R2 F' R L' U'
R' D' U' B' R' F' B2
R' D' U' B' R' B2 F'
R2 D' F' L' R U' B
R2 D' F' R L' U' B
R' D2 U' B' R' F' B2
R' D2 U' B' R' B2 F'
R2 D2 F' L' R U' B
R2 D2 F' R L' U' B
D2 U2 B U2 L U' B'
U2 D2 B U2 L U' B'
D U2 B U2 L R' U'
D U2 B U2 R' L U'
D U2 B' L R' B2 U
D U2 B' R' L B2 U
F U2 B R U' F' U2
B U2 B' U2 R' U B
D' F U2 L' B R U
D' F U2 B L' R U
D' F U2 B R L' U
D' F' L' R2 F' R' U'
R' F' L' U' B' R' B2
R2 F' L' R U' D B
R2 F' L' R U' D' B
R2 F' L' R U' D2 B
R2 F' L' R U' B D
R2 F' L' R U' B D'
R2 F' L' R U' B D2
R2 F' L' R D U' B
R2 F' L' R D' U' B
R2 F' L' R D2 U' B
R2 F' L' R' U F' U2
R2 F' L' U2 L' U B'
R2 F' L' D R U' B
R2 F' L' D' R U' B
R2 F' L' D2 R U' B
D' F' R D2 L' F U'
R2 F' R L' U' D B
R2 F' R L' U' D' B
R2 F' R L' U' D2 B
R2 F' R L' U' B D
R2 F' R L' U' B D'
R2 F' R L' U' B D2
R2 F' R L' D U' B
R2 F' R L' D' U' B
R2 F' R L' D2 U' B
R2 F' R D L' U' B
R2 F' R D' L' U' B
R2 F' R D2 L' U' B
D' F' R2 L' F' R' U'
R2 F' R' L' U F' U2
B2 D B' L U L F
F' D' L' R2 F' R U'
R2 F' D L' R U' B
R2 F' D R L' U' B
R2 F' D' L' R U' B
R2 F' D' R L' U' B
B D' L2 F L' R U
B D' L2 F R L' U
R2 F' D2 L' R U' B
R2 F' D2 R L' U' B
F' D' R2 L' F' R U'
R2 F2 R F L' U' B
D' B L2 F L' R U
D' B L2 F R L' U
U2 B R' U2 L U' B
U2 B U2 L R' U' B
U2 B U2 R' L U' B
U2 B U2 D2 L U' B'
U2 B D2 U2 L U' B'
U2 B' L R' B2 U B'
U2 B' L' R' B2 U B'
U2 B' L2 R' B2 U B'
U' B' R D' R2 F' B
U' B' R D' R2 B F'
U' B' R' D' F' B R2
U' B' R' D' B F' R2
U' B' R' F' D' B R2
U2 B' R B2 R2 U B
U2 B' R' L B2 U B'
U2 B' R' L' B2 U B'
U2 B' R' L2 B2 U B'
U2 B' R' U D' B R2
U2 B' R' D' U B R2
U2 B' R' B2 U D B'
U2 B' R' B2 U D' B'
U2 B' R' B2 U D2 B'
U2 B' R' B2 U B' D
U2 B' R' B2 U B' D'
U2 B' R' B2 U B' D2
U2 B' R' B2 D U B'
U2 B' R' B2 D' U B'
U2 B' R' B2 D2 U B'
U2 B' R2 B2 R U B
U' B2 R' F' B D' R2
U' B2 R' B D' F' R2
U' B2 R' B F' D' R2
U' B2 U' B' R' U B
U B2 U B' R' U B
