U2 L F U2 L U'
L2 R B U2 L' U
L2 R' U2 L' F' U
R' L2 U2 L' F' U
B2 L2 R B R2 U'
B2 L2 R' U2 F' U
B L2 R B R' U'
R L2 B U2 L' U
F2 L2 F2 R B U'
B2 R L2 B R2 U'
B R L2 B R' U'
B2 R B L2 R2 U'
B2 R B R2 L2 U'
B R B L2 R' U'
B R B R' L2 U'
B2 R' L2 U2 F' U
L2 U' B L D' B2
L2 U2 L F L2 U
L2 U2 L' U2 B' U'
U2 D L F U F
D2 U2 L R2 F U
U2 D2 L R2 F U
U2 D2 L F R2 U
D2 U2 L F R2 U
D U2 L F U F
D2 U2 R2 L F U
U2 D2 R2 L F U
L2 F2 R F2 B U'
L2 F2 R B F2 U'
U' B D L F2 B'
U' B D L B' F2
U' B D F2 L B'
R2 B2 L2 R' B U'
R2 B2 R' L2 B U'
R2 B2 R' B L2 U'
R B2 R' B' L2 U'
L2 R' U2 L' F' U D'
L2 R' U2 L' F' U D2
L2 R' U2 L' F' D U
L2 R' U2 L' F' D' U
L2 R' U2 L' F' D2 U
L2 R' U2 L2 F' L U
U2 L B2 F R' B2 U
L2 R' U2 D L' F' U
L2 R' U2 D' L' F' U
L2 R' U2 D2 L' F' U
B2 L' R B L' R2 U'
B2 L' R B R2 L' U'
B L' R B L' R' U'
B L' R B R' L' U'
L2 R' D U2 L' F' U
R L' D' L' B U' B
L2 R' D' U2 L' F' U
R' L' D2 L' R2 B U'
L' R' D2 L' R2 B U'
R L' D' B L' U' B
R' L' D2 R2 L' B U'
L' R' D2 R2 L' B U'
R' L' D2 R2 B L' U'
L' R' D2 R2 B L' U'
R L' D2 L' B R2 U'
L2 R' D2 U2 L' F' U
R L' D2 B L' R2 U'
R L' D2 B R2 L' U'
L R' F' U2 F L U'
R L' B L' U2 L' U
L2 R' B U2 L' F' U
R L' B D' L' U' B2
R L' B D2 L' R2 U'
R L' B D2 R2 L' U'
L2 R' B' U2 L' F' U
U2 L' F L2 F R U
L2 R' B2 U2 L' F' U
U2 L' F2 L2 R F U
U2 L' F2 R L2 F U
R' L2 U2 L F' L2 U
R' L2 U2 L' D F' U
R' L2 U2 L' D' F' U
R' L2 U2 L' D2 F' U
R' L2 U2 L' F' U D
R' L2 U2 L' F' U D'
R' L2 U2 L' F' U D2
R' L2 U2 L' F' D U
R' L2 U2 L' F' D' U
R' L2 U2 L' F' D2 U
R' L2 U2 L2 F' L U
R' L2 U2 D L' F' U
R' L2 U2 D' L' F' U
R' L2 U2 D2 L' F' U
R L2 U2 L' U2 B U'
L2 R2 U2 D2 L' F U
R2 L2 U2 D2 L' F U
R' L2 D U2 L' F' U
R L2 D B U2 L' U
R' L2 D' U2 L' F' U
R L2 D' B U2 L' U
R' L2 D2 U2 L' F' U
B2 L2 R D B U' B
B' L2 R B U2 L U
B' L2 R B' R' B2 U'
L2 R2 D2 U2 L' F U
F2 L2 R F2 B R U'
R2 L2 D2 U2 L' F U
F2 L2 R B F2 R U'
B2 L2 R B R2 U' D
B2 L2 R B R2 U' D'
B2 L2 R B R2 U' D2
B2 L2 R B R2 D U'
B2 L2 R B R2 D' U'
B2 L2 R B R2 D2 U'
B2 L2 R B U' D B2
B2 L2 R B D U' B2
B2 L2 R B' R2 B2 U'
B L2 R B R' U' D
B L2 R B R' U' D'
B L2 R B R' U' D2
B L2 R B R' D U'
B L2 R B R' D' U'
B L2 R B R' D2 U'
B2 L2 R B2 R2 B' U'
B' L2 R' U2 F' L' U
B L2 R B D R' U'
B L2 R B D' R' U'
B L2 R B D2 R' U'
B2 L2 R' U2 D F' U
B2 L2 R' U2 D' F' U
B2 L2 R' U2 D2 F' U
B2 L2 R' U2 F' U D
B2 L2 R' U2 F' U D'
B2 L2 R' U2 F' U D2
B2 L2 R' U2 F' D U
B2 L2 R' U2 F' D' U
B2 L2 R' U2 F' D2 U
B2 L2 R' D U2 F' U
R L2 D2 B U2 L' U
B2 L2 R' D' U2 F' U
B2 L2 R' D2 U2 F' U
B2 L2 R' B U2 F' U
B2 L2 R' B' U2 F' U
B2 L2 R' B2 U2 F' U
B' L2 R2 B' R' B U'
B L2 R2 B R' B U'
B' L2 U R U2 B L
B' L2 U R' F' U2 L'
B' L2 U F R U2 B
B' L2 U F' U2 L' B'
B' L2 U' L' B L B2
B' L2 U' L2 B L B'
B' L2 U' B L' B' L2
B L2 U' D B L B'
R' L2 B U2 L' F' U
R L2 F2 B R F2 U'
B' L2 U' B2 L' B' L
R L2 B R U2 L' U
R L2 B R' U2 L' U
R L2 B R2 U2 L' U
R L2 B U2 L' U D
R L2 B U2 L' U D'
R L2 B U2 L' U D2
R L2 B U2 L' D U
R L2 B U2 L' D' U
R L2 B U2 L' D2 U
R L2 B U2 D L' U
R L2 B U2 D' L' U
R L2 B U2 D2 L' U
R L2 B D U2 L' U
R L2 B D' U2 L' U
R L2 B D2 U2 L' U
R' L2 B' U2 L' F' U
R L2 B F2 R F2 U'
B2 L2 D R B R2 U'
B2 L2 D R' U2 F' U
R' L2 B2 U2 L' F' U
B L2 D U' B L B'
B2 L2 D' R B R2 U'
B2 L2 D' R' U2 F' U
B2 L2 D2 R B R2 U'
B2 L2 D2 R' U2 F' U
F2 L2 F2 R D B U'
F2 L2 F2 R D' B U'
F2 L2 F2 R D2 B U'
F2 L2 F2 R B U' D
F2 L2 F2 R B U' D'
F2 L2 F2 R B U' D2
F2 L2 F2 R B D U'
F2 L2 F2 R B D' U'
F2 L2 F2 R B D2 U'
F L2 F2 R F B U'
F L2 F2 R B F U'
F2 L2 F2 D R B U'
F2 L2 F2 D' R B U'
F2 L2 F2 D2 R B U'
F2 L2 F2 B R B U'
F2 L2 F2 B' R B U'
F2 L2 F2 B2 R B U'
B' L2 B U2 L F U
B L2 B R B R2 U'
B L2 B R' U2 F' U
F2 L2 B F2 R B U'
B' L2 B' R B R2 U'
B' L2 B' R' U2 F' U
B2 L2 B' R B R' U'
B L2 B' U2 L F U
F2 L2 B' F2 R B U'
B' L2 B2 R B R' U'
B2 L2 B2 U2 L F U
F2 L2 B2 F2 R B U'
U2 R L F U2 L U'
B2 R L' B L' R2 U'
B2 R L' B R2 L' U'
B R L' B L' R' U'
B R L' B R' L' U'
B2 R L2 D B U' B
B' R L2 B U2 L U
B' R L2 B' R' B2 U'
F2 R L2 F2 B R U'
B2 R L2 B R2 U' D
B2 R L2 B R2 U' D'
B2 R L2 B R2 U' D2
B2 R L2 B R2 D U'
B2 R L2 B R2 D' U'
B2 R L2 B R2 D2 U'
B2 R L2 B U' D B2
B2 R L2 B D U' B2
B2 R L2 B' R2 B2 U'
F2 R L2 B F2 R U'
B2 R L2 B2 R2 B' U'
B R L2 B R' U' D
B R L2 B R' U' D'
B R L2 B R' U' D2
B R L2 B R' D U'
B R L2 B R' D' U'
B R L2 B R' D2 U'
B R L2 B D R' U'
B R L2 B D' R' U'
B R L2 B D2 R' U'
U2 R D L F U F
B2 R D B U' F2 B
B2 R D B U' B F2
U2 R D2 L R2 F U
U2 R D2 L F R2 U
L2 U' L D' B L B
U2 R D2 R2 L F U
L2 U' L B D' L B2
L2 U' L B' D' B2 L
L2 U' L2 U' L F U
L2 U' L2 B D L B'
B' R B L2 U2 L' U
B2 R B L2 R2 U' D
B2 R B L2 R2 U' D'
B2 R B L2 R2 U' D2
B2 R B L2 R2 D U'
B2 R B L2 R2 D' U'
B2 R B L2 R2 D2 U'
B2 R B L2 U' D B2
B2 R B L2 D U' B2
B2 R B R2 L2 U' D
B2 R B R2 L2 U' D'
B2 R B R2 L2 U' D2
B2 R B R2 L2 D U'
B2 R B R2 L2 D' U'
B2 R B R2 L2 D2 U'
B2 R B R2 U' D F2
B2 R B R2 D U' F2
B R B L2 R' U' D
B R B L2 R' U' D'
B R B L2 R' U' D2
B R B L2 R' D U'
B R B L2 R' D' U'
B R B L2 R' D2 U'
B R B L2 D R' U'
B R B L2 D' R' U'
B R B L2 D2 R' U'
B2 R B U' D F2 B2
B2 R B U' D B2 F2
B R B R' L2 U' D
B R B R' L2 U' D'
B R B R' L2 U' D2
B R B R' L2 D U'
B R B R' L2 D' U'
B R B R' L2 D2 U'
B R B R' U' D F2
B R B R' D U' F2
B2 R B D U' F2 B2
B2 R B D U' B2 F2
B' R B' L2 R' B2 U'
B R B D R' U' F2
B' R B' R' L2 B2 U'
B' R B' R' B2 L2 U'
B2 R B' L2 R2 B2 U'
B2 R B' L2 B2 R2 U'
B2 R B' R2 L2 B2 U'
B2 R B' R2 B2 L2 U'
L2 U' D B L D' B2
B2 R B2 R2 B' L2 U'
D R B2 R' B' U' F2
L2 U' D' B L D' B2
U2 R' L F U2 L U'
L2 U' D2 B L D' B2
B' R' L2 U2 F' L' U
B2 R' L2 U2 D F' U
B2 R' L2 U2 D' F' U
B2 R' L2 U2 D2 F' U
B2 R' L2 U2 F' U D
B2 R' L2 U2 F' U D'
B2 R' L2 U2 F' U D2
B2 R' L2 U2 F' D U
B2 R' L2 U2 F' D' U
B2 R' L2 U2 F' D2 U
B2 R' L2 D U2 F' U
B2 R' L2 D' U2 F' U
B2 R' L2 D2 U2 F' U
B2 R' L2 B U2 F' U
B2 R' L2 B' U2 F' U
B2 R' L2 B2 U2 F' U
L2 U' B L U' L2 U
L2 U' B L D' B2 D
L2 U' B L D' B2 D'
L2 U' B L D' B2 D2
L2 U' B L B D' B2
L2 U' B L B' D' B2
L2 U' B L B2 D' B2
D2 R' U2 L F' R' U
L2 U' B U' L' U L2
L2 U' B D L D' B2
L2 U' B D' L D' B2
D2 R' U2 F' L R' U
L2 U' B D2 L D' B2
D R' U2 L F' U F'
D2 R' U2 F' R' L U
B2 R' U2 D F' U F'
B2 R' U2 D2 F' R2 U
L2 U' B' L D' B2 L
B2 R' U2 F' U D F2
B2 R' U2 F' U2 L2 U'
B2 R' U2 F' D U F2
B2 R' U2 F' D2 R2 U
D R' U2 F' L U F'
U2 R' D L F U F
B2 R' D U2 F' U F'
R' U2 L F' U2 L U'
L2 U2 L D' F U B2
U2 R' D2 L R2 F U
U2 R' D2 L F R2 U
L2 U2 L F L2 U D
L2 U2 L F L2 U D'
L2 U2 L F L2 U D2
L2 U2 L F L2 D U
L2 U2 L F L2 D' U
L2 U2 L F L2 D2 U
L2 U2 L F U D' B2
L2 U2 L F D' U B2
L2 U2 L F' L2 F2 U
L2 U2 L F2 L2 F' U
U2 R' D2 R2 L F U
R U2 L U2 L B U'
B2 R' D2 U2 F' R2 U
L2 U2 L' U2 D B' U'
L2 U2 L' U2 D' B' U'
L2 U2 L' U2 D2 B' U'
L2 U2 L' U2 B' U' D
L2 U2 L' U2 B' U' D'
L2 U2 L' U2 B' U' D2
L2 U2 L' U2 B' D U'
L2 U2 L' U2 B' D' U'
L2 U2 L' U2 B' D2 U'
L2 U2 L' D U2 B' U'
L2 U2 L' D' U2 B' U'
L2 U2 L' D2 U2 B' U'
L2 U2 L' F U2 B' U'
L2 U2 L' F' U2 B' U'
L2 U2 L' F2 U2 B' U'
L' U2 L2 U2 L B' U'
B2 R' F2 L2 F2 B' U'
B2 R' F2 L2 B' F2 U'
B2 R' B L2 U2 F' U
R' U2 D L F' U F'
B2 R' B' L2 U2 F' U
R' U2 D F' L U F'
L2 U2 D L F L2 U
L2 U2 D L' U2 B' U'
B2 R' B2 L2 U2 F' U
L2 U2 D' L F L2 U
L2 U2 D' L' U2 B' U'
R' U2 D2 L F' R2 U
R' U2 D2 F' L R2 U
R' U2 D2 F' R2 L U
L2 U2 D2 L F L2 U
L2 U2 D2 L' U2 B' U'
U2 R2 L F U2 L U'
R U2 D2 L R2 F' U
R U2 D2 R2 L F' U
R U2 D2 R2 F' L U
R' U2 F' L U2 L U'
R' U2 F' D L U F2
B' R2 L2 B' R' B U'
L2 U2 F' L F L' U
R' U2 F' D2 L R2 U
R' U2 F' D2 R2 L U
B R2 L2 B R' B U'
L2 U2 F2 U2 R B U'
U2 R2 D L F U F
U2 R2 D2 L R2 F U
U2 R2 D2 L F R2 U
U2 R2 D2 R2 L F U
L2 D R B U2 L' U
L2 D R' U2 L' F' U
B R2 B L2 R' B U'
B R2 B R' L2 B U'
B R2 B R' B L2 U'
B' R2 B' L2 R' B U'
B' R2 B' R' L2 B U'
B' R2 B' R' B L2 U'
R' D U2 L F' U F'
D R2 B2 R' B U' F2
R' D U2 F' L U F'
U2 D L R F U F
L2 D U' B L D' B2
U2 D L R' F U F
U2 D L R2 F U F
L2 D U2 L F L2 U
L2 D U2 L' U2 B' U'
U2 D L D R2 F U
U2 D L D F R2 U
U2 D L F R U F
U2 D L F R' U F
U2 D L F R2 U F
U2 D L F U D F
U2 D L F U D' F
U2 D L F U D2 F
U2 D L F U F D
U2 D L F U F D'
U2 D L F U F D2
U2 D L F D U F
U2 D L F D' U F
U2 D L F D2 U F
U2 D R L F U F
L2 D F2 R F2 B U'
L2 D F2 R B F2 U'
U2 D R' L F U F
U2 D R2 L F U F
U2 D F' L F U F2
R D B2 R' B' U' F2
L' D' L' R B U' B
L' D' L' U' B L B
U' D F2 U' L F U
U2 D F2 L F U F'
U' D F2 B D L B'
L' D' L' B U' B L
U' D B F2 D L B'
L' D' R L' B U' B
L' D' R B L' U' B
L2 D' R B U2 L' U
L2 D' R' U2 L' F' U
U2 D' L D' R2 F U
U2 D' L D' F R2 U
U2 D' L D2 F U F
U2 D' L F U D2 F2
U2 D' L F U' B2 U2
U2 D' L F D' R2 U
U2 D' L F D2 U F2
L2 D' U' B L D' B2
L2 D' U2 L F L2 U
L2 D' U2 L' U2 B' U'
L2 D' F2 R F2 B U'
L2 D' F2 R B F2 U'
L' D' B L' U' B L
D U' F2 U' L F U
D U' F2 B D L B'
B U' D F2 B L B'
B U' D B L F2 B'
B U' D B L B' F2
B U' D B F2 L B'
L' D2 L' R B R U'
D U' B F2 D L B'
D2 U2 L R' F R' U
D2 U2 L R2 D F U
D2 U2 L R2 D' F U
D2 U2 L R2 D2 F U
D2 U2 L R2 F U D
D2 U2 L R2 F U D'
D2 U2 L R2 F U D2
D2 U2 L R2 F D U
D2 U2 L R2 F D' U
D2 U2 L R2 F D2 U
D' U2 L D' R2 F U
D' U2 L D' F R2 U
D' U2 L D2 F U F
D' U2 L F U D2 F2
D' U2 L F U' B2 U2
D' U2 L F D' R2 U
D' U2 L F D2 U F2
D2 U2 L D' F U F
D2 U2 L F R2 U D
D2 U2 L F R2 U D'
D2 U2 L F R2 U D2
D2 U2 L F R2 D U
D2 U2 L F R2 D' U
D2 U2 L F R2 D2 U
D2 U2 L F U D' F2
D2 U2 L F D' U F2
D2 U2 L F' R2 F2 U
L' D2 R L' B R U'
U2 D2 L R' F R' U
U2 D2 L R2 D F U
U2 D2 L R2 D' F U
U2 D2 L R2 D2 F U
U2 D2 L R2 F U D
U2 D2 L R2 F U D'
U2 D2 L R2 F U D2
U2 D2 L R2 F D U
U2 D2 L R2 F D' U
U2 D2 L R2 F D2 U
U2 D2 L D' F U F
D U2 L R F U F
D U2 L R' F U F
U2 D2 L F R2 U D
U2 D2 L F R2 U D'
U2 D2 L F R2 U D2
U2 D2 L F R2 D U
U2 D2 L F R2 D' U
U2 D2 L F R2 D2 U
U2 D2 L F U D' F2
U2 D2 L F D' U F2
D U2 L R2 F U F
U2 D2 L F' R2 F2 U
L' D2 R B L' R U'
L' D2 R B R L' U'
D U2 L D R2 F U
D U2 L D F R2 U
D U2 L F R U F
D U2 L F R' U F
D U2 L F R2 U F
D U2 L F U D F
D U2 L F U D' F
D U2 L F U D2 F
D U2 L F U F D
D U2 L F U F D'
D U2 L F U F D2
D U2 L F D U F
D U2 L F D' U F
D U2 L F D2 U F
L2 D2 R B U2 L' U
L2 D2 R' U2 L' F' U
D2 U2 R' L F R' U
D U2 R L F U F
U2 D2 R' L F R' U
D2 U2 R2 L D F U
D2 U2 R2 L D' F U
D2 U2 R2 L D2 F U
D2 U2 R2 L F U D
D2 U2 R2 L F U D'
D2 U2 R2 L F U D2
D2 U2 R2 L F D U
D2 U2 R2 L F D' U
D2 U2 R2 L F D2 U
R' D2 U2 L F' R2 U
D U2 R' L F U F
D2 U2 R2 D L F U
D2 U2 R2 D' L F U
D2 U2 R2 D2 L F U
R' D2 U2 F' L R2 U
R' D2 U2 F' R2 L U
D2 U2 R2 F L F U
L2 D2 U' B L D' B2
U2 D2 R2 L D F U
U2 D2 R2 L D' F U
D2 U2 R2 F' L F U
U2 D2 R2 L D2 F U
U2 D2 R2 L F U D
U2 D2 R2 L F U D'
U2 D2 R2 L F U D2
U2 D2 R2 L F D U
U2 D2 R2 L F D' U
U2 D2 R2 L F D2 U
D2 U2 R2 F2 L F U
L2 D2 U2 L F L2 U
L2 D2 U2 L' U2 B' U'
D2 U2 F L R2 F U
U2 D2 R2 D L F U
D2 U2 F L F R2 U
U2 D2 R2 D' L F U
U2 D2 R2 D2 L F U
D U2 R2 L F U F
U2 D2 R2 F L F U
U2 D2 R2 F' L F U
D2 U2 F R2 L F U
U2 D2 R2 F2 L F U
U2 D2 F L R2 F U
U2 D2 F L F R2 U
U2 D2 F R2 L F U
R D2 U2 L R2 F' U
D2 U2 F' L R2 F U
D2 U2 F' L F R2 U
D2 U2 F' R2 L F U
R D2 U2 R2 L F' U
R D2 U2 R2 F' L U
U2 D2 F' L R2 F U
U2 D2 F' L F R2 U
U2 D2 F' R2 L F U
D2 U2 F2 L R2 F U
D2 U2 F2 L F R2 U
D U2 F' L F U F2
D2 U2 F2 R2 L F U
U2 D2 F2 L R2 F U
U2 D2 F2 L F R2 U
L2 D2 F2 R F2 B U'
L2 D2 F2 R B F2 U'
U2 D2 F2 R2 L F U
D U2 F2 L F U F'
U2 F L F U2 L U'
U2 F D L F U F
B2 D R B R2 U' F2
U2 F D2 L R2 F U
U2 F D2 L F R2 U
U2 F D2 R2 L F U
B2 D R' U2 F' U F'
U' F B D L F2 B'
U' F B D L B' F2
U' F B D F2 L B'
U2 F' L F U2 L U'
B D U' F2 B L B'
B D U' B L F2 B'
B D U' B L B' F2
B D U' B F2 L B'
U2 F' D L F U F
B2 D' R B R2 U' F'
U2 F' D2 L R2 F U
U2 F' D2 L F R2 U
U2 F' D2 R2 L F U
U' F' B D L F2 B'
U' F' B D L B' F2
U' F' B D F2 L B'
U2 F2 L F U2 L U'
R' F2 L2 F2 R B' U'
R' F2 L2 F2 B' R U'
L F2 L F2 R B U'
R' F2 L2 B' F2 R U'
L2 F2 R D B U' R2
L2 F2 R F2 D B U'
L2 F2 R F2 D' B U'
L2 F2 R F2 D2 B U'
L2 F2 R F2 B U' D
L2 F2 R F2 B U' D'
L2 F2 R F2 B U' D2
L2 F2 R F2 B D U'
L2 F2 R F2 B D' U'
L2 F2 R F2 B D2 U'
L2 F2 R B U' D R2
L2 F2 R B D U' R2
L2 F2 R B F2 U' D
L2 F2 R B F2 U' D'
L2 F2 R B F2 U' D2
L2 F2 R B F2 D U'
L2 F2 R B F2 D' U'
L2 F2 R B F2 D2 U'
R F2 L2 F2 B R U'
R F2 L2 B F2 R U'
L2 F2 R2 F2 R' B U'
U2 F2 D L F U F
L2 F2 D R B U' R
U2 F2 D2 L R2 F U
U2 F2 D2 L F R2 U
U2 F2 D2 R2 L F U
B2 D2 R' U2 F' R' U
U' F2 B D L F2 B'
U' F2 B D L B' F2
U' F2 B D F2 L B'
L2 F2 B R F2 B U'
L2 F2 B R B F2 U'
L2 F2 B' R F2 B U'
L2 F2 B' R B F2 U'
L F2 D2 B2 R' F' U
L2 F2 B2 R F2 B U'
L2 F2 B2 R B F2 U'
R' B L2 R2 B R' U'
R B L D L U' B'
R2 B L2 R' B R' U'
R2 B L2 B R' B U'
L2 B R B U2 L' U
R B L2 D' R' U' B
R' B R2 L2 B R' U'
L2 B R' U2 L' F' U
D B R B R' U' F2
R B L2 B R' B' U'
R2 B R' L2 B R' U'
R' B R2 B L2 R' U'
R' B R2 B R' L2 U'
R2 B R' B L2 R' U'
R2 B R' B R' L2 U'
L2 B U' B L D' B2
U' B D L F2 D B'
U' B D L F2 D' B'
U' B D L F2 D2 B'
U' B D L F2 B' D
U' B D L F2 B' D'
U' B D L F2 B' D2
U' B D L B' F2 D
U' B D L B' F2 D'
U' B D L B' F2 D2
L2 B U2 L F L2 U
L2 B U2 L' U2 B' U'
U' B D F' L F' B'
U' B D F' L B' F'
U' B D F2 L D B'
U' B D F2 L D' B'
U' B D F2 L D2 B'
U' B D F2 L B' D
U' B D F2 L B' D'
U' B D F2 L B' D2
R B D L U' F2 B'
R B D L U' B' F2
U' B F D L F2 B'
U' B F D L B' F2
U' B F D F2 L B'
U' B F' D L F2 B'
U' B F' D L B' F2
U' B F' D F2 L B'
U' B F2 D L F2 B'
U' B F2 D L B' F2
U' B F2 D F2 L B'
L2 B F2 R F2 B U'
L2 B F2 R B F2 U'
R' B' L2 U2 F' L' U
R2 B' L2 B' R' B U'
L2 B' R B U2 L' U
L2 B' R' U2 L' F' U
R B' L2 B' R' B' U'
L2 B' U' B L D' B2
L2 B' U2 L F L2 U
L2 B' U2 L' U2 B' U'
L2 B' F2 R F2 B U'
L2 B' F2 R B F2 U'
R' B2 L2 R2 B R U'
R2 B2 L' R' B L' U'
R2 B2 L2 R' D B U'
R2 B2 L2 R' D' B U'
R2 B2 L2 R' D2 B U'
R2 B2 L2 R' B U' D
R2 B2 L2 R' B U' D'
R2 B2 L2 R' B U' D2
R2 B2 L2 R' B D U'
R2 B2 L2 R' B D' U'
R2 B2 L2 R' B D2 U'
D2 B2 R' U2 F' R' U
D' B2 R' U2 F' U F
L2 B2 R B U2 L' U
R B2 L2 R' U2 F U
R' B2 R2 L2 B R U'
L2 B2 R' U2 L' F' U
D B2 R B R2 U' F2
R2 B2 R' L' B L' U'
R2 B2 R' L2 D B U'
R2 B2 R' L2 D' B U'
R2 B2 R' L2 D2 B U'
R2 B2 R' L2 B U' D
R2 B2 R' L2 B U' D'
R2 B2 R' L2 B U' D2
R2 B2 R' L2 B D U'
R2 B2 R' L2 B D' U'
R2 B2 R' L2 B D2 U'
R' B2 R2 B L2 R U'
R' B2 R2 B R L2 U'
R2 B2 R' D B U' F2
D B2 R' U2 F' U F'
R2 B2 R' B L2 U' D
R2 B2 R' B L2 U' D'
R2 B2 R' B L2 U' D2
R2 B2 R' B L2 D U'
R2 B2 R' B L2 D' U'
R2 B2 R' B L2 D2 U'
R2 B2 R' B U' D F2
R2 B2 R' B D U' F2
R2 B2 R' B' L2 B2 U'
R B2 R B' L2 R2 U'
R B2 R B' R2 L2 U'
R B2 R' L2 U2 F U
L B2 R' F' U2 F U'
R B2 R' D B' U' F2
R B2 R' B L2 B2 U'
R B2 R' B' L2 U' D
R B2 R' B' L2 U' D'
R B2 R' B' L2 U' D2
R B2 R' B' L2 D U'
R B2 R' B' L2 D' U'
R B2 R' B' L2 D2 U'
B2 F2 R' F2 L2 B' U'
R B2 R' B' U' D F2
R B2 R' B' D U' F2
R B2 R' B2 L2 B U'
F2 B2 R' F2 L2 B' U'
L2 B2 U' B L D' B2
R B2 R2 B' L2 R U'
R B2 R2 B' R L2 U'
L2 B2 U2 L F L2 U
L2 B2 U2 L' U2 B' U'
R B2 D R' B' U' F2
L2 B2 F2 R F2 B U'
L2 B2 F2 R B F2 U'
