D F2 L R F' B'
D F2 L R B' F'
D F2 L B' R F'
D F2 R L F' B'
D F2 R L B' F'
D F2 R F' L B'
L2 D' B2 R' L' F B
L2 D' B2 R' L' B F
L2 D' B2 R' B L' F
D U2 F2 L R F' B'
D U2 F2 L R B' F'
D U2 F2 L B' R F'
D U2 F2 R L F' B'
D U2 F2 R L B' F'
D U2 F2 R F' L B'
D F L F R F' B'
D F L F R B' F'
D F L F B' R F'
D F L B' F R F'
F2 D U L R F B'
F2 D U L R B' F
F2 D U L B' R F
F2 D U R L F B'
F2 D U R L B' F
D F' L R F' R B'
D F' L R F' B' R
D F' L R B' F' R
D F' L F' R F' B'
D F' L F' R B' F'
D F' L F' B' R F'
D F' L B' R F' R
D F' L B' F' R F'
D F' R L F' R B'
D F' R L F' B' R
D F' R L B' F' R
D F' R F' L R B'
D F' R F' L B' R
D F' R F' R L B'
D F2 L R D F' B'
D F2 L R D B' F'
D F2 L R D' F' B'
D F2 L R D' B' F'
D F2 L R D2 F' B'
D F2 L R D2 B' F'
D F2 L R F' D B'
D F2 L R F' D' B'
D F2 L R F' D2 B'
D F2 L R F' B' D
D F2 L R F' B' D'
D F2 L R F' B' D2
D F2 L R B' D F'
D F2 L R B' D' F'
D F2 L R B' D2 F'
D F2 L R B' F' D
D F2 L R B' F' D'
D F2 L R B' F' D2
D F2 L B R F' B2
D F2 L B R B2 F'
D F2 L B' R D F'
D F2 L B' R D' F'
D F2 L B' R D2 F'
D F2 L B' R F' D
D F2 L B' R F' D'
D F2 L B' R F' D2
D F2 R L D F' B'
D F2 R L D B' F'
D F2 R L D' F' B'
D F2 R L D' B' F'
D F2 R L D2 F' B'
D F2 R L D2 B' F'
D F2 R L F' D B'
D F2 R L F' D' B'
D F2 R L F' D2 B'
D F2 R L F' B' D
D F2 R L F' B' D'
D F2 R L F' B' D2
D F2 R L B' D F'
D F2 R L B' D' F'
D F2 R L B' D2 F'
D F2 R L B' F' D
D F2 R L B' F' D'
D F2 R L B' F' D2
D F2 R F L F2 B'
D F2 R F L B' F2
D F2 R F' L D B'
D F2 R F' L D' B'
D F2 R F' L D2 B'
D F2 R F' L B' D
D F2 R F' L B' D'
D F2 R F' L B' D2
D F2 U L R F' B'
D F2 U L R B' F'
D F2 U L B' R F'
D F2 U R L F' B'
D F2 U R L B' F'
D F2 U R F' L B'
D F2 U' L R F' B'
D F2 U' L R B' F'
D F2 U' L B' R F'
D F2 U' R L F' B'
D F2 U' R L B' F'
D F2 U' R F' L B'
D F2 U2 L R F' B'
D F2 U2 L R B' F'
D F2 U2 L B' R F'
D F2 U2 R L F' B'
D F2 U2 R L B' F'
D F2 U2 R F' L B'
D' F2 D2 L R F' B'
D' F2 D2 L R B' F'
D' F2 D2 L B' R F'
D' F2 D2 R L F' B'
D' F2 D2 R L B' F'
D' F2 D2 R F' L B'
D' B2 L' R' U2 F B
D' B2 L' R' U2 B F
D B2 L' R' F B U2
D B2 L' R' B F U2
D B2 L' F R' B U2
D' B2 R' L' U2 F B
D' B2 R' L' U2 B F
D B2 R' L' F B U2
D B2 R' L' B F U2
D B2 R' B L' F U2
