F' R B' U' F'
B' F' R U' F'
F' B' R U' F'
F' L R U' F' L'
B' L F' R U' F'
B' L' F' R U' F'
B' L2 F' R U' F'
F' R L U' F' L'
F' R D B' U' F'
F' R D' B' U' F'
F' R D2 B' U' F'
F' R B' L U' F'
F' R B' L' U' F'
F' R B' L2 U' F'
F' R B' U' D F'
F' R B' U' D' F'
F' R B' U' D2 F'
F' R B' U' F' D
F' R B' U' F' D'
F' R B' U' F' D2
F' R B' D U' F'
F' R B' D' U' F'
F' R B' D2 U' F'
F' D R B' L U'
U' F' R B' U' F'
U2 F' R B' U' F'
L F' R U' F' L'
F' D B' L R U'
F' D B' R L U'
U F' R B' U' F'
U' F' B' R U' F'
U2 F' B' R U' F'
U F' B' R U' F'
F' B R B2 U' F'
F' B' L R U' F'
B' F' L R U' F'
F' B' L' R U' F'
B' F' L' R U' F'
F' B' L2 R U' F'
B' F' L2 R U' F'
F' B' R L U' F'
F' B' R L' U' F'
F' B' R L2 U' F'
F' B' R U' D F'
F' B' R U' D' F'
F' B' R U' D2 F'
F' B' R U' F' D
F' B' R U' F' D'
F' B' R U' F' D2
F' B' R D U' F'
F' B' R D' U' F'
F' B' R D2 U' F'
B' F' R L U' F'
B' F' R L' U' F'
B' F' R L2 U' F'
B' F' R U' D F'
B' F' R U' D' F'
B' F' R U' D2 F'
B' F' R U' F' D
B' F' R U' F' D'
B' F' R U' F' D2
B' F' R D U' F'
B' F' R D' U' F'
B' F' R D2 U' F'
B F' R B2 U' F'
U' B' F' R U' F'
U2 B' F' R U' F'
U B' F' R U' F'
B' F' L2 R D' U' F'
B' F' L2 R D2 U' F'
F' B' L2 R U' D F'
F' B' L2 R U' D' F'
F' B' L2 R U' D2 F'
F' B' L2 R U' F' D
F' B' L2 R U' F' D'
F' B' L2 R U' F' D2
B2 F' L' B R U' F'
F' B' L2 R D U' F'
F' B' L2 R D' U' F'
F' B' L2 R D2 U' F'
R B' R' F' R U' F'
B F' L B2 R U' F'
B F' L' R B2 U' F'
B' F' R L U' D F'
B' F' R L U' D' F'
B' F' R L U' D2 F'
B' F' R L U' F' D
B' F' R L U' F' D'
B' F' R L U' F' D2
B' F' R L D U' F'
B' F' R L D' U' F'
B' F' R L D2 U' F'
B' F' R L' U' D F'
B' F' R L' U' D' F'
B' F' R L' U' D2 F'
B' F' R L' U' F' D
B' F' R L' U' F' D'
B' F' R L' U' F' D2
B' F' R L' D U' F'
B' F' R L' D' U' F'
B' F' R L' D2 U' F'
B' F' R L2 U' D F'
B' F' R L2 U' D' F'
B' F' R L2 U' D2 F'
B' F' R L2 U' F' D
B' F' R L2 U' F' D'
B' F' R L2 U' F' D2
B' F' R L2 D U' F'
B' F' R L2 D' U' F'
B' F' R L2 D2 U' F'
B' F' R U B U2 F'
B' F' R U B' U2 F'
B' F' R U B2 U2 F'
B' F' R U' L' F' L
B' F' R U' L2 F' L2
B' F' R U' D F' D
B' F' R U' D F' D'
B' F' R U' D F' D2
B' F' R U' D' F' D
B' F' R U' D' F' D'
B' F' R U' D' F' D2
B' F' R U' D2 F' D
B' F' R U' D2 F' D'
B' F' R U' D2 F' D2
B' F' R U' F2 D F
B' F' R U' F2 D' F
B' F' R U' F2 D2 F
B' F' R D L U' F'
B' F' R D L' U' F'
B' F' R D L2 U' F'
B' F' R D U' F' D
B' F' R D U' F' D'
B' F' R D U' F' D2
F' B' R L U' D F'
F' B' R L U' D' F'
F' B' R L U' D2 F'
F' B' R L U' F' D
F' B' R L U' F' D'
F' B' R L U' F' D2
B2 F' L2 B R U' F'
F' B' R L D U' F'
F' B' R L D' U' F'
F' B' R L D2 U' F'
B' F' R D' L U' F'
B' F' R D' L' U' F'
B' F' R D' L2 U' F'
F' B' R L' U' D F'
F' B' R L' U' D' F'
F' B' R L' U' D2 F'
F' B' R L' U' F' D
F' B' R L' U' F' D'
F' B' R L' U' F' D2
B' F' R D' U' F' D
B' F' R D' U' F' D'
B' F' R D' U' F' D2
F' B' R L' D U' F'
F' B' R L' D' U' F'
F' B' R L' D2 U' F'
B' F' R D2 L U' F'
B' F' R D2 L' U' F'
B' F' R D2 L2 U' F'
F' B' R L2 U' D F'
F' B' R L2 U' D' F'
F' B' R L2 U' D2 F'
F' B' R L2 U' F' D
F' B' R L2 U' F' D'
F' B' R L2 U' F' D2
B F' L' B2 R U' F'
F' B' R L2 D U' F'
F' B' R L2 D' U' F'
B' F' R D2 U' F' D
B' F' R D2 U' F' D'
B' F' R D2 U' F' D2
F' B' R L2 D2 U' F'
F' B' R U B U2 F'
B F' L2 R B2 U' F'
F' B' R U B' U2 F'
F' B' R U B2 U2 F'
F' B' R U' L' F' L
F' B' R U' L2 F' L2
F' B' R U' D F' D
F' B' R U' D F' D'
F' B' R U' D F' D2
F' B' R U' D' F' D
F' B' R U' D' F' D'
F' B' R U' D' F' D2
F' B' R U' D2 F' D
F' B' R U' D2 F' D'
F' B' R U' D2 F' D2
F' B' R U' F2 D F
F' B' R U' F2 D' F
F' B' R U' F2 D2 F
F' B' R D L U' F'
F' B' R D L' U' F'
F' B' R D L2 U' F'
F' B' R D U' F' D
F' B' R D U' F' D'
F' B' R D U' F' D2
F' B' R D' L U' F'
F' B' R D' L' U' F'
F' B' R D' L2 U' F'
F' B' R D' U' F' D
F' B' R D' U' F' D'
F' B' R D' U' F' D2
F' B' R D2 L U' F'
F' B' R D2 L' U' F'
F' B' R D2 L2 U' F'
F' B' R D2 U' F' D
F' B' R D2 U' F' D'
F' B' R D2 U' F' D2
F2 B' R F R U' F2
B F' L2 B2 R U' F'
B F' R L B2 U' F'
B F' R L' B2 U' F'
B F' R L2 B2 U' F'
B F' R U' D L2 F'
B F' R U' D F' L2
D' B' D F' R U' F'
B F' R U' F' D L2
B F' R D U' L2 F'
B F' R D U' F' L2
B' F' R2 D R' U' F'
B' F' R2 D' R' U' F'
B' F' R2 D2 R' U' F'
B F' R B2 L U' F'
B F' R B2 L' U' F'
B F' R B2 L2 U' F'
B F' R B2 U' D F'
B F' R B2 U' D' F'
B F' R B2 U' D2 F'
B F' R B2 U' F' D
B F' R B2 U' F' D'
B F' R B2 U' F' D2
B F' R B2 D U' F'
B F' R B2 D' U' F'
B F' R B2 D2 U' F'
F' B' R2 D R' U' F'
F' B' R2 D' R' U' F'
F B' R F2 R U' F
F' B' R2 D2 R' U' F'
D B' D' L F' R U'
D B' D' F' L R U'
D B' D' F' R L U'
U' B' F' L R U' F'
U' B' F' L' R U' F'
U' B' F' L2 R U' F'
D B' D2 L F' U' B'
U' B' F' R L U' F'
U' B' F' R L' U' F'
U' B' F' R L2 U' F'
U' B' F' R U' D F'
U' B' F' R U' D' F'
U' B' F' R U' D2 F'
U' B' F' R U' F' D
U' B' F' R U' F' D'
U' B' F' R U' F' D2
U' B' F' R D U' F'
U' B' F' R D' U' F'
U' B' F' R D2 U' F'
D B' D2 F' L U' B'
U2 B' F' L R U' F'
U2 B' F' L' R U' F'
U2 B' F' L2 R U' F'
U2 B' F' R L U' F'
U2 B' F' R L' U' F'
U2 B' F' R L2 U' F'
U2 B' F' R U' D F'
U2 B' F' R U' D' F'
U2 B' F' R U' D2 F'
U2 B' F' R U' F' D
U2 B' F' R U' F' D'
U2 B' F' R U' F' D2
U2 B' F' R D U' F'
U2 B' F' R D' U' F'
U2 B' F' R D2 U' F'
D B' F' L R' U' B
D B' F' R' L U' B
U B' F' L R U' F'
D B' F' D2 L U' B'
U B' F' L' R U' F'
U B' F' L2 R U' F'
L B' F' R U' F' L'
U B' F' R L U' F'
U B' F' R L' U' F'
U B' F' R L2 U' F'
U B' F' R U' D F'
U B' F' R U' D' F'
U B' F' R U' D2 F'
U B' F' R U' F' D
U B' F' R U' F' D'
U B' F' R U' F' D2
U B' F' R D U' F'
U B' F' R D' U' F'
U B' F' R D2 U' F'
B' F' D2 L' R U' F
B' F' D2 R L' U' F
F2 B' D' F L' R U'
F2 B' D' F R L' U'
F' B' D2 L' R U' F
F' B' D2 R L' U' F
F' B2 L B R U' F'
F' B2 L' B R U' F'
F' B2 L2 B R U' F'
B' F2 R F R U' F2
B' F2 D' F L' R U'
B' F2 D' F R L' U'
L B2 F' R U' F' L'
