U F B L B2 U'
U F B' U2 R' U
B' F L U' F B
B' F L U' B F
U B F L B2 U'
F B' L U' F B
F B' L U' B F
U B' F U2 R' U
F B' L U' F B D'
F B' L U' F B D2
F B' L U' B D F
F B' L U' B D' F
F B' L U' B D2 F
F B' L U' B F D
F B' L U' B F D'
F B' L U' B F D2
F B' L D U' F B
F B' L D U' B F
F B' L D' U' F B
F B' L D' U' B F
F B' L D2 U' F B
F B' L D2 U' B F
F B' L' U B' U2 B2
F B' L' U' B D2 F2
U B' U2 R' U2 F U'
U B' D F U2 R' U
D2 B' F L U' F B
R' B' F L U' F B
D2 B' F L U' B F
R' B' F L U' B F
D' B' F L U' F B
D' B' F L U' B F
U B' D' F U2 R' U
L2 B' F L' U F B
L2 B' F L' U B F
R2 B' F L U' F B
R2 B' F L U' B F
D B' F L U' F B
D B' F L U' B F
U B' D2 F U2 R' U
U B' F L U2 R' U
U B' F L' U2 R' U
U B' F L2 U2 R' U
R B' F L U' F B
R B' F L U' B F
U B' F U2 R' U D
U B' F U2 R' U D'
U B' F U2 R' U D2
U B' F U2 R' D U
U B' F U2 R' D' U
U B' F U2 R' D2 U
U B' F U2 D R' U
U B' F U2 D' R' U
U B' F U2 D2 R' U
U B' F D U2 R' U
U B' F D' U2 R' U
U B' F D2 U2 R' U
F B' D L U' F B
F B' D L U' B F
F B' D' L U' F B
F B' D' L U' B F
B' F2 L F' U' F2 B
B' F2 L F' U' B F2
F B' D2 L U' F B
F B' D2 L U' B F
F B2 L B U' F B
F B2 L B U' B F
U' B2 U2 F B L U'
U' B2 U2 B F L U'
U2 B2 U' F B L U'
U2 B2 U' B F L U'
U B2 D2 F L' B U'
U B2 D2 F B L' U'
U B2 D2 B F L' U'
