L' R D F' R B'
L' R D F' B' R
L' R D B' F' R
L' R B' D F' R
R L' D F' R B'
R L' D F' B' R
R L' D B' F' R
R L' B' D F' R
L' B' R D F' R
L' R2 B' D R' F' R
L' R2 B2 D' B R' F'
D' L2 F L' U' L2 B'
U' L2 F R U' L F'
U' L2 F R U' F' L
L U L2 R F' B' R'
L U L2 R B' F' R'
L U L2 R2 B' R' F'
L U L2 B' R F' R2
L U R L2 F' B' R'
L U R L2 B' F' R'
L U R2 L2 B' R' F'
B' R L U L2 F' B'
B' R L U L2 B' F'
U2 R L' D F' B R
U2 R L' D B F' R
B2 R L' D' F' R B'
B2 R L' D' F' B' R
B2 R L' D' B' F' R
U2 R L' D' F' B R'
U2 R L' D' B F' R'
B R L' D' F' R2 B'
B R L' D' F' B' R2
B R L' D' B' F' R2
U2 R L' F' D' B R'
B' R L2 U L F' B'
B' R L2 U L B' F'
B' R L2 U F' L B'
U2 R L' B D F' R
B2 R L' B' D' F' R
B R L' F' D' R2 B'
B R L' F' D' B' R2
B2 R D' L' F' R B'
B2 R D' L' F' B' R
B2 R D' L' B' F' R
B R D' L' F' R2 B'
B R D' L' F' B' R2
B R D' L' B' F' R2
L U' L2 F R F' B'
L U' L2 F R B' F'
L U' L2 F B' R F'
L U' L2 B' F R F'
U2 R B L' D' F' R2
U2 R B L' F' D' R2
U2 R B D' L' F' R2
U' R B' U L' F' B'
U' R B' U L' B' F'
U2 R B' U L' F' B2
U2 R B' U L' B2 F'
U2 R B' U B2 L' F'
B R' L' D' R2 F' B'
B R' L' D' R2 B' F'
L U' F R F' L2 B'
L U' F U2 L2 R F'
L U' F U2 R L2 F'
L U' F U2 R F' L2
R2 U' B' R' U L' B'
R U' B' U L' F' B'
R U' B' U L' B' F'
B R' D' L' R2 F' B'
B R' D' L' R2 B' F'
B R' D' R2 L' F' B'
B R' D' R2 L' B' F'
R U2 L' D F' R B
R D L' D F' R B'
R D L' D F' B' R
R D L' D B' F' R
R D L' B' D F' R
L' D F' D' R F' B'
L' D F' D' R B' F'
L' D F' D' B' R F'
R D' L' D F' R B'
R D' L' D F' B' R
R D' L' D B' F' R
R D' L' B' D F' R
D2 U' B' U L' F B'
D2 U' B' U L' B' F
R D2 L' D F' R B'
R D2 L' D F' B' R
R D2 L' D B' F' R
R D2 L' B' D F' R
B' U2 R U' L' F' B
B' U2 R U' L' B F'
B' U2 R U' B L' F'
U' D2 B' U L' F B'
U' D2 B' U L' B' F
L' F R D F' R B'
L' F R D F' B' R
L' F R D B' F' R
L2 F R U' L F' B'
L2 F R U' L B' F'
L2 F R U' F' L B'
L' F R B' D F' R
L' F B' R D F' R
L' F' R D F' R B'
L' F' R D F' B' R
L' F' R D B' F' R
L' F' R B' D F' R
L' F' B' R D F' R
B D' R2 D' L' F B'
B D' R2 D' L' B' F
L' F2 R D F' R B'
L' F2 R D F' B' R
L' F2 R D B' F' R
L' F2 R B' D F' R
B' D2 L U L2 F B'
B' D2 L U L2 B' F
B2 D2 L' F B' D' R2
B2 D2 L' B' D' R2 F
B2 D2 L' B' D' F R2
B2 D2 L' B' F D' R2
B D2 L' D R2 F B'
B D2 L' D R2 B' F
B D2 L' D F R2 B'
B D2 L' D F B' R2
B D2 L' D B' R2 F
B D2 L' D B' F R2
B D2 L' B' D R2 F
B D2 L' B' D F R2
L' F2 B' R D F' R
R' B L' D' B' R2 F'
D2 B L' D' R2 F B'
D2 B L' D' R2 B' F
D2 B L' D' F R2 B'
D2 B L' D' F B' R2
D2 B L' D' B' R2 F
D2 B L' D' B' F R2
D2 B L' F D' R2 B'
D2 B L' F D' B' R2
R B L' D' F' R2 B'
R B L' D' F' B' R2
R B L' D' B' F' R2
L' B R B2 D F' R
R B L' F' D' R2 B'
R B L' F' D' B' R2
R' B D L2 U2 L B'
R' B D' L' B' R2 F'
D' B D' L' R2 F B'
D' B D' L' R2 B' F
D' B D' L' F R2 B'
D' B D' L' F B' R2
D' B D' L' B' R2 F
D' B D' L' B' F R2
D' B D' R2 L' F B'
D' B D' R2 L' B' F
R B D' L' F' R2 B'
R B D' L' F' B' R2
R B D' L' B' F' R2
D2 B' L U L2 F B'
D2 B' L U L2 B' F
U' B' R U L' F' B'
U' B' R U L' B' F'
R B' L U L2 F' B'
R B' L U L2 B' F'
L' B' R D F' R D
L' B' R D F' R D'
L' B' R D F' R D2
L' B' R D F' D R
L' B' R D F' D' R
L' B' R D F' D2 R
U2 B' R U L' F' B
U2 B' R U L' B F'
U2 B' R U B L' F'
L' B' R' D R2 F' R
R B' L2 U L F' B'
R B' L2 U L B' F'
R B' L2 U F' L B'
L' B' R2 D R' F' R
U' B' U D2 L' F B'
U' B' U D2 L' B' F
L' B' D F' D' R F'
U' B' D2 U L' F B'
U' B' D2 U L' B' F
L' B' F R D F' R
L' B' F' R D F' R
L' B' F2 R D F' R
D2 B2 L' F B' D' R2
D2 B2 L' B' D' R2 F
D2 B2 L' B' D' F R2
D2 B2 L' B' F D' R2
R B2 L' F' B' D' R2
R B2 L' B' D' F' R2
R B2 L' B' F' D' R2
