B L R B2 U' R'
B L B2 R U' R2
B R L B2 U' R'
B' R D2 L2 U' R2
R B L B2 U' R'
B D R L F2 U' L
B D R F2 L U' L
B' D R2 F2 L' R' U'
B' D R2 F2 R' L' U'
R F B L B2 U' R'
B' D F2 U2 L' R' U
B' D F2 U2 R' L' U
B' D' R U' D' R2 F2
B' D' R U' D' F2 R2
B' D' R U2 R2 B2 U
B' D' R U2 B2 R2 U
B' D' R D' U' R2 F2
B' D' R D' U' F2 R2
B' D' R D2 L2 F2 U'
B' D' R D2 F2 L2 U'
R F' B L B2 U' R'
B' D2 R U' D' R F2
B' D2 R U2 R2 U R'
B' D2 R D' U' R F2
B' D2 R D2 L2 U' R
R F2 B L B2 U' R'
D2 B L R B2 U' R
R' B L R2 B2 U' R'
D F2 B' U2 L' R' U
D F2 B' U2 R' L' U
R' B L B2 R2 U' R
D2 B L B2 R U' R
D B L R F2 B2 U'
D B L R B2 F2 U'
D B L B2 R F2 U'
D2 B R L B2 U' R
R B L F B2 U' R'
R B L F' B2 U' R'
R B L F2 B2 U' R'
R B L B2 U' R' D
R B L B2 U' R' D'
R B L B2 U' R' D2
R B L B2 U' D R'
R B L B2 U' D' R'
R B L B2 U' D2 R'
R B L B2 D U' R'
R B L B2 D' U' R'
R B L B2 D2 U' R'
R B L B2 F U' R'
R B L B2 F' U' R'
R B L B2 F2 U' R'
D B R L F2 B2 U'
D B R L B2 F2 U'
R' B R2 L B2 U' R'
D B R F2 L B2 U'
R B D L F2 U' L
R B D F2 L U' L
R B F L B2 U' R'
R B F' L B2 U' R'
R B F2 L B2 U' R'
D2 B' R U' D' R F2
D2 B' R U2 R2 U R'
D' B' R U2 R2 B' U
D2 B' R D' U' R F2
D' B' R U2 B' R2 U
D2 B' R D2 L2 U' R
D' B' R D2 L2 F U'
R B' L2 U2 R' U R
D B' R F2 U' D' F2
D B' R F2 U2 R2 U
D B' R F2 D' U' F2
D B' R F2 D2 L2 U'
R' B' R2 D F2 L' U'
U B' R U L2 B U2
U B' R U B L2 U2
U B' R U' D2 R2 F'
U B' R D2 U' R2 F'
D B' R2 F2 L' R' U'
D B' R2 F2 R' L' U'
R B' U L2 U R' U
R B' U2 R' U D2 R2
R B' U2 R' U' L2 U2
R B' U2 R' D' B2 U
R B' U2 R' D2 U R2
R B' U2 D' R' B2 U
R B' U2 D2 R' U R'
R B' D F2 U2 R' U
R B' D' U2 R' B2 U
R B' D2 U2 R' U R'
D B' F2 U2 L' R' U
D B' F2 U2 R' L' U
