L2 R' F2 U' F'
R' L2 F2 U' F'
F2 L2 R' U' F
F2 R' L2 U' F
F2 R' U B' U2
R' F2 L2 U' F
R' F2 U B' U2
F2 L2 R' U' R2 F R2
F2 L2 R' U' D F D
F2 L2 R' U' D F D'
F2 L2 R' U' D F D2
F2 L2 R' U' D' F D
F2 L2 R' U' D' F D'
F2 L2 R' U' D' F D2
F2 L2 R' U' D2 F D
F2 L2 R' U' D2 F D'
F2 L2 R' U' D2 F D2
D2 L2 R' D' U' R2 F
D2 L2 R' D' U' F R2
F2 L2 R' U' F2 D F'
F2 L2 R' U' F2 D' F'
F2 L2 R' U' F2 D2 F'
F2 L2 R' U2 R U F
F2 L2 R' U2 R' U F
F2 L2 R' U2 R2 U F
D2 L2 R' D2 F2 U' F'
F2 L2 R' D U' F D
F2 L2 R' D U' F D'
F2 L2 R' D U' F D2
D L2 R' U' R F R2
D L2 R' U' R' D F
D L2 R' U' R' D' F
D L2 R' U' R' D2 F
D L2 R' U' R' F D
D L2 R' U' R' F D'
D L2 R' U' R' F D2
D L2 R' U' D R' F
D L2 R' U' D F R'
D L2 R' U' D' R' F
D L2 R' U' D' F R'
D L2 R' U' D2 R' F
D L2 R' U' D2 F R'
D L2 R' U' F R' D
D L2 R' U' F R' D'
D L2 R' U' F R' D2
D L2 R' U' F D R'
D L2 R' U' F D' R'
D L2 R' U' F D2 R'
D L2 R' U' F' R' F2
F2 L2 R' D' U' F D
F2 L2 R' D' U' F D'
F2 L2 R' D' U' F D2
F2 L2 R' D2 U' F D
F2 L2 R' D2 U' F D'
F2 L2 R' D2 U' F D2
D L2 R' D U' R' F
D L2 R' D U' F R'
D L2 R' D' U' R' F
D L2 R' D' U' F R'
R' L2 F D F U' F'
F L2 R' U2 B' U F
U' L2 R' F2 U' L2 F'
U' L2 R' F2 U' F' L2
D L2 R' D2 U' R' F
D L2 R' D2 U' F R'
R' L2 F D' F U' F'
R' L2 F D2 F U' F'
D L2 R' F' U' R' F2
D L2 R' F' U' F2 R'
D L2 R' F2 U' F' R'
R' L2 F' L F' U' F'
R L2 F R2 F U' F'
R' L2 F' L' F' U' F'
U L2 R' F2 U' L' F'
R' L2 F' L2 F' U' F'
F2 L2 R2 D R U' F
F2 L2 R2 D' R U' F
F2 L2 R2 D2 R U' F
R' L2 F' D' L2 F' U'
R' L2 F' D' F' L2 U'
R' L2 F2 L U' D F'
R' L2 F2 L U' D' F'
R' L2 F2 L U' D2 F'
R' L2 F2 L U' F' D
R' L2 F2 L U' F' D'
R' L2 F2 L U' F' D2
R' L2 F2 L D U' F'
R' L2 F2 L D' U' F'
R' L2 F2 L D2 U' F'
R' L2 F2 L' U' D F'
R' L2 F2 L' U' D' F'
R' L2 F2 L' U' D2 F'
R' L2 F2 L' U' F' D
R' L2 F2 L' U' F' D'
R' L2 F2 L' U' F' D2
R' L2 F2 L' D U' F'
R' L2 F2 L' D' U' F'
R' L2 F2 L' D2 U' F'
R' L2 F2 L2 U' D F'
R' L2 F2 L2 U' D' F'
R' L2 F2 L2 U' D2 F'
R' L2 F2 L2 U' F' D
R' L2 F2 L2 U' F' D'
R' L2 F2 L2 U' F' D2
R' L2 F2 L2 D U' F'
R' L2 F2 L2 D' U' F'
R' L2 F2 L2 D2 U' F'
R' L2 F2 U B U2 F'
R' L2 F2 U B' U2 F'
R' L2 F2 U B2 U2 F'
R' L2 F2 U' L' F' L
R' L2 F2 U' L2 F' L2
R' L2 F2 U' D F' D
R' L2 F2 U' D F' D'
R' L2 F2 U' D F' D2
R' L2 F2 U' D' F' D
R' L2 F2 U' D' F' D'
R' L2 F2 U' D' F' D2
R' L2 F2 U' D2 F' D
R' L2 F2 U' D2 F' D'
R' L2 F2 U' D2 F' D2
R' L2 F2 U' F2 D F
R' L2 F2 U' F2 D' F
R' L2 F2 U' F2 D2 F
R' L2 F2 D L U' F'
R' L2 F2 D L' U' F'
R' L2 F2 D L2 U' F'
L' R2 F2 U2 L' U F
R' L2 F2 D U' F' D
R' L2 F2 D U' F' D'
R' L2 F2 D U' F' D2
R' L2 F2 D' L U' F'
R' L2 F2 D' L' U' F'
R' L2 F2 D' L2 U' F'
R' L2 F2 D' U' F' D
R' L2 F2 D' U' F' D'
R' L2 F2 D' U' F' D2
R' L2 F2 D2 L U' F'
R' L2 F2 D2 L' U' F'
R' L2 F2 D2 L2 U' F'
R' L2 F2 D2 U' F' D
R' L2 F2 D2 U' F' D'
R' L2 F2 D2 U' F' D2
L2 R2 F2 U2 L' U F'
R2 L2 F2 U2 L' U F'
R L2 F2 R2 U B U2
R L2 F2 U' D F' B2
R L2 F2 U' D B2 F'
R L2 F2 U' F' D B2
R L2 F2 D U' F' B2
R L2 F2 D U' B2 F'
F2 L2 U' F U R' U'
B' L2 U' F2 B R' U'
B' L2 U' B R' F2 U'
B' L2 U' B F2 R' U'
U L2 U' R' F2 U' F'
U2 L2 U2 R' F2 U' F'
F2 L2 D R' U' D F
F2 L2 D R' U' D' F
F2 L2 D R' U' D2 F
F2 L2 D R' U' F D
F2 L2 D R' U' F D'
F2 L2 D R' U' F D2
F2 L2 D R' D U' F
F2 L2 D R' D' U' F
F2 L2 D R' D2 U' F
F' L2 D F' R' U' F2
D2 L2 D' R' U' R' F
D2 L2 D' R' U' F R'
F2 L2 D' R' U' D F
F2 L2 D' R' U' D' F
F2 L2 D' R' U' D2 F
F2 L2 D' R' U' F D
F2 L2 D' R' U' F D'
F2 L2 D' R' U' F D2
F2 L2 D' R' D U' F
F2 L2 D' R' D' U' F
F2 L2 D' R' D2 U' F
D L2 D' R' F2 U' F'
F' L2 D' F' R' U' F2
D2 L2 D2 R' F2 U' F'
F2 L2 D2 R' U' D F
F2 L2 D2 R' U' D' F
F2 L2 D2 R' U' D2 F
F2 L2 D2 R' U' F D
F2 L2 D2 R' U' F D'
F2 L2 D2 R' U' F D2
F2 L2 D2 R' D U' F
F2 L2 D2 R' D' U' F
F2 L2 D2 R' D2 U' F
F' L2 D2 F' R' U' F2
F' L2 F R' F2 U' F2
R' U L2 U' F2 U' F'
R' U L2 U2 D R2 F
R' U L2 U2 D F R2
R' U L2 D U2 R2 F
R' U L2 D U2 F R2
R' U L2 D' L2 B' U2
F' L2 F' L R' U' F2
F' L2 F' L' R' U' F2
F' L2 F' L2 R' U' F2
F' L2 F' R' L U' F2
F' L2 F' R' L' U' F2
F' L2 F' R' L2 U' F2
F' L2 F' R' U' F2 D
F' L2 F' R' U' F2 D'
F' L2 F' R' U' F2 D2
F' L2 F' R' D' L2 U'
F2 L2 F' R' F U' F
D L2 F' R' U' R' F2
D L2 F' R' U' F2 R'
F' L2 F' D' L2 R' U'
F' L2 F' D' R' L2 U'
L' U R' F2 U' L' F
L2 U R' F2 U' L' F'
R' U D L2 U2 R2 F
R' U D L2 U2 F R2
R' U D B' L U2 R2
R' U D B' L' U2 R2
R' U D B' L2 U2 R2
R' U D B' U2 R2 D
R' U D B' U2 R2 D'
R' U D B' U2 R2 D2
R' U D B' D2 L2 U2
R' U D B2 U2 R2 F'
R' U D' L2 U2 D F
R' U D' L2 U2 D' F
R' U D' L2 U2 D2 F
R' U D' L2 U2 F D
R' U D' L2 U2 F D'
R' U D' L2 U2 F D2
R' U D' L2 D U2 F
R' U D' L2 D' U2 F
R' U D' L2 D2 U2 F
R' U D' L2 B U2 F
R' U D' L2 B' U2 F
R' U D' L2 B2 U2 F
R' U D' B L2 B2 U2
R' U D' B' L2 U2 D
R' U D' B' L2 U2 D'
R' U D' B' L2 U2 D2
R' U D' B' L2 D U2
R' U D' B' L2 D' U2
R' U D' B' L2 D2 U2
R U D B' U2 R2 B'
R U D B' U2 B' R2
R' U D' B' U2 D2 R2
R' U D' B' D2 U2 R2
R' U D' B2 L2 B U2
R U D' L2 F2 U2 F'
R U D' F2 L2 U2 F
R U D' F2 B' L2 U2
R U D' B' L2 F2 U2
R' U D2 B' U B' U
R U D' B' F2 L2 U2
F2 R L2 U' D F B2
F2 R L2 U' D B2 F
F2 R L2 U' F D B2
F2 R L2 D U' F B2
F2 R L2 D U' B2 F
F2 R U D B' U2 B'
U2 R U D B2 R2 F'
F2 R U D' F2 B' U2
F2 R U D' B' F2 U2
F2 R U B' U' R2 U'
F2 R U B' U2 D B2
F2 R U B' D U2 B2
F2 R U B' D' F2 U2
R' U B' L U' F2 U'
R' U B' L U2 D R2
R' U B' L D U2 R2
R' U B' L D' L2 U2
R' U B' L' U' F2 U'
R' U B' L' U2 D R2
R' U B' L' D U2 R2
R' U B' L' D' L2 U2
R' U B' L2 U' F2 U'
R' U B' L2 U2 D R2
R' U B' L2 D U2 R2
R' U B' L2 D' L2 U2
F2 R U2 D2 L2 U F
R' U B' U D2 B2 U
R' U B' U' F2 U' D
R' U B' U' F2 U' D'
R' U B' U' F2 U' D2
R' U B' U' F2 D U'
R' U B' U' F2 D' U'
R' U B' U' F2 D2 U'
R' U B' U2 R D R2
R' U B' U2 R' D R2
R' U B' U2 R2 D R2
R' U B' U2 D R2 D
R' U B' U2 D R2 D'
R' U B' U2 D R2 D2
R' U B' D L U2 R2
R' U B' D L' U2 R2
R' U B' D L2 U2 R2
R' U B' D U2 R2 D
R' U B' D U2 R2 D'
R' U B' D U2 R2 D2
R' U B' D' L2 U2 D
R' U B' D' L2 U2 D'
R' U B' D' L2 U2 D2
R' U B' D' L2 D U2
R' U B' D' L2 D' U2
R' U B' D' L2 D2 U2
R' U B' D2 U B2 U
F2 R D L2 U' F B2
F2 R D L2 U' B2 F
R2 U B' U' R F2 U'
U' R D F B2 R2 F'
F2 R D U B' U2 B'
U2 R D U B2 R2 F'
U' R D F' B2 R2 F'
R U B' U' R2 F2 U'
R U B' U' F2 R2 U'
U' R D F2 B2 R2 F'
R U B' U2 D R2 B2
R U B' U2 D B2 R2
R U B' D U2 R2 B2
R U B' D U2 B2 R2
R' U B2 U2 D R2 F'
R U B' D' L2 F2 U2
U' R D B2 R2 D F'
U' R D B2 R2 D' F'
U' R D B2 R2 D2 F'
U' R D B2 R2 F' D
U' R D B2 R2 F' D'
U' R D B2 R2 F' D2
U' R D B2 F R2 F'
R U B' D' F2 L2 U2
U' R D B2 F' R2 F'
U' R D B2 F2 R2 F'
R' U B2 D U2 R2 F'
R' U B2 D B U2 R2
R' U B2 D' L2 B U2
R' U B2 D' B L2 U2
U R D B2 L R2 F'
F2 R D' U F2 B' U2
F2 R D' U B' F2 U2
U R D B2 R2 L F'
U R D B2 R2 F' L
U2 R D2 L2 B2 U F
F2 R D2 U2 L2 U F
F R F L2 R2 U' F
F R F R2 L2 U' F
F R F R2 U B' U2
L2 U' R D R2 F B2
L2 U' R D R2 B2 F
L2 U' R D F R2 B2
L2 U' R D F B2 R2
L2 U' R D B2 R2 F
L2 U' R D B2 F R2
R2 U' R' D B2 R2 F'
R' U' D L2 R2 F L2
R' U' D L2 F L2 R2
R' U' D L2 F R2 L2
R' U' D R2 L2 F L2
R' U' D R2 U2 B' U2
R' U' D B2 R2 F' B2
R' U' D B2 R2 B2 F'
U' R B2 D R2 F' B2
U' R B2 D R2 B2 F'
F2 R B2 R2 B2 U' F'
R U' D F B2 R2 F'
R U' D F' B2 R2 F'
R U' D F2 B2 R2 F'
R U' D B2 R2 D F'
R U' D B2 R2 D' F'
R U' D B2 R2 D2 F'
R U' D B2 R2 F' D
R U' D B2 R2 F' D'
R U' D B2 R2 F' D2
R U' D B2 F R2 F'
R U' D B2 F' R2 F'
R U' D B2 F2 R2 F'
F2 R' L U2 R' U F'
F2 R' L D L U' F
F2 R' L D' L U' F
F2 R' L D2 L U' F
D' R' L' U L' U2 F
F2 R' L' U' L' F L
D2 R' L2 U' D' R2 F
D2 R' L2 U' D' F R2
D2 R' L2 U' F D' R2
L2 U' F U R' F U'
L2 U' F U F R' U'
D2 R' L2 U2 B2 U F
D2 R' L2 D' U' R2 F
D2 R' L2 D' U' F R2
D2 R' L2 D2 F2 U' F'
F2 R' L2 U B U2 F
F2 R' L2 U B' U2 F
F2 R' L2 U B2 U2 F
F2 R' L2 U' R F R'
F2 R' L2 U' R2 F R2
F2 R' L2 U' D F D
F2 R' L2 U' D F D'
F2 R' L2 U' D F D2
F2 R' L2 U' D' F D
F2 R' L2 U' D' F D'
F2 R' L2 U' D' F D2
F2 R' L2 U' D2 F D
F2 R' L2 U' D2 F D'
F2 R' L2 U' D2 F D2
F2 R' L2 U' F2 D F'
F2 R' L2 U' F2 D' F'
F2 R' L2 U' F2 D2 F'
F2 R' L2 U2 R U F
F2 R' L2 U2 R' U F
F2 R' L2 U2 R2 U F
F2 R' L2 D U' F D
F2 R' L2 D U' F D'
F2 R' L2 D U' F D2
D R' L2 U' R F R2
D R' L2 U' R' D F
D R' L2 U' R' D' F
D R' L2 U' R' D2 F
D R' L2 U' R' F D
D R' L2 U' R' F D'
D R' L2 U' R' F D2
F2 R' L2 D' U' F D
F2 R' L2 D' U' F D'
F2 R' L2 D' U' F D2
D R' L2 U' D R' F
D R' L2 U' D F R'
D R' L2 U' D' R' F
D R' L2 U' D' F R'
U' R' L2 F2 U' L2 F'
D R' L2 U' D2 R' F
D R' L2 U' D2 F R'
U' R' L2 F2 U' F' L2
D R' L2 U' F R' D
D R' L2 U' F R' D'
D R' L2 U' F R' D2
D R' L2 U' F D R'
D R' L2 U' F D' R'
D R' L2 U' F D2 R'
D R' L2 U' F' R' F2
U R' L' F2 U' L' F
F2 R' L2 D2 U' F D
F2 R' L2 D2 U' F D'
F2 R' L2 D2 U' F D2
D R' L2 D U' R' F
D R' L2 D U' F R'
D R' L2 D' U' R' F
D R' L2 D' U' F R'
D R' L2 D2 U' R' F
D R' L2 D2 U' F R'
D' R' U L2 U2 D F
D' R' U L2 U2 D' F
D' R' U L2 U2 D2 F
D' R' U L2 U2 F D
D' R' U L2 U2 F D'
D' R' U L2 U2 F D2
D' R' U L2 D U2 F
D' R' U L2 D' U2 F
D' R' U L2 D2 U2 F
D' R' U L2 B U2 F
D' R' U L2 B' U2 F
D' R' U L2 B2 U2 F
F R' L2 U2 B' U F
D R' L2 F' U' R' F2
D R' L2 F' U' F2 R'
D R' L2 F2 U' F' R'
D2 R' U D L2 U2 F
D2 R' U D B' L2 U2
D2 R' U D' B' U2 R2
D' R' U D2 B' U2 R2
F' R' U D B' L U2
D R' U L U2 R' F'
F2 R' U R' B' R U2
U R' L2 F2 U' L' F'
D R' U L2 U2 R' F
D R' U L2 U2 F R'
F2 R' U R2 B' R2 U2
D' R' U B L2 B2 U2
F2 R' U D B' U2 D
F2 R' U D B' U2 D'
F2 R' U D B' U2 D2
F2 R' U D B' D U2
F2 R' U D B' D' U2
F2 R' U D B' D2 U2
D' R' U B' L2 U2 D
D' R' U B' L2 U2 D'
