U' L U' R' B U2
D2 L' D' F B2 L
D2 L' D' B2 F L
D2 L' F D' B2 L
L2 R' B U L' U R
D2 L' D' F L2 B2 L
D2 L' D' F B2 L D
D2 L' D' F B2 L D'
D2 L' D' F B2 L D2
L' R' B D' U2 R B2
D2 L' D' F B2 D L
D2 L' D' F B2 D' L
D2 L' D' F B2 D2 L
L' R' B D' U2 B2 R
D2 L' D' F' B2 L F2
D2 L' D' F2 B2 L F'
D' L' D' B2 L' F L2
D2 L' D' B2 D F L
D2 L' D' B2 D' F L
D2 L' D' B2 D2 F L
D2 L' D' B2 F L D
D2 L' D' B2 F L D'
D2 L' D' B2 F L D2
D2 L' D' B2 F D L
D2 L' D' B2 F D' L
D2 L' D' B2 F D2 L
D2 L' D' B2 F' L F2
D2 L' D' B2 F2 L F'
D2 L' D2 F D B2 L
D2 L' F D' L B2 L
D2 L' F D' L' B2 L
D2 L' F D' L2 B2 L
D2 L' F D' B2 L D
D2 L' F D' B2 L D'
D2 L' F D' B2 L D2
D2 L' F D' B2 D L
D2 L' F D' B2 D' L
D2 L' F D' B2 D2 L
D2 L' F B2 D' L B2
D2 L' F2 D' F' B2 L
D2 L' F2 D' B2 L F'
D2 L' F2 D' B2 F' L
D2 L' B2 D' F L B2
D2 L' B2 F D' L B2
R' L2 B U L' U R
R' U L R2 U F' R'
R' U L U R2 F' R'
R' U L U' B U2 R
R' U R2 L U F' R'
D2 L2 B2 L D' F B2
D2 L2 B2 L D' B2 F
D2 L2 B2 L F D' B2
U' R L U D2 L2 F'
U' R L U D2 F' L2
U' R L U F' D2 L2
U' R L U' R2 B U2
U' R L D' F2 U F
U' R L D2 U L2 F'
U' R L D2 U F' L2
B2 R L D F' R' B2
B2 R L F' D R' B2
B2 R D L F' R' B2
B2 R D F' L R' B2
B2 R D F' R' L B2
U' R D' L F2 U F
U' R D2 L U L F'
U' R D2 L U F' L
B R D' F' R' B L
L2 U' L' U' R' B U2
L' U' L2 U' R' B U2
B2 R F' L D R' B2
B2 R F' D L R' B2
B2 R F' D R' L B2
B R F' D' R' B L
L U' R' B U B' U
U2 R' U L R2 U F'
U2 R' U L U' B U2
U2 R' U R2 L U F'
B2 R' U' L R2 F' R'
B2 R' U' R2 L F' R'
B2 R' U' R2 F' L R'
B2 R' U' R2 F' R' L
L' U2 R' D F2 B U2
L' U2 R' D B F2 U2
L' U2 R' D' B U2 B
L' U2 R' B U L2 U
L' U2 R' B U2 D' B2
L' U2 R' B D F2 U2
L' U2 R' B D' U2 B2
U' R' B U B' L U
L2 U2 R' B U L' U
L U2 R' B U' R U'
R D' L F2 U R' F
R D' L F2 U F R'
D2 U' L U' R' B' U2
D U B2 R' U' L F
U D B2 R' U' L F
F' U' L U' R' B U2
F2 U' L U' R' B U2
F U' L U' R' B U2
L' D' F B2 L D F2
L' D' B2 L2 D' L' F
L' D' B2 D' L' F L2
L' D' B2 F L D F2
L' D2 L' D F B2 L
L' D2 L' D B2 F L
L' D2 L' F D B2 L
R D2 L U L F' R'
R D2 L U F' L R'
R D2 L U F' R' L
U' D2 L U' R' B' U2
L' D2 L2 D B2 L F
L D2 L2 D' B2 L F
R D2 L2 F' D R' B
U' F L U' R' B U2
D2 F L' D' F B2 L
D2 F L' D' B2 F L
D2 F L' F D' B2 L
U' F' L U' R' B U2
D2 F' L' D' F B2 L
D2 F' L' D' B2 F L
D2 F' L' F D' B2 L
R F' L' R' D' B2 L
R F' R' L' D' B2 L
U' F2 L U' R' B U2
R' F2 L' D F2 B U2
R' F2 L' D B F2 U2
R' F2 L' D' B U2 B
D2 F2 L' D' F B2 L
D2 F2 L' D' B2 F L
D2 F2 L' F D' B2 L
R' F2 L' B U L2 U
R' F2 L' B U2 D' B2
R' F2 L' B D F2 U2
R' F2 L' B D' U2 B2
F' D2 L' D' F B2 L
F' D2 L' D' B2 F L
F' D2 L' F D' B2 L
F2 D2 L' D' F B2 L
F2 D2 L' D' B2 F L
F2 D2 L' F D' B2 L
F D2 L' D' F B2 L
F D2 L' D' B2 F L
F D2 L' F D' B2 L
R' F2 B D L' F U2
R' B U B' L U R
R' B U B2 U R B
R' B U2 R2 D' R' B
R' B U2 D' R' B R2
R' B U2 B R D B2
R' B D L U2 R B'
R' B D L U2 B' R
R' B D L2 U2 R B
R' B D F2 L' F U2
R' B D' U2 R' B R2
R' B F2 D L' F U2
D B2 L U R' U' F'
L B2 R U L F' R'
L B2 R U F' L R'
L B2 R U F' R' L
D B2 R' U' L R F
D B2 R' U' R L F
D B2 U R' U' L F'
D B2 U R' U' F' L
