U' L F2 L R F'
U' L F2 R L F'
U' L F2 R F' L
U' L2 R D2 F' R2
U' L2 R F' D2 R2
U' L2 R' D2 R2 F'
U' R L2 D2 F' R2
U' R L2 F' D2 R2
U2 R U' F' L2 B'
U' R U2 F' L2 B'
U R U2 L2 F' R'
U R U2 F' L2 R'
U R U2 F' R' L2
L U' L F2 R F'
U' R F' L2 D2 R2
U R F' L2 R' B'
U R F' R' L2 B'
U' R' L2 D2 R2 F'
U' R' B U2 B' L2
U R' B U2 L2 R
U R' B U2 R L2
U R F' L2 D R' B'
U R F' L2 D' R' B'
U R F' L2 D2 R' B'
U R F' R L2 B' R2
U R F' R' L2 D B'
U R F' R' L2 D' B'
U R F' R' L2 D2 B'
U R F' R' L2 B' D
U R F' R' L2 B' D'
U R F' R' L2 B' D2
U R F' R' B L2 B'
U R F' R' B' L2 B'
U R F' R' B2 L2 B'
U R F' R2 L2 B' R
L U' R L F2 R F
U R F' B L2 B' R'
L U' R F L F2 R
U R F2 R' F L2 B'
L' U' R' B U2 B' L'
U' R B U2 F' B' L2
U' R B U2 B' L2 F'
U' R B U2 B' F' L2
U2 R B U' F' L2 B'
L U' R' B U2 B' L
U' R B' U2 L2 F' B
U' R B' U2 L2 B F'
U' R B' U2 F' L2 B
U' R B' U2 F' B L2
U' R B' U2 B L2 F'
U' R B' U2 B F' L2
U R B F' L2 B' R'
U2 R B' U' F' L2 B'
B2 R B2 L U L F'
B2 R B2 L U F' L
U' R B2 U2 L2 F' B2
U' R B2 U2 L2 B2 F'
U' R B2 U2 F' L2 B2
U' R B2 U2 F' B2 L2
U' R B2 U2 B2 L2 F'
U' R B2 U2 B2 F' L2
U2 R B2 U' F' L2 B'
U R B2 L U2 L F'
U R B2 L U2 F' L
L U' F L F2 R F'
U' R' L2 U2 L2 B U2
U' R' L2 U2 B L2 U2
U' R' L2 D2 R2 D F'
U' R' L2 D2 R2 D' F'
U' R' L2 D2 R2 D2 F'
U' R' L2 D2 R2 F' D
U' R' L2 D2 R2 F' D'
U' R' L2 D2 R2 F' D2
U' R' L2 D2 F R2 F'
U' R' L2 D2 F' R2 F'
U' R' L2 D2 F2 R2 F'
U' R' L2 F D2 R2 F'
U' R' L2 F' D2 R2 F'
U' R' L2 F2 D2 R2 F'
U R' L' B U2 L' R
U R' L' B U2 R L'
L U' F' L F2 R F'
U2 R' U L2 D2 R2 F'
U2 R' U B U2 B' L2
L U' F2 L F2 R F'
R' U' B U' R U' L2
U R' U2 L2 R2 F' R'
U R' U2 R2 L2 F' R'
U R' U2 R2 F' L2 R'
U R' U2 R2 F' R' L2
L U' B2 R' B U2 B
R2 U2 L R2 U' F L
U' R' D2 B R2 U2 B'
U' R' F L2 D2 R2 F'
U R' D2 R2 U2 F' R'
U R' D2 B R2 U2 R'
U' R' F B U2 B' L2
U' R' F' L2 D2 R2 F'
U' R' F' B U2 B' L2
U' R' F2 L2 D2 R2 F'
U' R' F2 B U2 B' L2
D R' F2 D L' U F
U' R' B R U2 B' L2
U' R' B R' U2 B' L2
U' R' B R2 U2 B' L2
U' R' B U2 B L2 B2
U' R' B U2 B' L2 D
U' R' B U2 B' L2 D'
U' R' B U2 B' L2 D2
U' R' B U2 B2 L2 B
U' R' B D2 R2 U2 B'
U' R' B F U2 B' L2
U' R' B F' U2 B' L2
U R' B L U2 L R
U R' B L U2 R L
U' R' B F2 U2 B' L2
U R' B L' U2 L' R
U R' B L' U2 R L'
R2 U2 R2 L U' F L
U R' B R' U2 L2 R2
U R' B R' U2 R2 L2
U R' B R2 U2 L2 R'
U R' B R2 U2 R' L2
U R' B U2 L2 R D
U R' B U2 L2 R D'
U R' B U2 L2 R D2
U R' B U2 L2 D R
U R' B U2 L2 D' R
U R' B U2 L2 D2 R
U R' B U2 R L2 D
U R' B U2 R L2 D'
U R' B U2 R L2 D2
U R' B D2 R2 U2 R'
U' R' B2 U2 L2 F B2
U' R' B2 U2 L2 B2 F
U R' B2 U2 L2 R F
U R' B2 U2 R L2 F
U R2 L U2 L R2 F
U R2 L U2 L F R2
U R2 L U2 R2 L F
U' R2 L2 D2 R' F' R'
U R2 U2 L R2 F L
U R2 U2 L F L R2
U R2 U2 L F R2 L
R' U2 B2 R U' L2 F
U R2 U2 R2 L F L
R2 D R' F2 U F B2
R2 D R' F2 U B2 F
D2 U L R2 B' U2 R2
D2 U L B' R2 U2 R2
D2 U L' R2 U2 R2 F
D2 U L' R2 U2 F R2
R' D F2 L' R2 U F'
R' D F2 L' U' B U2
R' D F2 R2 L' U F'
F' U R U2 L2 F' R'
F' U R U2 F' L2 R'
F' U R U2 F' R' L2
F2 U R U2 L2 F' R'
F2 U R U2 F' L2 R'
F2 U R U2 F' R' L2
F' U R F' L2 R' B'
F' U R F' R' L2 B'
F2 U R F' L2 R' B'
F2 U R F' R' L2 B'
R2 D F2 R' U F' B2
R2 D F2 R' U B2 F'
F U R U2 L2 F' R'
F U R U2 F' L2 R'
F U R U2 F' R' L2
F' U R' B U2 L2 R
F' U R' B U2 R L2
F U R F' L2 R' B'
F U R F' R' L2 B'
D2 U R2 L B' U2 R2
D2 U R2 L' U2 R2 F
D2 U R2 L' U2 F R2
R D F2 U2 R' U' F
F2 U R' B U2 L2 R
F2 U R' B U2 R L2
F U R' B U2 L2 R
F U R' B U2 R L2
F' U' L F2 L R F'
F' U' L F2 R L F'
F' U' L F2 R F' L
F2 U' L F2 L R F'
F2 U' L F2 R L F'
F2 U' L F2 R F' L
B' U' L2 R D' F' R
F' U' L2 R D2 F' R2
F' U' L2 R F' D2 R2
F U' L F2 L R F'
F U' L F2 R L F'
F U' L F2 R F' L
F' U' L2 R' D2 R2 F'
B2 U' L2 R D' F' R2
B2 U' L2 R F' D' R2
B2 U' L2 R' D' R2 F'
F2 U' L2 R D2 F' R2
F2 U' L2 R F' D2 R2
F2 U' L2 R' D2 R2 F'
B U' L2 R F' D R2
B' U' R L2 D' F' R
F' U' R L2 D2 F' R2
F' U' R L2 F' D2 R2
B2 U' R L2 D' F' R2
B2 U' R L2 F' D' R2
F' U' R U2 F' L2 B'
F U' L2 R D2 F' R2
F U' L2 R F' D2 R2
F2 U' R L2 D2 F' R2
F2 U' R L2 F' D2 R2
F U' L2 R' D2 R2 F'
F2 U' R U2 F' L2 B'
F' U' R F' L2 D2 R2
B2 U' R F' L2 D' R2
F2 U' R F' L2 D2 R2
B U' R L2 F' D R2
F' U' R' L2 D2 R2 F'
B2 U' R' L2 D' R2 F'
F2 U' R' L2 D2 R2 F'
F U' R L2 D2 F' R2
F U' R L2 F' D2 R2
F U' R U2 F' L2 B'
F' U' R' B U2 B' L2
F U' R F' L2 D2 R2
F2 U' R' B U2 B' L2
F U' R' L2 D2 R2 F'
F U' R' B U2 B' L2
U D2 L R2 B' U2 R2
U D2 L B' R2 U2 R2
U D2 L' R2 U2 R2 F
U D2 L' R2 U2 F R2
U D2 R2 L B' U2 R2
U D2 R2 L' U2 R2 F
U D2 R2 L' U2 F R2
F' U2 R U' F' L2 B'
F2 U2 R U' F' L2 B'
B2 U2 R B2 U L2 F'
B2 U2 R B2 U F' L2
F U2 R U' F' L2 B'
B U2 R B' U L2 F'
B U2 R B' U F' L2
B2 U2 R' B2 U L2 F
B' U2 D F2 B R' U
B' U2 D B R' F2 U
B' U2 D B F2 R' U
U' F L F2 L R F'
U' F L F2 R L F'
U' F L F2 R F' L
U' F L2 R D2 F' R2
U' F L2 R F' D2 R2
D' F L' B2 U' D' R2
D' F L' B2 U2 B2 U
D' F L' B2 D' U' R2
U' F L2 R' D2 R2 F'
D' F L' B2 D2 F2 U'
U' F R L2 D2 F' R2
U' F R L2 F' D2 R2
U' F R U2 F' L2 B'
U' F R F' L2 D2 R2
U' F R' L2 D2 R2 F'
U' F R' B U2 B' L2
B' U2 B R U L2 F'
B' U2 B R U F' L2
B U2 B' R U L2 F'
B U2 B' R U F' L2
B2 U2 B2 R U L2 F'
B2 U2 B2 R U F' L2
D' F U2 L' B2 R' U'
L F U' L F2 R F'
R F U2 R' U' L2 F2
R F U2 R' U' F2 L2
R F D R2 F2 L' U
D' F B2 L' U' D' R2
D' F B2 L' U2 B2 U
D' F B2 L' D' U' R2
D' F B2 L' D2 F2 U'
D' F B2 D' L' U' R2
D' F B2 D2 L' F2 U'
U' F' L F2 L R F'
U' F' L F2 R L F'
U' F' L F2 R F' L
B' D U2 F2 B R' U
B' D U2 B R' F2 U
B' D U2 B F2 R' U
U' F' L2 R D2 F' R2
U' F' L2 R F' D2 R2
U' F' L2 R' D2 R2 F'
U' F' R L2 D2 F' R2
U' F' R L2 F' D2 R2
U' F' R U2 F' L2 B'
D' F' R U2 R' B2 U'
U F' L' D2 L' F B'
U F' L' D2 L' B' F
U' F' R F' L2 D2 R2
U F' L2 R F' R' B'
U' F' R' L2 D2 R2 F'
R F' L2 U R' U' R
U' F' R' B U2 B' L2
U F' L2 B' R F' R'
B' D B R' F2 L' U
U F' R L2 F' R' B'
R F' U R' U' L2 R
R F' U R' U' R L2
L F' U' L F2 R F'
B D' L2 F L' B2 U'
B D' L2 F B2 L' U'
B D' L2 B2 F L' U'
D' F' B2 U2 R B2 U
D' F' B2 U2 B2 R U
D' F' B2 D2 F2 L' U'
U' F2 L F2 L R F'
U' F2 L F2 R L F'
U' F2 L F2 R F' L
R' F2 L' R2 U L' F'
R' F2 L' U' B U2 L'
U' F2 L2 R D2 F' R2
U' F2 L2 R F' D2 R2
U' F2 L2 R' D2 R2 F'
B2 D' F L' B2 U' R2
U' F2 R L2 D2 F' R2
U' F2 R L2 F' D2 R2
B2 D' F B2 L' U' R2
U' F2 R U2 F' L2 B'
U' F2 R F' L2 D2 R2
U F2 L' D2 L' F B2
U F2 L' D2 L' B2 F
U F2 L' D2 B2 L' F
U' F2 R' L2 D2 R2 F'
U' F2 R' B U2 B' L2
R' F2 R2 L' U L' F'
L' F2 U R U2 F' R'
B' D' B2 L2 F L' U'
B2 D' B2 F L' U' R2
L F2 U' L F2 R F'
R F2 U2 R' U' F L2
D' B L2 F L' B U'
D' B L2 F B L' U'
D' B L2 B F L' U'
U' B R U2 F' B' L2
U' B R U2 B' L2 F'
U' B R U2 B' F' L2
U2 B R U' F' L2 B'
U' B R' B U2 L2 B2
U' B R' B U2 B2 L2
U B R U2 L2 F' R'
U B R U2 F' L2 R'
U B R U2 F' R' L2
U B R F' L2 R' B'
U B R F' R' L2 B'
D B R' F2 B' L' U
D B R' B' F2 L' U
U B R' B U2 L2 R
U B R' B U2 R L2
D B U2 R' F2 B' U
D B U2 R' B' F2 U
D B U2 F2 R' B' U
D B' L U2 F2 B U
D B' L U2 B F2 U
U2 B' R U' F' L2 B'
U B' R U2 L2 F' R'
U B' R U2 F' L2 R'
U B' R U2 F' R' L2
U B' R F' L2 R' B'
U B' R F' R' L2 B'
U B' R' B U2 L2 R
U B' R' B U2 R L2
U' B2 R U2 L2 F' B2
U' B2 R U2 L2 B2 F'
U' B2 R U2 F' L2 B2
U' B2 R U2 F' B2 L2
U' B2 R U2 B2 L2 F'
U' B2 R U2 B2 F' L2
U' B2 R' U2 B2 L2 F
U2 B2 R U' F' L2 B'
U' B2 R' B U2 L2 B
U' B2 R' B U2 B L2
U B2 R U2 L2 F' R'
U B2 R U2 F' L2 R'
U B2 R U2 F' R' L2
U B2 R F' L2 R' B'
U B2 R F' R' L2 B'
U B2 R' B U2 L2 R
U B2 R' B U2 R L2
D' B2 D' L' U' R2 F
D' B2 D' L' U' F R2
D' B2 F L' U' D' R2
D' B2 F L' U2 B2 U
D' B2 F L' D' U' R2
D' B2 F L' D2 F2 U'
D' B2 F D' L' U' R2
D' B2 F D2 L' F2 U'
D' B2 F' U2 R B2 U
D' B2 F' U2 B2 R U
D' B2 F' D2 F2 L' U'
