F' L' B' U F'
F' L' D B' U F'
F' L' D' B' U F'
F' L' D2 B' U F'
F' L' B' U D F'
F' L' B' U D' F'
F' L' B' U D2 F'
F' L' B' U F' D
F' L' B' U F' D'
F' L' B' U F' D2
F' L' B' D U F'
F' L' B' D' U F'
F' L' B' D2 U F'
F2 U' F L' U R
F' D L' B' U F'
D F' L' R2 B' U
D F' L' B' R2 U
D F' R2 L' B' U
F' D' L' B' U F'
L' F' B' L' U F'
F' D2 L' B' U F'
F' B L' B' U F'
F' B' L' B' U F'
B' F' L' B' U F'
B2 F' L' B' U F'
B F' L' B' U F'
L' B' F' L' U F'
F' B2 L' B' U F'
F' R' D2 L' B' U F
F2 R' F L' B' U F'
F' R2 L' B' U D2 F2
F' R2 L' B' U' B2 U2
F' R2 L' B' D' R2 U
F' R2 L' B' D2 U F2
F2 R2 U' F L' U R
F2 R2 F L' B' U F'
R2 D R2 F' L' B' U
L' D F' R2 B' L' U
L2 D F' L' R2 U R'
L2 D F' R2 L' U R'
L' D F' B' L' R2 U
L' D F' B' R2 L' U
L' D B' F' L' R2 U
L' D B' F' R2 L' U
F' U F' D B' R' B
F' U F' B' D R' B
F' U B' F' D R' B
F2 U' F L' U R D
F2 U' F L' U R D'
F2 U' F L' U R D2
F2 U' F L' U D R
F2 U' F L' U D' R
F2 U' F L' U D2 R
F2 U' F L' D U R
F2 U' F L' D' U R
F2 U' F L' D2 U R
F2 U' F L' B U R
F2 U' F L' B' U R
F2 U' F L' B2 U R
F2 U' F D L' U R
F2 U' F D' L' U R
F2 U' F D2 L' U R
F2 U' F B L' U R
F2 U' F B' L' U R
F2 U' F B2 L' U R
F U' F2 L' U F' R
F2 U' B F L' U R
F2 U' B' F L' U R
F2 U' B2 F L' U R
U' F R D' F L2 B
U' F R D' F B L2
U' F R D' B F L2
U' F R B D' F L2
L F R U' D' F L2
L F R U2 F2 U F'
L F R D' U' F L2
L F R D2 B2 U' F
R F R B U' F R
F' D L' D B' U F'
F' D L' D' B' U F'
F' D L' D2 B' U F'
F' D L' B' U D F'
F' D L' B' U D' F'
F' D L' B' U D2 F'
F' D L' B' U F' D
F' D L' B' U F' D'
F' D L' B' U F' D2
F' D L' B' D U F'
F' D L' B' D' U F'
F' D L' B' D2 U F'
U' F D' R F L2 B
U' F D' R F B L2
U' F D' R B F L2
L F U2 F2 L' U F'
L F D' R U' F L2
L F D2 R B2 U' F
R2 F B R U' F R
L F D2 B2 R U' F
L' F' L' U D F' R
D2 F' L' D' R2 B' U
D2 F' L' D' B' R2 U
D2 F' L' D2 B' U F2
L' F' L' D U F' R
L2 F' L B' L2 U F'
D2 F' L' B' U' B' U2
D' F' L' B' U2 L' U'
L2 F' L' U F' D R2
L2 F' L' U2 F U' F2
D F' L' R B' R U
D F' L' R2 D B' U
D F' L' R2 D' B' U
D F' L' R2 D2 B' U
B' D F' L' R2 B' U
D F' L' R2 B' U D
D F' L' R2 B' U D'
D F' L' R2 B' U D2
D F' L' R2 B' D U
D F' L' R2 B' D' U
D F' L' R2 B' D2 U
B' D F' L' B' R2 U
B' D F' R2 L' B' U
D F' L' D' B' U F2
B2 D F' L' R2 B' U
B2 D F' L' B' R2 U
L F' L' U D F' R2
D F' L' B R2 B2 U
D F' L' B' R2 U D
D F' L' B' R2 U D'
D F' L' B' R2 U D2
D F' L' B' R2 D U
D F' L' B' R2 D' U
D F' L' B' R2 D2 U
D F' L' B' U D' F2
B2 D F' R2 L' B' U
D F' L' B' D' U F2
L F' L' U2 F2 U' F
L F' L' D U F' R2
L F' L' D2 B2 U F'
B D F' L' R2 B' U
B D F' L' B' R2 U
R F' L' B' U F' L'
B D F' R2 L' B' U
D F' R L' B' R U
F' D B L' B' U F'
F' D B' L' B' U F'
D F' R2 L' D B' U
D F' R2 L' D' B' U
D F' R2 L' D2 B' U
D F' R2 L' B' U D
D F' R2 L' B' U D'
D F' R2 L' B' U D2
D F' R2 L' B' D U
D F' R2 L' B' D' U
D F' R2 L' B' D2 U
D F' R2 D L' B' U
D F' R2 D' L' B' U
F' D B2 L' B' U F'
D F' R2 D2 L' B' U
D F' R2 B L' B' U
D F' R2 B' L' B' U
D F' R2 B2 L' B' U
U2 F' U F R F2 B
U2 F' U F R B F2
D' F' D L' B' U F2
F' D' L' D B' U F'
F' D' L' D' B' U F'
F' D' L' D2 B' U F'
F' D' L' B' U D F'
F' D' L' B' U D' F'
F' D' L' B' U D2 F'
F' D' L' B' U F' D
F' D' L' B' U F' D'
F' D' L' B' U F' D2
F' D' L' B' D U F'
F' D' L' B' D' U F'
F' D' L' B' D2 U F'
L2 F' D L' U F' R
D2 F' D' L' R2 B' U
L' F' D B' L' U F'
D2 F' D' L' B' R2 U
D2 F' D' R2 L' B' U
L F' U2 F2 R U' F
L' F' D' B' L' U F'
L F' D L' U F' R2
D' F' D2 L' R2 B' U
D2 F' D2 L' B' U F2
D' F' D2 L' B' R2 U
D' F' D2 R2 L' B' U
D F' D' L' B' U F2
L' F' D2 B' L' U F'
L' F' B L' B2 U F'
F D' R U' F L2 R
F D' R U' F R L2
L' F' B' L' U D F'
L' F' B' L' U D' F'
L' F' B' L' U D2 F'
L' F' B' L' U F' D
L' F' B' L' U F' D'
L' F' B' L' U F' D2
L' F' B' L' D U F'
L' F' B' L' D' U F'
L' F' B' L' D2 U F'
L F' D2 L' B2 U F'
D F' B L' R2 B' U
D F' B L' B' R2 U
L' F' B' D L' U F'
L' F' B' D' L' U F'
D F' B R2 L' B' U
L' F' B' D2 L' U F'
L F' D2 B2 L' U F'
L' F' B2 L' B U F'
D F' B' L' R2 B' U
D F' B' L' B' R2 U
D F' B' R2 L' B' U
D F' B2 L' R2 B' U
D F' B2 L' B' R2 U
D F' B2 R2 L' B' U
F' D' B L' B' U F'
F' D' B' L' B' U F'
F' D' B2 L' B' U F'
D F2 R2 F L' B' U
L' F2 U' F B' L' U
L' F2 U' B' F L' U
F' D2 L' D B' U F'
F' D2 L' D' B' U F'
F' D2 L' D2 B' U F'
F' D2 L' B' U D F'
F' D2 L' B' U D' F'
F' D2 L' B' U D2 F'
F' D2 L' B' U F' D
F' D2 L' B' U F' D'
F' D2 L' B' U F' D2
F' D2 L' B' D U F'
F' D2 L' B' D' U F'
F' D2 L' B' D2 U F'
F D2 R B2 U' F R
R2 B L F R U' F
F' D2 B L' B' U F'
F' D2 B' L' B' U F'
F' D2 B2 L' B' U F'
F D2 B2 R U' F R
R2 B U' F R F B
R2 B U' F R B F
F' B L' D B' U F'
F' B L' D' B' U F'
F' B L' D2 B' U F'
F' B L' B' U D F'
F' B L' B' U D' F'
F' B L' B' U D2 F'
F' B L' B' U F' D
F' B L' B' U F' D'
F' B L' B' U F' D2
F' B L' B' D U F'
F' B L' B' D' U F'
F' B L' B' D2 U F'
L' B F' L' B2 U F'
R2 B F R U' F R
D B F' L' R2 B' U
D B F' L' B' R2 U
D B F' R2 L' B' U
L' B' L F' L' U F'
F2 B U' F L' U R
L' B' L' F' L' U F'
F' B D L' B' U F'
L' B' L2 F' L' U F'
F' B D' L' B' U F'
F' B D2 L' B' U F'
B' F' L' D B' U F'
B' F' L' D' B' U F'
B' F' L' D2 B' U F'
F' B' L' D B' U F'
B' F' L' B' U D F'
B' F' L' B' U D' F'
B' F' L' B' U D2 F'
B' F' L' B' U F' D
B' F' L' B' U F' D'
B' F' L' B' U F' D2
B' F' L' B' D U F'
B' F' L' B' D' U F'
B' F' L' B' D2 U F'
F' B' L' D' B' U F'
F' B' L' D2 B' U F'
B2 F' L' D B' U F'
B2 F' L' D' B' U F'
B2 F' L' D2 B' U F'
F' B' L' B' U D F'
F' B' L' B' U D' F'
F' B' L' B' U D2 F'
F' B' L' B' U F' D
F' B' L' B' U F' D'
F' B' L' B' U F' D2
F' B' L' B' D U F'
F' B' L' B' D' U F'
F' B' L' B' D2 U F'
B2 F' L' B' U D F'
B2 F' L' B' U D' F'
B2 F' L' B' U D2 F'
B2 F' L' B' U F' D
B2 F' L' B' U F' D'
B2 F' L' B' U F' D2
B2 F' L' B' D U F'
B2 F' L' B' D' U F'
B2 F' L' B' D2 U F'
B F' L' D B' U F'
B F' L' D' B' U F'
B F' L' D2 B' U F'
B F' L' B' U D F'
B F' L' B' U D' F'
B F' L' B' U D2 F'
B F' L' B' U F' D
B F' L' B' U F' D'
B F' L' B' U F' D2
B F' L' B' D U F'
B F' L' B' D' U F'
B F' L' B' D2 U F'
L' B' D F' L' R2 U
L' B' D F' R2 L' U
L' B' F' L' U D F'
L' B' F' L' U D' F'
L' B' F' L' U D2 F'
L' B' F' L' U F' D
L' B' F' L' U F' D'
L' B' F' L' U F' D2
L' B' F' L' D U F'
L' B' F' L' D' U F'
L' B' F' L' D2 U F'
F2 B' U' F L' U R
L' B' F' D L' U F'
L' B' F' D' L' U F'
L' B' F' D2 L' U F'
B' F' D L' B' U F'
F' B' D L' B' U F'
D B' F' L' R2 B' U
D B' F' L' B' R2 U
B2 F' D L' B' U F'
D B' F' R2 L' B' U
B' F' D' L' B' U F'
F' B' D' L' B' U F'
B F' D L' B' U F'
B2 F' D' L' B' U F'
B' F' D2 L' B' U F'
F' B' D2 L' B' U F'
B2 F' D2 L' B' U F'
B F' D' L' B' U F'
B F' D2 L' B' U F'
F' B2 L' D B' U F'
F' B2 L' D' B' U F'
F' B2 L' D2 B' U F'
F' B2 L' B' U D F'
F' B2 L' B' U D' F'
F' B2 L' B' U D2 F'
F' B2 L' B' U F' D
F' B2 L' B' U F' D'
F' B2 L' B' U F' D2
F' B2 L' B' D U F'
F' B2 L' B' D' U F'
F' B2 L' B' D2 U F'
B' F2 U' F L' U R
B2 F2 U' F L' U R
F2 B2 U' F L' U R
B F2 U' F L' U R
F' B2 D L' B' U F'
F' B2 D' L' B' U F'
L' B2 F' L' B U F'
F' B2 D2 L' B' U F'
D B2 F' L' R2 B' U
D B2 F' L' B' R2 U
D B2 F' R2 L' B' U
