B L' D' R2 B2
B L' D' B2 R2
U' L U L2 B' R'
B L' R D' R2 B2
B L' R D' B2 R2
B L' R' D' R2 B2
B L' R' D' B2 R2
B L' R2 D' R2 B2
B L' R2 D' B2 R2
B' L' U R' U' R
B L' U' L2 B2 U
B L' U' B2 L2 U
B L' D' R B2 R
B L' D' R2 B2 D
B L' D' R2 B2 D'
B L' D' R2 B2 D2
B L' D' B' R2 B'
B L' D' B2 R2 D
B L' D' B2 R2 D'
B L' D' B2 R2 D2
B R L' D' R2 B2
B R L' D' B2 R2
B R' L' D' R2 B2
B R' L' D' B2 R2
B R2 L' D' R2 B2
B R2 L' D' B2 R2
B' U R' U' L' R
B' U R' U' R L'
B U' L B2 U L2
B D' L' R2 D' B2
B D' R2 L' D' B2
R' B L' D' R2 B2
R' B L' D' B2 R2
D2 B L' D' R2 B2
R2 B L' D' R2 B2
D2 B L' D' B2 R2
R2 B L' D' B2 R2
D' B L' D' R2 B2
D' B L' D' B2 R2
D B L' D' R2 B2
D B L' D' B2 R2
L' B U' L B' U
R B L' D' R2 B2
R B L' D' B2 R2
U' B' L U L2 B'
U' B' L2 U L B'
L' B2 D' R' B R'
L' B2 D' B R' B
B' R L' U R2 U' R2
B' R L' D B2 D' R2
B R L' U' L2 B2 U
B R L' U' B2 L2 U
L2 U F R U' L B
B R L' D' R B2 R
B R L' D' R2 B2 D
B R L' D' R2 B2 D'
B R L' D' R2 B2 D2
B R L' D' B' R2 B'
B R L' D' B2 R2 D
B R L' D' B2 R2 D'
B R L' D' B2 R2 D2
B' R U R2 U' L' R2
B' R U R2 U' R2 L'
B R U' L B2 U L2
U R U' L' D' B R'
U R U' B L' D' R2
U R U' B D' L' R2
U R U' B D' R2 L'
B' R D L' B2 D' R2
U R U2 B' U L' B2
U R U2 B' U B2 L'
B' R D B2 L' D' R2
B' R D B2 D' L' R2
B' R D B2 D' R2 L'
B R D' L' R2 D' B2
R' U' L U L2 B' R'
B R D' R2 L' D' B2
R2 U' L U L2 B' R'
L' U' L B' L2 U B'
L' U' L B' U' F U2
R U' L U L2 B' R'
L' U' L' U2 F U' B'
L2 U' L' U B' L2 R'
L2 U' L' U B' R' L2
D2 R B L' D' R2 B2
D2 R B L' D' B2 R2
D' R B L' D' R2 B2
D' R B L' D' B2 R2
D R B L' D' R2 B2
D R B L' D' B2 R2
U R B' U' L' B2 R'
B R' L' U' L2 B2 U
B R' L' U' B2 L2 U
B R' L' D' R B2 R
B R' L' D' R2 B2 D
B R' L' D' R2 B2 D'
B R' L' D' R2 B2 D2
B R' L' D' B' R2 B'
B R' L' D' B2 R2 D
B R' L' D' B2 R2 D'
B R' L' D' B2 R2 D2
B R' U' L B2 U L2
R' U' B' L U L2 B'
R' U' B' L2 U L B'
R2 U' B' L U L2 B'
R2 U' B' L2 U L B'
R U' B' L U L2 B'
R U' B' L2 U L B'
B R' D' L' R2 D' B2
B R' D' R2 L' D' B2
D2 R' B L' D' R2 B2
D2 R' B L' D' B2 R2
D' R' B L' D' R2 B2
D' R' B L' D' B2 R2
D R' B L' D' R2 B2
D R' B L' D' B2 R2
B' R2 L' U R U' R'
B R2 L' U' L2 B2 U
B R2 L' U' B2 L2 U
B R2 L' D' R B2 R
B R2 L' D' R2 B2 D
B R2 L' D' R2 B2 D'
B R2 L' D' R2 B2 D2
B R2 L' D' B' R2 B'
B R2 L' D' B2 R2 D
B R2 L' D' B2 R2 D'
B R2 L' D' B2 R2 D2
B' R2 U R U' L' R'
B' R2 U R U' R' L'
B R2 U' L B2 U L2
B R2 D' L' R2 D' B2
B R2 D' R2 L' D' B2
B' R2 F' U F L' B'
B' R2 F2 L' U F2 L'
D' R2 B L' D' R2 B2
D' R2 B L' D' B2 R2
D2 R2 B L' D' R2 B2
D2 R2 B L' D' B2 R2
D R2 B L' D' R2 B2
D R2 B L' D' B2 R2
U' D L U L2 B' R'
B' U L' U L R' U'
B' U L' U R' L U'
R' D B L' D' R2 B2
R' D B L' D' B2 R2
B' U R' U' L' R D
B' U R' U' L' R D'
B' U R' U' L' R D2
B' U R' U' L' D R
B' U R' U' L' D' R
B' U R' U' L' D2 R
B' U R' U' R L' D
B' U R' U' R L' D'
B' U R' U' R L' D2
B' U R' U' R D L'
B' U R' U' R D' L'
B' U R' U' R D2 L'
B' U R' U' D L' R
B' U R' U' D R L'
B' U R' U' D' L' R
B' U R' U' D' R L'
B' U R' U' D2 L' R
B' U R' U' D2 R L'
B' U R' D U' L' R
B' U R' D U' R L'
B' U R' D' U' L' R
B' U R' D' U' R L'
B' U R' D2 U' L' R
B' U R' D2 U' R L'
B' U R' B U' L' R
B' U R' B U' R L'
R2 D B L' D' R2 B2
R2 D B L' D' B2 R2
B' U R' B' U' L' R
B' U R' B' U' R L'
B' U R' B2 U' L' R
B' U R' B2 U' R L'
R D B L' D' R2 B2
R D B L' D' B2 R2
B' U D R' U' L' R
B' U D R' U' R L'
B' U D' R' U' L' R
B' U D' R' U' R L'
B' U D2 R' U' L' R
B' U D2 R' U' R L'
U' D B' L U L2 B'
U' D B' L2 U L B'
D' U' L U L2 B' R'
U' D' L U L2 B' R'
D2 U' L U L2 B' R'
D U' L U L2 B' R'
L' D' U R U' B R'
B U' L U L2 D' R2
B U' L F B2 U L2
B U' L F' B2 U L2
B U' L F2 B2 U L2
B U' L B2 U L2 D
B U' L B2 U L2 D'
B U' L B2 U L2 D2
B U' L B2 D F2 U
B U' L B2 F U L2
B U' L B2 F' U L2
B U' L B2 F2 U L2
B U' L' B2 L2 U L2
R' D' B L' D' R2 B2
R' D' B L' D' B2 R2
L' D' B R' U' L U
L' D' B U' L U R'
R2 D' B L' D' R2 B2
R2 D' B L' D' B2 R2
L' D' B' R D B2 R'
R D' B L' D' R2 B2
R D' B L' D' B2 R2
L' D' B2 D' B' R' B
U' D' B' L U L2 B'
D' U' B' L U L2 B'
U' D' B' L2 U L B'
D' U' B' L2 U L B'
D2 U' B' L U L2 B'
D2 U' B' L2 U L B'
B U' D' L U L2 R2
B U' D' L U R2 L2
D U' B' L U L2 B'
D U' B' L2 U L B'
U' D2 L U L2 B' R'
B2 U' B U2 R' U' L'
B2 U' B' L B2 U L2
L' D2 U R F' U' B
B U' B2 U2 R' U' L'
R' D2 B L' D' R2 B2
R' D2 B L' D' B2 R2
U' D2 B' L U L2 B'
U' D2 B' L2 U L B'
R2 D2 B L' D' R2 B2
R2 D2 B L' D' B2 R2
R D2 B L' D' R2 B2
R D2 B L' D' B2 R2
L2 F L2 U' L' F' B'
L2 F L2 U' L' B' F'
F' U2 B' U F L' B'
F2 U2 B' U F2 L' B'
L2 F U' L F' D2 B2
L2 F U' L' F' B' L2
L2 F U' L' B' L2 F'
L2 F U' L' B' F' L2
L2 F U' F' L' B' L2
B' D L' U R' U' R
B2 D L B' L2 D' R2
B' D U R' U' L' R
B' D U R' U' R L'
B' D B2 L' D' R2 B2
B' D B2 L' D' B2 R2
B' D' L' U R' U' R
B D' L' R D' R B2
B D' L' R D' B2 R
B D' L' R' D' R' B2
B D' L' R2 U' L2 U
B D' L' R2 D' B2 D
B D' L' R2 D' B2 D'
B D' L' R2 D' B2 D2
B D' L' R2 B D' B2
B D' L' R2 B' D' B2
B D' L' R2 B2 D' B2
B D' L' U' L2 U R2
B D' L' D' B2 D R2
B D' L' B R2 D' B2
B D' L' B' R2 D' B2
B D' L' B2 R2 D' B2
B D' R L' D' R B2
B D' R L' D' B2 R
B D' R' L' D' R' B2
B' D' U R' U' L' R
B' D' U R' U' R L'
B D' R2 L' U' L2 U
B D' R2 L' D' B2 D
B D' R2 L' D' B2 D'
B D' R2 L' D' B2 D2
B D' R2 L' B D' B2
B D' R2 L' B' D' B2
B D' R2 L' B2 D' B2
B D' R2 U' L U L2
B D' R2 D L' D' B2
B D' R2 D' L' D' B2
B D' R2 D2 L' D' B2
B D' U' L U L2 R2
B D' U' L U R2 L2
B' D' B2 L' D' R2 B2
B' D' B2 L' D' B2 R2
B' D2 L' U R' U' R
B D2 L' D R2 D2 B2
B D2 L' D' B2 D2 R2
B' D2 U R' U' L' R
B' D2 U R' U' R L'
U' B L B2 U L2 B'
R' B L' R D' R2 B2
R' B L' R D' B2 R2
R' B L' R' D' R2 B2
R' B L' R' D' B2 R2
D2 B L' R D' R2 B2
D2 B L' R D' B2 R2
R' B L' R2 D' R2 B2
R' B L' R2 D' B2 R2
D' B L' R D' R2 B2
D' B L' R D' B2 R2
D2 B L' R' D' R2 B2
D2 B L' R' D' B2 R2
D' B L' R' D' R2 B2
D' B L' R' D' B2 R2
D2 B L' R2 D' R2 B2
D2 B L' R2 D' B2 R2
D' B L' R2 D' R2 B2
R' B L' U' L2 B2 U
D' B L' R2 D' B2 R2
R' B L' U' B2 L2 U
D2 B L' U' L2 B2 U
D2 B L' U' B2 L2 U
D' B L' U' L2 B2 U
D' B L' U' B2 L2 U
R' B L' D' R B2 R
R' B L' D' R2 B2 D
R' B L' D' R2 B2 D'
R' B L' D' R2 B2 D2
R' B L' D' B' R2 B'
R' B L' D' B2 R2 D
R' B L' D' B2 R2 D'
R' B L' D' B2 R2 D2
D2 B L' D' R B2 R
D2 B L' D' R2 B2 D
D2 B L' D' R2 B2 D'
D2 B L' D' R2 B2 D2
D2 B L' D' B' R2 B'
D2 B L' D' B2 R2 D
D2 B L' D' B2 R2 D'
D2 B L' D' B2 R2 D2
D' B L' D' R B2 R
D' B L' D' R2 B2 D
D' B L' D' R2 B2 D'
D' B L' D' R2 B2 D2
D' B L' D' B' R2 B'
D' B L' D' B2 R2 D
D' B L' D' B2 R2 D'
D' B L' D' B2 R2 D2
R2 B L' R D' R2 B2
R2 B L' R D' B2 R2
R2 B L' R' D' R2 B2
R2 B L' R' D' B2 R2
R2 B L' R2 D' R2 B2
R2 B L' R2 D' B2 R2
D B L' R D' R2 B2
D B L' R D' B2 R2
R2 B L' U' L2 B2 U
D B L' R' D' R2 B2
D B L' R' D' B2 R2
R2 B L' U' B2 L2 U
D B L' R2 D' R2 B2
D B L' R2 D' B2 R2
R2 B L' D' R B2 R
D B L' U' L2 B2 U
R2 B L' D' R2 B2 D
R2 B L' D' R2 B2 D'
R2 B L' D' R2 B2 D2
R2 B L' D' B' R2 B'
R2 B L' D' B2 R2 D
R2 B L' D' B2 R2 D'
R2 B L' D' B2 R2 D2
D B L' U' B2 L2 U
D B L' D' R B2 R
D B L' D' R2 B2 D
D B L' D' R2 B2 D'
D B L' D' R2 B2 D2
D B L' D' B' R2 B'
R' B R L' D' R2 B2
R' B R L' D' B2 R2
D B L' D' B2 R2 D
D B L' D' B2 R2 D'
D B L' D' B2 R2 D2
D2 B R L' D' R2 B2
D2 B R L' D' B2 R2
D' B R L' D' R2 B2
D' B R L' D' B2 R2
L' B R U' L B' U
R B L' R D' R2 B2
R B L' R D' B2 R2
R B L' R' D' R2 B2
R B L' R' D' B2 R2
R B L' R2 D' R2 B2
R B L' R2 D' B2 R2
R B L' U' L2 B2 U
R B L' U' B2 L2 U
R B L' D' R B2 R
R B L' D' R2 B2 D
R B L' D' R2 B2 D'
R B L' D' R2 B2 D2
R' B R' L' D' R2 B2
R' B R' L' D' B2 R2
R B L' D' B' R2 B'
R B L' D' B2 R2 D
R B L' D' B2 R2 D'
R B L' D' B2 R2 D2
D2 B R' L' D' R2 B2
D2 B R' L' D' B2 R2
D' B R' L' D' R2 B2
D' B R' L' D' B2 R2
R2 B R L' D' R2 B2
R2 B R L' D' B2 R2
L' B R' U' L B' U
D B R L' D' R2 B2
D B R L' D' B2 R2
R' B R2 L' D' R2 B2
R' B R2 L' D' B2 R2
D2 B R2 L' D' R2 B2
D2 B R2 L' D' B2 R2
D' B R2 L' D' R2 B2
D' B R2 L' D' B2 R2
R2 B R' L' D' R2 B2
R2 B R' L' D' B2 R2
L' B R2 U' L B' U
D B R' L' D' R2 B2
D B R' L' D' B2 R2
R B R L' D' R2 B2
R B R L' D' B2 R2
R2 B R2 L' D' R2 B2
R2 B R2 L' D' B2 R2
B' D2 B2 L' D' R2 B2
B' D2 B2 L' D' B2 R2
D B R2 L' D' R2 B2
D B R2 L' D' B2 R2
R B R' L' D' R2 B2
R B R' L' D' B2 R2
R' B U' L B2 U L2
D2 B U' L B2 U L2
D' B U' L B2 U L2
L' B U' L D B' U
L' B U' L D' B' U
L' B U' L D2 B' U
L' B U' L B' U D
L' B U' L B' U D'
L' B U' L B' U D2
L' B U' L B' D U
L' B U' L B' D' U
L' B U' L B' D2 U
R B R2 L' D' R2 B2
R B R2 L' D' B2 R2
R2 B U' L B2 U L2
D B U' L B2 U L2
F2 B L B2 U F2 L'
R B U' L B2 U L2
R' B D' L' R2 D' B2
D2 B D' L' R2 D' B2
D' B D' L' R2 D' B2
R' B D' R2 L' D' B2
D2 B D' R2 L' D' B2
D' B D' R2 L' D' B2
L' B D' B D' R' B
R2 B D' L' R2 D' B2
D B D' L' R2 D' B2
R2 B D' R2 L' D' B2
D B D' R2 L' D' B2
R B D' L' R2 D' B2
R B D' R2 L' D' B2
U' B' L U L2 D B'
U' B' L U L2 D' B'
U' B' L U L2 D2 B'
U' B' L U L2 B' D
U' B' L U L2 B' D'
U' B' L U L2 B' D2
U' B' L U B L2 B'
U' B' L U B' L2 B'
U' B' L U B2 L2 B'
U' B' L U' F U2 L2
R' B' L' U R' U' R
D2 B' L' U R' U' R
D' B' L' U R' U' R
U' B' L2 U L D B'
U' B' L2 U L D' B'
U' B' L2 U L D2 B'
U' B' L2 U L B' D
U' B' L2 U L B' D'
U' B' L2 U L B' D2
U' B' L2 F U L B'
U' B' L2 F' U L B'
U' B' L2 F2 U L B'
R2 B' L' U R' U' R
D B' L' U R' U' R
R B' L' U R' U' R
U2 B' R2 U L' F' B'
U2 B' R2 U L' B' F'
R' B' U R' U' L' R
R' B' U R' U' R L'
D2 B' U R' U' L' R
D2 B' U R' U' R L'
D' B' U R' U' L' R
D' B' U R' U' R L'
U' B' U B L' D' B2
U2 B' U L' B' D2 F2
R2 B' U R' U' L' R
R2 B' U R' U' R L'
D B' U R' U' L' R
D B' U R' U' R L'
U' B' U2 R U' L' B
U' B' U2 R U' B L'
L' B' U' B2 L B' U
U' B' D L U L2 B'
U2 B' U' B U2 L' B'
U' B' D L2 U L B'
R B' U R' U' L' R
R B' U R' U' R L'
U' B' D' L U L2 B'
U' B' D' L2 U L B'
U' B' D2 L U L2 B'
U' B' D2 L2 U L B'
B' F' U2 R' U' F L'
F' B' U2 R' U' F L'
U' B2 L B U L2 B'
L' B2 R D' R' B R'
L' B2 R D' B R' B
L' B2 R' D' R' B R'
L' B2 R' D' B R' B
L B2 L2 D' R' B R'
L B2 L2 D' B R' B
B F2 L B2 U F2 L'
L' B2 R2 D' R' B R'
L' B2 R2 D' B R' B
L' B2 U' L B' L U
L' B2 U' B' L B' U
L' B2 D' R' B R' D
L' B2 D' R' B R' D'
L' B2 D' R' B R' D2
L' B2 D' R' B D R'
L' B2 D' R' B D' R'
L' B2 D' R' B D2 R'
L' B2 D' B R' D B
L' B2 D' B R' D' B
L' B2 D' B R' D2 B
L' B2 D' B R' B D
L' B2 D' B R' B D'
L' B2 D' B R' B D2
