F L D R2 U' L2
F L B2 U F2 U2
F L B2 U' D2 B2
F L B2 D R2 U'
F L B2 D2 U' B2
F' U' L F2 B2 U'
F' U' L B2 F2 U'
F' U' F2 L B2 U'
R2 F L B2 U' B'
F D L R2 U' L
F D R2 L U' L
F L B2 D R2 D2 U'
F L B2 D' U2 L2 U
F' L B2 F2 U F2 U2
F' L B2 F2 U' D2 B2
F' L B2 F2 D R2 U'
F' L B2 F2 D2 U' B2
F L B2 D2 R U' B2
F L B2 D2 R' U' B2
F L B2 D2 R2 U' B2
F L B2 D2 U' B2 D
F L B2 D2 U' B2 D'
F L B2 D2 U' B2 D2
F' L' U' L2 F2 B2 U'
F' L' U' L2 B2 F2 U'
F' L' U' F2 L2 B2 U'
F' L' U' F2 B2 L2 U'
F' L' U' B2 L2 F2 U'
F' L' U' B2 F2 L2 U'
F' L' U2 D L2 R2 F2
F' L' U2 D L2 F2 R2
F' L' U2 D R2 L2 F2
F' L' U2 D R2 F2 L2
F' L' U2 D F2 L2 R2
F' L' U2 D F2 R2 L2
F' L' D U2 L2 R2 F2
F' L' D U2 L2 F2 R2
F' L' D U2 R2 L2 F2
F' L' D U2 R2 F2 L2
F' L' D U2 F2 L2 R2
F' L' D U2 F2 R2 L2
F L' D R2 U' L2 F2
F L' D R2 U' F2 L2
F' L' D' L2 R2 B2 U2
F' L' D' L2 B2 R2 U2
F' L' D' R2 L2 B2 U2
F' L' D' R2 B2 L2 U2
F' L' D' B2 L2 R2 U2
F' L' D' B2 R2 L2 U2
F L' B2 L2 U F2 U2
F L' B2 L2 U' D2 B2
F L' B2 L2 D R2 U'
F L' B2 L2 D2 U' B2
F L' B2 D R2 U' F2
F' L2 U' L' F2 B2 U'
F' L2 U' L' B2 F2 U'
F' L2 U' B2 L' F2 U'
F L2 D L' R2 U' L'
F L2 D R2 L' U' L'
L' U D F2 L2 B' R'
F2 L2 B2 L' F' U' B
L U D F' U2 L2 R
L U D F' U2 R L2
F L2 B2 L' U F2 U2
F L2 B2 L' U' D2 B2
F L2 B2 L' D R2 U'
F L2 B2 L' D2 U' B2
F L2 B2 D L' R2 U'
F L2 B2 D R2 L' U'
L U D' R2 U2 B R'
F L2 B2 D2 L' U' B2
F R L D R2 U' L2
F R L B2 U F2 U2
F R L B2 U' D2 B2
F R L B2 D R2 U'
F R L B2 D2 U' B2
R2 U F L B2 U' B'
R U F L R B2 U'
R U F L B2 R U'
R U F R L B2 U'
F' R U' L F2 B2 U'
F' R U' L B2 F2 U'
F' R U' F2 L B2 U'
F R D L R2 U' L
F R D R2 L U' L
F R' L D R2 U' L2
R2 U' F L B2 U' B'
F R' L B2 U F2 U2
F R' L B2 U' D2 B2
F R' L B2 D R2 U'
F R' L B2 D2 U' B2
F' R' U' L F2 B2 U'
F' R' U' L B2 F2 U'
F' R' U' F2 L B2 U'
F R' D L R2 U' L
F R' D R2 L U' L
F R2 L D R2 U' L2
R2 U2 F L B2 U' B'
F R2 L B2 U F2 U2
F R2 L B2 U' D2 B2
F R2 L B2 D R2 U'
F R2 L B2 D2 U' B2
F' R2 U' L F2 B2 U'
F' R2 U' L B2 F2 U'
D' R2 U' F L U' B
F' R2 U' F2 L B2 U'
F R2 D L R2 U' L
F R2 D R2 L U' L
U' R2 F L B2 U' B'
U2 R2 F L B2 U' B'
D R2 F L U' L B
U R2 F L B2 U' B'
B2 R2 F2 L' F' U' B
L' D U F2 L2 B' R'
L D U F' U2 L2 R
L D U F' U2 R L2
F' U L F2 R B2 U'
F' U L F2 B2 R U'
F' U L B2 F2 R U'
R2 D F L U' L B
F' U D2 F2 B2 R' U
F' U D2 B2 R' F2 U
F' U D2 B2 F2 R' U
F U F2 U' L B2 U'
L D' U R2 U2 B R'
F' U' L U' D L2 R2
F' U' L U' D R2 L2
F' U' L D U' L2 R2
F' U' L D U' R2 L2
F' U' L F2 U' D L2
F' U' L F2 D U' L2
F' U' L F2 B2 U' D
F' U' L F2 B2 U' D'
F' U' L F2 B2 U' D2
F' U' L F2 B2 D U'
F' U' L F2 B2 D' U'
F' U' L F2 B2 D2 U'
F' U' L B2 U' D R2
F' U' L B2 D U' R2
F' U' L B2 F2 U' D
F' U' L B2 F2 U' D'
F' U' L B2 F2 U' D2
F' U' L B2 F2 D U'
F' U' L B2 F2 D' U'
F' U' L B2 F2 D2 U'
F' U' L' F2 L2 B2 U'
F' U' L' F2 B2 L2 U'
F' U' L' B2 L2 F2 U'
F' U' L' B2 F2 L2 U'
F' U' L2 B2 L' F2 U'
F' U' D L U' L R2
F' U' D L U' R2 L
F' U' F' L F' B2 U'
F' U' F' L B2 F' U'
F' U' F2 L U' D L2
F' U' F2 L D U' L2
F' U' F2 L B2 U' D
F' U' F2 L B2 U' D'
F' U' F2 L B2 U' D2
F' U' F2 L B2 D U'
F' U' F2 L B2 D' U'
F' U' F2 L B2 D2 U'
F' U' F2 L' B2 L2 U'
F' U' F2 L2 B2 L' U'
F' U' F2 D L U' L
F' U' F2 B2 U2 R' U
F' U' B2 F2 U2 R' U
F' U2 L F2 B2 U' B2
F' U2 L B2 F2 U' B2
F' U2 L' D L2 R2 F2
F' U2 L' D L2 F2 R2
F' U2 L' D R2 L2 F2
F' U2 L' D R2 F2 L2
F' U2 L' D F2 L2 R2
F' U2 L' D F2 R2 L2
R' F L R' B2 U' B'
D' F L U R2 F2 U2
D' F L U F2 R2 U2
D' F L U' D2 L2 B2
D' F L U' D2 B2 L2
U' F L D R2 U' L2
D' F L D R2 B2 U'
D' F L D B2 R2 U'
D' F L D2 U' L2 B2
D' F L D2 U' B2 L2
U' F L B2 U F2 U2
U' F L B2 U' D2 B2
U' F L B2 D R2 U'
U' F L B2 D2 U' B2
R' F L B2 R' U' B
U2 F L D R2 U' L2
R2 F L U' D L2 B
R2 F L U' D B L2
R2 F L D U' L2 B
R2 F L D U' B L2
D F L U F2 U2 L
D F L U' L D2 B2
D F L U' D2 L B2
U2 F L B2 U F2 U2
D F L D R2 U' L
U2 F L B2 U' D2 B2
U2 F L B2 D R2 U'
U2 F L B2 D2 U' B2
D F L D2 U' L B2
R2 F L B2 R U' B'
R2 F L B2 R' U' B'
R2 F L B2 R2 U' B'
R F L R B2 U' B'
R2 F L B2 U' D B'
R2 F L B2 U' D' B'
R2 F L B2 U' D2 B'
R2 F L B2 U' B' D
R2 F L B2 U' B' D'
R2 F L B2 U' B' D2
R2 F L B2 D U' B'
R2 F L B2 D' U' B'
R2 F L B2 D2 U' B'
U F L D R2 U' L2
U F L B2 U F2 U2
U F L B2 U' D2 B2
U F L B2 D R2 U'
U F L B2 D2 U' B2
R F L B2 R U' B
F' U2 F2 L B2 U' B2
R' F R' L B2 U' B'
R F R L B2 U' B'
F2 D L F' U' L B'
U' F D L R2 U' L
D' F D L R2 B2 U'
D' F D L B2 R2 U'
U' F D R2 L U' L
F D L R2 U' L D
F D L R2 U' L D'
F D L R2 U' L D2
F D L R2 U' D L
F D L R2 U' D' L
F D L R2 U' D2 L
F D L R2 D U' L
D' F D R2 L B2 U'
F D L R2 D' U' L
F D L R2 D2 U' L
F D L U' L D B2
F D L U' D L B2
F D L D U' L B2
U2 F D L R2 U' L
U2 F D R2 L U' L
R2 F D L U' L B
U F D L R2 U' L
D' F D2 L U' L B2
U F D R2 L U' L
D F D' L B2 R' U'
R' F B2 U2 R' U B
F D R2 L U' L D
F D R2 L U' L D'
F D R2 L U' L D2
F D R2 L U' D L
F D R2 L U' D' L
F D R2 L U' D2 L
F D R2 L D U' L
F D R2 L D' U' L
F D R2 L D2 U' L
F' D U' L U' L R2
F' D U' L U' R2 L
F D R2 D' L B2 U'
R2 F B2 U2 R' U B'
R2 F' L F2 B2 U' B'
R2 F' L B2 F2 U' B'
D' F' R2 U' L F2 U'
D' F' R2 U' F2 L U'
U' F' U' L F2 B2 U'
U' F' U' L B2 F2 U'
U' F' U' F2 L B2 U'
U2 F' U' L F2 B2 U'
U2 F' U' L B2 F2 U'
D F' U' L F2 U' L
U2 F' U' F2 L B2 U'
U F' U' L F2 B2 U'
U F' U' L B2 F2 U'
D F' U' F2 L U' L
U F' U' F2 L B2 U'
F D' L D B2 R' U'
F' D' L2 R2 U' L' U'
F' D' R2 L2 U' L' U'
R2 F2 L F' B2 U' B'
D F2 L F' U' L B'
R2 F2 L B2 F' U' B'
F D2 L U' B2 D' L2
F D2 L U2 F2 U B2
F D2 L D' R2 U' L2
F' D2 U F2 B2 R' U
F' D2 U B2 R' F2 U
F' D2 U B2 F2 R' U
B2 F R D2 L2 U' B2
B2 F R' U F2 U2 F2
B2 F U F2 U R' U
B2 F U2 R' U D2 B2
B2 F U2 R' U' F2 U2
B2 F U2 R' D' L2 U
B2 F U2 R' D2 U B2
B2 F U2 D' L2 R' U
B2 F U2 D' R' L2 U
B2 F U2 D2 R' U B2
B2 F D R2 U2 R U
B2 F D' U2 L2 R' U
B2 F D' U2 R' L2 U
B2 F D2 U2 R' U B2
L2 B2 L' R2 F' U' B
L2 B2 R2 L' F' U' B
L B2 R2 U' D' B R'
L B2 R2 D' U' B R'
F B2 R D2 L2 U' B2
L B2 U D F' U2 R
F B2 R' U F2 U2 F2
L B2 U' R2 D' B R'
L B2 U' D' R2 B R'
F B2 U F2 U R' U
L B2 D U F' U2 R
R' B2 F U2 R' U B
L B2 D' R2 U' B R'
L B2 D' U' R2 B R'
F B2 U2 R' U D2 B2
F B2 U2 R' U' F2 U2
F B2 U2 R' D' L2 U
F B2 U2 R' D2 U B2
F B2 U2 D' L2 R' U
F B2 U2 D' R' L2 U
F B2 U2 D2 R' U B2
F B2 D R2 U2 R U
R2 B2 F U2 R' U B'
F B2 D' U2 L2 R' U
F B2 D' U2 R' L2 U
F B2 D2 U2 R' U B2
