D L' F B2 U'
D L' B2 F U'
D B2 L' F U'
B' L' U L2 R2 U2
B' L' U R2 L2 U2
B L' U R2 U2 R
B' L' U' D2 L2 R2
B' L' U' D2 R2 L2
B L' U' D2 L2 R'
B L' U' D2 R' L2
D L' D F U' L2
B' L' D F2 B2 U'
B' L' D B2 F2 U'
B' L' D2 U' L2 R2
B' L' D2 U' R2 L2
B L' D2 U' L2 R'
B L' D2 U' R' L2
D L' F U' D L2
D L' F D U' L2
D L' F D U' L2
D L' F B2 U' D
D L' F B2 U' D'
D L' F B2 U' D2
D L' F B2 D U'
D L' F B2 D' U'
D L' F B2 D2 U'
D L' B2 D F U'
D L' B2 D' F U'
D L' B2 D2 F U'
D L' B2 F U' D
D L' B2 F U' D'
D L' B2 F U' D2
D L' B2 F D U'
D L' B2 F D' U'
D L' B2 F D2 U'
L' D2 F' U' L2 R
L' D2 F' U' R L2
B' D B2 L' U' R'
B D2 L' U' L' R'
B D2 L' U' R' L'
D B L' F B U'
D B L' B F U'
L' B U R2 U2 R
L' B U' D2 L2 R'
L' B U' D2 R' L2
L' B D2 U' L2 R'
L' B D2 U' R' L2
L' B' U L R2 U2
L' B' U R2 L U2
L' B' D B2 U' R'
D B2 L' D F U'
D B2 L' D' F U'
D B2 L' D2 F U'
D B2 L' F U' D
D B2 L' F U' D'
D B2 L' F U' D2
D B2 L' F D U'
D B2 L' F D' U'
D B2 L' F D2 U'
B L' D2 F U' R' L2
B' L' D2 B' U' L2 R2
B' L' D2 B' U' R2 L2
B L' D2 F' U' L2 R'
B L' D2 F' U' R' L2
B' L' D2 B2 U' L2 R2
B' L' D2 B2 U' R2 L2
B L' D2 F2 U' L2 R'
B L' D2 F2 U' R' L2
B2 L' D2 B' U' L2 R'
B2 L' D2 B' U' R' L2
D L' F L B2 L' U'
D L' F L2 B2 L2 U'
B' L' F U L2 R2 U2
B' L' F U R2 L2 U2
B' L' F U' D2 L2 R2
B' L' F U' D2 R2 L2
D L' F R' B2 R U'
D L' F R2 B2 R2 U'
D L' F U D' R2 U2
B' L' F D F2 B2 U'
B' L' F D B2 F2 U'
B L' F U R2 U2 R
D L' F U' L D L2
D L' F U' L' D L2
D L' F U' L2 D L2
D L' F U' D L2 D
D L' F U' D L2 D'
D L' F U' D L2 D2
B L' F U' D2 L2 R'
B L' F U' D2 R' L2
B' L' F D2 U' L2 R2
B' L' F D2 U' R2 L2
D L' F U2 D2 F2 U
D L' F D U' L2 D
D L' F D U' L2 D'
D L' F D U' L2 D2
D L' F D B U' L2
D L' F D B' U' L2
D L' F D B2 U' L2
D L' F D' U R2 U2
D L' F D2 U2 F2 U
B L' F D2 U' L2 R'
B L' F D2 U' R' L2
D L' F B D B U'
D L' F B D' B U'
D L' F B D2 B U'
D L' F B' D B' U'
D L' F B' D' B' U'
D L' F B' D2 B' U'
B' L' F' U L2 R2 U2
B' L' F' U R2 L2 U2
B' L' F' U' D2 L2 R2
B' L' F' U' D2 R2 L2
B' L' F' D F2 B2 U'
B L' F' U R2 U2 R
B' L' F' D B2 F2 U'
D L' F' U' D L2 R2
D L' F' U' D R2 L2
B L' F' U' D2 L2 R'
B L' F' U' D2 R' L2
B' L' F' D2 U' L2 R2
B' L' F' D2 U' R2 L2
D L' F' D U' L2 R2
D L' F' D U' R2 L2
B L' F' D2 U' L2 R'
B L' F' D2 U' R' L2
D L' F' B2 U' D R2
D L' F' B2 D U' R2
B' L' F2 U L2 R2 U2
B' L' F2 U R2 L2 U2
B' L' F2 U' D2 L2 R2
B' L' F2 U' D2 R2 L2
B' L' F2 D F2 B2 U'
B' L' F2 D B2 F2 U'
B L' F2 U R2 U2 R
B' L' F2 D2 U' L2 R2
B L' F2 U' D2 L2 R'
B' L' F2 D2 U' R2 L2
B L' F2 U' D2 R' L2
D L' F2 D F' U' L2
B L' F2 D2 U' L2 R'
B L' F2 D2 U' R' L2
D L' F2 B2 D F' U'
D L' F2 B2 D' F' U'
D L' F2 B2 D2 F' U'
B' L' B U L2 R2 U2
B' L' B U R2 L2 U2
B' L' B U' D2 L2 R2
B' L' B U' D2 R2 L2
B2 L' B U L R2 U2
B2 L' B U R2 L U2
B' L' B D F2 B2 U'
B' L' B D B2 F2 U'
B' L' B D2 U' L2 R2
B' L' B D2 U' R2 L2
B2 L' B D B2 U' R'
D L' B D F B U'
D L' B D B F U'
D L' B D' F B U'
D L' B D' B F U'
D L' B D2 F B U'
D L' B D2 B F U'
D L' B F D B U'
D L' B F D' B U'
D L' B F D2 B U'
B' L' B' U L2 R2 U2
B' L' B' U R2 L2 U2
B' L' B' U' D2 L2 R2
B' L' B' U' D2 R2 L2
B2 L' B' U R2 U2 R
B' L' B' D F2 B2 U'
B' L' B' D B2 F2 U'
B2 L' B' U' D2 L2 R'
B2 L' B' U' D2 R' L2
B' L' B' D2 U' L2 R2
B' L' B' D2 U' R2 L2
B2 L' B' D2 U' L2 R'
B2 L' B' D2 U' R' L2
D L' B' D F B' U'
D L' B' D B' F U'
D L' B' D' F B' U'
D L' B' D' B' F U'
D L' B' D2 F B' U'
D L' B' D2 B' F U'
D L' B' F D B' U'
D L' B' F D' B' U'
D L' B' F D2 B' U'
B' L' B2 U L2 R2 U2
B' L' B2 U R2 L2 U2
B' L' B2 U' D2 L2 R2
B' L' B2 U' D2 R2 L2
D L' B2 R F R' U'
B' L' B2 D F2 B2 U'
B' L' B2 D B2 F2 U'
D L' B2 R2 F R2 U'
B L' B2 U L R2 U2
B L' B2 U R2 L U2
B' L' B2 D2 U' L2 R2
B' L' B2 D2 U' R2 L2
D L' B2 D F U' D
D L' B2 D F U' D'
D L' B2 D F U' D2
D L' B2 D F D U'
D L' B2 D F D' U'
D L' B2 D F D2 U'
B L' B2 D B2 U' R'
D L' B2 D' F U' D
D L' B2 D' F U' D'
D L' B2 D' F U' D2
D L' B2 D' F D U'
D L' B2 D' F D' U'
D L' B2 D' F D2 U'
D L' B2 D2 F U' D
D L' B2 D2 F U' D'
D L' B2 D2 F U' D2
D L' B2 D2 F D U'
D L' B2 D2 F D' U'
D L' B2 D2 F D2 U'
D L' B2 F' U' D R2
D L' B2 F' D U' R2
D L' B2 F2 D F' U'
D L' B2 F2 D' F' U'
D L' B2 F2 D2 F' U'
D L2 D L F U' L
B L2 D2 L U' L R'
B L2 D2 L U' R' L
D L2 F L F B2 U'
D L2 F L B2 F U'
D2 L2 F' L U' L' R
D2 L2 F' L U' R L'
D L2 F' L F B2 U'
D L2 F' L B2 F U'
D L2 F2 L F B2 U'
D L2 F2 L B2 F U'
L' U R2 U B U R'
L' U R2 U2 B R' B'
L' U R2 B' L B U2
L' U F R2 U2 B R'
D R L' F R' B2 U'
L' U B R2 B' U2 R
L' U B' L R2 U2 F'
L' U B' L B R2 U2
L' U B' R2 L U2 F'
R2 U' R2 D L' F U'
R2 U' D L' F U' B2
L' U' D2 L2 F' R F
L' U' D2 F' R F L2
L' U' F D2 L2 F' R
L' U' F D2 F' L2 R
L' U' F D2 F' R L2
D R' L' B2 R F U'
L' U' B R' B2 L B
L' U' B D2 R' B' L2
D' R' F2 L' B R U
D' R' F2 B L' R U
D' R' F2 B R L' U
D' R' B F2 L' R U
D' R' B F2 R L' U
D R' B2 L' R F U'
D R' B2 R L' F U'
B' R2 L U' L2 R2 U'
B' R2 L U' R2 L2 U'
B' R2 L U2 D F2 B2
B' R2 L U2 D B2 F2
B' R2 L D U2 F2 B2
B' R2 L D U2 B2 F2
B' R2 L D' F2 B2 U2
B' R2 L D' B2 F2 U2
L' U2 D2 F' U L2 R
L' U2 D2 F' U R L2
D R2 L' F R2 B2 U'
D R2 L' F B2 R2 U'
D R2 L' B2 R2 F U'
D R2 L' B2 F R2 U'
B R2 U' L' R2 U' R'
L' U2 B U D2 L2 R'
L' U2 B U D2 R' L2
L' U2 B U' R2 U2 R
B R2 U' R2 L' U' R'
L' U2 B D' F2 U R'
L' U2 B D2 U L2 R'
L' U2 B D2 U R' L2
U R2 U' D L' F U'
L' U2 B' U' L R2 U2
L' U2 B' U' R2 L U2
U R2 D U' L' F U'
L2 D L B2 U2 B U
L' D L' F L B2 U'
L2 D L' F L2 B2 U'
L2 D L' F B2 L2 U'
L2 D L' B2 F L2 U'
L D L' F B2 U' F
L D L' B2 F U' F
U R2 B U' L' U' R'
U R2 B' L U' L2 U'
U R2 B' L U2 D F2
U R2 B' L D U2 F2
U R2 B' L D' B2 U2
D R2 B2 L' R2 F U'
D R2 B2 L' F R2 U'
B' U L R2 U' L2 U'
B' U L R2 U2 D F2
B' U L R2 D U2 F2
B' U L R2 D' B2 U2
R2 D U' L' F U' B2
D R2 B2 R2 L' F U'
U' D L' F B2 U' B2
U' D L' B2 F U' B2
U2 D L' F B2 R' U'
F U L' R2 B' L U2
U2 D L' B2 R' F U'
U2 D L' B2 F R' U'
F U L' B' L R2 U2
F U L' B' R2 L U2
L' D B D' B U' R'
B' U R2 L U' L2 U'
B' U R2 L U2 D F2
B' U R2 L D U2 F2
B' U R2 L D' B2 U2
B U R2 U' L' U' R
L' D B2 L' F L U'
F U R2 L' B' L U2
L' D B2 D F' U' R
F U R2 B U2 R' F'
F U R2 B' L U2 F
L D B2 L' F U' F
U' D B2 L' F U' B2
F U B' L R2 U2 F
F U B' R2 L U2 F
D U' L' F B2 U' B2
D U' L' B2 F U' B2
U2 D' R' F2 B R U
U2 D' R' B F2 R U
U2 D' R2 F2 R B U
D2 U' F' L2 D R F'
U2 D' F2 R U2 F' U'
U2 D' F2 R' B R2 U
L2 D2 L F' U' L R
L2 D2 L F' U' R L
F U' D2 L2 R' F' R
F U' D2 R' L2 F' R
F U' D2 R' F' L2 R
F U' D2 R' F' R L2
D U' B2 L' F U' B2
D U2 L' F B2 R' U'
D U2 L' B2 R' F U'
D U2 L' B2 F R' U'
D' U2 R' F2 B R U
L' D2 U' L2 F' R F
D' U2 R' B F2 R U
L' D2 U' F' R F L2
D' U2 R2 F2 R B U
L' D2 U2 F' U L2 R
L' D2 U2 F' U R L2
L' D2 F U L' U2 L'
U' D2 F' L2 D R F'
L' D2 F' U' L2 R D
L' D2 F' U' L2 R D'
L' D2 F' U' L2 R D2
L' D2 F' U' L2 D R
L' D2 F' U' L2 D' R
L' D2 F' U' L2 D2 R
L' D2 F' U' R L2 D
L' D2 F' U' R L2 D'
L' D2 F' U' R L2 D2
L2 D2 F' L U' L R
L2 D2 F' L U' R L
L' D2 F' D' B2 U' R
L' D2 F' B U' L2 R
L' D2 F' B U' R L2
L' D2 F' B' U' L2 R
L' D2 F' B' U' R L2
D' U2 F2 R U2 F' U'
L' D2 F' B2 U' L2 R
L' D2 F' B2 U' R L2
D' U2 F2 R' B R2 U
L' D2 B F' U' L2 R
L' D2 B F' U' R L2
L' D2 B' F' U' L2 R
L' D2 B' F' U' R L2
L' D2 B2 F' U' L2 R
L' D2 B2 F' U' R L2
B U2 D' F2 R U R2
D2 F U L' B' U2 L'
B' D L' D F2 U' L2
B' D L' B2 U L2 U2
B' D L' B2 U' D2 R2
B' D L' B2 D F2 U'
B' D L' B2 D2 U' R2
B D L' U' R' D L2
B D L' U' D L2 R'
B D L' U' D R' L2
B D L' D U' L2 R'
B D L' D U' R' L2
B D L' B2 U L U2
L' F D2 F' U' L2 R
L' F D2 F' U' R L2
L' F B U R2 U2 R
L' F B U' D2 L2 R'
L' F B U' D2 R' L2
L' F B D2 U' L2 R'
L' F B D2 U' R' L2
L' F B' U L R2 U2
L' F B' U R2 L U2
L' F B' D B2 U' R'
B' D F B2 U' R' F'
D F' L' F L' B2 U'
D F' L' F B2 L' U'
D F' L' B2 F L' U'
F2 D F2 L' F B2 U'
F2 D F2 L' B2 F U'
F D F' L' F B2 U'
F D F' L' B2 F U'
B' D B L' B U' R'
F2 D F2 B2 L' F U'
F D F' B2 L' F U'
B' D B2 L' U' R' D
B' D B2 L' U' R' D'
B' D B2 L' U' R' D2
B' D B2 L' U' D R'
B' D B2 L' U' D' R'
B' D B2 L' U' D2 R'
B' D B2 L' D U' R'
B' D B2 L' D' U' R'
B' D B2 L' D2 U' R'
B' D B2 L' F U' R'
B' D B2 L' F' U' R'
B' D B2 L' F2 U' R'
B' D B2 D L' U' R'
B' D B2 D' L' U' R'
D2 F' U' L2 D R F'
B' D B2 D2 L' U' R'
B' D B2 F U' R' F'
B2 D B2 D L' F U'
B D B2 L' U L2 U2
B D B2 L' U' D2 R2
B D B2 L' D F2 U'
B D B2 L' D2 U' R2
F2 D B2 F2 L' F U'
B' D' L' D2 B2 U' R2
F D B2 F' L' F U'
B D' L' U' R' D' L2
B D' L' U' D' L2 R'
B D' L' U' D' R' L2
B D' L' U2 F2 U R'
B D' L' D' U' L2 R'
B D' L' D' U' R' L2
L' F' D2 F' U' L2 R
L' F' D2 F' U' R L2
L' F' B U R2 U2 R
L' F' B U' D2 L2 R'
L' F' B U' D2 R' L2
L' F' B D2 U' L2 R'
L' F' B D2 U' R' L2
L' F' B' U L R2 U2
L' F' B' U R2 L U2
L' F' B' D B2 U' R'
D F' B2 L' F L' U'
B D' U2 F2 R U R2
D' F2 R U2 F' R' U'
B' D2 L' U L2 U2 L
B' D2 L' U' D2 L' R2
B' D2 L' U' D2 R2 L'
B' D2 L' D2 U' L' R2
B' D2 L' D2 U' R2 L'
B2 D2 L' B' U' L' R'
B2 D2 L' B' U' R' L'
B D2 L' U' L' R' D
B D2 L' U' L' R' D'
B D2 L' U' L' R' D2
B D2 L' U' L' D R'
B D2 L' U' L' D' R'
B D2 L' U' L' D2 R'
B D2 L' U' R' L' D
B D2 L' U' R' L' D'
B D2 L' U' R' L' D2
B D2 L' U' R' D L'
B D2 L' U' R' D' L'
B D2 L' U' R' D2 L'
B D2 L' U' D L' R'
B D2 L' U' D R' L'
B D2 L' U' D' L' R'
B D2 L' U' D' R' L'
B D2 L' U' D2 L' R'
B D2 L' U' D2 R' L'
B D2 L' D U' L' R'
B D2 L' D U' R' L'
B D2 L' D' U' L' R'
B D2 L' D' U' R' L'
B D2 L' D2 U' L' R'
B D2 L' D2 U' R' L'
L' F2 D2 F' U' L2 R
L' F2 D2 F' U' R L2
L' F2 B U R2 U2 R
L' F2 B U' D2 L2 R'
L' F2 B U' D2 R' L2
L' F2 B D2 U' L2 R'
L' F2 B D2 U' R' L2
L' F2 B' U L R2 U2
L' F2 B' U R2 L U2
L' F2 B' D B2 U' R'
F D2 U' L2 R' F' R
F D2 U' R' L2 F' R
F D2 U' R' F' L2 R
F D2 U' R' F' R L2
D B L' D F B U'
D B L' D B F U'
D B L' D' F B U'
D B L' D' B F U'
D B L' D2 F B U'
D B L' D2 B F U'
D B L' F D B U'
D B L' F D' B U'
D B L' F D2 B U'
D B L' F B U' D
D B L' F B U' D'
D B L' F B U' D2
D B L' F B D U'
D B L' F B D' U'
D B L' F B D2 U'
D B L' B D F U'
D B L' B D' F U'
D B L' B D2 F U'
D B L' B F U' D
D B L' B F U' D'
D B L' B F U' D2
D B L' B F D U'
D B L' B F D' U'
D B L' B F D2 U'
B D2 F U' L2 R' F'
B D2 F U' R' L2 F'
B D2 F U' R' F' L2
L B L2 U R2 U2 R
L B L2 U' D2 L2 R'
L B L2 U' D2 R' L2
F D2 F' L' U' L' R
F D2 F' L' U' R L'
L B L2 D2 U' L2 R'
L B L2 D2 U' R' L2
B2 D2 B' L' U' L' R'
B2 D2 B' L' U' R' L'
L' B U L R2 U2 R
L' B U L' R2 U2 R
L' B U L2 R2 U2 R
B' D2 B2 L' U' L' R'
B' D2 B2 L' U' R' L'
L' B U R2 L U2 R
L' B U R2 L' U2 R
L' B U R2 L2 U2 R
L' B U R2 U2 R D
L' B U R2 U2 R D'
L' B U R2 U2 R D2
L' B U R2 U2 D R
L' B U R2 U2 D' R
L' B U R2 U2 D2 R
L' B U R2 D U2 R
L' B U R2 D' U2 R
L' B U R2 D2 U2 R
L' B U' L D2 L2 R'
L' B U' L D2 R' L2
L' B U' L' D2 L2 R'
L' B U' L' D2 R' L2
L' B U' L2 D2 L2 R'
L' B U' L2 D2 R' L2
U B R2 U' L' U' R
L' B U' R' U2 R' U2
L' B U' R' B2 L B2
L' B U' D R' D L2
L' B U' D' R' D' L2
L' B U' D2 L2 R' D
L' B U' D2 L2 R' D'
L' B U' D2 L2 R' D2
L' B U' D2 L2 D R'
L' B U' D2 L2 D' R'
L' B U' D2 L2 D2 R'
L' B U' D2 R' L2 D
L' B U' D2 R' L2 D'
L' B U' D2 R' L2 D2
R2 B U' L' R2 U' R
R2 B U' R2 L' U' R
L' B U2 D' F2 U R'
L' B D U' R' D L2
D2 B D' L' F B2 U'
D2 B D' L' B2 F U'
L' B D B2 U L U2
L' B D' U' R' D' L2
L' B D' U2 F2 U R'
D2 B D' B2 L' F U'
D' B D2 L' F B2 U'
D' B D2 L' B2 F U'
U2 B D' F2 R U R2
D B D' L' B U' R'
L' B D2 U' L2 R' D
L' B D2 U' L2 R' D'
L' B D2 U' L2 R' D2
L' B D2 U' L2 D R'
L' B D2 U' L2 D' R'
L' B D2 U' L2 D2 R'
L' B D2 U' R' L2 D
L' B D2 U' R' L2 D'
L' B D2 U' R' L2 D2
L' B D2 F U' L2 R'
L' B D2 F U' R' L2
L' B D2 F' U' L2 R'
L' B D2 F' U' R' L2
L' B D2 F2 U' L2 R'
L' B D2 F2 U' R' L2
D' B D2 B2 L' F U'
D B D' B L' U' R'
L' B F U R2 U2 R
L' B F U' D2 L2 R'
L' B F U' D2 R' L2
L' B F D2 U' L2 R'
L' B F D2 U' R' L2
B' F U L R2 U2 F
L' B F' U R2 U2 R
L' B F' U' D2 L2 R'
L' B F' U' D2 R' L2
B' F U R2 L U2 F
L' B F' D2 U' L2 R'
L' B F' D2 U' R' L2
L' B F2 U R2 U2 R
L' B F2 U' D2 L2 R'
L' B F2 U' D2 R' L2
L' B F2 D2 U' L2 R'
L' B F2 D2 U' R' L2
R2 B' L U' L2 R2 U'
R2 B' L U' R2 L2 U'
R2 B' L U2 D F2 B2
R2 B' L U2 D B2 F2
R2 B' L D U2 F2 B2
R2 B' L D U2 B2 F2
R2 B' L D' F2 B2 U2
R2 B' L D' B2 F2 U2
B F U' D2 L2 R' F'
B F U' D2 R' L2 F'
B F U' D2 R' F' L2
U B' L R2 U' L2 U'
U B' L R2 U2 D F2
U B' L R2 D U2 F2
U B' L R2 D' B2 U2
F B U' D2 L2 R' F'
F B U' D2 R' L2 F'
F B U' D2 R' F' L2
B' F D B2 U' R' F'
D B' L' D F U' L'
L B' L2 U L' R2 U2
L B' L2 U R2 L' U2
B F D2 U' L2 R' F'
B F D2 U' R' L2 F'
B F D2 U' R' F' L2
L' B' U L R2 U2 D
L' B' U L R2 U2 D'
L' B' U L R2 U2 D2
L' B' U L R2 D U2
L' B' U L R2 D' U2
L' B' U L R2 D2 U2
L' B' U L U2 D2 L2
L' B' U L D2 U2 L2
F B D2 U' L2 R' F'
F B D2 U' R' L2 F'
F B D2 U' R' F' L2
L' B' U R2 L U2 D
L' B' U R2 L U2 D'
L' B' U R2 L U2 D2
L' B' U R2 L D U2
L' B' U R2 L D' U2
L' B' U R2 L D2 U2
L' B' U R2 D L U2
L' B' U R2 D' L U2
L' B' U R2 D2 L U2
L' B' U D2 L U2 L
U B' R2 L U' L2 U'
U B' R2 L U2 D F2
U B' R2 L D U2 F2
U B' R2 L D' B2 U2
L' B' U' L' D2 L2 R2
L' B' U' L' D2 R2 L2
L' B' U' B2 R' B2 L
L' B' D F B2 U' R'
L' B' D F' B2 U' R'
L' B' D F2 B2 U' R'
D2 B' D' L' F B2 U'
D2 B' D' L' B2 F U'
L' B' D B2 U' R' D
L' B' D B2 U' R' D'
L' B' D B2 U' R' D2
L' B' D B2 U' D R'
L' B' D B2 U' D' R'
L' B' D B2 U' D2 R'
L' B' D B2 D U' R'
L' B' D B2 D' U' R'
L' B' D B2 D2 U' R'
L' B' D B2 F U' R'
L' B' D B2 F' U' R'
L' B' D B2 F2 U' R'
D2 B' D' B2 L' F U'
D' B' D2 L' F B2 U'
D' B' D2 L' B2 F U'
L' B' D2 U L U2 L
D' B' D2 B2 L' F U'
L' B' D2 B2 U' L2 R'
L' B' D2 B2 U' R' L2
L B' D B2 U' R' F2
L B' D B2 U' F2 R'
L' B' F U L R2 U2
L' B' F U R2 L U2
L' B' F D B2 U' R'
F B' U L R2 U2 F
F B' U R2 L U2 F
L' B' F' U L R2 U2
L' B' F' U R2 L U2
L' B' F' D B2 U' R'
L' B' F2 U L R2 U2
L' B' F2 U R2 L U2
L' B' F2 D B2 U' R'
D B2 L F L2 F U'
D B2 L F' L2 F U'
D B2 L F2 L2 F U'
F B' D B2 U' R' F'
D B2 L' R F R' U'
D B2 L' R2 F R2 U'
D B2 L' D F U' D
D B2 L' D F U' D'
D B2 L' D F U' D2
D B2 L' D F D U'
D B2 L' D F D' U'
D B2 L' D F D2 U'
D B2 L' D' F U' D
D B2 L' D' F U' D'
D B2 L' D' F U' D2
D B2 L' D' F D U'
D B2 L' D' F D' U'
D B2 L' D' F D2 U'
D B2 L' D2 F U' D
D B2 L' D2 F U' D'
D B2 L' D2 F U' D2
D B2 L' D2 F D U'
D B2 L' D2 F D' U'
D B2 L' D2 F D2 U'
D B2 L' F' U' D R2
D B2 L' F' D U' R2
D B2 L' F2 D F' U'
D B2 L' F2 D' F' U'
D B2 L' F2 D2 F' U'
D B2 L2 D L F U'
D B2 L2 D' L F U'
D B2 L2 D2 L F U'
D B2 L2 F L F U'
D B2 L2 F' L F U'
D B2 L2 F2 L F U'
D B2 R L' F R' U'
D B2 R2 L' F R2 U'
D2 B2 D' L' F B2 U'
D2 B2 D' L' B2 F U'
D B2 D L' F' U' R
D2 B2 D' B2 L' F U'
D' B2 D2 L' F B2 U'
D' B2 D2 L' B2 F U'
D' B2 D2 B2 L' F U'
