F L D' B' L2
F L B' D' L2
F L' D' L2 B'
F L U' F2 U B'
F L D B' D2 L2
F2 L D' F' B' L
F2 L D' B' L F'
F L D' B L2 B2
F2 L D' B' F' L
F L D' B' L2 D
F L D' B' L2 D'
F L D' B' L2 D2
F L D' B2 L2 B
F2 L F' D' B' L
F' L F2 D' B' L2
F' L F2 B' D' L2
F L B' L D' L2
F L B' L' D' L2
F L B' L2 D' L2
F L B' U' F2 U
F' L B' F2 D' L2
F L B' D' L2 D
F L B' D' L2 D'
F L B' D' L2 D2
F L B2 D' L2 B
F L B2 D' B L2
F L' D' L2 D B'
F L' D' L2 D' B'
F L' D' L2 D2 B'
F L' D' L2 B' D
F L' D' L2 B' D'
F L' D' L2 B' D2
F L' D' B L2 B'
F L' D' B' L2 B'
F L' D' B2 L2 B'
F L' B D' L2 B'
F L' B' D' L2 B'
F L' B2 D' L2 B'
F L2 D' L' B' L'
F U' L F2 U B'
F U' F2 L U B'
D F L D' L2 B2
D F L D' B2 L2
D F U' L' F2 U
U' F' L U F2 B'
U' F' L U B' F2
F D' L D L B'
B' F L D' B' L2
B2 F L D' B' L2
B' F L B' D' L2
B2 F L B' D' L2
B' F L' D' L2 B'
B2 F L' D' L2 B'
B F L D' B' L2
F B L D' B' L2
B F L B' D' L2
F B L B' D' L2
B F L' D' L2 B'
F B L' D' L2 B'
L B' L' F D' L2
F B' L D' B' L2
F B' L B' D' L2
F B' L' D' L2 B'
F B2 L D' B' L2
F B2 L B' D' L2
F B2 L' D' L2 B'
F' L F2 D B' D2 L2
F' L F2 D' B L2 B2
F' L F2 D' B' L2 D
F' L F2 D' B' L2 D'
F' L F2 D' B' L2 D2
F' L F2 D' B2 L2 B
F2 L F2 D F B' L'
F2 L F2 D B' F L'
F2 L F2 D' F B' L
F2 L F2 D' B' F L
F' L F2 B' L D' L2
F' L F2 B' L' D' L2
F' L F2 B' L2 D' L2
F' L F2 B' U' F2 U
F' L F2 B' D' L2 D
F' L F2 B' D' L2 D'
F' L F2 B' D' L2 D2
F' L F2 B2 D' L2 B
F' L F2 B2 D' B L2
F2 L F2 B' D F L'
F L B L B2 D' L2
F L B L' B2 D' L2
F L B L2 B2 D' L2
F L B U' F2 U B2
F L B D' L2 D B2
F' L B' L F2 D' L2
F' L B' L' F2 D' L2
F' L B' L2 F2 D' L2
F2 L B' L' F' D' L2
F L B' L U' F2 U
B' L B' L' F D' L2
F L B' L D' L2 D
F L B' L D' L2 D'
F L B' L D' L2 D2
B2 L B' L' F D' L2
F L B' L' U' F2 U
F L B' L' D' L2 D
F L B' L' D' L2 D'
F L B' L' D' L2 D2
F L B' L2 U' F2 U
B L B' L' F D' L2
F L B' L2 D' L2 D
F L B' L2 D' L2 D'
F L B' L2 D' L2 D2
F L B' R D' L2 R'
F L B' R D' R' L2
F L B' R' D' L2 R
F L B' R' D' R L2
F L B' U D2 B2 U'
F2 L B' D F L' F2
F L B' U' F2 U D
F L B' U' F2 U D'
F L B' U' F2 U D2
F L B' U' F2 D U
F L B' U' F2 D' U
F L B' U' F2 D2 U
F L B' U2 D R2 U2
F L B' D L D2 L2
F L B' D L' D2 L2
F L B' D L2 D2 L2
F L B' D U2 R2 U2
F L B' D' L D L
F L B' D' L D' L
F L B' D' L D2 L
F L B' D' L' D L'
F L B' D' L' D' L'
F L B' D' L' D2 L'
F' L B' F2 L D' L2
F' L B' F2 L' D' L2
F' L B' F2 L2 D' L2
F L B' D' F L2 F'
F L B' D' F2 L2 F2
F L B' D' B' L2 B
F' L B' F2 U' F2 U
F L B' D' B2 L2 B2
F L B' D2 L D L2
F L B' D2 L' D L2
F' L B' F2 D' L2 D
F' L B' F2 D' L2 D'
F' L B' F2 D' L2 D2
F L B' D2 L2 D L2
F L B' D2 U B2 U'
F2 L B' F2 D F L'
F L B2 L D' L2 B
F L B2 L D' B L2
F L B2 L B D' L2
F L B2 L' D' L2 B
F L B2 L' D' B L2
F L B2 L' B D' L2
F L B2 L2 D' L2 B
F L B2 L2 D' B L2
F L B2 L2 B D' L2
F L B2 U' F2 U B
F L B2 D B D2 L2
F L B2 D' L' B L'
F L B2 D' L2 D B
F L B2 D' L2 D' B
F L B2 D' L2 D2 B
F L B2 D' L2 B D
F L B2 D' L2 B D'
F L B2 D' L2 B D2
F L B2 D' B L2 D
F L B2 D' B L2 D'
F L B2 D' B L2 D2
F L B2 D' B' L2 B2
F' L B2 F2 D' L2 B
F' L B2 F2 D' B L2
F L' R D' L2 R' B'
F L' R D' R' L2 B'
F L' R' D' L2 R B'
F L' R' D' L2 B' R
F L' R' D' R L2 B'
F' L' R2 U F2 R2 B
F' L' U F2 D R2 B
F L' U' L2 F2 U B'
F L' U' F2 U' F' U2
F L' U2 D R2 F U2
F L' U2 D F R2 U2
F L' U2 D' F U2 L2
F L' U2 F U F U
F L' D L2 D2 B' L2
F L' D L2 B' D2 L2
F L' D U2 R2 F U2
F L' D U2 F R2 U2
F L' D B D2 L2 B'
F L' D B' D2 L2 B'
F L' D B2 D2 L2 B'
F L' D' L' D L' B'
F L' D' L' D' L' B'
F L' D' L' D2 L' B'
F L' D' L' B L' B'
F L' D' L' B' L' B'
F L' D' L' B2 L' B'
F L' D' L2 R' B' R
F L' D' L2 R2 B' R2
F L' D' L2 D B' D
F L' D' L2 D B' D'
F L' D' L2 D B' D2
F L' D' L2 D' B' D
F L' D' L2 D' B' D'
F L' D' L2 D' B' D2
F L' D' L2 D2 B' D
F L' D' L2 D2 B' D'
F L' D' L2 D2 B' D2
F L' D' L2 B2 D B
F L' D' L2 B2 D' B
F L' D' L2 B2 D2 B
F L' D' R' L2 B' R
F L' D' R2 L2 B' R2
F L' D' U2 F U2 L2
F L' D' B L2 D B'
F L' D' B L2 D' B'
F L' D' B L2 D2 B'
F L' D' B L2 B' D
F L' D' B L2 B' D'
F L' D' B L2 B' D2
F L' D' B' L2 D B'
F L' D' B' L2 D' B'
F L' D' B' L2 D2 B'
F L' D' B' L2 B' D
F L' D' B' L2 B' D'
F L' D' B' L2 B' D2
F L' D' B2 L2 D B'
F L' D' B2 L2 D' B'
F L' D' B2 L2 D2 B'
F L' D' B2 L2 B' D
F L' D' B2 L2 B' D'
F L' D' B2 L2 B' D2
F L' D2 L2 D B' L2
F L' B L2 D' B' L2
F L' B L2 B' D' L2
F L' B D' L2 D B'
F L' B D' L2 D' B'
F L' B D' L2 D2 B'
F L' B D' L2 B' D
F L' B D' L2 B' D'
F L' B D' L2 B' D2
F L' B D' B L2 B'
F L' B D' B' L2 B'
F L' B D' B2 L2 B'
F L' B' L2 D' B' L2
F L' B' L2 B' D' L2
F L' B' D' L2 D B'
F L' B' D' L2 D' B'
F L' B' D' L2 D2 B'
F L' B' D' L2 B' D
F L' B' D' L2 B' D'
F L' B' D' L2 B' D2
F L' B' D' B L2 B'
F L' B' D' B' L2 B'
F L' B' D' B2 L2 B'
F L' B2 L2 D' B' L2
F L' B2 L2 B' D' L2
F L' B2 D' L2 D B'
F L' B2 D' L2 D' B'
F L' B2 D' L2 D2 B'
F L' B2 D' L2 B' D
F L' B2 D' L2 B' D'
F L' B2 D' L2 B' D2
F L' B2 D' B L2 B'
F L' B2 D' B' L2 B'
F L' B2 D' B2 L2 B'
F L2 U' F' L' F' U
F L2 D L D2 L2 B'
F L2 D L' D2 B' L2
F L2 D L' B' D2 L2
F L2 D' L' D B' L'
F L2 D' L' D' B' L'
F L2 D' L' D2 B' L'
F L2 D' L' B L' B2
F L2 D' L' B' L' D
F L2 D' L' B' L' D'
F L2 D' L' B' L' D2
F L2 D' L' B' D L'
F L2 D' L' B' D' L'
F L2 D' L' B' D2 L'
F L2 D' L' B2 L' B
F L2 D' B L' B' L'
F L2 D' B' L' B' L'
F L2 D' B2 L' B' L'
F L2 D2 L D L2 B'
F L2 D2 L' D B' L2
F2 L2 F' L' D' B' L
F2 L2 F' U B' R' U'
F' L2 F2 L D' L2 B'
F' L2 F2 L' D' B' L2
F' L2 F2 L' B' D' L2
F' L2 F2 D' L' B' L'
F L2 B L D' L2 B'
F L2 B L' D' B' L2
F L2 B L' B' D' L2
F L2 B D' L' B' L'
F L2 B' L D' L2 B'
F L2 B' L' D' B' L2
F L2 B' L' B' D' L2
F L2 B' D' L' B' L'
F L2 B2 L D' L2 B'
F L2 B2 L' D' B' L2
F L2 B2 L' B' D' L2
F' R L U R' F2 B'
F' R L U R' B' F2
F' R L U F2 R' B'
F L2 B2 D' L' B' L'
F R L D' R' B' L2
F R L' D' L2 R' B'
F R L' D' R' L2 B'
F' R U F2 D2 R' B
U R U' F B L B'
U R U' B F L B'
F R D' L2 D' R' B
F R D2 R' D L2 B
F R D2 R' D B L2
L2 U' L' F' L' U F
L2 U' L2 F' L' U F2
R U' R' F B L B'
R U' R' B F L B'
L U' D F' R U B'
F' R' L U R F2 B'
F' R' L U R B' F2
F' R' L U B' R F2
F R' L D' R B' L2
F R' L D' B' L2 R
F R' L D' B' R L2
R U' D2 R' F B L
R U' D2 R' B F L
R U' D2 F R' B L
F R' L B' R D' L2
F R' L B' D' L2 R
F R' L B' D' R L2
F R' L' D' L2 R B'
F R' L' D' L2 B' R
F R' L' D' R L2 B'
R U' F R' B L B'
R U' F D2 R' B L
R U' F B L B' R'
R U' B F L B' R'
D2 R' D' B R F L'
D2 R' B R F D' L2
D2 R' B D' R F L'
F' R2 L U R2 F2 B'
F' R2 L U R2 B' F2
F' R2 L U F2 R2 B'
F' R2 L U F2 B' R2
F' R2 L U B' R2 F2
F' R2 L U B' F2 R2
F' R2 L' U F2 R2 B
F R2 L B' R2 D' L2
L2 U2 B' U F' L' U
U R2 D' B R' U' F
D' R2 B R' U' R' F
D' R2 B R' U' F R'
F' U L U' B' L' F2
L D U' F' R U B'
L D F' R U R' B'
D' U R2 B R' U' F
U' D F L' F2 U F2
L D B' U' F' R U
U' D F' U2 R U' F2
F U D' B R' U' L2
F U D2 R' B2 U' B'
F U D2 B2 R' U' B
F U' L U D' B' L2
F U' L U B' D' L2
F U' L D' U B' L2
F U' L F2 U D B'
F U' L F2 U D' B'
F U' L F2 U D2 B'
F U' L F2 U B' D
F U' L F2 U B' D'
F U' L F2 U B' D2
F U' L F2 D U B'
F U' L F2 D' U B'
F U' L F2 D2 U B'
F U' L' U D' L2 B'
F U' L' D' U L2 B'
F U' L' F2 U' F' U2
F U' L2 F2 L' U B'
D U' F L' F2 U F2
U D' R2 B R' U' F
D2 U' F' R' U F2 B
D2 U' F' R' U B F2
R2 D' B R' F2 U' F'
D U' F' U2 R U' F2
F2 U' D F L' U F2
F2 U' F L U F2 B'
F2 U' F L U B' F2
B' U' F' L U F2 B'
B' U' F' L U B' F2
B2 U' F' L U F2 B'
B2 U' F' L U B' F2
B U' F' L U F2 B'
B U' F' L U B' F2
F U' F D F L' U
F U' F' L F' U B'
F U' F2 L U D B'
F U' F2 L U D' B'
F U' F2 L U D2 B'
F U' F2 L U B' D
F U' F2 L U B' D'
F U' F2 L U B' D2
F U' F2 L D U B'
F U' F2 L D' U B'
F U' F2 L D2 U B'
F U' F2 L' U' F U2
F U' F2 U L B' L'
R D2 R' F D' L2 B
R D2 R' F D' B L2
R D2 R' F B D' L2
R D2 R' B F D' L2
F' U2 L U' F2 R B'
F' U2 L U' F2 B' R
F' U2 L U' B' F2 R
R D2 U' R' F B L
R D2 U' R' B F L
R D2 U' F R' B L
U' D2 F' R' U F2 B
U' D2 F' R' U B F2
U' F L F2 U F2 B'
U' F L F2 U B' F2
D F L U' L2 F2 U
D F L U' F2 L2 U
D F L D' L' B2 L'
D F L D' L2 B2 D
D F L D' L2 B2 D'
D F L D' L2 B2 D2
D F L D' B L2 B
D F L D' B2 L2 D
D F L D' B2 L2 D'
D F L D' B2 L2 D2
R2 F L B' R2 D L2
D F L B D' L2 B2
D F L B D' B2 L2
D F L B' D' L2 B2
D F L B' D' B2 L2
D F L B2 D' L2 B2
D F L B2 D' B2 L2
D F L' D' L2 D' B2
D' F R D' L2 R' B
D' F R D' R' L2 B
D' F R D' R' B L2
D F L2 U' L F2 U
D F L2 U' F2 L U
D2 F R' D' L2 B R
D2 F R' D' B L2 R
D2 F R' D' B R L2
D2 F R' B R D' L2
D2 F R' B D' L2 R
D2 F R' B D' R L2
D F U' L F2 L2 U
D F U' L' U D' L2
D F U' L' D' U L2
D F U' L' F2 U D
D F U' L' F2 U D'
D F U' L' F2 U D2
D F U' L' F2 D U
D F U' L' F2 D' U
D F U' L' F2 D2 U
D F U' L2 F2 L U
D F U' D' L' U L'
D' F D L D2 B' L2
D' F D L B' D2 L2
D' F D L' D2 L2 B'
D F U' F2 U2 R U'
D' F D' L D2 L B'
D2 F D' L D' L B'
D' F D' L2 R' B R
D' F D' R' L2 B R
D' F D' R' B L2 R
D' F D' R' B R L2
L2 F D' L' B' L' F
D2 F D2 L D B' L2
D2 F D2 L' D L2 B'
D F D' L D' L B2
D F D' L2 U' L U
D F D' U' L' U L'
D' F B' L' D' L2 B2
D' F B' L' D' B2 L2
D' F B' U' L F2 U
D' F B' U' F2 L U
D F B L D' L2 B2
D F B L D' B2 L2
D F B U' L' F2 U
D F B' L D' L2 B2
D F B' L D' B2 L2
U' F' L R U F2 B'
U' F' L R U B' F2
U' F' L R' U F2 B'
U' F' L R' U B' F2
U' F' L R2 U F2 B'
U' F' L R2 U B' F2
U' F' L U F2 D B'
U' F' L U F2 D' B'
U' F' L U F2 D2 B'
U' F' L U F2 B' D
U' F' L U F2 B' D'
U' F' L U F2 B' D2
U' F' L U B' F2 D
U' F' L U B' F2 D'
U' F' L U B' F2 D2
D F B' U' L' F2 U
U' F' L D R2 U B'
L F B' L D' L2 F
L F B' L' D' F L2
D F B2 L D' L2 B2
D F B2 L D' B2 L2
F2 D U' F L' U F2
U2 F' L U F2 R B'
U2 F' L U F2 B' R
U2 F' L U B' F2 R
D F B2 U' L' F2 U
U' F' L' U' F U2 F
B' D F L D' L2 B2
B' D F L D' B2 L2
B2 D F L D' L2 B2
B2 D F L D' B2 L2
B' D F U' L' F2 U
B2 D F U' L' F2 U
U' F' R L U F2 B'
U' F' R L U B' F2
B D F L D' L2 B2
B D F L D' B2 L2
B D F U' L' F2 U
F2 D F' U' F2 L' U
U' F' R' L U F2 B'
U' F' R' L U B' F2
D2 F' R' U B R F2
D F' R U' R' F2 L'
U' F' R2 L U F2 B'
U' F' R2 L U B' F2
U' F' U L B' L' F2
U' F' U F2 L B' L'
U' F' U2 L U' F2 B'
U' F' U2 L U' B' F2
F D' L D L D B'
F D' L D L D' B'
F D' L D L D2 B'
F D' L D L B' D
F D' L D L B' D'
F D' L D L B' D2
F D' L' D L B' L2
F D' L' B' L' D' B2
F D' L2 R D' R' B
F D' L2 D L B' L'
F D' L2 D' R' B R
F D' L2 B U R' U'
F D' L2 B' U' L U
F D' R L2 D' R' B
F D' U B R' U' L2
F D' B L2 U R' U'
F D' B U R' U' L2
F D' B' L' D' L' B2
F D' B' L' D' B2 L'
F D' B' L2 U' L' U
F D' B' U' L U L
U' F2 D F L' U F2
F D2 R' D L2 B R
F D2 R' D B L2 R
F D2 R' D B R L2
F D2 U R' B2 U' B'
F D2 U B2 R' U' B
L B L' F B2 D' L2
L B L' B2 F D' L2
B' F L U' F2 U B'
B' F L D B' D2 L2
B' F L D' B L2 B2
B' F L D' B' L2 D
B' F L D' B' L2 D'
B' F L D' B' L2 D2
B' F L D' B2 L2 B
B' F L B' L D' L2
B' F L B' L' D' L2
B2 F L U' F2 U B'
B' F L B' L2 D' L2
B' F L B' U' F2 U
B' F L B' D' L2 D
B' F L B' D' L2 D'
B' F L B' D' L2 D2
B' F L B2 D' L2 B
B' F L B2 D' B L2
B2 F L D B' D2 L2
B2 F L D' B L2 B2
B2 F L D' B' L2 D
B2 F L D' B' L2 D'
B2 F L D' B' L2 D2
B2 F L D' B2 L2 B
F' B L F2 D' B' L2
F' B L F2 B' D' L2
F2 B L D' F' B' L
F2 B L D' B' L F'
F2 B L D' B' F' L
F' B L B' F2 D' L2
F2 B L F' D' B' L
B2 F L B' L D' L2
B2 F L B' L' D' L2
B2 F L B' L2 D' L2
B' F L' D' L2 D B'
B' F L' D' L2 D' B'
B' F L' D' L2 D2 B'
B' F L' D' L2 B' D
B' F L' D' L2 B' D'
B' F L' D' L2 B' D2
B2 F L B' U' F2 U
B2 F L B' D' L2 D
B2 F L B' D' L2 D'
B2 F L B' D' L2 D2
B' F L' D' B L2 B'
B' F L' D' B' L2 B'
B' F L' D' B2 L2 B'
B2 F L B2 D' L2 B
B2 F L B2 D' B L2
B F L U' F2 U B'
B' F L' B D' L2 B'
B' F L' B' D' L2 B'
B F L D B' D2 L2
B' F L' B2 D' L2 B'
B F L D' B L2 B2
B F L D' B' L2 D
B F L D' B' L2 D'
B F L D' B' L2 D2
B2 F L' D' L2 D B'
B2 F L' D' L2 D' B'
B2 F L' D' L2 D2 B'
B2 F L' D' L2 B' D
B2 F L' D' L2 B' D'
B2 F L' D' L2 B' D2
B F L D' B2 L2 B
B2 F L' D' B L2 B'
B2 F L' D' B' L2 B'
B2 F L' D' B2 L2 B'
F B L U' F2 U B'
B F L B' L D' L2
B F L B' L' D' L2
B F L B' L2 D' L2
B2 F L' B D' L2 B'
B F L B' U' F2 U
B F L B' D' L2 D
B F L B' D' L2 D'
B F L B' D' L2 D2
B' F L2 D' L' B' L'
F B L D B' D2 L2
B2 F L' B' D' L2 B'
B F L B2 D' L2 B
B F L B2 D' B L2
F B L D' B L2 B2
F B L D' B' L2 D
F B L D' B' L2 D'
F B L D' B' L2 D2
F B L D' B2 L2 B
B2 F L' B2 D' L2 B'
F B L B' L D' L2
F B L B' L' D' L2
F B L B' L2 D' L2
F B L B' U' F2 U
F B L B' D' L2 D
F B L B' D' L2 D'
F B L B' D' L2 D2
B F L' D' L2 D B'
B F L' D' L2 D' B'
B F L' D' L2 D2 B'
B F L' D' L2 B' D
B F L' D' L2 B' D'
B F L' D' L2 B' D2
F B L B2 D' L2 B
F B L B2 D' B L2
B F L' D' B L2 B'
B F L' D' B' L2 B'
B2 F L2 D' L' B' L'
B F L' D' B2 L2 B'
B F L' B D' L2 B'
B F L' B' D' L2 B'
F B L' D' L2 D B'
F B L' D' L2 D' B'
B F L' B2 D' L2 B'
F B L' D' L2 D2 B'
F B L' D' L2 B' D
F B L' D' L2 B' D'
F B L' D' L2 B' D2
F B L' D' B L2 B'
F B L' D' B' L2 B'
F B L' D' B2 L2 B'
F B L' B D' L2 B'
F B L' B' D' L2 B'
B F L2 D' L' B' L'
F B L' B2 D' L2 B'
F B L2 D' L' B' L'
D B F L D' L2 B2
D B F L D' B2 L2
D B F U' L' F2 U
B' F U' L F2 U B'
B2 F U' L F2 U B'
B' F U' F2 L U B'
B2 F U' F2 L U B'
B F U' L F2 U B'
F B U' L F2 U B'
B F U' F2 L U B'
F B U' F2 L U B'
L B' L F D' L2 F
B' F D' L D L B'
L B' L' U' F' U F2
B2 F D' L D L B'
L B' L' D F D' L2
L B' L' D' F D' L2
L B' L' D2 F D' L2
L B' L' F L D' L2
L B' L' F L' D' L2
L B' L' F L2 D' L2
L B' L' F U' F2 U
L B' L' F D' L2 D
L B' L' F D' L2 D'
L B' L' F D' L2 D2
B F D' L D L B'
F B D' L D L B'
B' F' L F2 D' B' L2
B' F' L F2 B' D' L2
B' F' L B' F2 D' L2
F' B' L F2 D' B' L2
F' B' L F2 B' D' L2
F2 B' L D' F' B' L
F2 B' L D' B' L F'
F2 B' L D' B' F' L
F' B' L B' F2 D' L2
B2 F' L F2 D' B' L2
B2 F' L F2 B' D' L2
F2 B' L F' D' B' L
B2 F' L B' F2 D' L2
B F' L F2 D' B' L2
B F' L F2 B' D' L2
F B' L U' F2 U B'
B F' L B' F2 D' L2
F B' L D B' D2 L2
F B' L D' B L2 B2
F B' L D' B' L2 D
F B' L D' B' L2 D'
F B' L D' B' L2 D2
F B' L D' B2 L2 B
D' B' U' F' L U F2
F B' L B' L D' L2
F B' L B' L' D' L2
F B' L B' L2 D' L2
F B' L B' U' F2 U
F B' L B' D' L2 D
F B' L B' D' L2 D'
F B' L B' D' L2 D2
F B' L B2 D' L2 B
F B' L B2 D' B L2
F B' L' D' L2 D B'
F B' L' D' L2 D' B'
F B' L' D' L2 D2 B'
F B' L' D' L2 B' D
F B' L' D' L2 B' D'
F B' L' D' L2 B' D2
F B' L' D' B L2 B'
F B' L' D' B' L2 B'
F B' L' D' B2 L2 B'
F B' L' B D' L2 B'
F B' L' B' D' L2 B'
F B' L' B2 D' L2 B'
F B' L2 D' L' B' L'
L B' U' D F' R U
L B' D U' F' R U
D' B' F L' D' L2 B2
D' B' F L' D' B2 L2
D' B' F U' L F2 U
D' B' F U' F2 L U
D B' F L D' L2 B2
D B' F L D' B2 L2
D B' F U' L' F2 U
F B' U' L F2 U B'
L B' F L D' L2 F
L B' F L' D' F L2
F B' U' F2 L U B'
F B' D' L D L B'
B' F2 L D' F' B' L
B' F2 L D' B' L F'
B' F2 L D' B' F' L
B' F2 L F' D' B' L
B2 F2 L D' F' B' L
B2 F2 L D' B' L F'
B2 F2 L D' B' F' L
F' B2 L F2 D' B' L2
F' B2 L F2 B' D' L2
F2 B2 L D' F' B' L
F2 B2 L D' B' L F'
F2 B2 L D' B' F' L
B2 F2 L F' D' B' L
F' B2 L B' F2 D' L2
F2 B2 L F' D' B' L
L B2 L' F D' L2 B
L B2 L' F D' B L2
L B2 L' F B D' L2
L B2 L' B F D' L2
B F2 L D' F' B' L
B F2 L D' B' L F'
B F2 L D' B' F' L
B F2 L F' D' B' L
F B2 L U' F2 U B'
F B2 L D B' D2 L2
F B2 L D' B L2 B2
F B2 L D' B' L2 D
F B2 L D' B' L2 D'
F B2 L D' B' L2 D2
F B2 L D' B2 L2 B
F B2 L B' L D' L2
F B2 L B' L' D' L2
F B2 L B' L2 D' L2
F B2 L B' U' F2 U
F B2 L B' D' L2 D
F B2 L B' D' L2 D'
F B2 L B' D' L2 D2
F B2 L B2 D' L2 B
F B2 L B2 D' B L2
F B2 L' D' L2 D B'
F B2 L' D' L2 D' B'
F B2 L' D' L2 D2 B'
F B2 L' D' L2 B' D
F B2 L' D' L2 B' D'
F B2 L' D' L2 B' D2
F B2 L' D' B L2 B'
F B2 L' D' B' L2 B'
F B2 L' D' B2 L2 B'
F B2 L' B D' L2 B'
F B2 L' B' D' L2 B'
F B2 L' B2 D' L2 B'
F B2 L2 D' L' B' L'
F B2 U' L F2 U B'
F B2 U' F2 L U B'
D B2 F L D' L2 B2
D B2 F L D' B2 L2
D B2 F U' L' F2 U
F B2 D' L D L B'
