U F' U2 F U
U2 L' U' F' U' L
U2 L2 U' F' U' L2
U L2 F' L2 B' U'
L' U F' U2 F U
L2 U F' U2 F U
L U F' U2 F U
R2 U' D' F2 B U
R2 U' D' B F2 U
R2 U' D2 B U L2
R2 U' B U D2 L2
R2 U' B U' R2 U2
R2 U' B D' F2 U
R2 U' B D2 U L2
R' U2 R U' F' U'
R2 U2 R2 U' F' U'
D2 U F' U2 F U
D' U F' U2 F U
U D F' U2 F U
D U F' U2 F U
R2 D' U' F2 B U
R2 D' U' B F2 U
U D' F' U2 F U
R2 D2 L2 U' B U
R2 D2 U' B U L2
U D2 F' U2 F U
U F' L2 B' L2 U'
F D F' R2 D2 L2
U F' U2 D F U
U F' U2 D' F U
U F' U2 D2 F U
U F' U2 F U D
U F' U2 F U D'
U F' U2 F U D2
U F' U2 F D U
U F' U2 F D' U
U F' U2 F D2 U
U F' D U2 F U
U F' D' U2 F U
U F' D2 U2 F U
U F' D2 U2 F U
U F' B U2 F U
U F' B' U2 F U
U F' B2 U2 F U
U F2 D' F U' L2
U F2 D2 F B2 U'
U F2 D2 B2 F U'
U' B U2 F' B' U'
U' B U2 B' F' U'
U B F' U2 F U
U' B' U2 F' B U'
U' B' U2 B F' U'
U B' F' U2 F U
U' B2 U2 F' B2 U'
U' B2 U2 B2 F' U'
U B2 F' U2 F U
L U' B2 U2 F' B2 U'
L U' B2 U2 B2 F' U'
R2 U2 L R2 U' F' U'
R' U2 L' R U' F' U'
R U2 L R' U' F U'
L' U2 L' U' F' U' L
L2 U2 L' U' F' U' L
R2 U2 L' R2 U' F' U'
R' U2 L2 R U' F' U'
R U2 L' R' U B' U
L U2 L' U' F' U' L
L' U2 L2 U' F' U' L2
L2 U2 L2 U' F' U' L2
R2 U2 L2 R2 U' F' U'
R' U2 R L U' F' U'
R' U2 R L' U' F' U'
R' U2 R L2 U' F' U'
R' U2 R U' D F' U'
R' U2 R U' D' F' U'
R' U2 R U' D2 F' U'
R' U2 R U' F' U' D
R' U2 R U' F' U' D'
R' U2 R U' F' U' D2
R' U2 R U' F' D U'
R' U2 R U' F' D' U'
R' U2 R U' F' D2 U'
L U2 L2 U' F' U' L2
R' U2 R D U' F' U'
R' U2 R D' U' F' U'
R' U2 R D2 U' F' U'
F2 R' F' D F' L' R2
F2 R' F' D F' R2 L'
F' R' F2 L' D F' R2
F2 R' F2 L' U F' U'
F' R' F2 D L' F' R2
R U2 R' L U' F U'
R U2 R' L' U B' U
R U2 R' U B' U R'
R U2 R' U' F U' R
R2 U2 R2 L U' F' U'
R2 U2 R2 L' U' F' U'
R2 U2 R2 L2 U' F' U'
R2 U2 R2 U' D F' U'
R2 U2 R2 U' D' F' U'
R2 U2 R2 U' D2 F' U'
R2 U2 R2 U' F' U' D
R2 U2 R2 U' F' U' D'
R2 U2 R2 U' F' U' D2
R2 U2 R2 U' F' D U'
R2 U2 R2 U' F' D' U'
R2 U2 R2 U' F' D2 U'
R2 U2 R2 D U' F' U'
R2 U2 R2 D' U' F' U'
R2 U2 R2 D2 U' F' U'
U2 R2 L U B U L'
U2 R2 L2 U B U L2
U2 R2 U B U2 B' U'
D2 R2 U' D' F2 B U
D2 R2 U' D' B F2 U
D' R2 U' D' F2 B U
D' R2 U' D' B F2 U
D2 R2 U' D2 B U L2
D' R2 U' D2 B U L2
D2 R2 U' B U D2 L2
D2 R2 U' B U' R2 U2
D' R2 U' B U D2 L2
D2 R2 U' B D' F2 U
D' R2 U' B U' R2 U2
D2 R2 U' B D2 U L2
D' R2 U' B D' F2 U
D' R2 U' B D2 U L2
D R2 U' D' F2 B U
D R2 U' D' B F2 U
D R2 U' D2 B U L2
D2 R2 U2 R2 U' F' U'
D' R2 U2 R2 U' F' U'
D R2 U' B U D2 L2
D R2 U' B U' R2 U2
D R2 U' B D' F2 U
D R2 U' B D2 U L2
D R2 U2 R2 U' F' U'
F' R2 D B2 U' F B2
F' R2 D B2 U' B2 F
F R2 D R2 D L2 F'
F R2 D R2 D F' L2
F R2 D R2 F' D L2
D2 R2 D' U' F2 B U
D2 R2 D' U' B F2 U
D' R2 D' U' F2 B U
D' R2 D' U' B F2 U
D2 R2 D2 L2 U' B U
D' R2 D2 L2 U' B U
D R2 D' U' F2 B U
D R2 D' U' B F2 U
D2 R2 D2 U' B U L2
D' R2 D2 U' B U L2
B R2 D' B' D' L2 R2
B R2 D' B' D' R2 L2
D R2 D2 L2 U' B U
F R2 D2 L2 D' R2 F'
D R2 D2 U' B U L2
B R2 D2 B' L2 D' R2
U R2 F R2 F' B U'
U R2 F R2 B F' U'
U' R2 B R2 U2 B' U'
U' R2 B' R2 F' B2 U
R2 D R2 U F' B2 U'
U' R2 B' R2 B2 F' U
R2 D R2 U B2 F' U'
L' D U F' U2 F U
B R2 B' D' R2 D' L2
B R2 B' D2 L2 D R2
L2 D U F' U2 F U
R2 D U B2 U2 B' U
L D U F' U2 F U
R2 D U' B U2 B U'
U2 D L' U' F' U' L
D' U L2 F' L2 B' U'
D2 U L2 F' L2 B' U'
U2 D L2 U' F' U' L2
D U L2 F' L2 B' U'
U D L2 F' L2 B' U'
R' D B R' D2 B' L2
R' D B R' B' D2 L2
D' U F' L2 B' L2 U'
D2 U F' L2 B' L2 U'
D' U F' U2 D F U
D' U F' U2 D' F U
D' U F' U2 D2 F U
D' U F' U2 F U D
D' U F' U2 F U D'
D' U F' U2 F U D2
D' U F' U2 F D U
D' U F' U2 F D' U
D' U F' U2 F D2 U
D' U F' D U2 F U
D2 U F' U2 D F U
D2 U F' U2 D' F U
D2 U F' U2 D2 F U
D2 U F' U2 F U D
D2 U F' U2 F U D'
D2 U F' U2 F U D2
D2 U F' U2 F D U
D2 U F' U2 F D' U
D2 U F' U2 F D2 U
D' U F' D' U2 F U
D2 U F' D U2 F U
D' U F' D2 U2 F U
D2 U F' D' U2 F U
D' U F' B U2 F U
D2 U F' D2 U2 F U
D' U F' B' U2 F U
D2 U F' B U2 F U
D' U F' B2 U2 F U
D2 U F' B' U2 F U
D2 U F' B2 U2 F U
R2 D' L U' F2 B U
R2 D' L U' B F2 U
D U F' L2 B' L2 U'
D U F' U2 D F U
D U F' U2 D' F U
D U F' U2 D2 F U
D U F' U2 F U D
D U F' U2 F U D'
D U F' U2 F U D2
D U F' U2 F D U
D U F' U2 F D' U
D U F' U2 F D2 U
U D F' L2 B' L2 U'
D U F' D U2 F U
D' U F2 D' F U' L2
D U F' D' U2 F U
D U F' D2 U2 F U
D' U F2 D2 F B2 U'
D2 U F2 D' F U' L2
D' U F2 D2 B2 F U'
D U F' B U2 F U
D2 U F2 D2 F B2 U'
D2 U F2 D2 B2 F U'
D U F' B' U2 F U
D U F' B2 U2 F U
U D F' U2 D F U
U D F' U2 D' F U
U D F' U2 D2 F U
U D F' U2 F U D
U D F' U2 F U D'
U D F' U2 F U D2
U D F' U2 F D U
U D F' U2 F D' U
U D F' U2 F D2 U
U D F' D U2 F U
U D F' D' U2 F U
R2 D' L' U' F2 B U
R2 D' L' U' B F2 U
U D F' D2 U2 F U
U D F' B U2 F U
U D F' B' U2 F U
U D F' B2 U2 F U
F2 U F U' F D' L2
F2 U F U2 F' U F2
U' D B U2 F' B' U'
U' D B U2 B' F' U'
D U F2 D' F U' L2
D U F2 D2 F B2 U'
D U F2 D2 B2 F U'
D' U B F' U2 F U
D2 U B F' U2 F U
R2 D' L2 U' F2 B U
R2 D' L2 U' B F2 U
U D F2 D' F U' L2
B' U F' U2 F U B
U D F2 D2 F B2 U'
U D F2 D2 B2 F U'
B2 U F' U2 F U B2
U' D B' U2 F' B U'
U' D B' U2 B F' U'
D' U B' F' U2 F U
D U B F' U2 F U
D2 U B' F' U2 F U
B U F' U2 F U B'
U D B F' U2 F U
U' D B2 U2 F' B2 U'
U' D B2 U2 B2 F' U'
D' U B2 F' U2 F U
D2 U B2 F' U2 F U
D U B' F' U2 F U
U D B' F' U2 F U
F U F2 U' D' F L2
F U F2 U2 F2 U F'
F U F2 D' U' F L2
F U F2 D2 B2 U' F
D U B2 F' U2 F U
U D B2 F' U2 F U
L' D' U F' U2 F U
U2 D' L' U' F' U' L
L2 D' U F' U2 F U
U2 D' L2 U' F' U' L2
L D' U F' U2 F U
R2 D' U' F2 D B U
R2 D' U' F2 D' B U
R2 D' U' F2 D2 B U
R2 D' U' F2 B U D
R2 D' U' F2 B U D'
R2 D' U' F2 B U D2
R2 D' U' F2 B D U
R2 D' U' F2 B D' U
R2 D' U' F2 B D2 U
R2 D' U' B U D' L2
R2 D' U' B D' U L2
R2 D' U' B F2 U D
R2 D' U' B F2 U D'
R2 D' U' B F2 U D2
R2 D' U' B F2 D U
R2 D' U' B F2 D' U
R2 D' U' B F2 D2 U
U D' L2 F' L2 B' U'
R' D' F' R F' L' F2
F U' L F2 R U' F
R' D' F2 L' F R F
R2 D' F2 B U F2 B'
R2 D' F2 B U B' F2
F' U' R2 U' F R2 B
R2 D' B F2 U F2 B'
R2 D' B F2 U B' F2
U D' F' L2 B' L2 U'
U D' F' U2 D F U
U D' F' U2 D' F U
U D' F' U2 D2 F U
R2 D' B' D' L2 B R2
U D' F' U2 F U D
U D' F' U2 F U D'
U D' F' U2 F U D2
U D' F' U2 F D U
U D' F' U2 F D' U
U D' F' U2 F D2 U
R2 D' B' D' B L2 R2
R2 D' B' D' B R2 L2
U D' F' D U2 F U
U D' F' D' U2 F U
U D' F' D2 U2 F U
U D' F' B U2 F U
U' D' B U2 F' B' U'
D' U' B U2 F' B' U'
U D' F' B' U2 F U
U' D' B U2 B' F' U'
D' U' B U2 B' F' U'
U D' F' B2 U2 F U
D2 U' B U2 F' B' U'
D2 U' B U2 B' F' U'
U D' F2 D' F U' L2
U D' F2 D2 F B2 U'
U D' F2 D2 B2 F U'
U' D' B' U2 F' B U'
U' D' B' U2 B F' U'
D' U' B' U2 F' B U'
D' U' B' U2 B F' U'
D2 U' B' U2 F' B U'
D2 U' B' U2 B F' U'
D U' B U2 F' B' U'
D U' B U2 B' F' U'
U' D' B2 U2 F' B2 U'
D' U' B2 U2 F' B2 U'
U' D' B2 U2 B2 F' U'
D' U' B2 U2 B2 F' U'
U D' B F' U2 F U
D2 U' B2 U2 F' B2 U'
D2 U' B2 U2 B2 F' U'
R2 D2 L' U' B U L'
D U' B' U2 F' B U'
D U' B' U2 B F' U'
U D' B' F' U2 F U
R2 D2 L2 R2 U F' U'
R2 D2 L2 U' D B U
R2 D2 L2 U' D' B U
R2 D2 L2 U' D2 B U
R2 D2 L2 U' B U D
R2 D2 L2 U' B U D'
R2 D2 L2 U' B U D2
R2 D2 L2 U' B D U
R2 D2 L2 U' B D' U
R2 D2 L2 U' B D2 U
D U' B2 U2 F' B2 U'
D U' B2 U2 B2 F' U'
R2 D2 L2 D U' B U
B2 U' F' U' B2 D2 F2
R2 D2 L2 D' U' B U
R2 D2 L2 D2 U' B U
D' U2 L' U' F' U' L
D2 U2 L' U' F' U' L
R2 D2 L2 B' D' B R2
U D' B2 F' U2 F U
U2 D2 L' U' F' U' L
D' U2 L2 U' F' U' L2
D2 U2 L2 U' F' U' L2
D U2 L' U' F' U' L
U2 D2 L2 U' F' U' L2
D U2 L2 U' F' U' L2
R2 D2 R2 L2 U F' U'
R2 D2 R2 U F' U' L2
L' D2 U F' U2 F U
U D2 L2 F' L2 B' U'
L2 D2 U F' U2 F U
L D2 U F' U2 F U
R2 D2 U' F B U L2
R2 D2 U' F' B U L2
R2 D2 U' F2 B U L2
R2 D2 U' B U L2 D
R2 D2 U' B U L2 D'
R2 D2 U' B U L2 D2
R2 D2 U' B D F2 U
R2 D2 U' B F U L2
R2 D2 U' B F' U L2
R2 D2 U' B F2 U L2
U D2 F' L2 B' L2 U'
U D2 F' U2 D F U
U D2 F' U2 D' F U
U D2 F' U2 D2 F U
U D2 F' U2 F U D
U D2 F' U2 F U D'
U D2 F' U2 F U D2
U D2 F' U2 F D U
U D2 F' U2 F D' U
U D2 F' U2 F D2 U
U D2 F' D U2 F U
U D2 F' D' U2 F U
U D2 F' D2 U2 F U
U' D2 B U2 F' B' U'
U' D2 B U2 B' F' U'
U D2 F' B U2 F U
U D2 F' B' U2 F U
U D2 F' B2 U2 F U
U D2 F2 D' F U' L2
U' D2 B' U2 F' B U'
U D2 F2 D2 F B2 U'
U' D2 B' U2 B F' U'
U D2 F2 D2 B2 F U'
R2 D2 B' L2 D' B R2
U' D2 B2 U2 F' B2 U'
U' D2 B2 U2 B2 F' U'
U D2 B F' U2 F U
B U2 R2 B' D' R2 F'
U D2 B' F' U2 F U
F U2 D F R2 F2 B
F U2 D F R2 B F2
U D2 B2 F' U2 F U
F U2 D' L2 U2 L2 F'
F U2 D' L2 U2 F' L2
F' U2 F B2 D' R2 B
B U2 F D B' R2 F'
B U2 F B' D R2 F'
U F L2 F2 L2 B' U'
U' F U D R2 D2 L2
U' F U' D' L2 U2 L2
F' U2 B2 D' F R2 B
U F R2 F2 B R2 U'
U F R2 B R2 F2 U'
U F R2 B F2 R2 U'
F' U2 B2 F D' R2 B
B U2 B' F D R2 F'
U' F U2 F2 U' D' L2
U' F U2 F2 U2 F2 U
U' F U2 F2 D' U' L2
U' F U2 F2 D2 B2 U'
U' F D U R2 D2 L2
D' F D F' R2 D2 L2
D2 F D F' R2 D2 L2
F D L F' R2 D2 L2
L' F D F' R2 D2 L2
U F U2 D F' U R2
U' F D' U' L2 U2 L2
U F U2 D2 F' B2 U
U F U2 D2 B2 F' U
L2 F D F' R2 D2 L2
U F U2 F' U2 F' U'
U2 F D B' R2 F' B
U2 F D B' R2 B F'
F D L' F' R2 D2 L2
U2 F D' L2 F' U2 L2
D F D F' R2 D2 L2
U F D U2 F' U R2
U2 F D' F' L2 U2 L2
L F D F' R2 D2 L2
U' F D2 B2 U D L2
U' F D2 B2 U2 B2 U'
U' F D2 B2 D U L2
U' F D2 B2 D2 F2 U
F D L2 F' R2 D2 L2
U' F B U2 F2 B' U'
U' F B U2 B' F2 U'
U' F B' U2 F2 B U'
U' F B' U2 B F2 U'
U F D2 U2 F' B2 U
U F D2 U2 B2 F' U
U' F B2 U D L2 R2
U' F B2 U D R2 L2
U' F B2 U2 F2 B2 U'
U' F B2 U2 B2 F2 U'
U' F B2 D U L2 R2
U' F B2 D U R2 L2
U2 F B' D R2 F' B
U2 F B' D R2 B F'
U' F B2 D2 F2 B2 U
U' F B2 D2 B2 F2 U
F D R2 U2 R2 U2 F'
F D R2 U2 B R2 U2
F D U2 F R2 F2 B
F D U2 F R2 B F2
F D F R' F2 L' R'
F D F R' F2 R' L'
F D F R2 F2 D2 L2
F D F' L R2 D2 L2
U F' L2 D B' U' F2
F D F' L' R2 D2 L2
F D F' L2 R2 D2 L2
F D F' R2 L D2 L2
F D F' R2 L' D2 L2
F D F' R2 L2 D2 L2
F D F' R2 U2 R2 U2
F D F' R2 D2 L2 D
F D F' R2 D2 L2 D'
F D F' R2 D2 L2 D2
U F' L2 B L2 B2 U'
U F' L2 B' L2 U' D
U F' L2 B' L2 U' D'
U F' L2 B' L2 U' D2
U F' L2 B' L2 D U'
U F' L2 B' L2 D' U'
U F' L2 B' L2 D2 U'
U F' L2 B' U' D F2
U F' L2 B' D U' F2
U F' L2 B2 L2 B U'
F D F2 R2 D2 F L2
F D F2 R2 F D2 L2
F D F2 U2 F R2 B
F D B U2 F' R2 B'
F D B U2 F' B' R2
F D B U2 B' F' R2
F D B' U2 F' B R2
F D B' U2 B F' R2
U F' U R U F U
U F' U R' U F U
U F' U R2 U F U
F D B2 U2 F' R2 B2
F D B2 U2 F' B2 R2
F D B2 U2 B2 F' R2
U F' U' L2 U B' U'
U F' U' F' D' F L2
U F' U2 R F R' U
U F' U2 R2 F R2 U
U F' U2 D F U D
U F' U2 D F U D'
U F' U2 D F U D2
U F' U2 D F D U
U F' U2 D F D' U
U F' U2 D F D2 U
U F' U2 D' F U D
U F' U2 D' F U D'
U F' U2 D' F U D2
U F' U2 D' F D U
U F' U2 D' F D' U
U F' U2 D' F D2 U
U F' U2 D2 F U D
U F' U2 D2 F U D'
U F' U2 D2 F U D2
U F' U2 D2 F D U
U F' U2 D2 F D' U
