R2 L U' L2 R U'
R2 L U' R L2 U'
R' L' U L2 R' U2
L' R' U L2 R' U2
R' L' U R' L2 U2
L' R' U R' L2 U2
L R2 U' L2 R U'
L R2 U' R L2 U'
D R' B2 L' U' R'
L' D R' F2 B2 U'
L' D R' B2 F2 U'
L' D F2 R' B2 U'
L' D2 R' U' L2 R'
L' D2 R' U' R' L2
R' B2 L' U' L2 R'
R' B2 L' U' R' L2
U2 R' B2 L' U' R' L2
D R' B2 L' U' R' D
D R' B2 L' U' R' D'
D R' B2 L' U' R' D2
D R' B2 L' U' D R'
D R' B2 L' U' D' R'
D R' B2 L' U' D2 R'
D R' B2 L' D U' R'
D R' B2 L' D' U' R'
D R' B2 L' D2 U' R'
D R' B2 L' F U' R'
D R' B2 L' F' U' R'
D R' B2 L' F2 U' R'
L' U2 D' F2 B2 L U
U' R2 L U' L2 R U'
U' R2 L U' R L2 U'
U R' B2 L' U' L2 R'
L' U2 D' B2 L F2 U
U R' B2 L' U' R' L2
L' U2 D' B2 F2 L U
D R' B2 D L' U' R'
D R' B2 D' L' U' R'
F R' B2 U' L R' F'
D R' B2 D2 L' U' R'
F R' B2 U' R' L F'
F R' B2 U' R' F' L
U2 R2 L U' L2 R U'
U2 R2 L U' R L2 U'
D R' B2 F U' R' F'
U R2 L U' L2 R U'
U R2 L U' R L2 U'
R2 D L U' L2 R U'
R2 D L U' R L2 U'
R' D L' U L2 R' U2
R' D L' U R' L2 U2
L' D R F2 R2 B2 U'
L' D R F2 B2 R2 U'
L' D R B2 R2 F2 U'
L' D R B2 F2 R2 U'
L' D R' U' D L2 R2
L' D R' U' D R2 L2
L' D R' D U' L2 R2
L' D R' D U' R2 L2
L' D R' F2 U' D L2
L' D R' F2 D U' L2
L' D R' F2 B2 U' D
L' D R' F2 B2 U' D'
L' D R' F2 B2 U' D2
L' D R' F2 B2 D U'
L' D R' F2 B2 D' U'
L' D R' F2 B2 D2 U'
L' D R' B2 U' D R2
L' D R' B2 D U' R2
L' D R' B2 F2 U' D
L' D R' B2 F2 U' D'
L' D R' B2 F2 U' D2
L' D R' B2 F2 D U'
L' D R' B2 F2 D' U'
L' D R' B2 F2 D2 U'
L' D R2 B2 R F2 U'
D R2 B2 L' R U' R2
D R2 B2 R L' U' R2
L D U' R' B2 U' F2
L' D F R' F B2 U'
L' D F R' B2 F U'
L' D F2 R B2 R2 U'
L' D F2 R' U' D L2
L' D F2 R' D U' L2
L' D F2 R' B2 U' D
L' D F2 R' B2 U' D'
L' D F2 R' B2 U' D2
L' D F2 R' B2 D U'
L' D F2 R' B2 D' U'
L' D F2 R' B2 D2 U'
L' D F2 R2 B2 R U'
L' D F2 D R' U' L2
L' D F2 B2 U2 L U
U' D R' B2 L' U' R'
U2 D R' B2 L' U' R'
D U R' B2 L' U' R'
R' D B2 L' U' L2 R'
R' D B2 L' U' R' L2
U D R' B2 L' U' R'
L' D B2 F2 U2 L U
R' D' L' U L2 R' U2
R' D' L' U R' L2 U2
R2 D' L U' L2 R U'
R2 D' L U' R L2 U'
L' D' R' U' D' L2 R2
L' D' R' U' D' R2 L2
L' D' R' U2 F2 B2 U
L' D' R' U2 B2 F2 U
L' D' R' D' U' L2 R2
L' D' R' D' U' R2 L2
L' D' R' D2 F2 B2 U'
L' D' R' D2 B2 F2 U'
L' D' U2 F2 B2 L U
L' D' U2 B2 L F2 U
L' D' U2 B2 F2 L U
D U' R' B2 L' U' R'
R' D' B2 L' U' L2 R'
R' D' B2 L' U' R' L2
L' D' B2 L F2 R U
L D' B2 U L F2 U
R' D2 L' U L2 R' U2
R' D2 L' U R' L2 U2
L D' B2 U F2 L U
R2 D2 L U' L2 R U'
R2 D2 L U' R L2 U'
L' D2 R' U' L2 R' D
L' D2 R' U' L2 R' D'
L' D2 R' U' L2 R' D2
L' D2 R' U' L2 D R'
L' D2 R' U' L2 D' R'
L' D2 R' U' L2 D2 R'
L' D2 R' U' R' L2 D
L' D2 R' U' R' L2 D'
L' D2 R' U' R' L2 D2
L' D2 R' F U' L2 R'
L' D2 R' F U' R' L2
L' D2 R' F' U' L2 R'
L' D2 R' F' U' R' L2
L' D2 R' F2 U' L2 R'
L' D2 R' F2 U' R' L2
D U2 R' B2 L' U' R'
L' D2 F R' U' L2 R'
L' D2 F R' U' R' L2
L' D2 F' R' U' L2 R'
L' D2 F' R' U' R' L2
L' D2 F2 R' U' L2 R'
L' D2 F2 R' U' R' L2
R' D2 B2 L' U' L2 R'
R' D2 B2 L' U' R' L2
L' F R' U L2 R' U2
L' F R' U R' L2 U2
R' F U L R' U2 F
R' F U R' L U2 F
D F R' B2 U' R' F'
L F R2 U' L2 R U'
L F R2 U' R L2 U'
L' F D R' F2 B2 U'
L' F D R' B2 F2 U'
L' F D F2 R' B2 U'
L' F D2 R' U' L2 R'
L' F D2 R' U' R' L2
R' F B2 U' L R' F'
R' F B2 U' R' L F'
R' F B2 U' R' F' L
F D R' B2 U' R' F'
L' F' R' U L2 R' U2
L' F' R' U R' L2 U2
L F' R2 U' L2 R U'
L F' R2 U' R L2 U'
L' F' D R' F2 B2 U'
L' F' D R' B2 F2 U'
L' F' D F2 R' B2 U'
L' F' D2 R' U' L2 R'
L' F' D2 R' U' R' L2
R2 F2 L U L2 R U
R2 F2 L U R L2 U
D' F2 R U D B2 R'
D' F2 R D U B2 R'
B2 D' F2 L R U R2
B2 D' F2 R L U R2
L' F2 R' U L2 R' U2
L' F2 R' U R' L2 U2
L F2 R2 U' L2 R U'
L F2 R2 U' R L2 U'
L' F2 D R' F2 B2 U'
L' F2 D R' B2 F2 U'
L' F2 D F2 R' B2 U'
L' F2 D2 R' U' L2 R'
L' F2 D2 R' U' R' L2
D' F2 B2 L R U R2
D' F2 B2 R L U R2
R' B L' B U' L R'
R' B L' B U' R' L
R' B' L' B' U' L R'
R' B' L' B' U' R' L
R' B2 L' U' L2 R' D
R' B2 L' U' L2 R' D'
R' B2 L' U' L2 R' D2
R' B2 L' U' L2 D R'
R' B2 L' U' L2 D' R'
R' B2 L' U' L2 D2 R'
R' B2 L' U' R' L2 D
R' B2 L' U' R' L2 D'
R' B2 L' U' R' L2 D2
R' B2 L' F U' L2 R'
R' B2 L' F U' R' L2
R' B2 L' F' U' L2 R'
R' B2 L' F' U' R' L2
R' B2 L' F2 U' L2 R'
R' B2 L' F2 U' R' L2
D B2 L' U' R' D' B2
D B2 L' U' D' R' B2
D B2 L' U2 L2 U R'
D B2 L' D' U' R' B2
D B2 L' D2 R2 U' R
R' B2 U' L R' D F2
R' B2 U' L D R' F2
R' B2 U' L D F2 R'
R' B2 U' R' L D F2
R2 B2 U' L' R U' R2
R2 B2 U' R L' U' R2
R' B2 D L' U' L2 R'
R' B2 D L' U' R' L2
L' B2 D F2 B2 R' U'
R' B2 D' L' U' L2 R'
R' B2 D' L' U' R' L2
L' B2 D B2 R' F2 U'
L' B2 D B2 F2 R' U'
R' B2 D2 L' U' L2 R'
R' B2 D2 L' U' R' L2
R' B2 F U' L R' F'
R' B2 F U' R' L F'
R' B2 F U' R' F' L
D' B2 F2 L R U R2
D' B2 F2 R L U R2
