U R' F' B L B
U R' B L F' B
U R' B L B F'
U R' B F' L B
L F U R' F' B2
L F U R' B2 F'
F' U R' B L F' B
F' U R' B L B F'
F' U R' B F' L B
F2 U R' F' B L B
F2 U R' B L F' B
F2 U R' B L B F'
F2 U R' B F' L B
F U R' F' B L B
F U R' B L F' B
F U R' B L B F'
F U R' B F' L B
L F L U R' F' B2
L F L U R' B2 F'
L F L' U R' F' B2
L F L' U R' B2 F'
L F L2 U R' F' B2
L F L2 U R' B2 F'
U' F R2 B2 L R F
U' F R2 B2 R L F
U F R' F' B L B
U F R' B L F' B
U F R' B L B F'
U F R' B F' L B
L F U R' F' B2 D
L F U R' F' B2 D'
L F U R' F' B2 D2
L F U R' B2 D F'
L F U R' B2 D' F'
L F U R' B2 D2 F'
L F U R' B2 F' D
L F U R' B2 F' D'
L F U R' B2 F' D2
L F U R2 B2 R F'
L F U F R' F' B2
L F U F R' B2 F'
L F U F' R' F' B2
L F U F' R' B2 F'
L F U F2 R' F' B2
L F U F2 R' B2 F'
L F D L2 U R' F'
U' F' L R' F L2 B2
U' F' L R' F B2 L2
U' F' L R' B2 F L2
U' F' L F L2 R' B2
U' F' L F R' L2 B2
U' F' L F R' B2 L2
U' F' L' R B2 R2 F'
U' F' R L' B2 R2 F'
U' F' R' L F L2 B2
U' F' R' L F B2 L2
U' F' R' L B2 F L2
U' F' R' B2 L F L2
U F' R' F' B L B
U F' R' B L F' B
U F' R' B L B F'
U F' R' B F' L B
U' F' U2 L' R' F' B2
U' F' U2 L' R' B2 F'
U' F' U2 R' L' F' B2
U' F' U2 R' L' B2 F'
U' F' U2 R' B2 L' F'
U' F2 L R' F L' B2
U' F2 L R' F B2 L'
U' F2 L R' B2 F L'
U' F2 L F L' R' B2
U' F2 L F R' L' B2
U' F2 L F R' B2 L'
U' F2 R' L F L' B2
U' F2 R' L F B2 L'
U' F2 R' L B2 F L'
U' F2 R' B2 L F L'
U F2 R' F' B L B
U F2 R' B L F' B
U F2 R' B L B F'
U F2 R' B F' L B
L2 B L B' U' R' B2
R' B L' B D L2 F2
R' B L' B D F2 L2
U B L B' R' F' B2
U B L B' R' B2 F'
U B U2 L F B R
U B U2 L B F R
R' B2 L' U B' L U'
R' B2 L2 D L' F L'
R' B2 L2 D F L' F
