F' R U2 L' F' U'
F R F2 U2 F U'
F' R' B U2 L' U'
F R' F2 B R2 U
F R' B R2 F2 U
F R' B F2 R2 U
R2 U2 B L F U'
F' U2 D2 L' F U'
D' F R F2 U R
R' F B R F' U
D2 F' U2 L' F U'
D' F' U2 L' U' R
F' D2 U2 L' F U'
R' B F R F' U
F R' F2 B R2 D U
F R' F2 B R2 D' U
F R' F2 B R2 D2 U
F R' F2 B U D' F2
F R' F2 B D' U F2
F' R' B D2 U2 L' U'
F R' F2 B' R2 B2 U
B' R' B F R F' U
F R' F2 B2 R2 B' U
F' R' B F2 R F2 U
B2 R' B F R F' U
F2 R' B F U2 L' U'
F2 R' B F' R F2 U
F R' B R' F2 R' U
F R' B R2 U D' L2
F R' B R2 D' U L2
F R' B R2 F2 U D
F R' B R2 F2 U D'
F R' B R2 F2 U D2
F R' B R2 F2 D U
F R' B R2 F2 D' U
F R' B R2 F2 D2 U
F R' B U D' L2 F2
F R' B U D' F2 L2
B R' B F R F' U
F R' B D' U L2 F2
F R' B D' U F2 L2
F R' B F R2 F U
F R' B F2 R2 U D
F R' B F2 R2 U D'
F R' B F2 R2 U D2
F R' B F2 R2 D U
F R' B F2 R2 D' U
F R' B F2 R2 D2 U
F R' B F2 U D' F2
F R' B F2 D' U F2
F R' B' R2 F2 B2 U
F R' B' R2 B2 F2 U
R2 U2 D B L F U'
F R' B' F2 R2 B2 U
F R' B2 R2 F2 B' U
F R' B2 R2 B' F2 U
R2 U2 D' B L F U'
F R' B2 F2 R2 B' U
R2 U2 D2 B L F U'
R2 U2 F B L F U'
R2 U2 F' B L F U'
R2 U2 F2 B L F U'
F' R2 U2 L F L2 U'
F' R2 U2 L' U2 B' U
R2 U2 B L D F U'
R2 U2 B L D' F U'
R2 U2 B L D2 F U'
R2 U2 B L F U' D
R2 U2 B L F U' D'
R2 U2 B L F U' D2
R2 U2 B L F D U'
R2 U2 B L F D' U'
R2 U2 B L F D2 U'
R2 U2 B D L F U'
B' R2 U2 B L F U'
R2 U2 B D' L F U'
R2 U2 B D2 L F U'
R2 U2 B F L F U'
R2 U2 B F' L F U'
B2 R2 U2 B L F U'
R2 U2 B F2 L F U'
D R2 U2 B L U' R'
B R2 U2 B L F U'
F2 R2 F' R F2 B U
F2 R2 F' R B F2 U
F' R2 F2 R F2 B U
F' R2 F2 R B F2 U
F R2 F2 R B R2 U
F R2 F2 R' U2 F' U'
R2 D U2 B L F U'
F' U R U L' F' U'
R' D B U' R' U2 F'
F' U D' F' D R F'
R2 D' U2 B L F U'
R' D' F B R U L'
R' D' B U L F L'
R' D' B F R U L'
F' U2 L' R F' R' U'
F' U2 L' D' F' U' R
R2 D2 U2 B L F U'
F' U2 R L' F' R' U'
F' U2 D' L' F' U' R
F' U2 D2 L' D F U'
F' U2 D2 L' D' F U'
F' U2 D2 L' D2 F U'
F' U2 D2 L' F U' D
F' U2 D2 L' F U' D'
F' U2 D2 L' F U' D2
F' U2 D2 L' F D U'
F' U2 D2 L' F D' U'
F' U2 D2 L' F D2 U'
R' F R D' F' U R
D' F R F2 U R D
D' F R F2 U R D'
D' F R F2 U R D2
D' F R F2 U D R
D' F R F2 U D' R
D' F R F2 U D2 R
D' F R F2 D U R
D' F R F2 D' U R
D' F R F2 D2 U R
D' F R F2 B U R
D' F R F2 B' U R
D' F R F2 B2 U R
D' F R B F2 U R
D' F R B' F2 U R
D' F R B2 F2 U R
L2 F R F2 L2 B' U
D' F R' F2 R2 U R'
D F R F2 B U R'
D F R B F2 U R'
R F R U2 F2 B U'
R F R U2 B F2 U'
D' F R2 F2 R' U R2
R F R' F' R2 B U
R2 F R2 F' R' B U
R F U2 F2 L' B' U'
R' F B R D F' U
R' F B R D' F' U
R' F B R D2 F' U
R' F B R F' U D
R' F B R F' U D'
R' F B R F' U D2
R' F B R F' D U
R' F B R F' D' U
R' F B R F' D2 U
D' F B R F2 U R
R' F B' R F' B2 U
R' F B' R B2 F' U
D' F B' R F2 U R
D F B R F2 U R2
R' F B2 R F' B' U
R' F B2 R B' F' U
D' F B2 R F2 U R
D2 F' R U2 L' F U'
R F' L' U2 L F U
L2 F' L2 B2 R' B U
D2 F' R' U2 L' F U'
D' F' R' U2 L' U' R2
F' D B U2 L' U' R'
D' F' R2 U2 L' U' R'
D2 F' R2 U2 L' F U'
D' F' U R U L' U'
D2 F' U2 L' D F U'
D' F' U2 L' U' R D
D' F' U2 L' U' R D'
D' F' U2 L' U' R D2
D2 F' U2 L' D' F U'
D' F' U2 L' U' D R
D' F' U2 L' U' D' R
D' F' U2 L' U' D2 R
D2 F' U2 L' D2 F U'
D2 F' U2 L' F U' D
D2 F' U2 L' F U' D'
D2 F' U2 L' F U' D2
D2 F' U2 L' F D U'
D2 F' U2 L' F D' U'
D2 F' U2 L' F D2 U'
D' F' U2 L' D U' R
D' F' U2 L' D' U' R
D' F' U2 L' D2 U' R
D' F' U2 D L' U' R
D' F' U2 D' L' U' R
D' F' U2 D2 L' U' R
D' F' D U2 L' U' R
D F' U2 D L' F U'
D' F' D' U2 L' U' R
D F' D U2 L' F U'
D' F' D2 U2 L' U' R
D2 F' B U2 L' F U'
D' F' B U2 L' U' R
F D' R F' U L2 R
F D' R F' U R L2
D2 F' B' U2 L' F U'
D' F' B' U2 L' U' R
D F' B U2 L' U' R'
D2 F' B2 U2 L' F U'
D' F' B2 U2 L' U' R
F' D' U F' D R F'
F' D' U2 L' F' U' R
B' D' F R F2 U R
B2 D' F R F2 U R
F2 D' F U' L' U2 F
B' D' F' U2 L' U' R
B D' F R F2 U R
B2 D' F' U2 L' U' R
B D' F' U2 L' U' R
D' F2 D F U R F'
R F2 U2 F L' B' U'
F' D2 R U2 L' F U'
F' D2 R' U2 L' F U'
R' F2 B R F' R U
F' D2 R2 U2 L' F U'
F' D2 U2 L' D F U'
F' D2 U2 L' D' F U'
F' D2 U2 L' D2 F U'
F' D2 U2 L' F U' D
F' D2 U2 L' F U' D'
F' D2 U2 L' F U' D2
F' D2 U2 L' F D U'
F' D2 U2 L' F D' U'
F' D2 U2 L' F D2 U'
B' D2 F' U2 L' F U'
B2 D2 F' U2 L' F U'
R' B R F R F2 U
R' B R F' U2 L' U'
R' B R' U2 B L U'
B D2 F' U2 L' F U'
F' D2 B U2 L' F U'
R' B U L D' F L'
F' D2 B' U2 L' F U'
R' B U D' L F L'
F' D2 B2 U2 L' F U'
R' B D' U L F L'
R' B D' F R U L'
F' B R U2 L' F' U'
B' F R F2 U2 F U'
B2 F R F2 U2 F U'
B' F R' F2 B R2 U
R' B F R D F' U
R' B F R D' F' U
B' F R' B R2 F2 U
R' B F R D2 F' U
R' B F R F' U D
R' B F R F' U D'
R' B F R F' U D2
R' B F R F' D U
R' B F R F' D' U
R' B F R F' D2 U
B' F R' B F2 R2 U
D' B F R F2 U R
F' B R' B U2 L' U'
B F R F2 U2 F U'
B2 F R' F2 B R2 U
B2 F R' B R2 F2 U
B2 F R' B F2 R2 U
F B R F2 U2 F U'
D2 B F' U2 L' F U'
D' B F' U2 L' U' R
B F R' F2 B R2 U
B F R' B R2 F2 U
D B F R F2 U R2
B F R' B F2 R2 U
R' B F2 R F' R U
F B R' F2 B R2 U
F B R' B R2 F2 U
F B R' B F2 R2 U
D B F' U2 L' U' R'
F' B U2 D2 L' F U'
F' B D2 U2 L' F U'
B' F' R U2 L' F' U'
F' B' R U2 L' F' U'
B2 F' R U2 L' F' U'
U2 B' U2 F' R' B U
B' F' R' B U2 L' U'
B F' R U2 L' F' U'
F' B' R' B U2 L' U'
B2 F' R' B U2 L' U'
F B' R F2 U2 F U'
B F' R' B U2 L' U'
F B' R' F2 B R2 U
F B' R' B R2 F2 U
F B' R' B F2 R2 U
R' B' F R F' B2 U
R' B' F R B2 F' U
D' B' F R F2 U R
D2 B' F' U2 L' F U'
B' F' U2 D2 L' F U'
D' B' F' U2 L' U' R
F' B' U2 D2 L' F U'
B2 F' U2 D2 L' F U'
B F' U2 D2 L' F U'
B' F' D2 U2 L' F U'
F' B' D2 U2 L' F U'
B2 F' D2 U2 L' F U'
B F' D2 U2 L' F U'
F' B2 R U2 L' F' U'
F' B2 R' B U2 L' U'
F B2 R F2 U2 F U'
F B2 R' F2 B R2 U
F B2 R' B R2 F2 U
F B2 R' B F2 R2 U
R' B2 D B' U L F
F' B2 U2 D2 L' F U'
R' B2 F R F' B' U
R' B2 F R B' F' U
D' B2 F R F2 U R
D2 B2 F' U2 L' F U'
D' B2 F' U2 L' U' R
F' B2 D2 U2 L' F U'
