F2 L U' D L B'
F2 L D U' L B'
D' L B2 U' R' B
L U' D L R2 B'
L U' D L B' R2
L U' D R2 L B'
L' D L' F2 R2 B
L D U' L R2 B'
L D U' L B' R2
L D U' R2 L B'
L F2 U' D L B'
L F2 D U' L B'
U' F2 L U' D L B'
U' F2 L D U' L B'
R' F2 L U' D L B'
R' F2 L D U' L B'
D' F2 L B2 U' R' B
U2 F2 L U' D L B'
U2 F2 L D U' L B'
R2 F2 L U' D L B'
R2 F2 L D U' L B'
D F2 L U B' R2 F'
U F2 L U' D L B'
U F2 L D U' L B'
R F2 L U' D L B'
R F2 L D U' L B'
L F2 R U' D L B'
L F2 R D U' L B'
L F2 R' U' D L B'
L F2 R' D U' L B'
L F2 R2 U' D L B'
L F2 R2 D U' L B'
F2 D' B2 U2 R' U B
L F2 U' D L D B'
L F2 U' D L D' B'
L F2 U' D L D2 B'
L F2 U' D L B' D
L F2 U' D L B' D'
L F2 U' D L B' D2
D F2 U2 L U' R2 B'
D F2 U2 L U' B' R2
L F2 D R U' L B'
L F2 D R' U' L B'
L F2 D R2 U' L B'
L F2 D U' L D B'
L F2 D U' L D' B'
L F2 D U' L D2 B'
L F2 D U' L B' D
L F2 D U' L B' D'
L F2 D U' L B' D2
L F2 D' R' U' L B
L F2 B R' B' U' L
L F2 B D' R' B U'
L F2 B2 U R' F' U2
L2 B L' R' F2 U' L
L' B L2 R' F2 U' L
L2 B L' F2 R' U' L
L' B L2 F2 R' U' L
L' B R' L2 F2 U' L
L2 B R' L' F2 U' L
L B R' F2 B' U' L
L2 B U L' R' F2 U'
L2 B U L' F2 R' U'
L B R' B' F2 U' L
L2 B U R' L' F2 U'
F2 B R' B' L U' L
L B F2 R' B' U' L
L B F2 D' R' B U'
L' B' L2 F2 R U' L
F2 B' U2 L U L F
L B2 R2 F2 U' L' B'
B F2 R' B' L U' L
B' F2 U2 L U L F
L B2 F2 U R' F' U2
