D' L' U' B' L' F'
D2 L' B2 U' F' B
D2 L' B2 U' B F'
L' U' D' F' B' L2
L' U' D' B' L2 F'
L' U' D' B' F' L2
L U' D' L2 F' B'
L U' D' L2 B' F'
L' U' B' D' L2 F'
L' U' B' D' F' L2
L' U2 F2 U F B'
L' U2 F2 U B' F
L' D' U' F' B' L2
L' D' U' B' L2 F'
L' D' U' B' F' L2
L D' U' L2 F' B'
L D' U' L2 B' F'
L' D2 B2 U' F' B
L' D2 B2 U' B F'
U' F' U' L' F' U
U2 F2 R U F B
U2 F2 R U B F
D2 B2 L' U' F' B'
D2 B2 L' U' B' F'
D2 L' B2 U' D F' B
D2 L' B2 U' D B F'
D2 L' B2 U' D' F' B
D2 L' B2 U' D' B F'
D2 L' B2 U' D2 F' B
D2 L' B2 U' D2 B F'
D2 L' B2 U' F' D B
D2 L' B2 U' F' D' B
D2 L' B2 U' F' D2 B
D2 L' B2 U' F' B D
D2 L' B2 U' F' B D'
D2 L' B2 U' F' B D2
D2 L' B2 U' B D F'
D2 L' B2 U' B D' F'
D2 L' B2 U' B D2 F'
D2 L' B2 U' B F' D
D2 L' B2 U' B F' D'
D2 L' B2 U' B F' D2
D' L' B2 U' B L' F'
D2 L' B2 D U' F' B
D2 L' B2 D U' B F'
D2 L' B2 D' U' F' B
D2 L' B2 D' U' B F'
D2 L' B2 D2 U' F' B
D2 L' B2 D2 U' B F'
U' L2 F' U' L' F' U
U2 L2 F2 R U F B
U2 L2 F2 R U B F
L' U D R2 B U2 B2
D2 L2 B2 L U' F' B'
D2 L2 B2 L U' B' F'
L U D R2 F B U2
L U D R2 B F U2
L U D F R2 U2 F2
L U D' F U2 L2 F2
L U D' F U2 F2 L2
L U F U F U F
R2 U B U L F2 U
R2 U B U F2 L U
L2 U' L D' F' B' L2
L2 U' L D' B' L2 F'
L2 U' L D' B' F' L2
L2 U' L B' D' L2 F'
L2 U' L B' D' F' L2
L2 U' L' D' L2 F' B'
L2 U' L' D' L2 B' F'
L' U' L2 D' L2 F' B'
L' U' L2 D' L2 B' F'
L U' L2 D' F' B' L2
L U' L2 D' B' L2 F'
L U' L2 D' B' F' L2
L U' L2 B' D' L2 F'
L U' L2 B' D' F' L2
L' U' D F' D2 B' L2
L' U' D F' B' D2 L2
L' U' D B' D2 L2 F'
L' U' D B' D2 F' L2
L' U' D B' F' D2 L2
L' U' D' L2 F' D2 B2
L U' D F' D2 L2 B2
L' U' D' F B' L2 F2
L U' D F' D2 B2 L2
L' U' D' F' B L2 B2
L' U' D' F' B' L2 D
L' U' D' F' B' L2 D'
L' U' D' F' B' L2 D2
L' U' D' F' B2 L2 B
L' U' D' B L2 F' B2
L' U' D' B L2 B2 F'
L' U' D' B F' L2 B2
L' U' D' B' L F' L
L' U' D' B' L2 D F'
L' U' D' B' L2 D' F'
L' U' D' B' L2 D2 F'
L' U' D' B' L2 F' D
L' U' D' B' L2 F' D'
L' U' D' B' L2 F' D2
L' U' D' B' F L2 F2
L' U' D' B' F' L2 D
L' U' D' B' F' L2 D'
L' U' D' B' F' L2 D2
L' U' D' B2 L2 F' B
L' U' D' B2 L2 B F'
L U' D' L F' L B'
L' U' D' B2 F' L2 B
L U' D' L2 D F' B'
L U' D' L2 D B' F'
L U' D' L2 D' F' B'
L U' D' L2 D' B' F'
L U' D' L2 D2 F' B'
L U' D' L2 D2 B' F'
L U' D' L2 F' D B'
L U' D' L2 F' D' B'
L U' D' L2 F' D2 B'
L U' D' L2 F' B' D
L U' D' L2 F' B' D'
L U' D' L2 F' B' D2
L U' D' L2 B' D F'
L U' D' L2 B' D' F'
L U' D' L2 B' D2 F'
L U' D' L2 B' F' D
L U' D' L2 B' F' D'
L U' D' L2 B' F' D2
L U' D' F' L2 D2 B2
L' U' D2 F' D B' L2
L U' D' B L2 F' B'
L U' D' B L2 B' F'
L U' D' B' L2 F' B'
L U' D' B' L2 B' F'
L U' D' B2 L2 F' B'
L U' D' B2 L2 B' F'
L' U' F' U' F' U B'
L' U' F' B' U' F' U
L' U' B' L D' L2 F'
L' U' B' L D' F' L2
L' U' B' L' D' L2 F'
L' U' B' L' D' F' L2
L' U' B' L2 D' L2 F'
L' U' B' L2 D' F' L2
L' U' B' U' F2 U F
L U' B D' L2 F' B'
L U' B D' L2 B' F'
L' U' B' D F' D2 L2
L' U' B' D' L F' L
L' U' B' D' L2 D F'
L' U' B' D' L2 D' F'
L' U' B' D' L2 D2 F'
L' U' B' D' L2 F' D
L' U' B' D' L2 F' D'
L' U' B' D' L2 F' D2
L' U' B' D' F L2 F2
L' U' B' D' F' L2 D
L' U' B' D' F' L2 D'
L' U' B' D' F' L2 D2
L' U' B' D2 F' D L2
L' U' B' F' U' F' U
L U' B' D' L2 F' B'
L U' B' D' L2 B' F'
L' U' B2 D' L2 F' B
L' U' B2 D' L2 B F'
L' U' B2 D' F' L2 B
L' U' B2 D' F' B L2
L' U' B2 D' B L2 F'
L' U' B2 D' B F' L2
L U' B2 D' L2 F' B'
L U' B2 D' L2 B' F'
L2 U2 L F2 U F B'
L2 U2 L F2 U B' F
R' U2 R F2 U F B
R' U2 R F2 U B F
L U2 L2 F2 U F B'
L U2 L2 F2 U B' F
R' U2 F2 R U F' B
R' U2 F2 R U B F'
L' U2 F2 R U F B'
L' U2 F2 R U B' F
L' U2 F2 R' U F B'
L' U2 F2 R' U B' F
L' U2 F2 R2 U F B'
L' U2 F2 R2 U B' F
L' U2 F2 U D F B'
L' U2 F2 U D B' F
L' U2 F2 U D' F B'
L' U2 F2 U D' B' F
L' U2 F2 U D2 F B'
L' U2 F2 U D2 B' F
L' U2 F2 U F D B'
L' U2 F2 U F D' B'
L' U2 F2 U F D2 B'
L' U2 F2 U F B' D
L' U2 F2 U F B' D'
L' U2 F2 U F B' D2
L' U2 F2 U B' D F
L' U2 F2 U B' D' F
L' U2 F2 U B' D2 F
L' U2 F2 U B' F D
L' U2 F2 U B' F D'
L' U2 F2 U B' F D2
L' U2 F2 D U F B'
L' U2 F2 D U B' F
L' U2 F2 D' U F B'
L' U2 F2 D' U B' F
L' U2 F2 D2 U F B'
L' U2 F2 D2 U B' F
L U2 F2 R2 U F B
L U2 F2 R2 U B F
L U2 F2 U F D2 B2
L U2 F2 U' F' U2 F2
U R2 B U L F2 U
U R2 B U F2 L U
L' D U R2 B U2 B2
L' D U' F' D2 B' L2
L' D U' F' B' D2 L2
L' D U' B' D2 L2 F'
L' D U' B' D2 F' L2
L D U R2 F B U2
L' D U' B' F' D2 L2
L D U R2 B F U2
L D U F R2 U2 F2
L D U' F' D2 L2 B2
L D U' F' D2 B2 L2
D U R2 B U L U
U D R2 B U L U
L D' L U' L F' B'
L D' L U' L B' F'
L D' L U' F' L B'
D' U' L F' L D' B2
U' D' L F' L D' B2
L' D' U' L2 F' D2 B2
L' D' U' F B' L2 F2
L' D' U' F' B L2 B2
L' D' U' F' B' L2 D
L' D' U' F' B' L2 D'
L' D' U' F' B' L2 D2
L' D' U' F' B2 L2 B
L' D' U' B L2 F' B2
L' D' U' B L2 B2 F'
L' D' U' B F' L2 B2
L' D' U' B' L F' L
L' D' U' B' L2 D F'
L' D' U' B' L2 D' F'
L' D' U' B' L2 D2 F'
L' D' U' B' L2 F' D
L' D' U' B' L2 F' D'
L' D' U' B' L2 F' D2
U' D' L2 F' U' L' U
D' U' L2 F' U' L' U
L' D' U' B' F L2 F2
L' D' U' B' F' L2 D
L' D' U' B' F' L2 D'
L' D' U' B' F' L2 D2
L' D' U' B2 L2 F' B
L' D' U' B2 L2 B F'
L' D' U' B2 F' L2 B
L D' U F U2 L2 F2
L D' U F U2 F2 L2
L D' U' L F' L B'
L D' U' L2 D F' B'
L D' U' L2 D B' F'
L D' U' L2 D' F' B'
L D' U' L2 D' B' F'
L D' U' L2 D2 F' B'
L D' U' L2 D2 B' F'
L D' U' L2 F' D B'
L D' U' L2 F' D' B'
L D' U' L2 F' D2 B'
L D' U' L2 F' B' D
L D' U' L2 F' B' D'
L D' U' L2 F' B' D2
L D' U' L2 B' D F'
L D' U' L2 B' D' F'
L D' U' L2 B' D2 F'
L D' U' L2 B' F' D
L D' U' L2 B' F' D'
L D' U' L2 B' F' D2
L D' U' F' L2 D2 B2
L D' U' B L2 F' B'
L D' U' B L2 B' F'
L D' U' B' L2 F' B'
L D' U' B' L2 B' F'
L D' U' B2 L2 F' B'
L D' U' B2 L2 B' F'
F' U' L' F' L' B' U
F' U' L2 F' B' L' U
F' U' L2 B' F' L' U
U' D' F' L D' L B2
D' U' F' L D' L B2
U' D' F' L2 U' L U
D' U' F' L2 U' L U
L' D' B U' L2 F' B2
L' D' B U' L2 B2 F'
L' D' B U' F' L2 B2
L' D' B U' F' B2 L2
L' D' B U' B2 L2 F'
L' D' B U' B2 F' L2
D' U' F' U' L' U L'
U' D' F' U' L' U L'
L D' B U' L2 F' B'
L D' B U' L2 B' F'
L' D' B2 U' L2 F' B
L' D' B2 U' L2 B F'
L' D' B2 U' F' L2 B
L' D' B2 U' F' B L2
L' D' B2 U' B L2 F'
L' D' B2 U' B F' L2
L D' B' U' L2 F' B'
L D' B' U' L2 B' F'
L D' B2 U' L2 F' B'
L D' B2 U' L2 B' F'
R' D2 L' B2 U' F B
R' D2 L' B2 U' B F
F' U' F' L' U D R2
F' U' F' L' U2 F2 U'
F' U' F' L' D U R2
F' U' F' L' D2 B2 U
B' U' F' U' L' F' U
F' U' F' U2 F2 R U'
B2 U' F' U' L' F' U
F' U' F' D L' U R2
F' U' F' D2 L' B2 U
F' U' F' D2 B2 L' U
B U' F' U' L' F' U
L D2 L2 B2 U' F' B
L D2 L2 B2 U' B F'
L' D2 U' F' D B' L2
F2 U2 R F2 U' F' B
F2 U2 R F2 U' B F'
R' D2 B2 L' U' F B'
R' D2 B2 L' U' B' F
L' D2 B2 L U' F' B
L' D2 B2 L U' B F'
L' D2 B2 L' U' F' B
L' D2 B2 L' U' B F'
L' D2 B2 L2 U' F' B
L' D2 B2 L2 U' B F'
L' D2 B2 U' D F' B
L' D2 B2 U' D B F'
L' D2 B2 U' D' F' B
L' D2 B2 U' D' B F'
L' D2 B2 U' D2 F' B
L' D2 B2 U' D2 B F'
L' D2 B2 U' F' D B
L' D2 B2 U' F' D' B
L' D2 B2 U' F' D2 B
L' D2 B2 U' F' B D
L' D2 B2 U' F' B D'
L' D2 B2 U' F' B D2
L' D2 B2 U' B D F'
L' D2 B2 U' B D' F'
L' D2 B2 U' B D2 F'
L' D2 B2 U' B F' D
L' D2 B2 U' B F' D'
L' D2 B2 U' B F' D2
L' D2 B2 D U' F' B
L' D2 B2 D U' B F'
L' D2 B2 D' U' F' B
L' D2 B2 D' U' B F'
L' D2 B2 D2 U' F' B
L' D2 B2 D2 U' B F'
L D2 B2 L2 U' F' B'
L D2 B2 L2 U' B' F'
L D2 B2 U F U2 F2
L D2 B2 U' F' D2 B2
B' U2 F2 R U F B
B' U2 F2 R U B F
B2 U2 F2 R U F B
B2 U2 F2 R U B F
U2 F R F U F B
U2 F R F U B F
B U2 F2 R U F B
B U2 F2 R U B F
U' F' L U' L2 F' U
U' F' L U' F' L2 U
U' F' L2 U' L F' U
U' F' L2 U' F' L U
U' F' U' L F' L2 U
U' F' U' L' D F' U
U' F' U' L' D' F' U
U' F' U' L' D2 F' U
U' F' U' L' F' U D
U' F' U' L' F' U D'
U' F' U' L' F' U D2
U' F' U' L' F' D U
U' F' U' L' F' D' U
U' F' U' L' F' D2 U
U' F' U' L2 F' L U
U' F' U' D L' F' U
U' F' U' D' L' F' U
U' F' U' D2 L' F' U
B' D' L' U' B' L' F'
U' F' D U' L' F' U
B2 D' L' U' B' L' F'
B D' L' U' B' L' F'
U' F' D' U' L' F' U
U' F' D2 U' L' F' U
U' F' B U' L' F' U
U' F' B' U' L' F' U
U' F' B2 U' L' F' U
U2 F2 R U D F B
U2 F2 R U D B F
U2 F2 R U D' F B
U2 F2 R U D' B F
U2 F2 R U D2 F B
U2 F2 R U D2 B F
U2 F2 R U F D B
U2 F2 R U F D' B
U2 F2 R U F D2 B
U2 F2 R U F B D
U2 F2 R U F B D'
U2 F2 R U F B D2
U2 F2 R U B D F
U2 F2 R U B D' F
U2 F2 R U B D2 F
U2 F2 R U B F D
U2 F2 R U B F D'
U2 F2 R U B F D2
U2 F2 R D U F B
U2 F2 R D U B F
U2 F2 R D' U F B
U2 F2 R D' U B F
U2 F2 R D2 U F B
U2 F2 R D2 U B F
U2 F2 R' U F D2 B2
U2 F2 R' U' F' U2 F2
L' F2 U D R2 F B'
L' F2 U D R2 B' F
L' F2 U D F R2 B'
L' F2 U D F B' R2
L' F2 U D B' R2 F
L' F2 U D B' F R2
L' F2 U B' D R2 F
L' F2 U B' D F R2
U2 F2 U F U R U'
L F2 U D R2 F B
L F2 U D R2 B F
L' F2 U2 F2 U' F' B'
L' F2 U2 F2 U' B' F'
B' D2 L' B2 U' F' B
B' D2 L' B2 U' B F'
L' F2 D U R2 F B'
L' F2 D U R2 B' F
L' F2 D U F R2 B'
L' F2 D U F B' R2
L' F2 D U B' R2 F
L' F2 D U B' F R2
B2 D2 L' B2 U' F' B
B2 D2 L' B2 U' B F'
U2 F2 D R U F B
U2 F2 D R U B F
B D2 L' B2 U' F' B
B D2 L' B2 U' B F'
U2 F2 D' R U F B
U2 F2 D' R U B F
L F2 D U R2 F B
L F2 D U R2 B F
U2 F2 D2 R U F B
U2 F2 D2 R U B F
L' F2 D2 B2 U F B
L' F2 D2 B2 U B F
D' B L' U' B' L' F'
D2 B L' B U' F' B2
D2 B L' B U' B2 F'
U B L F2 U R F
B' D2 B2 L' U' F' B'
B' D2 B2 L' U' B' F'
B2 D2 B2 L' U' F' B'
B2 D2 B2 L' U' B' F'
B D2 B2 L' U' F' B'
B D2 B2 L' U' B' F'
L' B U' B2 D' L2 F'
L' B U' B2 D' F' L2
U B U L F2 U F
L' B U2 F2 U F B2
L' B U2 F2 U B2 F
L B U' D' L2 F' B'
L B U' D' L2 B' F'
L B D' U' L2 F' B'
L B D' U' L2 B' F'
U' B F' U' L' F' U
D' B' L' U' B' L' F'
L B' U' D' L2 F' B'
L B' U' D' L2 B' F'
L' B' D2 B2 U' F' B2
L' B' D2 B2 U' B2 F'
L B' D' U' L2 F' B'
L B' D' U' L2 B' F'
U' B' F' U' L' F' U
D2 B2 L U F U2 F2
D2 B2 L U' F' D2 B2
D2 B2 L' U' D F' B'
D2 B2 L' U' D B' F'
D2 B2 L' U' D' F' B'
D2 B2 L' U' D' B' F'
D2 B2 L' U' D2 F' B'
D2 B2 L' U' D2 B' F'
D2 B2 L' U' F' D B'
D2 B2 L' U' F' D' B'
D2 B2 L' U' F' D2 B'
D2 B2 L' U' F' B' D
D2 B2 L' U' F' B' D'
D2 B2 L' U' F' B' D2
D2 B2 L' U' B' D F'
D2 B2 L' U' B' D' F'
D2 B2 L' U' B' D2 F'
D2 B2 L' U' B' F' D
D2 B2 L' U' B' F' D'
D2 B2 L' U' B' F' D2
D2 B2 L' D U' F' B'
D2 B2 L' D U' B' F'
D2 B2 L' D' U' F' B'
D2 B2 L' D' U' B' F'
D' B2 L' U' B' L' F'
D2 B2 L' D2 U' F' B'
D2 B2 L' D2 U' B' F'
D2 B2 U' F' U' L' U
L' B2 U' D' L2 F' B
L' B2 U' D' L2 B F'
L' B2 U' D' F' L2 B
L' B2 U' D' F' B L2
L' B2 U' D' B L2 F'
L' B2 U' D' B F' L2
L' B2 U' B D' L2 F'
L' B2 U' B D' F' L2
L' B2 U2 F2 U F B
L' B2 U2 F2 U B F
D2 B2 D L' U' F' B'
D2 B2 D L' U' B' F'
L B2 U' D' L2 F' B'
L B2 U' D' L2 B' F'
D2 B2 D' L' U' F' B'
D2 B2 D' L' U' B' F'
L' B2 D' U' L2 F' B
L' B2 D' U' L2 B F'
L' B2 D' U' F' L2 B
L' B2 D' U' F' B L2
L' B2 D' U' B L2 F'
L' B2 D' U' B F' L2
D2 B2 D2 L' U' F' B'
D2 B2 D2 L' U' B' F'
L' B2 D2 B2 U' F' B'
L' B2 D2 B2 U' B' F'
L B2 D' U' L2 F' B'
L B2 D' U' L2 B' F'
U' B2 F' U' L' F' U
