F' R D' L2 R2 B
F' R D' R2 L2 B
F' R D' R2 B L2
F' R' D' L2 B R2
F' R' D' B L2 R2
F' R' D' B R2 L2
F R' B2 U F2 B'
F R' B2 U B' F2
D' F L' U R2 F2
D' F L' U F2 R2
B2 D' F L' U F2
B2 F R' U F2 B
B2 F R' U B F2
F B2 R' U F2 B
F B2 R' U B F2
F' R' L' D' B R2 L2
F R' L B2 U F2 B'
F R' L B2 U B' F2
F' R' L2 D' L2 B R2
F' R' L2 D' B L2 R2
F' R' L2 D' B R2 L2
F R' L' B2 U F2 B'
F R' L' B2 U B' F2
F R' L2 B2 U F2 B'
F R' L2 B2 U B' F2
F R' U F2 D' B R2
F' R' U' F2 B2 U B'
F' R' U' B2 F2 U B'
F' R' D B D2 L2 R2
F' R' D B D2 R2 L2
F' R' D' L' B L' R2
F' R' D' L' B R2 L'
F' R' D' L2 B R2 D
F' R' D' L2 B R2 D'
F' R' D' L2 B R2 D2
F' R' D' L2 B' R2 B2
F' R' D' L2 B2 R2 B'
F' R' D' B L2 R2 D
F' R' D' B L2 R2 D'
F' R' D' B L2 R2 D2
F' R' D' B R2 L2 D
F' R' D' B R2 L2 D'
F' R' D' B R2 L2 D2
F' R' D' B' L2 R2 B2
F' R' D' B' L2 B2 R2
F' R' D' B' R2 L2 B2
F2 R' D' F L' B R2
F' R' D' B' R2 B2 L2
F2 R' D' F B L' R2
F2 R' D' F B R2 L'
F' R' D' B2 R2 B' L2
F2 R' D' B R2 F L'
F2 R' D' B F L' R2
F2 R' D' B F R2 L'
F' R' F2 B2 U F2 B'
F' R' F2 B2 U B' F2
F' R' B U' F2 B U
F' R' B U' B F2 U
F R' F2 D' L2 B R2
F R' F2 D' B L2 R2
F R' F2 D' B R2 L2
F' R' B2 F2 U F2 B'
F' R' B2 F2 U B' F2
F R' B2 R U F2 B'
F R' B2 R U B' F2
F R' B2 R' U F2 B'
F R' B2 R' U B' F2
F R' B2 R2 U F2 B'
F R' B2 R2 U B' F2
F R' B2 U F2 D B'
F R' B2 U F2 D' B'
F R' B2 U F2 D2 B'
F R' B2 U F2 B' D
F R' B2 U F2 B' D'
F R' B2 U F2 B' D2
F R' B2 U B' F2 D
F R' B2 U B' F2 D'
F R' B2 U B' F2 D2
F R' B2 D R2 U B'
F' R2 D' L2 R B R
F' R2 D' R L2 B R
F' R2 D' R B L2 R
F' R2 D' R B R L2
F R2 B2 R U F2 B
F R2 B2 R U B F2
D' U F L' U R2 F2
D' U F L' U F2 R2
F U R' F2 D' B R2
F U F2 R D' R2 B
F U F2 R' D' B R2
U' D' F L' U R2 F2
D' U' F L' U R2 F2
U' D' F L' U F2 R2
D' U' F L' U F2 R2
U2 D' F L' U R2 F2
U2 D' F L' U F2 R2
U D' F L' U R2 F2
U D' F L' U F2 R2
D' U2 F L' U R2 F2
D' U2 F L' U F2 R2
D' F L' R U R F2
D' F L' R' U R' F2
D' F L' R' U F2 R'
D' F L' U R' F2 R'
D' F L' U R2 F2 D
D' F L' U R2 F2 D'
D' F L' U R2 F2 D2
D' F L' U F R2 F
D' F L' U F2 R2 D
D' F L' U F2 R2 D'
D' F L' U F2 R2 D2
D' F L' D R2 B2 U
D' F L' D B2 R2 U
D' F L' B U R2 F2
D' F L' B U F2 R2
D' F L' B' U R2 F2
D' F L' B' U F2 R2
D' F L' B2 U R2 F2
D' F L' B2 U F2 R2
D' F R L' U R F2
D' F R' L' U R' F2
D' F R' L' U F2 R'
U' F R' B2 U F2 B'
U' F R' B2 U B' F2
U2 F R' B2 U F2 B'
U2 F R' B2 U B' F2
U F R' B2 U F2 B'
U F R' B2 U B' F2
D' F D L' R2 B2 U
D' F D L' B2 R2 U
D' F D R2 L' B2 U
D' F D R2 B2 L' U
D' F D B2 L' R2 U
D' F D B2 R2 L' U
D' F B L' U R2 F2
D' F B L' U F2 R2
D' F B' L' U R2 F2
D' F B' L' U F2 R2
D' F B2 L' U R2 F2
D' F B2 L' U F2 R2
U' F B2 R' U F2 B
U' F B2 R' U B F2
R' F B2 R U F' B'
R' F B2 R U B' F'
U2 F B2 R' U F2 B
U2 F B2 R' U B F2
U F B2 R' U F2 B
U F B2 R' U B F2
B' D F B' L U F2
U' F' R D' L2 R2 B
U' F' R D' R2 L2 B
U' F' R D' R2 B L2
U2 F' R D' L2 R2 B
U' F' R' D' L2 B R2
U2 F' R D' R2 L2 B
U2 F' R D' R2 B L2
U' F' R' D' B L2 R2
U' F' R' D' B R2 L2
D' F' R' D R' B2 L
U2 F' R' D' L2 B R2
U2 F' R' D' B L2 R2
U2 F' R' D' B R2 L2
U F' R D' L2 R2 B
U F' R D' R2 L2 B
U F' R D' R2 B L2
B' D B' F L U F2
U F' R' D' L2 B R2
U F' R' D' B L2 R2
U F' R' D' B R2 L2
D' F' U' F2 L' U R2
F' D' L R2 D' L B'
F' D' L2 R' D R' B
F' D' R' L2 D R' B
F' D' R2 L D' L B'
B2 D' F L' R U F2
B2 D' F L' R' U F2
B2 D' F L' R2 U F2
B2 D' F L' U F2 D
B2 D' F L' U F2 D'
B2 D' F L' U F2 D2
B2 D' F L' D R2 U
B2 D' F R L' U F2
B2 D' F R' L' U F2
B2 D' F R2 L' U F2
B' D' F B' L' U F2
B2 D' F D L' R2 U
B2 D' F D R2 L' U
B D' F L' B U F2
B D' F B L' U F2
B' D' B' F L' U F2
B D' B F L' U F2
F' D2 L D R2 B' L2
F' D2 L D B' L2 R2
F' D2 L D B' R2 L2
F' D2 L' D L2 R2 B'
F' D2 L' D L2 B' R2
F' D2 L' D R2 L2 B'
B2 D2 F L U F2 B'
B2 D2 F L U B' F2
B2 F L R' U F2 B
B2 F L R' U B F2
B2 F L' R' U F2 B
B2 F L' R' U B F2
B2 F L2 R' U F2 B
B2 F L2 R' U B F2
B2 F R U' F' U2 F'
B2 F R D R2 U B
B2 F R' L U F2 B
B2 F R' L U B F2
B2 F R' L' U F2 B
B2 F R' L' U B F2
B2 F R' L2 U F2 B
B2 F R' L2 U B F2
D' B F L' U R2 F2
D' B F L' U F2 R2
B2 F R' U F2 D B
B2 F R' U F2 D' B
B2 F R' U F2 D2 B
B2 F R' U F2 B D
B2 F R' U F2 B D'
B2 F R' U F2 B D2
B2 F R' U B F2 D
B2 F R' U B F2 D'
B2 F R' U B F2 D2
B' F R' B' U F2 B2
B' F R' B' U B2 F2
B2 F U R' B R F2
B2 F U F2 R' B R
B2 F U2 R' U' F2 B
B2 F U2 R' U' B F2
B' F D R2 B' L U
B' F D B' L R2 U
B' F D B' R2 L U
B' F' R' B D' L2 R2
B' F' R' B D' R2 L2
F' B' R' B D' L2 R2
F' B' R' B D' R2 L2
B2 F' R' F2 U F2 B
B2 F' R' F2 U B F2
F B' R' B' U F2 B2
F B' R' B' U B2 F2
D' B' F L' U R2 F2
D' B' F L' U F2 R2
F B' D R2 B' L U
F B' D B' L R2 U
F B' D B' R2 L U
R' B2 R F U F2 B'
R' B2 R F U B' F2
F B2 L R' U F2 B
F B2 L R' U B F2
F B2 L' R' U F2 B
F B2 L' R' U B F2
F B2 L2 R' U F2 B
F B2 L2 R' U B F2
F' B2 R' F2 U F2 B
F' B2 R' F2 U B F2
F B2 R U' F' U2 F'
F B2 R D R2 U B
F B2 R' L U F2 B
F B2 R' L U B F2
F B2 R' L' U F2 B
F B2 R' L' U B F2
F B2 R' L2 U F2 B
F B2 R' L2 U B F2
F B2 R' U F2 D B
F B2 R' U F2 D' B
F B2 R' U F2 D2 B
F B2 R' U F2 B D
F B2 R' U F2 B D'
F B2 R' U F2 B D2
F B2 R' U B F2 D
F B2 R' U B F2 D'
F B2 R' U B F2 D2
U' B2 D' F L' U F2
F B2 U R' B R F2
F B2 U F2 R' B R
U2 B2 D' F L' U F2
U' B2 F R' U F2 B
U' B2 F R' U B F2
R' B2 F R U F' B'
R' B2 F R U B' F'
D' B2 F L' U R2 F2
D' B2 F L' U F2 R2
F B2 U2 R' U' F2 B
F B2 U2 R' U' B F2
U B2 D' F L' U F2
U2 B2 F R' U F2 B
U2 B2 F R' U B F2
U B2 F R' U F2 B
U B2 F R' U B F2
