U L2 F B' L' U'
U L2 B' F L' U'
L2 U F B' L' U'
L2 U B' F L' U'
F' R F2 B' U B
F' R B' F2 U B
F' U' R F2 B' U
F' U' R B' F2 U
F' U' B' R F2 U
U' F B' U2 L' U'
L2 F B' L' U' B
U' F' R F2 B' U
U' F' R B' F2 U
U' F' B' R F2 U
B' F U2 L' U' B
U' B' F U2 L' U'
L2 B' F L' U' B
U' B' F' R F2 U
F B' U2 L' U' B
L2 U B2 F L' B U'
F' R D' B' U L2 B
F' R D' B' U B L2
U' R F B' U2 L' U'
U' R F' R F2 B' U
U' R F' R B' F2 U
D R F B' U F2 B
D R F B' U B F2
U' R F' B' R F2 U
D R F' U' F2 B' U
D R F' U' B' F2 U
F' R F2 D B' U B
F' R F2 D' B' U B
F' R F2 D2 B' U B
F' R F2 B' L U B
F' R F2 B' L' U B
F' R F2 B' L2 U B
F' R F2 B' U D B
F' R F2 B' U D' B
F' R F2 B' U D2 B
F' R F2 B' U B D
F' R F2 B' U B D'
F' R F2 B' U B D2
F' R F2 B' D U B
F' R F2 B' D' U B
F' R F2 B' D2 U B
F' R B' L F2 U B
F' R B' L' F2 U B
F' R B' L2 F2 U B
F' R B' U D' L2 B
F' R B' U D' B L2
F' R B' U B D' L2
F' R B' D' U L2 B
F' R B' D' U B L2
U' R B' F U2 L' U'
U' R B' F' R F2 U
F' R B' F2 L U B
F' R B' F2 L' U B
F' R B' F2 L2 U B
F' R B' F2 U D B
F' R B' F2 U D' B
F' R B' F2 U D2 B
F' R B' F2 U B D
F' R B' F2 U B D'
F' R B' F2 U B D2
F' R B' F2 D U B
F' R B' F2 D' U B
F' R B' F2 D2 U B
D R B' F U F2 B
D R B' F U B F2
F R B' U2 L' U' B
R' U' F B' U2 L' U'
R' U' F' R F2 B' U
R' U' F' R B' F2 U
R2 U' F B' U2 L' U'
R' U' F' B' R F2 U
R2 U' F' R F2 B' U
R2 U' F' R B' F2 U
R U' F B' U2 L' U'
R U' F' R F2 B' U
R U' F' R B' F2 U
R2 U' F' B' R F2 U
R U' F' B' R F2 U
F' R' U' R2 F2 B' U
F' R' U' R2 B' F2 U
F' R' U' F2 R2 B' U
F' R' U' F2 B' R2 U
F' R' U' B' R2 F2 U
F' R' U' B' F2 R2 U
R' U' B' F U2 L' U'
R' U' B' F' R F2 U
R2 U' B' F U2 L' U'
R2 U' B' F' R F2 U
R U' B' F U2 L' U'
R U' B' F' R F2 U
B' R' F U2 L' U' B'
U' R' F B' U2 L' U'
B' R' F' R F2 U B
U' R' F' R F2 B' U
U' R' F' R B' F2 U
U' R' F' B' R F2 U
F' R' F2 R2 B' U B
U' R' B' F U2 L' U'
U' R' B' F' R F2 U
F R' B' U2 L' U' B
F' R2 U' R' F2 B' U
F' R2 U' R' B' F2 U
F' R2 U' F2 R' B' U
D R2 U' F B' R' U
D R2 U' B' R' F U
D R2 U' B' F R' U
U' R2 F B' U2 L' U'
U' R2 F' R F2 B' U
U' R2 F' R B' F2 U
U' R2 F' B' R F2 U
F' R2 F2 R' B' U B
U' R2 B' F U2 L' U'
U' R2 B' F' R F2 U
F R2 B' U2 L' U' B
D2 U L2 F B' L U'
D2 U L2 B' F L U'
U' D R F B' U F2
F U L2 F L U' L
U' D R B' F U F2
U' D F R B' U F'
U' D F B' R U F'
U' D B' R F U F2
U' D B' F R U F'
D U' R F B' U F2
D U' R B' F U F2
F' U' R D' B' U L2
F' U' R F2 D B' U
F' U' R F2 D' B' U
F' U' R F2 D2 B' U
F' U' R F2 B' U D
F' U' R F2 B' U D'
F' U' R F2 B' U D2
F' U' R F2 B' D U
F' U' R F2 B' D' U
F' U' R F2 B' D2 U
F' U' R B' U D' L2
F' U' R B' D' U L2
F' U' R B' F2 U D
F' U' R B' F2 U D'
F' U' R B' F2 U D2
F' U' R B' F2 D U
F' U' R B' F2 D' U
F' U' R B' F2 D2 U
D2 U' F B R' B2 U
D2 U' F B' U2 L U'
D U' F R B' U F'
F' U' R' F2 R2 B' U
F' U' R' F2 B' R2 U
F' U' R' B' R2 F2 U
F' U' R' B' F2 R2 U
D U' F B' R U F'
F' U' R2 F2 R' B' U
D2 U' B R' F B2 U
D2 U' B R' B2 F U
F' U' D' R B' U L2
D2 U' B F R' B2 U
F' U' D' B' R U L2
D2 U' B' F U2 L U'
D U' B' R F U F2
D U' B' F R U F'
F2 U' F' R' B' U F'
F2 U' F' B' R' U F'
F' U' F2 B' U2 L' U'
F' U' B R F2 B2 U
F' U' B R B2 F2 U
F' U' B' R U D' L2
F' U' B' R D' U L2
F' U' B' R F2 U D
F' U' B' R F2 U D'
F' U' B' R F2 U D2
F' U' B' R F2 D U
F' U' B' R F2 D' U
F' U' B' R F2 D2 U
F' U' B' R' F2 R2 U
F' U' B' R2 F2 R' U
F' U' B' D' R U L2
F' U' B' F2 U2 L' U'
U D2 L2 F B' L U'
F2 U' B' F' R' U F'
U D2 L2 B' F L U'
L2 D2 U F B' L U'
L2 D2 U B' F L U'
F U' B' U2 L' U' L
U' D2 F B R' B2 U
U' D2 F B' U2 L U'
L2 D2 F B' L U' B
U' D2 B R' F B2 U
U' D2 B R' B2 F U
U' D2 B F R' B2 U
U' D2 B' F U2 L U'
L2 D2 B' F L U' B
L' F L' F B' U' B
L' F L' B' F U' B
U' F R B' U2 L' U'
L2 F R B' L' U' B
U' F R' B' U2 L' U'
D F R B' U F' B
D F R B' U B F'
L2 F R' B' L' U' B
U' F R2 B' U2 L' U'
L2 F R2 B' L' U' B
U' F U2 L2 F L U'
U' F D B' U2 L' U'
L2 F D B' L' U' B
U' F D' B' U2 L' U'
L2 F D' B' L' U' B
U' F D2 B' U2 L' U'
D2 F B R' B2 U B
L2 F D2 B' L' U' B
U' F B' R U2 L' U'
D' F B' L' U F B
D' F B' L' U B F
U' F B' R' U2 L' U'
U' F B' R2 U2 L' U'
U' F B' U2 L' U' D
U' F B' U2 L' U' D'
U' F B' U2 L' U' D2
U' F B' U2 L' D U'
U' F B' U2 L' D' U'
U' F B' U2 L' D2 U'
U' F B' U2 D L' U'
U' F B' U2 D' L' U'
U' F B' U2 D2 L' U'
U' F B' D U2 L' U'
R' F B' U2 L' U' B
U' F B' D' U2 L' U'
D2 F B' U2 L U' B
U' F B' D2 U2 L' U'
L2 F B' L' U' D B
L2 F B' L' U' D' B
L2 F B' L' U' D2 B
L2 F B' L' U' B D
L2 F B' L' U' B D'
L2 F B' L' U' B D2
L2 F B' L' D U' B
L2 F B' L' D' U' B
L2 F B' L' D2 U' B
L2 F B' D L' U' B
L2 F B' D' L' U' B
L2 F B' D2 L' U' B
R2 F B' U2 L' U' B
L2 F B2 L' B U' B
R F B' U2 L' U' B
U' F' R D' B' U L2
U' F' R F2 D B' U
U' F' R F2 D' B' U
U' F' R F2 D2 B' U
U' F' R F2 B' U D
U' F' R F2 B' U D'
U' F' R F2 B' U D2
U' F' R F2 B' D U
U' F' R F2 B' D' U
U' F' R F2 B' D2 U
U' F' R B' U D' L2
U' F' R B' D' U L2
R' F' R F2 B' U B
U' F' R B' F2 U D
U' F' R B' F2 U D'
U' F' R B' F2 U D2
U' F' R B' F2 D U
U' F' R B' F2 D' U
U' F' R B' F2 D2 U
R' F' R B' F2 U B
U' F' R' F2 R2 B' U
U' F' R' F2 B' R2 U
U' F' R' B' R2 F2 U
U' F' R' B' F2 R2 U
R2 F' R F2 B' U B
R2 F' R B' F2 U B
U' F' R2 F2 R' B' U
R F' R F2 B' U B
R F' R B' F2 U B
R' F' U' R F2 B' U
R' F' U' R B' F2 U
L2 F' U F2 B' L' U'
L2 F' U B' F2 L' U'
R' F' U' B' R F2 U
F D B' U2 L' U' B
R2 F' U' R F2 B' U
R2 F' U' R B' F2 U
B' D' L' U F B L
B' D' L' U B F L
R2 F' U' B' R F2 U
R F' U' R F2 B' U
R F' U' R B' F2 U
U' F' D' R B' U L2
R F' U' B' R F2 U
U F' U2 R F2 B' U
U F' U2 R B' F2 U
U' F' D' B' R U L2
U F' U2 B' R F2 U
F' D' R B' U L2 B
F' D' R B' U B L2
U' F' B R F2 B2 U
U' F' B R B2 F2 U
U' F' B' R U D' L2
U' F' B' R D' U L2
U' F' B' R F2 U D
U' F' B' R F2 U D'
U' F' B' R F2 U D2
U' F' B' R F2 D U
U' F' B' R F2 D' U
U' F' B' R F2 D2 U
U' F' B' R' F2 R2 U
U' F' B' R2 F2 R' U
U' F' B' D' R U L2
F' D' U' R B' U L2
F' D' U' B' R U L2
B' D' F L' U F B
B' D' F L' U B F
F D' B' U2 L' U' B
U F2 U2 F' B' R' U
U F2 U2 B' F' R' U
D2 B R' F B2 U B
D2 B R' B2 F U B
B' F L U D F2 B
B' F L U D B F2
B' F L U B D F2
B' F L U2 L2 U' B
B' F L D U F2 B
B' F L D U B F2
F D2 B' U2 L' U' B
B' F L2 U2 L U' B
F' B R F2 B2 U B
B' F R' U2 L' U' B'
F' B R B2 F2 U B
D2 B F R' B2 U B
U' B F' R F2 B2 U
U' B F' R B2 F2 U
B' F U B U L' U'
B' F U2 L' U' D B
B' F U2 L' U' D' B
B' F U2 L' U' D2 B
B' F U2 L' U' B D
B' F U2 L' U' B D'
B' F U2 L' U' B D2
B' F U2 L' D U' B
B' F U2 L' D' U' B
B' F U2 L' D2 U' B
D' B' L' U F B L
D' B' L' U B F L
B' F U2 D L' U' B
B' F U2 D' L' U' B
B' F U2 D2 L' U' B
B' F D U2 L' U' B
U' B' R F U2 L' U'
U' B' R F' R F2 U
B' F D' U2 L' U' B
U' B' R' F U2 L' U'
U' B' R' F' R F2 U
B' F D2 U2 L' U' B
U' B' R2 F U2 L' U'
U' B' R2 F' R F2 U
F B' L U D F2 B
F B' L U D B F2
F B' L U B D F2
F B' L U2 L2 U' B
F B' L D U F2 B
F B' L D U B F2
U' B' D R F U F2
U' B' D F R U F'
F B' L2 U2 L U' B
B F' R F2 B2 U B
B F' R B2 F2 U B
F B' R' U2 L' U' B'
U' B' F R U2 L' U'
U' B' F R' U2 L' U'
U' B' F R2 U2 L' U'
D' B' F L' U F B
D' B' F L' U B F
U' B' F U2 L' U' D
U' B' F U2 L' U' D'
U' B' F U2 L' U' D2
U' B' F U2 L' D U'
U' B' F U2 L' D' U'
U' B' F U2 L' D2 U'
U' B' F U2 D L' U'
U' B' F U2 D' L' U'
U' B' F U2 D2 L' U'
U' B' F D U2 L' U'
U' B' F D' U2 L' U'
U' B' F D2 U2 L' U'
D2 B' F U2 L U' B
R' B' F U2 L' U' B
U' B' F' R U D' L2
U' B' F' R D' U L2
U' B' F' R F2 U D
U' B' F' R F2 U D'
U' B' F' R F2 U D2
U' B' F' R F2 D U
U' B' F' R F2 D' U
U' B' F' R F2 D2 U
U' B' F' R' F2 R2 U
U' B' F' R2 F2 R' U
L2 B' F L' U' D B
L2 B' F L' U' D' B
L2 B' F L' U' D2 B
L2 B' F L' U' B D
L2 B' F L' U' B D'
L2 B' F L' U' B D2
L2 B' F L' D U' B
L2 B' F L' D' U' B
L2 B' F L' D2 U' B
U' B' F' D' R U L2
L2 B' F D L' U' B
L2 B' F D' L' U' B
L2 B' F D2 L' U' B
F B' U B U L' U'
R2 B' F U2 L' U' B
F B' U2 L' U' D B
F B' U2 L' U' D' B
F B' U2 L' U' D2 B
F B' U2 L' U' B D
F B' U2 L' U' B D'
F B' U2 L' U' B D2
F B' U2 L' D U' B
F B' U2 L' D' U' B
F B' U2 L' D2 U' B
R B' F U2 L' U' B
F B' U2 D L' U' B
F B' U2 D' L' U' B
F B' U2 D2 L' U' B
F B' D U2 L' U' B
F B' D' U2 L' U' B
F B' D2 U2 L' U' B
U' B2 D2 F B R' U
U' B2 D2 B R' F U
U' B2 D2 B F R' U
L2 B2 F L' B U' B
