B' U2 L B2 U
B' R U2 L B2 U
B' R' U2 L B2 U
B R' B2 U' D' R2
B R' B2 U2 B2 U
B R' B2 D' U' R2
B R' B2 D2 F2 U'
B' R2 U2 L B2 U
D2 R2 F' R B' U'
D2 R2 F' B' R U'
D2 R2 B' F' R U'
B' U2 L U D' R2
B' U2 L D' U R2
B' U2 L B2 U D
B' U2 L B2 U D'
B' U2 L B2 U D2
B' U2 L B2 D U
B' U2 L B2 D' U
B' U2 L B2 D2 U
B' U2 L' B2 L2 U
R2 D2 F' R B' U'
B' U2 L2 B2 L' U
R2 D2 F' B' R U'
R2 D2 B' F' R U'
B' U2 D' L U R2
B' U2 B2 U2 R' U'
R2 F' B R' B2 U'
R2 F' B' U2 L U
B' D' U2 L U R2
R' B R' F' B2 U'
R' B R' B2 F' U'
B' D2 F2 U2 L U
U2 B U2 R' B2 U'
R2 B F' R' B2 U'
B' F U2 L B2 U
F' B' U2 L B2 U
B' F' U2 L B2 U
F2 B' U2 L B2 U
R2 B' F' U2 L U
F B' U2 L B2 U
B' F2 U2 L B2 U
B' R F U2 L B2 U
D2 R F' R F' B' U'
D2 R F' R B' F' U'
B' R F' U2 L B2 U
D2 R F' B' R F' U'
B' R F2 U2 L B2 U
D2 R B' R F' R U'
D2 R B' F' R F' U'
B R B' R2 F' B' U'
B R B' R2 B' F' U'
B R B2 R2 U' D' R2
B R B2 R2 U2 B2 U
B R B2 R2 D' U' R2
B R B2 R2 D2 F2 U'
B R' U D' R2 U2 R2
B' R' U2 L U D' R2
B R' U' D L2 D2 R2
B' R' U2 L D' U R2
B' R' U2 L B2 U D
B' R' U2 L B2 U D'
B' R' U2 L B2 U D2
B' R' U2 L B2 D U
B' R' U2 L B2 D' U
B' R' U2 L B2 D2 U
B' R' U2 L' B2 L2 U
B' R' U2 L2 B2 L' U
B' R' U2 D' L U R2
B' R' U2 B2 U2 R' U'
B R' D U' L2 D2 R2
B' R' D' U2 L U R2
B R' D' U R2 U2 R2
B' R' D2 F2 U2 L U
B' R' F U2 L B2 U
B' R' F' U2 L B2 U
B R' F B2 U' D' R2
B R' F B2 U2 B2 U
B R' F B2 D' U' R2
B R' F B2 D2 F2 U'
B' R' F2 U2 L B2 U
B R' F' B2 U' D' R2
B R' F' B2 U2 B2 U
B R' F' B2 D' U' R2
B R' F' B2 D2 F2 U'
F' R' B R' F' B2 U'
F' R' B R' B2 F' U'
B R' F2 B2 U' D' R2
B R' F2 B2 U2 B2 U
B R' F2 B2 D' U' R2
B R' F2 B2 D2 F2 U'
F2 R' B R' F' B2 U'
F2 R' B R' B2 F' U'
D2 R' B' R' F' R U'
F R' B R' F' B2 U'
D' R' B' R' F' U' B2
F R' B R' B2 F' U'
D' R' B' U' B' R' B'
B R' B2 U D L2 U2
B R' B2 U' R D' R2
B R' B2 U' R' D' R2
B R' B2 U' R2 D' R2
B R' B2 U' D' R2 D
B R' B2 U' D' R2 D'
B R' B2 U' D' R2 D2
B R' B2 U2 B2 U D
B R' B2 U2 B2 U D'
B R' B2 U2 B2 U D2
B R' B2 U2 B2 D U
B R' B2 U2 B2 D' U
B R' B2 U2 B2 D2 U
B R' B2 D U L2 U2
B R' B2 D' U' R2 D
B R' B2 D' U' R2 D'
B R' B2 D' U' R2 D2
B R' B2 D' F U' R2
B R' B2 D' F' U' R2
B R' B2 D' F2 U' R2
B R' B2 D2 F2 U' D
B R' B2 D2 F2 U' D'
B R' B2 D2 F2 U' D2
B R' B2 D2 F2 D U'
B R' B2 D2 F2 D' U'
B R' B2 D2 F2 D2 U'
B R' B2 F U' D' R2
B R' B2 F U2 B2 U
B R' B2 F D' U' R2
B R' B2 F D2 F2 U'
B R' B2 F' U' D' R2
B R' B2 F' U2 B2 U
B R' B2 F' D' U' R2
B R' B2 F' D2 F2 U'
B R' B2 F2 U' D' R2
B R' B2 F2 U2 B2 U
B R' B2 F2 D' U' R2
B R' B2 F2 D2 F2 U'
B' R2 U2 L U D' R2
B' R2 U2 L D' U R2
B' R2 U2 L B2 U D
B' R2 U2 L B2 U D'
B' R2 U2 L B2 U D2
B' R2 U2 L B2 D U
B' R2 U2 L B2 D' U
B' R2 U2 L B2 D2 U
B' R2 U2 L' B2 L2 U
B' R2 U2 L2 B2 L' U
B' R2 U2 D' L U R2
B2 R2 U2 F' B' L' U
B R2 U2 R B2 L U'
B' R2 U2 B2 U2 R' U'
B2 R2 U2 B' F' L' U
D R2 D F' R B' U'
D R2 D F' B' R U'
B' R2 D' U2 L U R2
D R2 D B' F' R U'
F' R2 D2 F' R B' U'
F' R2 D2 F' B' R U'
B' R2 D2 F2 U2 L U
F' R2 D2 B' F' R U'
F2 R2 D2 F' R B' U'
F2 R2 D2 F' B' R U'
F2 R2 D2 B' F' R U'
B' R2 F U2 L B2 U
F R2 D2 F' R B' U'
F R2 D2 F' B' R U'
F R2 D2 B' F' R U'
D' R2 F' R B' U' B2
D2 R2 F' R D B' U'
D2 R2 F' R D' B' U'
D2 R2 F' R D2 B' U'
D2 R2 F' R B' U' D
D2 R2 F' R B' U' D'
D2 R2 F' R B' U' D2
D2 R2 F' R B' D U'
D2 R2 F' R B' D' U'
D2 R2 F' R B' D2 U'
D2 R2 F' R' B' R2 U'
D2 R2 F' D R B' U'
B' R2 F' U2 L B2 U
D2 R2 F' D B' R U'
D2 R2 F' D' R B' U'
D2 R2 F' D' B' R U'
D2 R2 F' D2 R B' U'
D2 R2 F' D2 B' R U'
D2 R2 F' B R B2 U'
D' R2 F' B' R U' B
D2 R2 F' B' R U' D
D2 R2 F' B' R U' D'
D2 R2 F' B' R U' D2
D2 R2 F' B' R D U'
D2 R2 F' B' R D' U'
D2 R2 F' B' R D2 U'
D2 R2 F' B' D R U'
D2 R2 F' B' D' R U'
D2 R2 F' B' D2 R U'
F' R2 F' B R' B2 U'
F' R2 F' B' U2 L U
F2 R2 F' B R' B2 U'
F2 R2 F' B' U2 L U
B' R2 F2 U2 L B2 U
F R2 F' B R' B2 U'
F R2 F' B' U2 L U
D2 R2 B F' R B2 U'
F' R2 B F' R' B2 U'
F2 R2 B F' R' B2 U'
D' R2 B' F' R U' B
D2 R2 B' F' R U' D
D2 R2 B' F' R U' D'
D2 R2 B' F' R U' D2
D2 R2 B' F' R D U'
D2 R2 B' F' R D' U'
D2 R2 B' F' R D2 U'
D2 R2 B' F' D R U'
D2 R2 B' F' D' R U'
D2 R2 B' F' D2 R U'
F' R2 B' F' U2 L U
F R2 B F' R' B2 U'
F2 R2 B' F' U2 L U
D R2 B' D F' R U'
B R2 B2 R U' D' R2
B R2 B2 R U2 B2 U
B R2 B2 R D' U' R2
F R2 B' F' U2 L U
B R2 B2 R D2 F2 U'
B' U L U B2 U B2
B R2 B2 D' R U' R
B R2 B2 D2 R F2 U'
B' U L' U L2 B2 U
B' U L' U B2 L2 U
B' U L' U2 D' R2 B2
B' U L' U2 D' B2 R2
B' U L' D L2 F2 U2
B' U L' D F2 L2 U2
B' U L' D' U2 R2 B2
B' U L' D' U2 B2 R2
B' U L2 U L' B2 U
B' U L2 U B2 L' U
B' U D L2 U L' U
R2 D B' D F' R U'
R D B' U L U2 B'
B' U F U L B2 U
B' U F' U L B2 U
B' U F2 U L B2 U
R' D' R' F' B' U' B2
R' D' R' B' F' U' B2
B' U' L' D' L R2 B2
B' U' L' D' L B2 R2
B' U' L' D' R2 L B2
R2 D' F' R' B' U' B2
B' U' R U' L B2 U
R2 D' F' B' R' U' B
B' U' R' U' L B2 U
R' D' B' R' F' U' B
B' U' R2 U' L B2 U
R' D' B' U' B' R' B
R2 D' B' D' F' R U'
R2 D' B' F' R' U' B
B' U' D' R2 U' L U
R' D2 R' F' R B' U'
R' D2 R' F' B' R U'
R' D2 R' B' F' R U'
D2 U2 L2 F L' B U
D2 U2 L2 F B L' U
D2 U2 L2 B F L' U
U2 D2 L2 F L' B U
U2 D2 L2 F B L' U
U2 D2 L2 B F L' U
B' U' B2 U R' U' R
B' U2 L R' B2 R U
B' U2 L R2 B2 R2 U
B' U2 L U R D' R2
B' U2 L U R' D' R2
B' U2 L U R2 D' R2
B' U2 L U D' R2 D
B' U2 L U D' R2 D'
B' U2 L U D' R2 D2
B' U2 L U' D L2 U2
B' U2 L U2 D2 F2 U'
B' U2 L D U' L2 U2
B' U2 L D' U R2 D
B' U2 L D' U R2 D'
B' U2 L D' U R2 D2
B' U2 L D' B U R2
B' U2 L D' B' U R2
B' U2 L D' B2 U R2
B' U2 L D2 U2 F2 U'
B' U2 L B D B U
B' U2 L B D' B U
B' U2 L B D2 B U
B' U2 L B' D B' U
B' U2 L B' D' B' U
B' U2 L B' D2 B' U
B' U2 L' U D' R2 B2
B' U2 L' U D' B2 R2
B' U2 L' D' U R2 B2
B' U2 L' D' U B2 R2
L2 D2 F L' B R2 U
B' U2 L' B L2 B U
B' U2 L' B2 L2 U D
B' U2 L' B2 L2 U D'
B' U2 L' B2 L2 U D2
B' U2 L' B2 L2 D U
B' U2 L' B2 L2 D' U
B' U2 L' B2 L2 D2 U
B' U2 L' B2 U D' B2
B' U2 L' B2 D' U B2
B' U2 L2 D' L' U R2
L2 D2 F B L' R2 U
L2 D2 F B R2 L' U
B' U2 L2 B L' B U
B' U2 L2 B2 L' U D
B' U2 L2 B2 L' U D'
B' U2 L2 B2 L' U D2
B' U2 L2 B2 L' D U
B' U2 L2 B2 L' D' U
B' U2 L2 B2 L' D2 U
B' U2 L2 B2 D L' U
B' U2 L2 B2 D' L' U
B' U2 L2 B2 D2 L' U
R2 D2 F' R D B' U'
R2 D2 F' R D' B' U'
R2 D2 F' R D2 B' U'
R2 D2 F' R B' U' D
R2 D2 F' R B' U' D'
R2 D2 F' R B' U' D2
R2 D2 F' R B' D U'
R2 D2 F' R B' D' U'
R2 D2 F' R B' D2 U'
R2 D2 F' R' B' R2 U'
R2 D2 F' D R B' U'
R2 D2 F' D B' R U'
R2 D2 F' D' R B' U'
R2 D2 F' D' B' R U'
R2 D2 F' D2 R B' U'
R2 D2 F' D2 B' R U'
R2 D2 F' B R B2 U'
R2 D2 F' B' R U' D
R2 D2 F' B' R U' D'
R2 D2 F' B' R U' D2
R2 D2 F' B' R D U'
R2 D2 F' B' R D' U'
R2 D2 F' B' R D2 U'
R2 D2 F' B' D R U'
R2 D2 F' B' D' R U'
R2 D2 F' B' D2 R U'
B' U2 R' L B2 R U
L2 D2 B R2 F L' U
B' U2 R2 L B2 R2 U
B U2 R B2 L R2 U'
R' D2 B' R' F' R U'
B U2 R B2 R2 L U'
L2 D2 B F L' R2 U
L2 D2 B F R2 L' U
R2 D2 B F' R B2 U'
B' U2 D L U' L U2
B' U2 D L B2 U R'
B U2 R' B2 U2 R U
B' U2 D' L U R2 D
B' U2 D' L U R2 D'
B' U2 D' L U R2 D2
R2 D2 B' F' R U' D
R2 D2 B' F' R U' D'
R2 D2 B' F' R U' D2
R2 D2 B' F' R D U'
R2 D2 B' F' R D' U'
R2 D2 B' F' R D2 U'
B' U2 D' L D B2 U
R2 D2 B' F' D R U'
R2 D2 B' F' D' R U'
R2 D2 B' F' D2 R U'
B' U2 D' L B U R2
B' U2 D' L B' U R2
B' U2 D' L B2 U R2
B' U2 D2 L U D R2
B' U2 D2 L U2 F2 U'
B' U2 D2 L D U R2
B' U2 D2 L D2 B2 U
B' U2 F L F' B2 U
B' U2 F L B2 F' U
B' U2 F2 L F2 B2 U
B' U2 F2 L B2 F2 U
F' U2 B U2 R' B2 U'
F2 U2 B U2 R' B2 U'
B' U2 B2 L U2 R' U'
B' U2 B2 L' U2 R' U'
B' U2 B2 L2 U2 R' U'
F U2 B U2 R' B2 U'
B' U2 B2 U2 R' U' D
B' U2 B2 U2 R' U' D'
B' U2 B2 U2 R' U' D2
B' U2 B2 U2 R' D U'
B' U2 B2 U2 R' D' U'
B' U2 B2 U2 R' D2 U'
B' U2 B2 U2 D R' U'
B' U2 B2 U2 D' R' U'
B' U2 B2 U2 D2 R' U'
B' U2 B2 D U2 R' U'
B' U2 B2 D' U2 R' U'
B' U2 B2 D2 U2 R' U'
R' F B R' F' B2 U'
R' F B R' B2 F' U'
B D R' U' L2 D2 R2
L2 F B U2 L2 R' U'
U2 F B U2 R' B2 U'
L2 F B U2 R' L2 U'
D2 F B' U2 L' B2 U
R2 F B R' F2 B2 U'
R2 F B R' B2 F2 U'
D2 F B' U2 B2 L' U
B' D U L2 U L' U
D2 F B' D2 F2 R U'
L2 F B' L B2 R' U
B' D U2 L U' L U2
B' D U2 L B2 U R'
R2 F' R B R' B2 U'
R2 F' R B' U2 L U
B2 D B U2 L B2 U
D2 F' R2 F' R' B' U'
R2 F' R' B R' B2 U'
R2 F' R' B' U2 L U
R2 F' R2 B R' B2 U'
R2 F' R2 B' U2 L U
B' D' R U2 L U R
R2 F' D' R' B' U' B2
B' D' R' U2 L U R'
R2 F' D' B' R' U' B
R' F' B R' F' B2 U'
R' F' B R' B2 F' U'
D2 F' B' R U' D' R2
D2 F' B' R U2 B2 U
D2 F' B' R D' U' R2
D2 F' B' R D2 F2 U'
B D' R' U R' U2 R
U2 F' B U2 R' B2 U'
R2 F' B R B2 R2 U'
R2 F' B R' U' D L2
R2 F' B R' D U' L2
D2 F' B' D' R U' R
R2 F' B R' B2 U' D
R2 F' B R' B2 U' D'
R2 F' B R' B2 U' D2
R2 F' B R' B2 D U'
R2 F' B R' B2 D' U'
R2 F' B R' B2 D2 U'
D2 F' B' D2 R F2 U'
R2 F' B R2 B2 R U'
R2 F' B D R' U' L2
R2 F' B' R U2 L U
R2 F' B' R' U2 L U
R2 F' B' R2 U2 L U
R2 F' B' U2 L U D
R2 F' B' U2 L U D'
R2 F' B' U2 L U D2
R2 F' B' U2 L D U
R2 F' B' U2 L D' U
R2 F' B' U2 L D2 U
R2 F' B' U2 D L U
R2 F' B' U2 D' L U
R2 F' B' U2 D2 L U
B' D' U' R2 U' L U
R2 F' B' D U2 L U
R2 F' B' D' U2 L U
R2 F' B' D2 U2 L U
B' D' U2 L U R2 D
B' D' U2 L U R2 D'
B' D' U2 L U R2 D2
B' D' U2 L D B2 U
B' D' U2 L B U R2
B' D' U2 L B' U R2
B' D' U2 L B2 U R2
B' D' F U2 L U R2
B' D' F' U2 L U R2
B' D' F2 U2 L U R2
B2 D' B U2 L B2 U
B' D2 L2 F2 L2 R U'
B' D2 L2 F2 R L2 U'
B' D2 R F2 U2 L U
B' D2 R' F2 U2 L U
R' F2 B R' F' B2 U'
R' F2 B R' B2 F' U'
B' D2 R2 F2 U2 L U
U2 F2 B U2 R' B2 U'
F' D2 R2 F' R B' U'
F' D2 R2 F' B' R U'
R2 F2 B R' F B2 U'
R2 F2 B R' B2 F U'
F' D2 R2 B' F' R U'
F2 D2 R2 F' R B' U'
F2 D2 R2 F' B' R U'
F2 D2 R2 B' F' R U'
F D2 R2 F' R B' U'
B' D2 U2 L U D R2
B' D2 U2 L U2 F2 U'
B' D2 U2 L D U R2
B' D2 U2 L D2 B2 U
F D2 R2 F' B' R U'
F D2 R2 B' F' R U'
U2 B L U2 R' B2 U'
U2 B L' U2 R' B2 U'
U2 B L2 U2 R' B2 U'
B' D2 F2 R U2 L U
B' D2 F2 R' U2 L U
B' D2 F2 R2 U2 L U
B' D2 F2 U2 L U D
B' D2 F2 U2 L U D'
B' D2 F2 U2 L U D2
B' D2 F2 U2 L D U
B' D2 F2 U2 L D' U
B' D2 F2 U2 L D2 U
B' D2 F2 U2 D L U
B' D2 F2 U2 D' L U
B' D2 F2 U2 D2 L U
B' D2 F2 D U2 L U
B' D2 F2 D' U2 L U
B' D2 F2 D2 U2 L U
B' D2 F2 B2 R' B2 U'
R' B R' D F' U' L2
R' B R' F' U' D L2
R' B R' F' D U' L2
R' B R' F' B2 U' D
R' B R' F' B2 U' D'
R' B R' F' B2 U' D2
R' B R' F' B2 D U'
R' B R' F' B2 D' U'
R' B R' F' B2 D2 U'
R' B R' B2 D F' U'
R' B R' B2 D' F' U'
R' B R' B2 D2 F' U'
R' B R' B2 F' U' D
R' B R' B2 F' U' D'
R' B R' B2 F' U' D2
R' B R' B2 F' D U'
R' B R' B2 F' D' U'
R' B R' B2 F' D2 U'
B2 D2 B U2 L B2 U
R' B R2 B2 R F' U'
U' B U R' B2 U' R
R B R F' R2 B2 U'
R B R F' B2 R2 U'
R B R B2 F' R2 U'
B' D2 B2 R' F2 B2 U'
B' D2 B2 R' B2 F2 U'
B' D2 B2 F2 R' B2 U'
R B R' B2 U2 B' U
L2 B U2 L2 R' B' U'
U2 B U2 R B2 R2 U'
U2 B U2 R' U' D L2
U2 B U2 R' D U' L2
L2 B U2 R' L2 B' U'
U2 B U2 R' B2 U' D
U2 B U2 R' B2 U' D'
U2 B U2 R' B2 U' D2
U2 B U2 R' B2 D U'
U2 B U2 R' B2 D' U'
U2 B U2 R' B2 D2 U'
U2 B U2 R2 B2 R U'
R' B D R' F' U' L2
U2 B U2 D R' U' L2
U2 B U2 B2 U2 L U
U2 B D U2 R' U' L2
B' F R U2 L B2 U
R2 B D F' R' U' L2
B' F R' U2 L B2 U
R' B F R' F' B2 U'
R' B F R' B2 F' U'
U2 B D2 F2 U2 R' U'
B' F R2 U2 L B2 U
F' B R' B2 U' D' R2
F' B R' B2 U2 B2 U
F' B R' B2 D' U' R2
F' B R' B2 D2 F2 U'
F2 B R' B2 U' D' R2
F2 B R' B2 U2 B2 U
F2 B R' B2 D' U' R2
F2 B R' B2 D2 F2 U'
R' B F' R' F' B2 U'
R' B F' R' B2 F' U'
L2 B F U2 L2 R' U'
L2 B F U2 R' L2 U'
U2 B F U2 R' B2 U'
R2 B F R' F2 B2 U'
R2 B F R' B2 F2 U'
B F R' B2 U' D' R2
B F R' B2 U2 B2 U
B F R' B2 D' U' R2
B F R' B2 D2 F2 U'
R' B F2 R' F' B2 U'
R' B F2 R' B2 F' U'
U2 B F' U2 R' B2 U'
F B R' B2 U' D' R2
F B R' B2 U2 B2 U
F B R' B2 D' U' R2
F B R' B2 D2 F2 U'
R2 B F' R B2 R2 U'
R2 B F' R' U' D L2
R2 B F' R' D U' L2
R2 B F' R' B2 U' D
R2 B F' R' B2 U' D'
R2 B F' R' B2 U' D2
R2 B F' R' B2 D U'
R2 B F' R' B2 D' U'
R2 B F' R' B2 D2 U'
R2 B F' R2 B2 R U'
R2 B F' D R' U' L2
U2 B F2 U2 R' B2 U'
R2 B F2 R' F B2 U'
R2 B F2 R' B2 F U'
B' F U2 L U D' R2
B' F U2 L D' U R2
B' F U2 L B2 U D
B' F U2 L B2 U D'
B' F U2 L B2 U D2
B' F U2 L B2 D U
B' F U2 L B2 D' U
B' F U2 L B2 D2 U
B' F U2 L' B2 L2 U
B' F U2 L2 B2 L' U
B' F U2 D' L U R2
U2 B' L B2 U D L2
U2 B' L B2 U2 B2 U'
U2 B' L B2 D U L2
B' F U2 B2 U2 R' U'
U2 B' L B2 D2 F2 U
R' B' R U2 L B U
D' B' R U' D' R2 B
B' F D' U2 L U R2
D' B' R D' U' R2 B
D' B' R' U' D' B R2
D' B' R' U2 B2 U B'
D' B' R' D' U' B R2
R' B' R' F' U2 L U
B' F D2 F2 U2 L U
D' B' R' D2 F2 U' B
R B' R F' U2 L U
R2 B' R2 U2 L B U
U' B' U' L B2 U L'
R B' R' U2 L B U
D' B' U' R D' R2 B
D' B' U' R' D' B R2
R' B' U2 L U2 F U'
R' B' U2 L' B' L2 U
B' F' R U2 L B2 U
F' B' R U2 L B2 U
F2 B' R U2 L B2 U
B' F' R' U2 L B2 U
R2 B' U2 L U2 F' U'
F' B' R' U2 L B2 U
D B' U2 L B2 U B
F2 B' R' U2 L B2 U
B' F' R2 U2 L B2 U
F B' R U2 L B2 U
D B' U2 B2 L U B'
F' B' R2 U2 L B2 U
D' B' D' F' R U' R
F2 B' R2 U2 L B2 U
R2 B' D F' U2 L U
R B' U2 D2 L B' U
F B' R' U2 L B2 U
B F' R' B2 U' D' R2
B F' R' B2 U2 B2 U
B F' R' B2 D' U' R2
B F' R' B2 D2 F2 U'
R2 B' D' F' U2 L U
F B' R2 U2 L B2 U
D2 B' F U2 L' B2 U
D2 B' F U2 B2 L' U
D2 B' F D2 F2 R U'
B' F' U2 L U D' R2
B' F' U2 L D' U R2
D B' D2 R' F2 U' B
L2 B' F L B2 R' U
B' F' U2 L B2 U D
B' F' U2 L B2 U D'
B' F' U2 L B2 U D2
B' F' U2 L B2 D U
B' F' U2 L B2 D' U
B' F' U2 L B2 D2 U
D2 B' F' R U' D' R2
B' F' U2 L' B2 L2 U
D2 B' F' R U2 B2 U
D2 B' F' R D' U' R2
D2 B' F' R D2 F2 U'
B' F' U2 L2 B2 L' U
R2 B' D2 F' U2 L U
F' B' U2 L U D' R2
D B' D2 F2 R' U' B
B' F' U2 D' L U R2
F' B' U2 L D' U R2
F' B' U2 L B2 U D
F' B' U2 L B2 U D'
F' B' U2 L B2 U D2
F' B' U2 L B2 D U
F' B' U2 L B2 D' U
F' B' U2 L B2 D2 U
F' B' U2 L' B2 L2 U
D2 B' F' D' R U' R
F' B' U2 L2 B2 L' U
D2 B' F' D2 R F2 U'
F2 B' U2 L U D' R2
F2 B' U2 L D' U R2
F2 B' U2 L B2 U D
F2 B' U2 L B2 U D'
F2 B' U2 L B2 U D2
F2 B' U2 L B2 D U
F2 B' U2 L B2 D' U
F2 B' U2 L B2 D2 U
F2 B' U2 L' B2 L2 U
F' B' U2 D' L U R2
B' F' U2 B2 U2 R' U'
F2 B' U2 L2 B2 L' U
F2 B' U2 D' L U R2
F' B' U2 B2 U2 R' U'
R B' D2 U2 L B' U
R2 B' F' R U2 L U
R2 B' F' R' U2 L U
F2 B' U2 B2 U2 R' U'
R2 B' F' R2 U2 L U
R2 B' F' U2 L U D
R2 B' F' U2 L U D'
R2 B' F' U2 L U D2
R2 B' F' U2 L D U
R2 B' F' U2 L D' U
R2 B' F' U2 L D2 U
R2 B' F' U2 D L U
R2 B' F' U2 D' L U
R2 B' F' U2 D2 L U
R2 B' F' D U2 L U
R2 B' F' D' U2 L U
R2 B' F' D2 U2 L U
F B' U2 L U D' R2
F B' U2 L D' U R2
F B' U2 L B2 U D
F B' U2 L B2 U D'
F B' U2 L B2 U D2
F B' U2 L B2 D U
F B' U2 L B2 D' U
F B' U2 L B2 D2 U
F B' U2 L' B2 L2 U
F B' U2 L2 B2 L' U
B' F' D' U2 L U R2
F B' U2 D' L U R2
F' B' D' U2 L U R2
F B' U2 B2 U2 R' U'
F2 B' D' U2 L U R2
B' F' D2 F2 U2 L U
F' B' D2 F2 U2 L U
F2 B' D2 F2 U2 L U
F B' D' U2 L U R2
L2 B2 L2 F B' R' U'
L2 B2 L2 B' R' F U'
L2 B2 L2 B' F R' U'
F B' D2 F2 U2 L U
B' F2 R U2 L B2 U
B' F2 R' U2 L B2 U
B' F2 R2 U2 L B2 U
B F2 R' B2 U' D' R2
B F2 R' B2 U2 B2 U
B F2 R' B2 D' U' R2
B F2 R' B2 D2 F2 U'
B' F2 U2 L U D' R2
B' F2 U2 L D' U R2
B' F2 U2 L B2 U D
B' F2 U2 L B2 U D'
B' F2 U2 L B2 U D2
B' F2 U2 L B2 D U
B' F2 U2 L B2 D' U
B' F2 U2 L B2 D2 U
B' F2 U2 L' B2 L2 U
B' F2 U2 L2 B2 L' U
B' F2 U2 D' L U R2
B' F2 U2 B2 U2 R' U'
B' F2 D' U2 L U R2
B' F2 D2 F2 U2 L U
