U2 F U' F' L'
R U2 F B U' F'
R U2 B F U' F'
U2 D F U' F' L'
U2 D' F U' F' L'
U2 D2 F U' F' L'
D2 U2 F U' F' L'
D' U2 F U' F' L'
D U2 F U' F' L'
U2 F L' B' U' F'
U2 F U' L F' L'
U2 F U' L' F' L'
U2 F U' L2 F' L'
U2 F U' D F' L'
U2 F U' D' F' L'
U2 F U' D2 F' L'
U2 F U' F' L' D
U2 F U' F' L' D'
U2 F U' F' L' D2
U2 F U' F' D L'
U2 F U' F' D' L'
U2 F U' F' D2 L'
U2 F D U' F' L'
U2 F D' U' F' L'
U2 F D2 U' F' L'
U2 F B U' F' L'
U2 F B' U' F' L'
U2 F B2 U' F' L'
R' F' U2 F2 U' F2
U2 B F U' F' L'
U2 B' F U' F' L'
U2 B2 F U' F' L'
R U2 F B D U' F'
R U2 F B D' U' F'
R U2 F B D2 U' F'
U' R2 U' F U' F' L'
R U2 B D F U' F'
R U2 B D' F U' F'
R U2 B D2 F U' F'
R U2 B F L U' F'
R U2 B F L' U' F'
R U2 B F L2 U' F'
R U2 B F U' D F'
R U2 B F U' D' F'
R U2 B F U' D2 F'
R U2 B F U' F' D
R U2 B F U' F' D'
R U2 B F U' F' D2
R U2 B F D U' F'
R U2 B F D' U' F'
R U2 B F D2 U' F'
U R2 F' D' L' F2 R
R D U2 F B U' F'
R D U2 B F U' F'
R' D F' U2 F2 U' F2
B' U R2 F' L' D R2
B' U R2 F' D L' R2
B' U R2 F' D R2 L'
U2 D F L' B' U' F'
U2 D F U' L F' L'
U2 D F U' L' F' L'
U2 D F U' L2 F' L'
U2 D F U' D F' L'
U2 D F U' D' F' L'
U2 D F U' D2 F' L'
U2 D F U' F' L' D
U2 D F U' F' L' D'
U2 D F U' F' L' D2
U2 D F U' F' D L'
U2 D F U' F' D' L'
U2 D F U' F' D2 L'
U2 D F D U' F' L'
U2 D F D' U' F' L'
U2 D F D2 U' F' L'
U2 D F B U' F' L'
U2 D F B' U' F' L'
U2 D F B2 U' F' L'
B' U F' L' D R2 F'
B' U F' D L' R2 F'
B' U F' D R2 L' F'
U2 D B F U' F' L'
U2 D B' F U' F' L'
U2 D B2 F U' F' L'
R2 D' U2 F U' L' F'
R D' U2 F B U' F'
R' D' F' U2 F2 U' F2
R D' U2 B F U' F'
U2 D' F L' B' U' F'
U2 D' F U' L F' L'
U2 D' F U' L' F' L'
U2 D' F U' L2 F' L'
U2 D' F U' D F' L'
U2 D' F U' D' F' L'
U2 D' F U' D2 F' L'
U2 D' F U' F' L' D
U2 D' F U' F' L' D'
U2 D' F U' F' L' D2
U2 D' F U' F' D L'
U2 D' F U' F' D' L'
U2 D' F U' F' D2 L'
U2 D' F D U' F' L'
U2 D' F D' U' F' L'
U2 D' F D2 U' F' L'
U2 D' F B U' F' L'
U2 D' F B' U' F' L'
U2 D' F B2 U' F' L'
U2 D' B F U' F' L'
U2 D' B' F U' F' L'
U2 D' B2 F U' F' L'
B' U' B U' F U' L
B U' B' R' U' F U'
D' U2 F L' B' U' F'
D2 U2 F L' B' U' F'
D' U2 F U' L F' L'
D' U2 F U' L' F' L'
D' U2 F U' L2 F' L'
D' U2 F U' D F' L'
D' U2 F U' D' F' L'
D' U2 F U' D2 F' L'
D' U2 F U' F' L' D
D' U2 F U' F' L' D'
D' U2 F U' F' L' D2
D' U2 F U' F' D L'
D' U2 F U' F' D' L'
D' U2 F U' F' D2 L'
D2 U2 F U' L F' L'
D2 U2 F U' L' F' L'
D' U2 F D U' F' L'
D2 U2 F U' L2 F' L'
D2 U2 F U' D F' L'
D2 U2 F U' D' F' L'
D2 U2 F U' D2 F' L'
D2 U2 F U' F' L' D
D2 U2 F U' F' L' D'
D2 U2 F U' F' L' D2
D2 U2 F U' F' D L'
D2 U2 F U' F' D' L'
D2 U2 F U' F' D2 L'
D' U2 F D' U' F' L'
D' U2 F D2 U' F' L'
D2 U2 F D U' F' L'
D' U2 F B U' F' L'
D2 U2 F D' U' F' L'
D' U2 F B' U' F' L'
U2 D2 F L' B' U' F'
D2 U2 F D2 U' F' L'
D' U2 F B2 U' F' L'
D2 U2 F B U' F' L'
D2 U2 F B' U' F' L'
D2 U2 F B2 U' F' L'
F' U2 L' F2 B' U' F2
U2 D2 F U' L F' L'
U2 D2 F U' L' F' L'
U2 D2 F U' L2 F' L'
F' U2 L' B' F2 U' F2
U2 D2 F U' D F' L'
U2 D2 F U' D' F' L'
U2 D2 F U' D2 F' L'
U2 D2 F U' F' L' D
U2 D2 F U' F' L' D'
U2 D2 F U' F' L' D2
U2 D2 F U' F' D L'
U2 D2 F U' F' D' L'
U2 D2 F U' F' D2 L'
F2 U2 L' F' B' U' F
U2 D2 F D U' F' L'
D U2 F L' B' U' F'
U2 D2 F D' U' F' L'
F2 U2 L' B' F' U' F
U2 D2 F D2 U' F' L'
R D2 U2 F B U' F'
R' D2 F' U2 F2 U' F2
U2 D2 F B U' F' L'
U2 D2 F B' U' F' L'
U2 D2 F B2 U' F' L'
D U2 F U' L F' L'
D U2 F U' L' F' L'
D U2 F U' L2 F' L'
R D2 U2 B F U' F'
D U2 F U' D F' L'
D U2 F U' D' F' L'
D U2 F U' D2 F' L'
D U2 F U' F' L' D
D U2 F U' F' L' D'
D U2 F U' F' L' D2
D U2 F U' F' D L'
D U2 F U' F' D' L'
D U2 F U' F' D2 L'
D U2 F D U' F' L'
D U2 F D' U' F' L'
D U2 F D2 U' F' L'
D U2 F B U' F' L'
D U2 F B' U' F' L'
D U2 F B2 U' F' L'
D' U2 B F U' F' L'
D2 U2 B F U' F' L'
U2 D2 B F U' F' L'
D' U2 B' F U' F' L'
D2 U2 B' F U' F' L'
D U2 B F U' F' L'
U2 D2 B' F U' F' L'
D' U2 B2 F U' F' L'
D2 U2 B2 F U' F' L'
D U2 B' F U' F' L'
U2 D2 B2 F U' F' L'
U2 F L U' F' D' L2
U2 F L U2 F U F2
D U2 B2 F U' F' L'
B' U2 F U B U2 L
U2 F L' D B' U' F'
U2 F L' D' B' U' F'
U2 F L' D2 B' U' F'
U2 F L' B' L U' F'
U2 F L' B' L' U' F'
U2 F L' B' L2 U' F'
U2 F L' B' U' D F'
U2 F L' B' U' D' F'
U2 F L' B' U' D2 F'
U2 F L' B' U' F' D
U2 F L' B' U' F' D'
U2 F L' B' U' F' D2
U2 F L' B' D U' F'
U2 F L' B' D' U' F'
U2 F L' B' D2 U' F'
B U2 F U B' R' U2
F2 U2 F' U' F' L' F2
F' U2 F2 L' B' U' F2
F' U2 F2 U' F' L' F'
U' F R2 B' U' B2 L
U' F R2 B2 U' B' L
U2 F U R2 B U2 L
U2 F U B U2 L F'
U2 F U B U2 F' L
U2 F U' L D F' L'
U2 F U' L D' F' L'
U2 F U' L D2 F' L'
U2 F U' L F' L' D
U2 F U' L F' L' D'
U2 F U' L F' L' D2
U2 F U' L F' D L'
U2 F U' L F' D' L'
U2 F U' L F' D2 L'
U2 F U' L' D F' L'
U2 F U' L' D' F' L'
U2 F U' L' D2 F' L'
U2 F U' L' F' L' D
U2 F U' L' F' L' D'
U2 F U' L' F' L' D2
U2 F U' L' F' D L'
U2 F U' L' F' D' L'
U2 F U' L' F' D2 L'
U2 F U' L2 D F' L'
U2 F U' L2 D' F' L'
U2 F U' L2 D2 F' L'
U2 F U' L2 F' L' D
U2 F U' L2 F' L' D'
U2 F U' L2 F' L' D2
U2 F U' L2 F' D L'
U2 F U' L2 F' D' L'
U2 F U' L2 F' D2 L'
U2 F U' D L F' L'
U2 F U' D L' F' L'
U2 F U' D L2 F' L'
U2 F U' D F' L' D
U2 F U' D F' L' D'
U2 F U' D F' L' D2
U2 F U' D F' D L'
U2 F U' D F' D' L'
U2 F U' D F' D2 L'
U2 F U' D' L F' L'
U2 F U' D' L' F' L'
U2 F U' D' L2 F' L'
U2 F U' D' F' L' D
U2 F U' D' F' L' D'
U2 F U' D' F' L' D2
U2 F U' D' F' D L'
U2 F U' D' F' D' L'
U2 F U' D' F' D2 L'
U2 F U' D2 L F' L'
U2 F U' D2 L' F' L'
U2 F U' D2 L2 F' L'
U2 F U' D2 F' L' D
U2 F U' D2 F' L' D'
U2 F U' D2 F' L' D2
U2 F U' D2 F' D L'
U2 F U' D2 F' D' L'
U2 F U' D2 F' D2 L'
U2 F U' F L F2 L'
U2 F U' F L' F2 L'
U2 F U' F L2 F2 L'
U2 F U' F' L2 D L
U2 F U' F' L2 D' L
U2 F U' F' L2 D2 L
U2 F U' F' D L' D
U2 F U' F' D L' D'
U2 F U' F' D L' D2
U2 F U' F' D' L' D
U2 F U' F' D' L' D'
U2 F U' F' D' L' D2
U2 F U' F' D2 L' D
U2 F U' F' D2 L' D'
U2 F U' F' D2 L' D2
U2 F U' F' B' L' B
U2 F U' F' B2 L' B2
U2 F U' B' F' L' B
U2 F U' B2 F' L' B2
U2 F D L' B' U' F'
U2 F D U' L F' L'
U2 F D U' L' F' L'
U2 F D U' L2 F' L'
U2 F D U' F' L' D
U2 F D U' F' L' D'
U2 F D U' F' L' D2
U2 F D U' F' D L'
U2 F D U' F' D' L'
U2 F D U' F' D2 L'
U2 F D B U' F' L'
U2 F D B' U' F' L'
U2 F D B2 U' F' L'
U2 F D' L' B' U' F'
U2 F D' U' L F' L'
U2 F D' U' L' F' L'
U2 F D' U' L2 F' L'
U2 F D' U' F' L' D
U2 F D' U' F' L' D'
U2 F D' U' F' L' D2
U2 F D' U' F' D L'
U2 F D' U' F' D' L'
U2 F D' U' F' D2 L'
U2 F D' B U' F' L'
U2 F D' B' U' F' L'
U2 F D' B2 U' F' L'
U2 F D2 L' B' U' F'
U' F B R2 U' L B
U2 F D2 U' L F' L'
U2 F D2 U' L' F' L'
U2 F D2 U' L2 F' L'
U2 F D2 U' F' L' D
U2 F D2 U' F' L' D'
U2 F D2 U' F' L' D2
U2 F D2 U' F' D L'
U2 F D2 U' F' D' L'
U2 F D2 U' F' D2 L'
U' F B U F' U2 L
U2 F D2 B U' F' L'
U2 F D2 B' U' F' L'
U2 F D2 B2 U' F' L'
U2 F B L' B' U' F'
U' F B' U F' R' U2
U2 F B U' L F' L'
U2 F B U' L' F' L'
U2 F B U' L2 F' L'
U2 F B U' D F' L'
U2 F B U' D' F' L'
U2 F B U' D2 F' L'
U2 F B U' F' L' D
U2 F B U' F' L' D'
U2 F B U' F' L' D2
U2 F B U' F' D L'
U2 F B U' F' D' L'
U2 F B U' F' D2 L'
U2 F B D U' F' L'
U2 F B D' U' F' L'
U2 F B D2 U' F' L'
U2 F B' L' B' U' F'
U2 F B' U' L F' L'
U2 F B' U' L' F' L'
U2 F B' U' L2 F' L'
U2 F B' U' D F' L'
U2 F B' U' D' F' L'
U2 F B' U' D2 F' L'
U2 F B' U' F' L' D
U2 F B' U' F' L' D'
U2 F B' U' F' L' D2
U2 F B' U' F' D L'
U2 F B' U' F' D' L'
U2 F B' U' F' D2 L'
U2 F B' D U' F' L'
U2 F B' D' U' F' L'
U2 F B' D2 U' F' L'
U2 F B2 L' B' U' F'
R F B U B' U2 B
U2 F B2 U' L F' L'
U2 F B2 U' L' F' L'
U2 F B2 U' L2 F' L'
U2 F B2 U' D F' L'
U2 F B2 U' D' F' L'
U2 F B2 U' D2 F' L'
U2 F B2 U' F' L' D
U2 F B2 U' F' L' D'
U2 F B2 U' F' L' D2
U2 F B2 U' F' D L'
U2 F B2 U' F' D' L'
U2 F B2 U' F' D2 L'
U2 F B2 D U' F' L'
U2 F B2 D' U' F' L'
U2 F B2 D2 U' F' L'
U F' L' U F2 U' F2
U F' L' D R2 D' F2
R' F' R U2 F2 U' F2
R' F' R' U2 F2 U' F2
R' F' R2 U2 F2 U' F2
F' D B' U R2 F' L'
R' F' U D R2 D' F2
U F' R2 D' L' F2 R
R' F' U2 L F2 U' F2
R' F' U2 L' F2 U' F2
R' F' U2 L2 F2 U' F2
R' F' U2 F2 L U' F2
R' F' U2 F2 L' U' F2
R' F' U2 F2 L2 U' F2
U F' U F2 U' F2 L'
R' F' U2 F2 U' F2 D
R' F' U2 F2 U' F2 D'
R' F' U2 F2 U' F2 D2
R' F' U2 F2 D' L2 U'
R' F' D U R2 D' F2
R' F' D B' U R2 F'
U F' D L' R2 D' F2
R F' U2 F2 B U' F2
R F' U2 B F2 U' F2
U F' D R2 L' D' F2
U F' D R2 D' L' F2
R' F' D2 B2 U D2 F2
R' F' D2 B2 U' B2 U2
R' F' D2 B2 D' R2 U
R' F' D2 B2 D2 U F2
R' F' B' U D R2 F'
R' F' B' D U R2 F'
U F' D2 B2 U L' B2
U F' D2 B2 U B2 L'
R' F' B2 D2 B2 U F2
U2 F2 L' F' B' U' F'
U2 F2 L' B' F' U' F'
R F2 U2 F' B U' F
R F2 U2 B F' U' F
U' B U' F U' L F'
U' B U' F U' F' L
U2 B D F U' F' L'
U2 B D' F U' F' L'
U' B F R2 U' L B
U' B F U F' U2 L
U2 B D2 F U' F' L'
U2 B F L' B' U' F'
U2 B F U' L F' L'
U2 B F U' L' F' L'
U2 B F U' L2 F' L'
U2 B F U' D F' L'
U2 B F U' D' F' L'
U2 B F U' D2 F' L'
U2 B F U' F' L' D
U2 B F U' F' L' D'
U2 B F U' F' L' D2
U2 B F U' F' D L'
U2 B F U' F' D' L'
U2 B F U' F' D2 L'
U2 B F D U' F' L'
U2 B F D' U' F' L'
U2 B F D2 U' F' L'
R B F U B' U2 B
B F U B' U2 B L
F B U B' U2 B L
B F U' B' R' U2 R
F B U' B' R' U2 R
L2 B' L2 U' B U2 L
U' B' R' U' F U' F'
U2 B' D F U' F' L'
B' F' U D R2 F' L'
U2 B' D' F U' F' L'
F' B' U D R2 F' L'
U' B' F U F' R' U2
U2 B' D2 F U' F' L'
U2 B' F L' B' U' F'
R' B' F' U D R2 F'
U2 B' F U' L F' L'
U2 B' F U' L' F' L'
U2 B' F U' L2 F' L'
U2 B' F U' D F' L'
U2 B' F U' D' F' L'
R' B' F' D U R2 F'
U2 B' F U' D2 F' L'
U2 B' F U' F' L' D
U2 B' F U' F' L' D'
U2 B' F U' F' L' D2
U2 B' F U' F' D L'
U2 B' F U' F' D' L'
U2 B' F U' F' D2 L'
U2 B' F D U' F' L'
U2 B' F D' U' F' L'
U2 B' F D2 U' F' L'
B' F' D U R2 F' L'
F' B' D U R2 F' L'
U2 B2 D F U' F' L'
U2 B2 D' F U' F' L'
U2 B2 D2 F U' F' L'
U2 B2 F L' B' U' F'
U2 B2 F U' L F' L'
U2 B2 F U' L' F' L'
U2 B2 F U' L2 F' L'
U2 B2 F U' D F' L'
U2 B2 F U' D' F' L'
U2 B2 F U' D2 F' L'
U2 B2 F U' F' L' D
U2 B2 F U' F' L' D'
U2 B2 F U' F' L' D2
U2 B2 F U' F' D L'
U2 B2 F U' F' D' L'
U2 B2 F U' F' D2 L'
R' B2 F' D2 B2 U F2
U2 B2 F D U' F' L'
U2 B2 F D' U' F' L'
U2 B2 F D2 U' F' L'
