L2 B' L' R' U'
L2 B' R' L' U'
L2 R B' L' R' U'
L2 R B' R' L' U'
L2 R' B' L' R' U'
L2 R' B' R' L' U'
R' L2 B' L' R' U'
R' L2 B' R' L' U'
L2 R2 B' L' R' U'
L2 R2 B' R' L' U'
R2 L2 B' L' R' U'
R2 L2 B' R' L' U'
R L2 B' L' R' U'
R L2 B' R' L' U'
D' L2 B' L' R' U'
D2 L2 B' L' R' U'
D' L2 B' R' L' U'
D2 L2 B' R' L' U'
D L2 B' L' R' U'
D L2 B' R' L' U'
L U' D' L' B' L
B' R' U2 F R U
L U2 F' L' F U
L2 D B' L' R' U'
L2 D B' R' L' U'
L D' U' L' B' L
L2 D' B' L' R' U'
L2 D' B' R' L' U'
L D' B' R' U' L
L2 D2 B' L' R' U'
L2 D2 B' R' L' U'
L D2 B' R' B U'
U2 F U2 L R U'
U2 F U2 R L U'
L2 B' L' R' U' D
L2 B' L' R' U' D'
L2 B' L' R' U' D2
L2 B' L' R' U' D2
L2 B' L' R' D U'
L2 B' L' R' D' U'
L2 B' L' R' D2 U'
L2 B' L' D R' U'
L2 B' L' D' R' U'
L2 B' L' D2 R' U'
L2 B' R' L' U' D
L2 B' R' L' U' D'
L2 B' R' L' U' D2
L2 B' R' L' D U'
L2 B' R' L' D' U'
L2 B' R' L' D2 U'
L2 B' R' D L' U'
L2 B' R' D L' U'
L2 B' R' D' L' U'
L2 B' R' D2 L' U'
L2 B' D L' R' U'
L2 B' D R' L' U'
L2 B' D' L' R' U'
L2 B' D' R' L' U'
L2 B' D2 L' R' U'
L2 B' D2 R' L' U'
L B' D2 R' B U'
L2 B2 L' B R' U'
L2 R2 D' B' L' R' U'
L2 R2 D' B' R' L' U'
R2 L2 D' B' L' R' U'
R2 L2 D' B' R' L' U'
L R2 D' B' R' U' L
R L2 D' B' L' R' U'
R L2 D' B' R' L' U'
D2 L2 R B' L' R' U'
D' L2 R B' L' R' U'
D2 L2 R B' R' L' U'
R' L2 D2 B' L' R' U'
D' L2 R B' R' L' U'
R' L2 D2 B' R' L' U'
D L2 R B' L' R' U'
D L2 R B' R' L' U'
L2 R2 D2 B' L' R' U'
L2 R2 D2 B' R' L' U'
R2 L2 D2 B' L' R' U'
R2 L2 D2 B' R' L' U'
L R2 D2 B' R' B U'
R L2 D2 B' L' R' U'
R L2 D2 B' R' L' U'
B' L2 R' B L B2 U'
D2 L2 R' B' L' R' U'
D2 L2 R' B' R' L' U'
D' L2 R' B' L' R' U'
D' L2 R' B' R' L' U'
B' L2 R' B' U2 R' U
D L2 R' B' L' R' U'
D L2 R' B' R' L' U'
D2 L2 R2 B' L' R' U'
D2 L2 R2 B' R' L' U'
D' L2 R2 B' L' R' U'
D' L2 R2 B' R' L' U'
D L2 R2 B' L' R' U'
D L2 R2 B' R' L' U'
R' L2 B' L' R' U' D
R' L2 B' L' R' U' D'
R' L2 B' L' R' U' D2
R' L2 B' L' R' D U'
R' L2 B' L' R' D' U'
R' L2 B' L' R' D2 U'
R' L2 B' L' D R' U'
R' L2 B' L' D' R' U'
R' L2 B' L' D2 R' U'
R' L2 B' R' L' U' D
R' L2 B' R' L' U' D'
R' L2 B' R' L' U' D2
R' L2 B' R' L' D U'
R' L2 B' R' L' D' U'
R' L2 B' R' L' D2 U'
R' L2 B' R' D L' U'
R' L2 B' R' D' L' U'
R' L2 B' R' D2 L' U'
L2 R2 B' L' R' U' D
L2 R2 B' L' R' U' D'
L2 R2 B' L' R' U' D2
L2 R2 B' L' R' D U'
L2 R2 B' L' R' D' U'
L2 R2 B' L' R' D2 U'
L2 R2 B' L' D R' U'
L2 R2 B' L' D' R' U'
L2 R2 B' L' D2 R' U'
R2 L2 B' L' R' U' D
R2 L2 B' L' R' U' D'
R2 L2 B' L' R' U' D2
R2 L2 B' L' R' D U'
R2 L2 B' L' R' D' U'
R2 L2 B' L' R' D2 U'
R2 L2 B' L' D R' U'
R2 L2 B' L' D' R' U'
R2 L2 B' L' D2 R' U'
R' L2 B' D L' R' U'
R' L2 B' D R' L' U'
R' L2 B' D' L' R' U'
R' L2 B' D' R' L' U'
L2 R2 B' R' L' U' D
L2 R2 B' R' L' U' D'
L2 R2 B' R' L' U' D2
L2 R2 B' R' L' D U'
L2 R2 B' R' L' D' U'
L2 R2 B' R' L' D2 U'
L2 R2 B' R' D L' U'
L2 R2 B' R' D' L' U'
L2 R2 B' R' D2 L' U'
R' L2 B' D2 L' R' U'
R' L2 B' D2 R' L' U'
R2 L2 B' R' L' U' D
R2 L2 B' R' L' U' D'
R2 L2 B' R' L' U' D2
R2 L2 B' R' L' D U'
R2 L2 B' R' L' D' U'
R2 L2 B' R' L' D2 U'
U2 L2 U2 B' L' R' U'
U2 L2 U2 B' R' L' U'
R2 L2 B' R' D L' U'
R2 L2 B' R' D' L' U'
R2 L2 B' R' D2 L' U'
R L2 B' L' R' U' D
R L2 B' L' R' U' D'
R L2 B' L' R' U' D2
R L2 B' L' R' D U'
R L2 B' L' R' D' U'
R L2 B' L' R' D2 U'
R L2 B' L' D R' U'
R L2 B' L' D' R' U'
R L2 B' L' D2 R' U'
R L2 B' R' L' U' D
R L2 B' R' L' U' D'
R L2 B' R' L' U' D2
R L2 B' R' L' D U'
R L2 B' R' L' D' U'
R L2 B' R' L' D2 U'
R L2 B' R' D L' U'
R L2 B' R' D' L' U'
R L2 B' R' D2 L' U'
L2 R2 B' D L' R' U'
L2 R2 B' D R' L' U'
R' L2 B2 L' B R' U'
R2 L2 B' D L' R' U'
L2 R2 B' D' L' R' U'
R2 L2 B' D R' L' U'
L2 R2 B' D' R' L' U'
L2 R2 B' D2 L' R' U'
R2 L2 B' D' L' R' U'
L2 R2 B' D2 R' L' U'
R2 L2 B' D' R' L' U'
R2 L2 B' D2 L' R' U'
R2 L2 B' D2 R' L' U'
L R2 B' D2 R' B U'
R L2 B' D L' R' U'
R L2 B' D R' L' U'
R L2 B' D' L' R' U'
R L2 B' D' R' L' U'
D2 L2 D B' L' R' U'
D2 L2 D B' R' L' U'
R L2 B' D2 L' R' U'
D' L2 D B' L' R' U'
R L2 B' D2 R' L' U'
D' L2 D B' R' L' U'
L2 R2 B2 L' B R' U'
R2 L2 B2 L' B R' U'
R L2 B2 L' B R' U'
D L2 D B' L' R' U'
D L2 D B' R' L' U'
D2 L2 D' B' L' R' U'
D2 L2 D' B' R' L' U'
D' L2 D' B' L' R' U'
D' L2 D' B' R' L' U'
D L2 D' B' L' R' U'
D L2 D' B' R' L' U'
D2 L2 D2 B' L' R' U'
D2 L2 D2 B' R' L' U'
D' L2 D2 B' L' R' U'
D' L2 D2 B' R' L' U'
D L2 D2 B' L' R' U'
D L2 D2 B' R' L' U'
L U R' D F' R U2
D2 L2 B' L' R' U' D
D2 L2 B' L' R' U' D'
D2 L2 B' L' R' U' D2
D2 L2 B' L' R' D U'
D2 L2 B' L' R' D' U'
D2 L2 B' L' R' D2 U'
D2 L2 B' L' D R' U'
D2 L2 B' L' D' R' U'
D2 L2 B' L' D2 R' U'
D' L2 B' L' R' U' D
D' L2 B' L' R' U' D'
D' L2 B' L' R' U' D2
D' L2 B' L' R' D U'
D' L2 B' L' R' D' U'
D' L2 B' L' R' D2 U'
D' L2 B' L' D R' U'
D' L2 B' L' D' R' U'
D' L2 B' L' D2 R' U'
D2 L2 B' R' L' U' D
D2 L2 B' R' L' U' D'
D2 L2 B' R' L' U' D2
D2 L2 B' R' L' D U'
D2 L2 B' R' L' D' U'
D2 L2 B' R' L' D2 U'
D2 L2 B' R' D L' U'
D2 L2 B' R' D' L' U'
D2 L2 B' R' D2 L' U'
D' L2 B' R' L' U' D
D' L2 B' R' L' U' D'
D' L2 B' R' L' U' D2
D' L2 B' R' L' D U'
D' L2 B' R' L' D' U'
D' L2 B' R' L' D2 U'
D' L2 B' R' D L' U'
D' L2 B' R' D' L' U'
D' L2 B' R' D2 L' U'
B L2 B' L U' D' B2
B L2 B' L U2 L2 U
B L2 B' L D' U' B2
B L2 B' L D2 R2 U'
D L2 B' L' R' U' D
D L2 B' L' R' U' D'
D L2 B' L' R' U' D2
D L2 B' L' R' D U'
D L2 B' L' R' D' U'
D L2 B' L' R' D2 U'
D L2 B' L' D R' U'
D L2 B' L' D' R' U'
D L2 B' L' D2 R' U'
D2 L2 B' D L' R' U'
D2 L2 B' D R' L' U'
D2 L2 B' D' L' R' U'
D2 L2 B' D' R' L' U'
D' L2 B' D L' R' U'
D' L2 B' D R' L' U'
D2 L2 B' D2 L' R' U'
D L2 B' R' L' U' D
D L2 B' R' L' U' D'
D L2 B' R' L' U' D2
D L2 B' R' L' D U'
D L2 B' R' L' D' U'
D L2 B' R' L' D2 U'
D2 L2 B' D2 R' L' U'
D' L2 B' D' L' R' U'
D L2 B' R' D L' U'
D L2 B' R' D' L' U'
D L2 B' R' D2 L' U'
D' L2 B' D' R' L' U'
D' L2 B' D2 L' R' U'
D' L2 B' D2 R' L' U'
D L2 B' D L' R' U'
D2 L2 B2 L' B R' U'
D L2 B' D R' L' U'
D L2 B' D' L' R' U'
D L2 B' D' R' L' U'
D' L2 B2 L' B R' U'
D L2 B' D2 L' R' U'
D L2 B' D2 R' L' U'
L U D R' F' R U2
D L2 B2 L' B R' U'
L U D F U2 L' B'
L U D F' R U2 B
D2 R L2 B' L' R' U'
D2 R L2 B' R' L' U'
D' R L2 B' L' R' U'
D' R L2 B' R' L' U'
D R L2 B' L' R' U'
D R L2 B' R' L' U'
F R U2 L F R U'
L U' L B D L2 B'
L U' L' U' F U B'
U2 R F U2 L R U'
U2 R F U2 R L U'
L U' L' B' U' F U
L' U' D F' L' F' B'
L' U' D F' L' B' F'
L U' D L' D2 B' L
L U' D F L' F' B'
L U' D F L' B' F'
L U' D' L' B' L D
L U' D' L' B' L D'
L U' D' L' B' L D2
L U' D' L' B' D L
L U' D' L' B' D' L
L U' D' L' B' D2 L
L U' D' L2 B' L B'
B' R' L B L B' U'
L U' D' B' L' B' L2
L U' D2 L' D B' L
L' U' F D F2 L' B'
D2 R' L2 B' L' R' U'
D2 R' L2 B' R' L' U'
D' R' L2 B' L' R' U'
D' R' L2 B' R' L' U'
B' R' L2 B L B2 U'
B' R' L2 B' U2 R' U
L' U' F' D L' F2 B'
L' U' F' D L' B' F2
D R' L2 B' L' R' U'
D R' L2 B' R' L' U'
L U' F' D F L' B'
B' R' U' L D F L'
B' R' U2 R F R U
B' R' U2 R' F R U
B' R' U2 R2 F R U
B' R' U2 D F R U
B' R' U2 D' F R U
B' R' U2 D2 F R U
B' R' U2 F R U D
B' R' U2 F R U D'
B' R' U2 F R U D2
B' R' U2 F R D U
B' R' U2 F R D' U
B' R' U2 F R D2 U
B' R' U2 F D R U
B' R' U2 F D' R U
B' R' U2 F D2 R U
L U' B D' L' B' L
B' R' D U2 F R U
L U' B' D' L' B' L
B' R' D' U2 F R U
L U' B2 D' L' B' L
B' R' D2 U2 F R U
L U2 L U2 B' R' U'
U2 R' F U2 L R U'
U2 R' F U2 R L U'
L U2 L' F U2 R U'
L U2 L' F' L' F2 U
B' R' B L2 B' L' U'
B' R' B' U2 R' F U
B' R' B' U2 F R' U
B' R' B2 L2 B' L U'
R' U2 F U2 L R U'
R' U2 F U2 R L U'
R2 U2 F U2 L R U'
R2 U2 F U2 R L U'
D2 R2 L2 B' L' R' U'
D2 R2 L2 B' R' L' U'
D' R2 L2 B' L' R' U'
D' R2 L2 B' R' L' U'
R U2 F U2 L R U'
R U2 F U2 R L U'
D R2 L2 B' L' R' U'
D R2 L2 B' R' L' U'
L U2 F' L' D F U
L U2 F' L' D' F U
L U2 F' L' D2 F U
L U2 F' L' F U D
L U2 F' L' F U D'
L U2 F' L' F U D2
L U2 F' L' F D U
L U2 F' L' F D' U
L U2 F' L' F D2 U
L U2 F2 L' F L' U
L' D L' B' R' U' F2
U2 R2 F U2 L R U'
U2 R2 F U2 R L U'
R' D L2 B' L' R' U'
R' D L2 B' R' L' U'
R2 D L2 B' L' R' U'
R2 D L2 B' R' L' U'
R D L2 B' L' R' U'
R D L2 B' R' L' U'
L2 D R B' L' R' U'
L2 D R B' R' L' U'
L2 D R' B' L' R' U'
L2 D R' B' R' L' U'
L2 D R2 B' L' R' U'
L2 D R2 B' R' L' U'
L' D U' F' L' F' B'
L' D U' F' L' B' F'
L D U R' F' R U2
L D U F U2 L' B'
L D U F' R U2 B
F R2 B2 R' B' L U
L D U' L' D2 B' L
L D U' F L' F' B'
L D U' F L' B' F'
L2 D B' L' R' U' D
L2 D B' L' R' U' D'
L2 D B' L' R' U' D2
L2 D B' L' R' D U'
L2 D B' L' R' D' U'
L2 D B' L' R' D2 U'
L2 D B' L' D R' U'
L2 D B' L' D' R' U'
L2 D B' L' D2 R' U'
L2 D B' R' L' U' D
L2 D B' R' L' U' D'
L2 D B' R' L' U' D2
L2 D B' R' L' D U'
L2 D B' R' L' D' U'
L2 D B' R' L' D2 U'
L2 D B' R' D L' U'
L2 D B' R' D' L' U'
L2 D B' R' D2 L' U'
L2 D B' D L' R' U'
L2 D B' D R' L' U'
L2 D B' D' L' R' U'
L2 D B' D' R' L' U'
L2 D B' D2 L' R' U'
L2 D B' D2 R' L' U'
L2 D B2 L' B R' U'
L D B' D R' B U'
U2 D F U2 L R U'
U2 D F U2 R L U'
R' D' L2 B' L' R' U'
R' D' L2 B' R' L' U'
R2 D' L2 B' L' R' U'
R2 D' L2 B' R' L' U'
R D' L2 B' L' R' U'
R D' L2 B' R' L' U'
L2 D' R B' L' R' U'
L2 D' R B' R' L' U'
L D' R U' L' B' L
L D' R B' R' U' L
L2 D' R' B' L' R' U'
L2 D' R' B' R' L' U'
L D' R' U' L' B' L
L D' R' B' R' U' L
L2 D' R2 B' L' R' U'
L2 D' R2 B' R' L' U'
L D' R2 U' L' B' L
L D' R2 B' R' U' L
L D' U' L' B' L D
L D' U' L' B' L D'
L D' U' L' B' L D2
L D' U' L' B' D L
L D' U' L' B' D' L
L D' U' L' B' D2 L
L D' U' L2 B' L B'
L D' U' B' L' B' L2
U2 D' F U2 L R U'
U2 D' F U2 R L U'
L2 D' B' L' R' U' D
L2 D' B' L' R' U' D'
L2 D' B' L' R' U' D2
L2 D' B' L' R' D U'
L2 D' B' L' R' D' U'
L2 D' B' L' R' D2 U'
L2 D' B' L' D R' U'
L2 D' B' L' D' R' U'
L2 D' B' L' D2 R' U'
L2 D' B' R' L' U' D
L2 D' B' R' L' U' D'
L2 D' B' R' L' U' D2
L2 D' B' R' L' D U'
L2 D' B' R' L' D' U'
L2 D' B' R' L' D2 U'
L2 D' B' R' D L' U'
L2 D' B' R' D' L' U'
L2 D' B' R' D2 L' U'
L2 D' B' D L' R' U'
L2 D' B' D R' L' U'
L2 D' B' D' L' R' U'
L2 D' B' D' R' L' U'
L2 D' B' D2 L' R' U'
L2 D' B' D2 R' L' U'
L2 D' B2 L' B R' U'
L D' B' R' U' L D
L D' B' R' U' L D'
L D' B' R' U' L D2
L D' B' R' U' D L
L D' B' R' U' D' L
L D' B' R' U' D2 L
L D' B' R' D U' L
L D' B' R' D' U' L
L D' B' R' D2 U' L
L D' B' D R' U' L
L D' B' D' R' U' L
L D' B' D2 R' U' L
R' D2 L2 B' L' R' U'
R' D2 L2 B' R' L' U'
R2 D2 L2 B' L' R' U'
R2 D2 L2 B' R' L' U'
L2 D2 R B' L' R' U'
L2 D2 R B' R' L' U'
R D2 L2 B' L' R' U'
R D2 L2 B' R' L' U'
L D2 R U2 F' L' U
L2 D2 R' B' L' R' U'
L2 D2 R' B' R' L' U'
L D2 R' B U2 L U
L2 D2 R2 B' L' R' U'
L2 D2 R2 B' R' L' U'
L D2 R' B' R' B2 U'
L D2 U' L' D B' L
D' U2 F U2 L R U'
D' U2 F U2 R L U'
D2 U2 F U2 L R U'
D2 U2 F U2 R L U'
U2 D2 F U2 L R U'
F U2 L F R F2 U'
U2 D2 F U2 R L U'
F U2 L F' U2 L' U
D U2 F U2 L R U'
D U2 F U2 R L U'
B2 U2 R' D2 F L' U
L2 D2 B' L' R' U' D
L2 D2 B' L' R' U' D'
L2 D2 B' L' R' U' D2
L2 D2 B' L' R' D U'
L2 D2 B' L' R' D' U'
L2 D2 B' L' R' D2 U'
L2 D2 B' L' D R' U'
L2 D2 B' L' D' R' U'
L2 D2 B' L' D2 R' U'
L2 D2 B' R' L' U' D
L2 D2 B' R' L' U' D'
L2 D2 B' R' L' U' D2
L2 D2 B' R' L' D U'
L2 D2 B' R' L' D' U'
L2 D2 B' R' L' D2 U'
L2 D2 B' R' D L' U'
L2 D2 B' R' D' L' U'
L2 D2 B' R' D2 L' U'
L2 D2 B' D L' R' U'
L2 D2 B' D R' L' U'
L2 D2 B' D' L' R' U'
L2 D2 B' D' R' L' U'
L2 D2 B' D2 L' R' U'
L2 D2 B' D2 R' L' U'
L2 D2 B2 L' B R' U'
L D2 B' R' D B U'
L D2 B' R' D' B U'
L D2 B' R' D2 B U'
L D2 B' R' B U' D
L D2 B' R' B U' D'
L D2 B' R' B U' D2
L D2 B' R' B D U'
L D2 B' R' B D' U'
L D2 B' R' B D2 U'
B2 U2 D' R' F U B
B2 U2 D' F R' U B
L D2 B2 R' B R' U'
B2 U2 D2 R' F L' U
B2 U2 D2 F L' R' U
B2 U2 D2 F R' L' U
B' U2 F R U D B2
B' U2 F R U2 R2 U'
B' U2 F R D U B2
B' U2 F R D2 L2 U
U2 F L' U2 L2 R U'
U2 F L' U2 R L2 U'
B2 U2 F D' R' U B
U2 F L2 U2 L' R U'
U2 F L2 U2 R L' U'
F U2 F L R F2 U'
F U2 F R L F2 U'
F U2 F R F2 L U'
F U2 F' L U' D' B2
F U2 F' L U2 L2 U
F U2 F' L D' U' B2
F U2 F' L D2 R2 U'
U2 F R' U2 L R2 U'
U2 F R' U2 R2 L U'
U' F U L U' L' B'
U2 F R2 U2 L R' U'
U2 F R2 U2 R' L U'
U2 F U2 L R U' D
U2 F U2 L R U' D'
U2 F U2 L R U' D2
U2 F U2 L R D U'
U2 F U2 L R D' U'
U2 F U2 L R D2 U'
U2 F U2 L D R U'
U2 F U2 L D' R U'
U2 F U2 L D2 R U'
U2 F U2 R L U' D
U2 F U2 R L U' D'
U2 F U2 R L U' D2
U2 F U2 R L D U'
U2 F U2 R L D' U'
U2 F U2 R L D2 U'
U2 F U2 R D L U'
U2 F U2 R D' L U'
U2 F U2 R D2 L U'
U2 F U2 D L R U'
U2 F U2 D R L U'
U2 F U2 D' L R U'
U2 F U2 D' R L U'
U2 F U2 D2 L R U'
U2 F U2 D2 R L U'
U2 F D U2 L R U'
U2 F D U2 R L U'
U2 F D' U2 L R U'
U2 F D' U2 R L U'
B' D R' U2 F R U
U2 F D2 U2 L R U'
U2 F D2 U2 R L U'
U' F' L' D' B' L2 F
U2 F' L' F2 U D F2
U2 F' L' F2 U2 L2 U'
U2 F' L' F2 D U F2
U2 F' L' F2 D2 R2 U
U2 F' L2 F2 L R U
U2 F' L2 F2 R L U
L F' D F U' L' B'
B' D' R' U2 F R U
L2 F' B' R' F L' U'
B2 D' U2 R' F U B
B2 D' U2 F R' U B
B' D2 R' U2 F R U
B2 D2 U2 R' F L' U
B2 D2 U2 F L' R' U
B2 D2 U2 F R' L' U
L' B L2 U2 L' F U
L2 B L' B2 U' D' B2
L2 B L' B2 U2 L2 U
L2 B L' B2 D' U' B2
L2 B L' B2 D2 R2 U'
L2 B R B2 L' R' U'
L2 B R B2 R' L' U'
L2 B R' B2 L' R' U'
L2 B R' B2 R' L' U'
L2 B R2 B2 L' R' U'
L2 B R2 B2 R' L' U'
B F L R2 B R' U
F B L R2 B R' U
L B U2 L U2 B' U'
L B U2 L' F L2 U
B F R2 L B R' U
L B D2 B2 R' B U'
F B R2 L B R' U
L2 B' L R' U' D F2
L2 B' L R' D U' F2
L2 B' L D R' U' F2
L' B' L' R' B' L' U'
B' F U2 F' L' R' U'
B' F U2 F' R' L' U'
L2 B' L' R U' D B2
L2 B' L' R D U' B2
L2 B' L' R2 D R U'
L2 B' L' R2 D' R U'
L2 B' L' R2 D2 R U'
L2 B' L' D R' U' D
L2 B' L' D R' U' D'
L2 B' L' D R' U' D2
L2 B' L' D R' D U'
L2 B' L' D R' D' U'
L2 B' L' D R' D2 U'
L B' L R' B' L' U'
L2 B' L' D' R' U' D
L2 B' L' D' R' U' D'
L2 B' L' D' R' U' D2
L2 B' L' D' R' D U'
L2 B' L' D' R' D' U'
L2 B' L' D' R' D2 U'
L2 B' L' D2 R' U' D
L2 B' L' D2 R' U' D'
L2 B' L' D2 R' U' D2
L2 B' L' D2 R' D U'
L2 B' L' D2 R' D' U'
L2 B' L' D2 R' D2 U'
L2 B' L' F' R' F U'
L2 B' L' F2 R' F2 U'
L' B' L2 D2 R' B U'
L2 B' L2 R' D L U'
L2 B' L2 R' D' L U'
L2 B' L2 R' D2 L U'
L2 B' L2 D L R' U'
L2 B' L2 D R' L U'
L2 B' L2 D' L R' U'
L2 B' L2 D' R' L U'
L2 B' L2 D2 L R' U'
L2 B' L2 D2 R' L U'
L2 B' R L' U' D B2
L2 B' R L' D U' B2
L2 B' R D L' U' B2
R' B' R' U2 F R U
L' B' R' L' B' L' U'
D2 B' R' U2 F R U
D' B' R' U2 F R U
L2 B' R' L U' D F2
L2 B' R' L D U' F2
L2 B' R' L2 D L U'
L2 B' R' L2 D' L U'
L2 B' R' L2 D2 L U'
L2 B' R' D L' U' D
L2 B' R' D L' U' D'
L2 B' R' D L' U' D2
L2 B' R' D L' D U'
L2 B' R' D L' D' U'
L2 B' R' D L' D2 U'
L2 B' R' D' L' U' D
L2 B' R' D' L' U' D'
L2 B' R' D' L' U' D2
L2 B' R' D' L' D U'
L2 B' R' D' L' D' U'
L2 B' R' D' L' D2 U'
L2 B' R' D2 L' U' D
L2 B' R' D2 L' U' D'
L2 B' R' D2 L' U' D2
L2 B' R' D2 L' D U'
L2 B' R' D2 L' D' U'
L2 B' R' D2 L' D2 U'
L2 B' R' B' L' B U'
R2 B' R' U2 F R U
L2 B' R' B2 L' B2 U'
D B' R' U2 F R U
L2 B' R2 L' D R U'
L2 B' R2 L' D' R U'
L2 B' R2 L' D2 R U'
L2 B' R2 D L' R U'
L2 B' R2 D R L' U'
L B' R' L B' L' U'
L2 B' R2 D' L' R U'
L2 B' R2 D' R L' U'
L2 B' R2 D2 L' R U'
L2 B' R2 D2 R L' U'
