F2 R U F' R2 B'
F2 R U F' B' R2
F2 R U B' F' R2
F2 U R F' R2 B'
F2 U R F' B' R2
F2 U R B' F' R2
R' D B' D2 L2 F2
R' D B' D2 F2 L2
F2 U R' B' D2 F2
R' D' B' L2 D2 F2
R' D' B2 L2 F B
R' D' B2 L2 B F
R F' R2 B' D L2
R F2 U R2 F B'
R F2 U R2 B' F
R F2 U F R2 B'
R F2 U F B' R2
R F2 U B' R2 F
R F2 U B' F R2
R' B' D' L2 D' F2
R' B' D2 F2 D L2
R' B2 D' L2 F B
R' B2 D' L2 B F
R F2 U R2 D2 B' F
R F2 U R2 F D B'
R F2 U R2 F D' B'
R F2 U R2 F D2 B'
R F2 U R2 F B' D
R F2 U R2 F B' D'
R F2 U R2 F B' D2
R F2 U R2 B' D F
R F2 U R2 B' D' F
R F2 U R2 B' D2 F
R F2 U R2 B' F D
R F2 U R2 B' F D'
R F2 U R2 B' F D2
R F2 U F R B' R
R F2 U F R2 D B'
R F2 U F R2 D' B'
R F2 U F R2 D2 B'
R F2 U F R2 B' D
R F2 U F R2 B' D'
R F2 U F R2 B' D2
R F2 U F B R2 B2
R F2 U F B' R2 D
R F2 U F B' R2 D'
R F2 U F B' R2 D2
R F2 U F' R2 F2 B'
R F2 U F' R2 B' F2
R F2 U F' B' R2 F2
R F2 U B R2 F B2
R F2 U B R2 B2 F
R F2 U B F R2 B2
R F2 U B' R' F R'
R F2 U B' R2 D F
R F2 U B' R2 D' F
R F2 U B' R2 D2 F
R F2 U B' R2 F D
R F2 U B' R2 F D'
R F2 U B' R2 F D2
R F2 U B' F R2 D
R F2 U B' F R2 D'
R F2 U B' F R2 D2
R F2 U B' F' R2 F2
R F2 D B2 U F B
R F2 D B2 U B F
R' F2 B' D2 F2 D' L2
R F2 B U R2 F B2
R F2 B U R2 B2 F
R F2 B U F R2 B2
R F2 B U F B2 R2
R F2 B U B2 R2 F
R F2 B U B2 F R2
R F2 B2 U F B R2
R F2 B2 U B R2 F
R F2 B2 U B F R2
R2 B R B2 D' L2 F
R B R2 B2 D' L2 F
R' B' L D' L2 D' F2
R' B' L D2 F2 D L2
R' B' L' D' L2 D' F2
R' B' L' D2 F2 D L2
R B F2 U R2 F B2
R B F2 U R2 B2 F
R B F2 U F R2 B2
R B F2 U F B2 R2
R B F2 U B2 R2 F
R B F2 U B2 F R2
R' B' L2 D' L2 D' F2
R' B' L2 D2 F2 D L2
R' B' U D2 B2 U' F2
R' B' U' D' R2 U L2
R' B' U' F2 U D2 F2
R' B' U' F2 U' B2 U2
R' B' U' F2 D' R2 U
R' B' U' F2 D2 U F2
R' B' U2 B2 U F2 U
R' B' U2 B2 U2 D' L2
R' B' U2 B2 D R2 U2
R' B' U2 B2 D' U2 L2
R' B' D' L D' L F2
R' B' D' L D' F2 L
R' B' D' L' D' L' F2
R' B' D' L2 U' R2 U
R' B' D' L2 D' F2 D
R' B' D' L2 D' F2 D'
R' B' D' L2 D' F2 D2
R' B' D' L2 F D' F2
R' B' D' L2 F' D' F2
R' B' D' L2 F2 D' F2
R' B' D' U' R2 U L2
R B' U' F2 U R2 F
R B' U' F2 U F R2
R' B' D' F L2 D' F2
R' B' D' F' L2 D' F2
R' B' D' F2 L2 D' F2
R' B' D2 L F2 D L2
R' B' D2 L' F2 D L2
R' B' D2 L2 F2 D L2
R' B' D2 U B2 U' F2
R2 B' D' L2 R' F' R2
R' B' D2 F D F L2
R' B' D2 F' D L2 F'
R' B' D2 F' D F' L2
R' B' D2 F2 L D L2
R' B' D2 F2 L' D L2
R' B' D2 F2 L2 D L2
R' B' D2 F2 U B2 U'
R2 B' D' R' L2 F' R2
R' B' D2 F2 D L2 D
R' B' D2 F2 D L2 D'
R' B' D2 F2 D L2 D2
R2 B' D' R' F' L2 R2
R2 B' D' R' F' R2 L2
R B' D' L2 D F' R2
R' B' F2 D2 F2 D' L2
R B' F' R2 U B U'
R B' F' U' F' U R2
R' B2 L2 D' F L2 B
R' B2 L2 D' F B L2
R' B2 L2 D' B F L2
R' B2 L2 B D' F L2
D2 B2 U L B' U2 B2
R' B2 D B D2 L2 F2
R' B2 D B D2 F2 L2
R' B2 D' L' B L' F
R' B2 D' L2 D F B
R' B2 D' L2 D B F
R' B2 D' L2 D' F B
R' B2 D' L2 D' B F
R' B2 D' L2 D2 F B
R' B2 D' L2 D2 B F
R' B2 D' L2 F D B
R' B2 D' L2 F D' B
R' B2 D' L2 F D2 B
R' B2 D' L2 F B D
R' B2 D' L2 F B D'
R' B2 D' L2 F B D2
R' B2 D' L2 B D F
R' B2 D' L2 B D' F
R' B2 D' L2 B D2 F
R' B2 D' L2 B F D
R' B2 D' L2 B F D'
R' B2 D' L2 B F D2
R' B2 D' F L2 F B
R' B2 D' F L2 B F
R' B2 D' F' L2 F B
R' B2 D' F' L2 B F
R' B2 D' F2 L2 F B
R' B2 D' F2 L2 B F
R' B2 D' B L2 D2 F2
R B2 F2 U F B R2
R B2 F2 U B R2 F
R B2 F2 U B F R2
