L2 R F' U R U2
R L2 F' U R U2
R F L2 F2 U' L
R F' L2 U R U2
R F' U' D F2 L'
R F' D U' F2 L'
B2 R F L2 F2 U' L
U2 R F L2 F2 U' L
B R F L2 F2 U' L
U R F L2 F2 U' L
B' R F' L2 U R U2
U' R F' L2 U R U2
B2 R F' L2 U R U2
U2 R F' L2 U R U2
B' R F' U' D F2 L'
U' R F' U' D F2 L'
B' R F' D U' F2 L'
B R F' L2 U R U2
U' R F' D U' F2 L'
B2 R F' U' D F2 L'
U2 R F' U' D F2 L'
B2 R F' D U' F2 L'
U2 R F' D U' F2 L'
U R F' L2 U R U2
B R F' U' D F2 L'
B R F' D U' F2 L'
U R F' U' D F2 L'
U R F' D U' F2 L'
R U' F D L' R2 F2
R U' F D L' F2 R2
R U' F D R2 L' F2
D R' B R2 U' R F2
L2 D R' B R2 U' R
R2 D R' F' B U' F'
R2 D R' B F' U' F'
R' F L2 R2 F' U' L
R F L F2 L U' L
R2 F L2 R' F' U' L
R F L2 U' L D R2
R F L2 U' D L R2
R F L2 U' D R2 L
R F L2 D U' L R2
R F L2 D U' R2 L
R F L2 F2 U' L D
R F L2 F2 U' L D'
R F L2 F2 U' L D2
R F L2 F2 U' D L
R F L2 F2 U' D' L
R F L2 F2 U' D2 L
R F L2 F2 D U' L
R F L2 F2 D' U' L
R F L2 F2 D2 U' L
R' F R2 L2 F' U' L
R2 F R' L2 F' U' L
R F U' D L' R2 F2
R F U' D L' F2 R2
R F U' D R2 L' F2
F D L' R' F2 B R'
F D L' R' B R' F2
F D L' R' B F2 R'
F D L' F2 R' B R'
F D L' F2 B R' B
F D L' B R' F2 B
F D L' B R' B F2
F D L' B F2 R' B
R F D U' L' R2 F2
R F D U' L' F2 R2
R F D U' R2 L' F2
F D R' L' F2 B R'
F D R' L' B R' F2
F D R' L' B F2 R'
F D R' B L' R' F2
F D R' B L' F2 R'
F D R' B R' L' F2
R F B L2 F2 U' L
R F B' L2 F2 U' L
R F B2 L2 F2 U' L
R F' L2 U R U2 D
R F' L2 U R U2 D'
R F' L2 U R U2 D2
R F' L2 U R D U2
R F' L2 U R D' U2
R F' L2 U R D2 U2
R F' L2 U D R U2
R F' L2 U D' R U2
R F' L2 U D2 R U2
R F' L2 U' F2 L' F2
R F' L2 U2 F2 U L'
R F' L2 D U R U2
R F' L2 D' U R U2
R F' L2 D2 U R U2
R F' L2 B U R U2
R F' L2 B' U R U2
R F' L2 B2 U R U2
F D B L' R' F2 B
F D B L' R' B F2
F D B L' F2 R' B
F D B R' L' F2 B
F D B R' L' B F2
F D B R' B L' F2
R F' U R U' L2 U'
R F' U R U2 D F2
R F' U R D U2 F2
R F' U R D' B2 U2
R F' U D R U2 F2
R F' U D' R B2 U2
R F' U D' B2 R U2
R F' U' D L F2 L'
R F' U' D L' F2 L'
R F' U' D L2 F2 L'
R F' U' D F2 L' D
R F' U' D F2 L' D'
R F' U' D F2 L' D2
R F' U' D F2 D L'
R F' U' D F2 D' L'
R F' U' D F2 D2 L'
R F' U' F2 D L' F2
R F' D L U' F2 L'
R F' D L' U' F2 L'
R F' D L2 U' F2 L'
R F' D U R U2 F2
R F' D U' L F2 L'
R F' D U' L' F2 L'
R F' D U' L2 F2 L'
R F' D U' F2 L' D
R F' D U' F2 L' D'
R F' D U' F2 L' D2
R F' D U' F2 D L'
R F' D U' F2 D' L'
R F' D U' F2 D2 L'
R F' D B U' F2 L'
R F' D B' U' F2 L'
R F' D B2 U' F2 L'
R F' D' U R B2 U2
R F' D' U B2 R U2
R F' B L2 U R U2
R F' B U' D F2 L'
R F' B D U' F2 L'
R F' B' L2 U R U2
R F' B' U' D F2 L'
R F' B' D U' F2 L'
R F' B2 L2 U R U2
R F' B2 U' D F2 L'
R' F2 L2 R2 F' U' L'
R F' B2 D U' F2 L'
R2 F2 L2 R' F' U' L'
R' F2 R2 L2 F' U' L'
R2 F2 R' L2 F' U' L'
R' F2 R2 F' L2 U' L
R2 F2 R' F' L2 U' L
L2 B R F' U R U2
R B L2 F' U R U2
R B F L2 F2 U' L
R B F' L2 U R U2
R B F' U' D F2 L'
R B F' D U' F2 L'
L2 B' R F' U R U2
R B' L2 F' U R U2
R B' F L2 F2 U' L
R B' F' L2 U R U2
R B' F' U' D F2 L'
R B' F' D U' F2 L'
R' B2 L2 R2 F U' L'
R' B2 L2 F R2 U' L'
L2 B2 R F' U R U2
R' B2 R2 L2 F U' L'
R B2 L2 F' U R U2
R B2 F L2 F2 U' L
R B2 F' L2 U R U2
R B2 F' U' D F2 L'
R B2 F' D U' F2 L'
