D' R2 B' L F B2
D' R2 B' L B2 F
D' B' L R2 F B
D' B' L R2 B F
D' B' R2 L F B
D' B' R2 L B F
D' B2 R2 B L F
L' F' D B' R2 L2 U2
L' F' D' L2 F R2 B
L' F' D' U2 L2 R2 F
L' F' D' U2 L2 F R2
L' F' D' U2 R2 L2 F
L' F' D' B' U2 L2 R2
L' F' D' B' U2 R2 L2
D' F' B R' U2 R' F'
D' F' B' L F R2 B
L' F' B' U F2 B' U
L' F' B' U B' F2 U
F' D' B R' U2 R' F'
F' D' B' L F R2 B
D' B R' U2 R' F' B
D' B R' U2 R' B F'
D' B F' R' U2 R' F'
D' B' L R' F R' B
D' B' L R2 D F B
D' B' L R2 D B F
D' B' L R2 D' F B
D' B' L R2 D' B F
D' B' L R2 D2 F B
D' B' L R2 D2 B F
D' B' L R2 F D B
D' B' L R2 F D' B
D' B' L R2 F D2 B
D' B' L R2 F B D
D' B' L R2 F B D'
D' B' L R2 F B D2
D' B' L R2 B D F
D' B' L R2 B D' F
D' B' L R2 B D2 F
D' B' L R2 B F D
D' B' L R2 B F D'
D' B' L R2 B F D2
D' B' L F R2 D2 B2
D' B' L B R2 F B
D' B' L B R2 B F
D' B' L B' R2 F B
D' B' L B' R2 B F
D' B' L B2 R2 F B
D' B' L B2 R2 B F
D' B' L2 R2 B L' F
D' B' R' L F R' B
D' B' R2 L D F B
D' B' R2 L D B F
D' B' R2 L D' F B
D' B' R2 L D' B F
D' B' R2 L D2 F B
D' B' R2 L D2 B F
D' B' R2 L F D B
D' B' R2 L F D' B
D' B' R2 L F D2 B
D' B' R2 L F B D
D' B' R2 L F B D'
D' B' R2 L F B D2
D' B' R2 L B D F
D' B' R2 L B D' F
D' B' R2 L B D2 F
D' B' R2 L B F D
D' B' R2 L B F D'
D' B' R2 L B F D2
D' B' R2 L2 B L' F
D' B' R2 D L F B
D' B' R2 D L B F
D' B' R2 D' L F B
D' B' R2 D' L B F
D' B' R2 D2 L F B
D' B' R2 D2 L B F
D' B' R2 F L F B
D' B' R2 F L B F
D' B' R2 F' L F B
D' B' R2 F' L B F
D' B' R2 F2 L F B
D' B' R2 F2 L B F
D' B' F' L F R2 B
L' B' F' U F2 B' U
L' B' F' U B' F2 U
D' B2 L R2 F B L
D' B2 L R2 B F L
D' B2 R2 L F B L
D' B2 R2 L B F L
D' B2 R2 D B L F
D' B2 R2 D' B L F
D' B2 R2 D2 B L F
D' B2 R2 F B L F
L' B2 R2 F U F2 B
L' B2 R2 F U B F2
D' B2 R2 F' B L F
D' B2 R2 F2 B L F
D' B2 R2 B L D F
D' B2 R2 B L D' F
D' B2 R2 B L D2 F
D' B2 R2 B L F D
D' B2 R2 B L F D'
D' B2 R2 B L F D2
D' B2 R2 B D L F
D' B2 R2 B D' L F
D' B2 R2 B D2 L F
D' B2 R2 B F L F
D' B2 R2 B F' L F
D' B2 R2 B F2 L F
L B2 R2 F' U F2 B
L B2 R2 F' U B F2
L2 B2 U' F' U2 L' F
L' B2 F U' F2 B U2
L' B2 F U' B F2 U2
