B2 R' B L U'
B2 L R' B L U'
B' L B' R' B U'
B2 L' R' B L U'
B2 L2 R' B L U'
B2 R' L B L U'
B2 R' L' B L U'
B2 R' L2 B L U'
B2 R' D B L U'
B2 R' D' B L U'
B2 R' D2 B L U'
B2 R' B L U' D
B2 R' B L U' D'
B2 R' B L U' D2
B2 R' B L D U'
B2 R' B L D' U'
B2 R' B L D2 U'
B2 R' B D L U'
B2 R' B D' L U'
B2 R' B D2 L U'
B' D2 L B' R' U'
B2 R' B D L D2 U'
B R' B R' U2 R U
B2 R' B D' L U' D
B2 R' B D' L U' D'
B2 R' B D' L U' D2
B2 R' B D' L D U'
B2 R' B D' L D' U'
B2 R' B D' L D2 U'
B2 R' B D2 L U' D
B2 R' B D2 L U' D'
B2 R' B D2 L U' D2
B2 R' B D2 L D U'
B2 R' B D2 L D' U'
B2 R' B D2 L D2 U'
B2 R' B F L F' U'
B2 R' B F2 L F2 U'
B2 R' B' L B2 L U'
B2 R' B' L' B2 L U'
B2 R' B' L2 B2 L U'
R U2 D2 L F' R U
F R2 L B R' F' U
R U2 D2 F' L R U
R U2 D2 F' R L U
D' R2 U2 L U F L'
B2 R2 D R B L U'
B2 R2 D' R B L U'
B2 R2 D2 R B L U'
B2 R2 B L R B U'
B2 R2 B R L B U'
U2 D L U' B' U2 L
B' U' L' D F2 B' L
B' U' L' D B' L F2
B' U' L' D B' F2 L
D U2 L U' B' U2 L
R D2 U2 L F' R U
R D2 U2 F' L R U
R D2 U2 F' R L U
B U2 R' U2 B R' U'
L F R2 B R' F' U
B' D L U' L' B' L
B' D L B' R' U' L
B' D B' R' U' L F
B2 D' R' U' L F L'
B' D2 L R B' R' U'
B' D2 L R' B' R' U'
B' D2 L R2 B' R' U'
B' D2 L D B' R' U'
B' D2 L D' B' R' U'
B' D2 L D2 B' R' U'
B' D2 L B' R' U' D
B' D2 L B' R' U' D'
B' D2 L B' R' U' D2
B' D2 L B' R' D U'
B' D2 L B' R' D' U'
B' D2 L B' R' D2 U'
B' D2 L B' D R' U'
B' D2 L B' D' R' U'
B' D2 L B' D2 R' U'
B' D2 R L B' R' U'
B' D2 R' L B' R' U'
B' D2 R2 L B' R' U'
B2 D2 R' B L B' U'
B2 D2 B L B' R' U'
R' B U2 D' R' U B
R' B D' U2 R' U B
R' B' L B' R' B' U'
L' B' L B2 R' B U'
R B' L U2 F' L' U
D B' U' L' F B' L2
D B' U' L' B' F L2
B2 F' R' F B L U'
B2 F' R' B F L U'
L' B' D2 L R2 B' U'
L' B' D2 L B' R2 U'
L' B' D2 R2 L B' U'
U' B2 R' B L U' R
R' B2 R' B L B2 U'
R' B2 R' B' U2 R' U
R2 B2 R B L R2 U'
R2 B2 R B R2 L U'
U' B2 U R' B U' F'
F' B2 R' F B L U'
F' B2 R' B F L U'
B2 F2 R' F2 B L U'
B2 F2 R' B L F2 U'
B2 F2 R' B F2 L U'
F2 B2 R' F2 B L U'
F2 B2 R' B L F2 U'
F2 B2 R' B F2 L U'
R B2 R2 B L R U'
R B2 R2 B R L U'
