F2 U' F R B'
F2 U' F B' R
F2 U' B' F R
U' F R F2 B'
U' F R B' F2
U' F B' R F2
U' B' F R F2
U' L2 F U2 R F2 L2
R2 U L' B L U2 B'
U' L2 F' L2 D2 B2 R'
U L2 F U2 F R F
R2 U L2 F B L U2
U L2 F B L U2 F2
U L2 F B' U2 R' F2
U L2 F B' U2 F2 R'
R2 U L2 B F L U2
U L2 B F L U2 F2
L2 U D F L' U2 F2
L2 U D F U2 F2 R
R2 U D B L U2 B2
U L2 B' F U2 R' F2
U L2 B' F U2 F2 R'
R2 U D B U2 B2 R'
R2 U D' B L U2 B2
R2 U D' B U2 B2 R'
R2 U D2 B L U2 B2
R2 U D2 B U2 B2 R'
R2 U F B L U2 B2
R2 U F B U2 B2 R'
R2 U F' B L U2 B2
R2 U F' B U2 B2 R'
F2 R U' R F R B'
F2 R U' R F B' R
F2 R U' R B' F R
F R U B' R' F2 L'
F2 R U' R' F R B'
F2 R U' R' F B' R
F2 R U' R' B' F R
F2 R U' R2 F R B'
F2 R U' R2 F B' R
F2 R U' R2 B' F R
F2 R U' D F R B'
F2 R U' D F B' R
F2 R U' D B' F R
F2 R U' D' F R B'
F2 R U' D' F B' R
F2 R U' D' B' F R
R2 U F2 B L U2 B2
F2 R U' D2 F R B'
F2 R U' D2 F B' R
F2 R U' D2 B' F R
R2 U F2 B U2 B2 R'
F2 R U' F R D B'
F2 R U' F R D' B'
F2 R U' F R D2 B'
F2 R U' F R B' D
F2 R U' F R B' D'
F2 R U' F R B' D2
F2 R U' F R' B' R2
F2 R U' F D R B'
F2 R U' F D B' R
F2 R U' F D' R B'
F2 R U' F D' B' R
F2 R U' F D2 R B'
F2 R U' F D2 B' R
F2 R U' F B R B2
F2 R U' F B' R D
F2 R U' F B' R D'
F2 R U' F B' R D2
F2 R U' F B' D R
F2 R U' F B' D' R
F2 R U' F B' D2 R
R2 U B L U2 B2 D
R2 U B L U2 B2 D'
R2 U B L U2 B2 D2
R2 U B L D2 F2 U2
R2 U B L F U2 B2
R2 U B L F' U2 B2
R2 U B L F2 U2 B2
F2 R U' B F R B2
F2 R U' B' R F R
F2 R U' B' R' F R
F2 R U' B' R2 F R
F2 R U' B' D F R
F2 R U' B' D' F R
F2 R U' B' D2 F R
F2 R U' B' F R D
F2 R U' B' F R D'
F2 R U' B' F R D2
F2 R U' B' F D R
F2 R U' B' F D' R
F2 R U' B' F D2 R
F R U' F R F B'
F R U' F R B' F
F R U' F B' R F
R2 U B U2 R B2 R'
R2 U B U2 R' B2 R'
F R U' B' F R F
R2 U B U2 R2 B2 R'
R2 U B U2 B2 R' D
R2 U B U2 B2 R' D'
R2 U B U2 B2 R' D2
R2 U B U2 B2 D R'
R2 U B U2 B2 D' R'
R2 U B U2 B2 D2 R'
R2 U B D2 L F2 U2
R2 U B D2 F2 L U2
R2 U B F L U2 B2
R2 U B F U2 B2 R'
R2 U B F' L U2 B2
R2 U B F' U2 B2 R'
R2 U B F2 L U2 B2
R2 U B F2 U2 B2 R'
R2 U B' R' D2 F2 L'
F2 R D U' F R B'
F2 R D U' F B' R
F2 R D U' B' F R
R2 U B' D2 R' F2 L'
F2 R D' U' F R B'
F2 R D' U' F B' R
F2 R D' U' B' F R
F2 R D2 U' F R B'
F2 R D2 U' F B' R
F2 R D2 U' B' F R
U' R F R B' D2 F2
U' R F R' F' R2 B'
U' R F R' F' B' R2
U' R F R' B' F' R2
U' R F B' R' F' R2
F R F U' F R B'
F R F U' F B' R
F R F U' B' F R
F' R F' U' F R B'
F' R F' U' F B' R
F' R F' U' B' F R
R' U' R F R F2 B'
R' U' R F R B' F2
R' U' R F B' R F2
R' U' R B' F R F2
U' R F2 R' F' R B'
U' R F2 R' F' B' R
U' R F2 R' B' F' R
R2 U' R F R F' B'
R2 U' R F R B' F'
R2 U' R F B' R F'
U' R F2 B' R' F' R
R2 U' R B' F R F'
U2 R B R' U F' B2
U2 R B R' U B2 F'
U' R B' R' F R F2
U' R B' R2 F R F'
R2 U' R2 F R F2 B'
R2 U' R2 F R B' F2
R2 U' R2 F B' R F2
U' R B' F R' F' R2
R2 U' R2 B' F R F2
U' R B' F2 R' F' R
L2 U' D F' R D2 B2
L2 U' D F' D2 R B2
L2 U' D F' D2 B2 R
U R B2 L B R' F'
R' U' F R D F' B'
R' U' F R D B' F'
R' U' F R D' F' B'
R' U' F R D' B' F'
R' U' F R D2 F' B'
R' U' F R D2 B' F'
R' U' F R F' D B'
R' U' F R F' D' B'
R' U' F R F' D2 B'
R' U' F R F' B' D
R' U' F R F' B' D'
R' U' F R F' B' D2
R' U' F R B' D F'
R' U' F R B' D' F'
R' U' F R B' D2 F'
R' U' F R B' F' D
R' U' F R B' F' D'
R' U' F R B' F' D2
R' U' F B R F' B2
R' U' F B R B2 F'
R' U' F B' R D F'
R' U' F B' R D' F'
R' U' F B' R D2 F'
R' U' F B' R F' D
R' U' F B' R F' D'
R' U' F B' R F' D2
R2 U' F R2 F' R' B'
R2 U' F B' R D2 F2
R2 U' F B' D2 R F2
R U' F B' R D' F2
R' U' F2 R F' R B'
R' U' F2 R F' B' R
R' U' F2 R B' F' R
L U' F' U F2 R U'
R2 U' F' B' D2 F2 R
R' U' F2 B' R F' R
R2 U' F2 R2 F' R B'
R2 U' F2 R2 F' B' R
R2 U' F2 R2 B' F' R
D2 R' U' F R F' B'
D2 R' U' F R B' F'
D' R' U' F R F' B'
D' R' U' F R B' F'
F2 R' U' R F R B'
F2 R' U' R F B' R
D2 R' U' F B' R F'
D' R' U' F B' R F'
F2 R' U' R B' F R
F2 R' U' R' F R B'
F2 R' U' R' F B' R
F2 R' U' R' B' F R
F2 R' U' R2 F R B'
F2 R' U' R2 F B' R
F2 R' U' R2 B' F R
F R' U B' R' F2 L'
F2 R' U' D F R B'
F2 R' U' D F B' R
F2 R' U' D B' F R
F2 R' U' D' F R B'
F2 R' U' D' F B' R
F2 R' U' D' B' F R
D2 R' U' B' F R F'
D' R' U' B' F R F'
F2 R' U' D2 F R B'
F2 R' U' D2 F B' R
F2 R' U' D2 B' F R
F2 R' U' F R D B'
F2 R' U' F R D' B'
F2 R' U' F R D2 B'
F2 R' U' F R B' D
F2 R' U' F R B' D'
F2 R' U' F R B' D2
F2 R' U' F R' B' R2
F2 R' U' F D R B'
F2 R' U' F D B' R
F2 R' U' F D' R B'
F2 R' U' F D' B' R
F2 R' U' F D2 R B'
F2 R' U' F D2 B' R
F2 R' U' F B R B2
F2 R' U' F B' R D
F2 R' U' F B' R D'
F2 R' U' F B' R D2
F2 R' U' F B' D R
F2 R' U' F B' D' R
F2 R' U' F B' D2 R
R' U' B F R F' B2
R' U' B F R B2 F'
D R' U' F R F' B'
D R' U' F R B' F'
F2 R' U' B F R B2
D R' U' F B' R F'
F2 R' U' B' R F R
F2 R' U' B' R' F R
F2 R' U' B' R2 F R
F2 R' U' B' D F R
F2 R' U' B' D' F R
F2 R' U' B' D2 F R
F2 R' U' B' F R D
F2 R' U' B' F R D'
F2 R' U' B' F R D2
F2 R' U' B' F D R
F2 R' U' B' F D' R
F2 R' U' B' F D2 R
F R' U' F R F B'
F R' U' F R B' F
D R' U' B' F R F'
F R' U' F B' R F
R' U' B' R F R F2
F R' U' B' F R F
R' U' B' F R D F'
R' U' B' F R D' F'
R' U' B' F R D2 F'
R' U' B' F R F' D
R' U' B' F R F' D'
R' U' B' F R F' D2
R' U' B' F2 R F' R
F2 R' D U' F R B'
F2 R' D U' F B' R
F2 R' D U' B' F R
R2 U' B' D2 F R F
R2 U' B' F R D2 F2
R2 U' B' F D2 R F2
R2 U' B' F' D2 F2 R
R U' B' F R D' F2
L' U2 L U F' B' R'
L' U2 L U B' F' R'
F2 R' D' U' F R B'
F2 R' D' U' F B' R
F2 R' D' U' B' F R
F2 R' D2 U' F R B'
F2 R' D2 U' F B' R
F2 R' D2 U' B' F R
U' R' F R D F' B'
U' R' F R D B' F'
U' R' F R D' F' B'
U' R' F R D' B' F'
U' R' F R D2 F' B'
U' R' F R D2 B' F'
U' R' F R F' D B'
U' R' F R F' D' B'
U' R' F R F' D2 B'
U' R' F R F' B' D
U' R' F R F' B' D'
U' R' F R F' B' D2
U' R' F R B' D F'
U' R' F R B' D' F'
U' R' F R B' D2 F'
U' R' F R B' F' D
U' R' F R B' F' D'
U' R' F R B' F' D2
U' R' F B R F' B2
U' R' F B R B2 F'
U' R' F B' R D F'
U' R' F B' R D' F'
U' R' F B' R D2 F'
U' R' F B' R F' D
U' R' F B' R F' D'
U' R' F B' R F' D2
L2 U2 L2 U F' B' R'
L2 U2 L2 U B' F' R'
F R' F U' F R B'
F R' F U' F B' R
F R' F U' B' F R
F' R' F' U' F R B'
F' R' F' U' F B' R
F' R' F' U' B' F R
R' U2 R B U F' B2
R' U2 R B U B2 F'
U' R' F2 R F' R B'
U' R' F2 R F' B' R
U' R' F2 R B' F' R
U' R' F2 B' R F' R
U' R' B F R F' B2
U' R' B F R B2 F'
U' R' B' R F R F2
U' R' B' F R D F'
U' R' B' F R D' F'
U' R' B' F R D2 F'
U' R' B' F R F' D
U' R' B' F R F' D'
U' R' B' F R F' D2
U' R' B' F2 R F' R
L' U2 D' B' L U F'
D2 R2 U B L U2 B2
D' R2 U B L U2 B2
D2 R2 U B U2 B2 R'
D' R2 U B U2 B2 R'
D R2 U B L U2 B2
D R2 U B U2 B2 R'
F2 R2 U' R F R B'
F2 R2 U' R F B' R
F2 R2 U' R B' F R
F2 R2 U' R' F R B'
F2 R2 U' R' F B' R
F2 R2 U' R' B' F R
F2 R2 U' R2 F R B'
F2 R2 U' R2 F B' R
F2 R2 U' R2 B' F R
F2 R2 U' D F R B'
F2 R2 U' D F B' R
F2 R2 U' D B' F R
F2 R2 U' D' F R B'
F2 R2 U' D' F B' R
F2 R2 U' D' B' F R
F2 R2 U' D2 F R B'
F R2 U B' R' F2 L'
F2 R2 U' D2 F B' R
F2 R2 U' D2 B' F R
F2 R2 U' F R D B'
F2 R2 U' F R D' B'
F2 R2 U' F R D2 B'
F2 R2 U' F R B' D
F2 R2 U' F R B' D'
F2 R2 U' F R B' D2
F2 R2 U' F R' B' R2
F2 R2 U' F D R B'
F2 R2 U' F D B' R
F2 R2 U' F D' R B'
F2 R2 U' F D' B' R
F2 R2 U' F D2 R B'
F2 R2 U' F D2 B' R
F2 R2 U' F B R B2
F2 R2 U' F B' R D
F2 R2 U' F B' R D'
F2 R2 U' F B' R D2
F2 R2 U' F B' D R
F2 R2 U' F B' D' R
F2 R2 U' F B' D2 R
F2 R2 U' B F R B2
F2 R2 U' B' R F R
F2 R2 U' B' R' F R
F2 R2 U' B' R2 F R
F2 R2 U' B' D F R
F2 R2 U' B' D' F R
F2 R2 U' B' D2 F R
F2 R2 U' B' F R D
F2 R2 U' B' F R D'
F2 R2 U' B' F R D2
F2 R2 U' B' F D R
F2 R2 U' B' F D' R
F2 R2 U' B' F D2 R
L' U2 B' L U F' B'
L' U2 B' L U B' F'
F R2 U' F R F B'
F R2 U' F R B' F
F R2 U' F B' R F
U' R2 U2 B L U2 B2
U' R2 U2 B U2 B2 R'
F R2 U' B' F R F
F2 R2 D U' F R B'
F2 R2 D U' F B' R
F2 R2 D U' B' F R
F2 R2 D' U' F R B'
F2 R2 D' U' F B' R
F2 R2 D' U' B' F R
F2 R2 D2 U' F R B'
F2 R2 D2 U' F B' R
F2 R2 D2 U' B' F R
U' R2 F R2 F' R' B'
U' R2 F B' R D2 F2
U' R2 F B' D2 R F2
L2 D L2 U' F' R B'
L2 D L2 U' F' B' R
L2 D L2 U' B' F' R
F' R2 F' U' F R B'
F' R2 F' U' F B' R
F R2 F U' F R B'
F R2 F U' F B' R
F' R2 F' U' B' F R
F R2 F U' B' F R
U' R2 F' B' D2 F2 R
U' R2 F2 R2 F' R B'
U' R2 F2 R2 F' B' R
U' R2 F2 R2 B' F' R
U R2 B L R2 U2 B2
U R2 B R2 L U2 B2
U R2 B R2 U2 B2 R'
U' R2 B' D2 F R F
U' R2 B' F R D2 F2
U' R2 B' F D2 R F2
U' R2 B' F' D2 F2 R
L2 D U F L' U2 F2
L2 D U F U2 F2 R
R2 D U B L U2 B2
R2 D U B U2 B2 R'
U R2 B' D2 L2 R' F2
U R2 B' D2 L2 F2 R'
U R2 B' D2 R' L2 F2
U R2 B' D2 R' F2 L2
U R2 B' D2 F2 L2 R'
U R2 B' D2 F2 R' L2
L2 D U' F' R D2 B2
L2 D U' F' D2 R B2
L2 D U' F' D2 B2 R
L D F L' U' F2 B'
L D F L' U' B' F2
F2 U L2 F B' U2 R'
F2 U L2 B' F U2 R'
F U L2 F U2 F R
U' D R' F R F' B'
U' D R' F R B' F'
U' D R' F B' R F'
U' D R' B' F R F'
F U R' F2 B' L' R'
F U R' F2 B' R' L'
F U R' B' F2 L' R'
F U R' B' F2 R' L'
U' D F R F2 D B'
U' D F R F2 D' B'
U' D F R F2 D2 B'
U' D F R F2 B' D
U' D F R F2 B' D'
U' D F R F2 B' D2
U' D F R B' F2 D
U' D F R B' F2 D'
U' D F R B' F2 D2
U' D F R' F2 R2 B'
U' D F R' F2 B' R2
U' D F R' B' R2 F2
U' D F R' B' F2 R2
U' D F R2 F2 R' B'
U' D F B R F2 B2
U' D F B R B2 F2
D' U F B' R' F2 L'
U' D F B' R F2 D
U' D F B' R F2 D'
U' D F B' R F2 D2
U' D F B' R' F2 R2
U' D F B' R2 F2 R'
D2 U F B' R' F2 L'
R' D' L F L' U' B'
D U F B' R' F2 L'
U' D F' B' U2 L' U2
U D F B' R' F2 L'
D' U F2 U2 F R B'
D' U F2 U2 F B' R
D' U F2 U2 B' F R
D2 U F2 U2 F R B'
D2 U F2 U2 F B' R
D2 U F2 U2 B' F R
D' U B L U2 F' B2
D' U B L U2 B2 F'
D2 U B L U2 F' B2
D2 U B L U2 B2 F'
D U F2 U2 F R B'
D U F2 U2 F B' R
D' U B U2 F' B2 R'
D U F2 U2 B' F R
D' U B U2 B2 F' R'
D2 U B U2 F' B2 R'
D2 U B U2 B2 F' R'
F U D2 B2 U2 B R'
U' D B F R F2 B2
U' D B F R B2 F2
D U B L U2 F' B2
D U B L U2 B2 F'
U D F2 U2 F R B'
U D F2 U2 F B' R
U D F2 U2 B' F R
U' D B' R' F R F'
F U F U2 F R B'
U D B L U2 F' B2
F U F U2 F B' R
U D B L U2 B2 F'
F U F U2 B' F R
D U B U2 F' B2 R'
D U B U2 B2 F' R'
U' D B' D F R F2
U' D B' D' F R F2
U' D B' D2 F R F2
F2 U F' B' R' F2 L'
D' U B' F R' F2 L'
U' D B' F R F2 D
U' D B' F R F2 D'
U' D B' F R F2 D2
U' D B' F R' F2 R2
U' D B' F R2 F2 R'
D2 U B' F R' F2 L'
U' D B' F' U2 L' U2
U D B U2 F' B2 R'
U D B U2 B2 F' R'
D' U B2 U2 F' B R'
D' U B2 U2 B F' R'
D2 U B2 U2 F' B R'
D2 U B2 U2 B F' R'
D U B' F R' F2 L'
B' U B U L U2 F'
U D B' F R' F2 L'
F2 U B U2 F B2 R'
F2 U B U2 B2 R' F
F2 U B U2 B2 F R'
D U B2 U2 F' B R'
D U B2 U2 B F' R'
F U B L U2 F2 B2
F U B L U2 B2 F2
U D B2 U2 F' B R'
U D B2 U2 B F' R'
F2 U B' R' F2 L' F'
F U B U2 F2 B2 R'
F U B U2 B2 R' F2
F U B U2 B2 F2 R'
F2 U B' F' R' F2 L'
F U B' L R' F2 L'
F U B' L' R' F2 L'
F U B' L2 R' F2 L'
B U B' U' F' R' B'
F U B' R' L F2 L'
F U B' R' L' F2 L'
F U B' R' L2 F2 L'
F U B' R' F2 L' D
F U B' R' F2 L' D'
F U B' R' F2 L' D2
F U B' R' F2 D L'
F U B' R' F2 D' L'
F U B' R' F2 D2 L'
R2 D' U B L U2 B2
R2 D' U B U2 B2 R'
F2 U B2 U2 F B R'
F2 U B2 U2 B R' F
F2 U B2 U2 B F R'
L' D' U2 B' L U F'
F U B2 U2 F2 B R'
F U B2 U2 B R' F2
F U B2 U2 B F2 R'
U' D' R' F R F' B'
U' D' R' F R B' F'
D' U' R' F R F' B'
D' U' R' F R B' F'
U' D' R' F B' R F'
D' U' R' F B' R F'
D2 U' R' F R F' B'
D2 U' R' F R B' F'
D2 U' R' F B' R F'
U' D' R' B' F R F'
D' U' R' B' F R F'
D2 U' R' B' F R F'
L D' F L' U' F2 B'
L D' F L' U' B' F2
D U' R' F R F' B'
D U' R' F R B' F'
D U' R' F B' R F'
D U' R' B' F R F'
D' U' F R F2 D B'
D' U' F R F2 D' B'
D' U' F R F2 D2 B'
D' U' F R F2 B' D
D' U' F R F2 B' D'
D' U' F R F2 B' D2
U' D' F R F2 D B'
U' D' F R F2 D' B'
U' D' F R F2 D2 B'
U' D' F R F2 B' D
U' D' F R F2 B' D'
U' D' F R F2 B' D2
D' U' F R B' F2 D
D' U' F R B' F2 D'
D' U' F R B' F2 D2
U' D' F R B' F2 D
U' D' F R B' F2 D'
U' D' F R B' F2 D2
D' U' F R' F2 R2 B'
U' D' F R' F2 R2 B'
D' U' F R' F2 B' R2
U' D' F R' F2 B' R2
D' U' F R' B' R2 F2
U' D' F R' B' R2 F2
D' U' F R' B' F2 R2
U' D' F R' B' F2 R2
D' U' F R2 F2 R' B'
U' D' F R2 F2 R' B'
D2 U' F R F2 D B'
D2 U' F R F2 D' B'
D2 U' F R F2 D2 B'
D2 U' F R F2 B' D
D2 U' F R F2 B' D'
D2 U' F R F2 B' D2
D2 U' F R B' F2 D
D2 U' F R B' F2 D'
D2 U' F R B' F2 D2
D2 U' F R' F2 R2 B'
D2 U' F R' F2 B' R2
D2 U' F R' B' R2 F2
D2 U' F R' B' F2 R2
F2 U' R D F R B'
F2 U' R D F B' R
D2 U' F R2 F2 R' B'
F2 U' R D B' F R
F2 U' R D' F R B'
F2 U' R D' F B' R
F2 U' R D' B' F R
F2 U' R D2 F R B'
F2 U' R D2 F B' R
F2 U' R D2 B' F R
F2 U' R F R D B'
F2 U' R F R D' B'
F2 U' R F R D2 B'
F2 U' R F R B' D
F2 U' R F R B' D'
F2 U' R F R B' D2
F2 U' R F R' B' R2
F2 U' R F D R B'
F2 U' R F D B' R
F2 U' R F D' R B'
F2 U' R F D' B' R
F2 U' R F D2 R B'
F2 U' R F D2 B' R
F2 U' R F B R B2
F2 U' R F B' R D
F2 U' R F B' R D'
F2 U' R F B' R D2
F2 U' R F B' D R
F2 U' R F B' D' R
F2 U' R F B' D2 R
D' U' F B R F2 B2
D' U' F B R B2 F2
U' D' F B R F2 B2
U' D' F B R B2 F2
U' D' F B' R F2 D
U' D' F B' R F2 D'
U' D' F B' R F2 D2
D' U' F B' R F2 D
D' U' F B' R F2 D'
D' U' F B' R F2 D2
D' U' F B' R' F2 R2
U' D' F B' R' F2 R2
D' U' F B' R2 F2 R'
U' D' F B' R2 F2 R'
F2 U' R B F R B2
D2 U' F B R F2 B2
D2 U' F B R B2 F2
F2 U' R B' R F R
F2 U' R B' R' F R
F2 U' R B' R2 F R
F2 U' R B' D F R
F2 U' R B' D' F R
F2 U' R B' D2 F R
F2 U' R B' F R D
F2 U' R B' F R D'
F2 U' R B' F R D2
F2 U' R B' F D R
F2 U' R B' F D' R
F2 U' R B' F D2 R
D2 U' F B' R F2 D
D2 U' F B' R F2 D'
D2 U' F B' R F2 D2
D2 U' F B' R' F2 R2
D2 U' F B' R2 F2 R'
D U' F R F2 D B'
D U' F R F2 D' B'
D U' F R F2 D2 B'
D U' F R F2 B' D
D U' F R F2 B' D'
D U' F R F2 B' D2
D U' F R B' F2 D
D U' F R B' F2 D'
D U' F R B' F2 D2
F2 U' R' D F R B'
F2 U' R' D F B' R
F2 U' R' D B' F R
D U' F R' F2 R2 B'
D U' F R' F2 B' R2
D U' F R' B' R2 F2
D U' F R' B' F2 R2
F2 U' R' D' F R B'
F2 U' R' D' F B' R
F2 U' R' D' B' F R
D U' F R2 F2 R' B'
F2 U' R' D2 F R B'
F2 U' R' D2 F B' R
F2 U' R' D2 B' F R
F2 U' R' F R D B'
F2 U' R' F R D' B'
F2 U' R' F R D2 B'
F2 U' R' F R B' D
F2 U' R' F R B' D'
F2 U' R' F R B' D2
F2 U' R' F R' B' R2
F2 U' R' F D R B'
F2 U' R' F D B' R
F2 U' R' F D' R B'
F2 U' R' F D' B' R
F2 U' R' F D2 R B'
F2 U' R' F D2 B' R
F2 U' R' F B R B2
F2 U' R' F B' R D
F2 U' R' F B' R D'
F2 U' R' F B' R D2
F2 U' R' F B' D R
F2 U' R' F B' D' R
F2 U' R' F B' D2 R
F U' R F R F B'
F U' R F R B' F
F U' R F B' R F
U' D' F' B' U2 L' U2
D' U' F' B' U2 L' U2
F2 U' R' B F R B2
F2 U' R' B' R F R
F2 U' R' B' R' F R
F2 U' R' B' R2 F R
F2 U' R' B' D F R
F2 U' R' B' D' F R
F2 U' R' B' D2 F R
F2 U' R' B' F R D
F2 U' R' B' F R D'
F2 U' R' B' F R D2
F2 U' R' B' F D R
F2 U' R' B' F D' R
F2 U' R' B' F D2 R
D2 U' F' B' U2 L' U2
D U' F B R F2 B2
D U' F B R B2 F2
F U' R B' F R F
D U' F B' R F2 D
D U' F B' R F2 D'
D U' F B' R F2 D2
D U' F B' R' F2 R2
D U' F B' R2 F2 R'
F2 U' R2 D F R B'
U D' F B' R' F2 L'
F2 U' R2 D F B' R
F2 U' R2 D B' F R
F2 U' R2 D' F R B'
F2 U' R2 D' F B' R
F2 U' R2 D' B' F R
F2 U' R2 D2 F R B'
F2 U' R2 D2 F B' R
F2 U' R2 D2 B' F R
F2 U' R2 F R D B'
F2 U' R2 F R D' B'
F2 U' R2 F R D2 B'
F2 U' R2 F R B' D
F2 U' R2 F R B' D'
F2 U' R2 F R B' D2
F2 U' R2 F R' B' R2
F2 U' R2 F D R B'
F2 U' R2 F D B' R
F2 U' R2 F D' R B'
F2 U' R2 F D' B' R
F2 U' R2 F D2 R B'
F2 U' R2 F D2 B' R
F2 U' R2 F B R B2
F2 U' R2 F B' R D
F2 U' R2 F B' R D'
F2 U' R2 F B' R D2
F2 U' R2 F B' D R
