U' L U2 D L' F
U' L D U2 L' F
U' D L B' U2 L'
U D L B' U2 B
D U L B' U2 B
B2 U R' D L2 F'
B2 U R' D F' L2
B2 U R' F' D L2
B2 U D L2 R' F'
B2 U D R' L2 F'
B2 U D R' F' L2
D U' L B' U2 L'
B2 D U L2 R' F'
B2 D U R' L2 F'
B2 D U R' F' L2
B2 D2 F2 U R' F'
B2 F' U D R' F' L2
B2 F' D U L2 R' F'
B2 F' D U R' L2 F'
B2 F' D U R' F' L2
B2 F' D2 F2 U R' F'
R' B2 U R' D L2 F'
R' B2 U R' D F' L2
R' B2 U R' F' D L2
R' B2 U D L2 R' F'
R' B2 U D R' L2 F'
R' B2 U D R' F' L2
R2 B2 U R' D L2 F'
R2 B2 U R' D F' L2
R2 B2 U R' F' D L2
R2 B2 U D L2 R' F'
R2 B2 U D R' L2 F'
R2 B2 U D R' F' L2
F' B2 U R' D L2 F'
F' B2 U R' D F' L2
F' B2 U R' F' D L2
R B2 U R' D L2 F'
R B2 U R' D F' L2
R B2 U R' F' D L2
F' B2 U D L2 R' F'
F' B2 U D R' L2 F'
F' B2 U D R' F' L2
R B2 U D L2 R' F'
R B2 U D R' L2 F'
R B2 U D R' F' L2
B2 F2 U R' D L2 F'
B2 F2 U R' D F' L2
R' B2 D U L2 R' F'
B2 F2 U R' F' D L2
R' B2 D U R' L2 F'
R' B2 D U R' F' L2
B2 F2 U D L2 R' F'
B2 F2 U D R' L2 F'
B2 F2 U D R' F' L2
F2 B2 U R' D L2 F'
F2 B2 U R' D F' L2
F2 B2 U R' F' D L2
F2 B2 U D L2 R' F'
F2 B2 U D R' L2 F'
F2 B2 U D R' F' L2
R2 B2 D U L2 R' F'
R2 B2 D U R' L2 F'
R2 B2 D U R' F' L2
F B2 U R' D L2 F'
F B2 U R' D F' L2
F B2 U R' F' D L2
F B2 U D L2 R' F'
F B2 U D R' L2 F'
F B2 U D R' F' L2
R' B2 D2 F2 U R' F'
F' B2 D U L2 R' F'
F' B2 D U R' L2 F'
F' B2 D U R' F' L2
R B2 D U L2 R' F'
R B2 D U R' L2 F'
R B2 D U R' F' L2
B2 F2 D U L2 R' F'
B2 F2 D U R' L2 F'
B2 F2 D U R' F' L2
F2 B2 D U L2 R' F'
F2 B2 D U R' L2 F'
F2 B2 D U R' F' L2
R2 B2 D2 F2 U R' F'
F B2 D U L2 R' F'
F B2 D U R' L2 F'
F B2 D U R' F' L2
F' B2 D2 F2 U R' F'
R B2 D2 F2 U R' F'
B2 F2 D2 F2 U R' F'
F2 B2 D2 F2 U R' F'
F B2 D2 F2 U R' F'
