F R D B2 L' R'
F R D B2 R' L'
R' U' F L' D2 R2
B2 R' F L' D' B2
R F D B2 L' R'
R F D B2 R' L'
B2 F L' R' D' B2
B2 F L' D' R' B2
B2 F R' L' D' B2
F B2 L' R' D' B2
F B2 L' D' R' B2
R' B2 U' R' F L'
R' B2 U' F L' R'
R' B2 U' F R' L'
F B2 R' L' D' B2
R' B2 U' F L' R' D'
R' B2 U' F L' R' D2
R' B2 U' F L' D R'
R' B2 U' F L' D' R'
R' B2 U' F L' D2 R'
R' B2 U' F R' L' D
R' B2 U' F R' L' D'
R' B2 U' F R' L' D2
R' B2 U' F R' D L'
R' B2 U' F R' D' L'
R' B2 U' F R' D2 L'
R' B2 U' F D L' R'
R' B2 U' F D R' L'
R' B2 U' F D' L' R'
R' B2 U' F D' R' L'
R' B2 U' F D2 L' R'
R' B2 U' F D2 R' L'
R B2 R2 U' R F L'
F B2 R' L' U' L2 U
F B2 R' L' D' B2 D
F B2 R' L' D' B2 D'
F B2 R' L' D' B2 D2
F B2 R' L' B D' B2
F B2 R' L' B' D' B2
F B2 R' L' B2 D' B2
F B2 R' U' L U L2
F B2 R' D L' D' B2
F B2 R' D' L' D' B2
F B2 R' D2 L' D' B2
F B2 R2 L' D' R B2
F B2 R2 L' D' B2 R
F B2 U' L U L2 R'
F B2 U' L U R' L2
U' B2 F L' R' D' B2
U' B2 F L' D' R' B2
U' B2 F R' L' D' B2
U2 B2 F L' R' D' B2
U2 B2 F L' D' R' B2
U2 B2 F R' L' D' B2
R' B2 F' U' F2 L' R'
R' B2 F' U' F2 R' L'
R2 B2 F L' D R' B
F B2 D L' R' D' B2
F B2 D L' D' R' B2
F B2 D R' L' D' B2
R2 B2 F D L' R' B
R2 B2 F D R' L' B
R2 B2 F D R' B L'
U B2 F L' R' D' B2
U B2 F L' D' R' B2
U B2 F R' L' D' B2
F B2 D' L' R' D' B2
F B2 D' L' D' R' B2
F B2 D' R' L' D' B2
R B2 F L' D R' B2
R B2 F D L' R' B2
R B2 F D R' L' B2
R B2 F D R' B2 L'
F B2 D2 L' R' D' B2
F B2 D2 L' D' R' B2
F B2 D2 R' L' D' B2
