B2 U F2 U2 R' F'
B2 U' R' D2 F' B2
B2 U' R' D2 B2 F'
B2 U' D2 R' F' B2
B2 U' D2 R' B2 F'
F2 D' L R2 B' U2
F2 D' L B' R2 U2
F2 D' R2 L B' U2
B2 D2 U' R' F' B2
B2 D2 U' R' B2 F'
B2 U F2 D' U2 R' F'
B2 U F2 D2 U2 R' F'
B2 U F2 B2 L U2 F
B2 U B2 L F2 U2 F'
B2 U B2 F2 L U2 F
B2 U' R F' R2 F' B
B2 U' R F' R2 B F'
B2 U' R' U2 F2 U2 F
B2 U' R' D F' D B2
B2 U' R' D' F' D' B2
B2 U' R' D2 F' B2 D
B2 U' R' D2 F' B2 D'
B2 U' R' D2 F' B2 D2
B2 U' R' D2 B2 D F'
B2 U' R' D2 B2 D' F'
B2 U' R' D2 B2 D2 F'
B2 U' R' D2 B2 F' D
B2 U' R' D2 B2 F' D'
B2 U' R' D2 B2 F' D2
B2 U' R' F' R2 B R2
B2 U' R' F' U2 F' U2
B2 U' R' B D2 F' B2
B2 U' R' B D2 B2 F'
B2 U' R' B' D2 F' B2
B2 U' R' B' D2 B2 F'
B2 U' R' B2 D2 F' B2
B2 U' R' B2 D2 B2 F'
B2 U' D' R' D' F' B2
B2 U' D' R' D' B2 F'
B2 U' D' R' F' D' B2
B2 U' D2 R' F' B2 D
B2 U' D2 R' F' B2 D'
B2 U' D2 R' F' B2 D2
B2 U' D2 R' B2 D F'
B2 U' D2 R' B2 D' F'
B2 U' D2 R' B2 D2 F'
B2 U' D2 R' B2 F' D
B2 U' D2 R' B2 F' D'
B2 U' D2 R' B2 F' D2
B2 U' D2 R2 B2 R F'
B2 U' D2 F R' F' B2
B2 U' D2 F R' B2 F'
B2 U' D2 F' R' F' B2
B2 U' D2 F' R' B2 F'
B2 U' D2 F2 R' F' B2
B2 U' D2 F2 R' B2 F'
D2 U' B2 R' D' L2 F'
D2 U' B2 R' D' F' L2
B2 U' F R' F' D2 B2
D2 U' B2 D' L2 R' F'
D2 U' B2 D' R' L2 F'
D2 U' B2 D' R' F' L2
F2 U' F B2 L' U' R'
B2 U' F' R2 B R F'
F2 U' F2 B2 U' R' F'
B2 U' B2 D2 B2 R' F'
F2 U' B2 F L' U' R'
F2 U' B2 F2 U' R' F'
D2 U2 F2 U B2 R' F'
U2 D2 F2 U B2 R' F'
U' D2 B2 R' D' L2 F'
U' D2 B2 R' D' F' L2
U' D2 B2 D' L2 R' F'
U' D2 B2 D' R' L2 F'
U' D2 B2 D' R' F' L2
F2 U2 D L2 F2 R F'
B2 U2 D' L2 U R' F'
D2 F R F U B2 R'
F2 D L R U2 L F'
F2 D L R U2 F' L
F2 D L R2 U2 L F
F2 D L B2 R' B U2
F2 D R L U2 L F'
F2 D R L U2 F' L
F2 D R2 L U2 L F
B2 D R2 U' R' F' R2
B' D R2 B' U' R' F'
F2 D U2 L2 F2 R F'
B2 D F' L' R2 U' R
B2 D F' R2 L' U' R
F2 D' L R B' R U2
F2 D' L R2 D B' U2
F2 D' L R2 D' B' U2
F2 D' L R2 D2 B' U2
F2 D' L R2 B' U2 D
F2 D' L R2 B' U2 D'
F2 D' L R2 B' U2 D2
F2 D' L R2 B' D U2
F2 D' L R2 B' D' U2
F2 D' L R2 B' D2 U2
F2 D' L U2 D2 L2 F
F2 D' L D2 U2 L2 F
F2 D' L D2 B' U2 L2
F2 D' L B R2 B2 U2
F2 D' L B' R2 U2 D
F2 D' L B' R2 U2 D'
F2 D' L B' R2 U2 D2
F2 D' L B' R2 D U2
F2 D' L B' R2 D' U2
F2 D' L B' R2 D2 U2
F2 D' L B' U2 D2 L2
F2 D' L B' D2 U2 L2
F2 D' L B2 R2 U2 F'
F2 D' R L B' R U2
F2 D' R2 L D B' U2
F2 D' R2 L D' B' U2
F2 D' R2 L D2 B' U2
F2 D' R2 L B' U2 D
F2 D' R2 L B' U2 D'
F2 D' R2 L B' U2 D2
F2 D' R2 L B' D U2
F2 D' R2 L B' D' U2
F2 D' R2 L B' D2 U2
B2 D' U' R' D' F' B2
B2 D' U' R' D' B2 F'
B2 D' U' R' F' D' B2
B2 D' U2 L2 U R' F'
U F2 L U' B2 U' F
U F2 L U2 D F L2
U F2 L U2 F D L2
U F2 L D U2 F L2
U F2 L D' R2 U2 F
B2 D2 L U' R' F' B2
B2 D2 L U' R' B2 F'
U' F2 D L U2 L F
B2 D2 L' U' R' F' B2
B2 D2 L' U' R' B2 F'
L2 F2 U2 D L2 R F'
L2 F2 U2 D R L2 F'
L2 F2 U2 D R F' L2
R' F2 D' L R2 B' U2
U F2 U' B2 U' R' F'
R' F2 D' L B' R2 U2
L2 F2 D R F' L2 B'
B2 D2 L2 U' R' F' B2
B2 D2 L2 U' R' B2 F'
R' F2 D' R2 L B' U2
L2 F2 D U2 L2 R F'
L2 F2 D U2 R L2 F'
L2 F2 D U2 R F' L2
U F2 D L U2 F L
R2 F2 D' L R2 B' U2
L F2 D R U2 L2 F'
L F2 D R U2 F' L2
R2 F2 D' L B' R2 U2
L F2 D R' B U2 L2
R2 F2 D' R2 L B' U2
U F2 D' L R2 U2 F
U F2 D' R2 L U2 F
R F2 D' L R2 B' U2
R F2 D' L B' R2 U2
R F2 D' R2 L B' U2
B2 D2 U' R' F' B2 D
B2 D2 U' R' F' B2 D'
B2 D2 U' R' F' B2 D2
B2 D2 U' R' B2 D F'
B2 D2 U' R' B2 D' F'
B2 D2 U' R' B2 D2 F'
B2 D2 U' R' B2 F' D
B2 D2 U' R' B2 F' D'
B2 D2 U' R' B2 F' D2
B2 D2 U' R2 B2 R F'
B2 D2 U' F R' F' B2
B2 D2 U' F R' B2 F'
B2 D2 U' F' R' F' B2
B2 D2 U' F' R' B2 F'
B2 D2 U' F2 R' F' B2
B2 D2 U' F2 R' B2 F'
B2 D2 F' L' U' R' B2
B' D2 B' U' R' F' B'
B' D2 B' U' R' B' F'
B2 F' L' R2 U' B R
B2 F' L' U F' U2 R'
B2 F' L' U' R2 B R
B2 F' R2 L' U' B R
F' B2 L' R2 U' B R
F' B2 L' U F' U2 R'
F' B2 L' U' R2 B R
R' B2 U F2 U2 R' F'
L2 B2 U L' F2 B' U2
L2 B2 U L' B' F2 U2
R' B2 U' R' D2 F' B2
R' B2 U' R' D2 B2 F'
R' B2 U' D2 R' F' B2
R' B2 U' D2 R' B2 F'
F' B2 R2 L' U' B R
R2 B2 U F2 U2 R' F'
R2 B2 U' R' D2 F' B2
R2 B2 U' R' D2 B2 F'
U' B2 D R2 U' R F'
R2 B2 U' D2 R' F' B2
R2 B2 U' D2 R' B2 F'
R B2 U F2 U2 R' F'
R B2 U' R' D2 F' B2
R B2 U' R' D2 B2 F'
R B2 U' D2 R' F' B2
R B2 U' D2 R' B2 F'
R' B2 D2 U' R' F' B2
R' B2 D2 U' R' B2 F'
R2 B2 D2 U' R' F' B2
R2 B2 D2 U' R' B2 F'
R B2 D2 U' R' F' B2
R B2 D2 U' R' B2 F'
