B2 U L' F' U
U L' D' F' R2 U
U L' D2 F' U F'
U L' F' U D2 F2
U L' F' U' B2 U2
U L' F' D' R2 U
U L' F' D2 U F2
B2 U L F' L2 U
B2 U L' D F' U
B2 U L' D' F' U
B2 U L' D2 F' U
B2 U L' F' U D
B2 U L' F' U D'
B2 U L' F' U D2
B2 U L' F' D U
B2 U L' F' D' U
B2 U L' F' D2 U
D2 U L' F' U F'
D' U L' F' R2 U
B2 U L2 F' L U
B2 U D L' F' U
B2 U D' L' F' U
B2 U D2 L' F' U
U D' L' F' R2 U
U D2 L' F' U F'
B2 D U L' F' U
L' F' U' L B2 U2
L' F' U' B2 U2 R'
B2 D' U L' F' U
B2 D2 U L' F' U
B2 R2 U L' U2 B U'
B2 R2 U' B U2 L' U
U R2 D' L' R2 F' U
U R2 D' R2 L' F' U
B2 R2 F2 U' B R U'
F2 R2 B2 U F L U
D' U L F' L2 R2 U
D' U L F' R2 L2 U
D2 U L F' L2 U F'
B2 U L D' F' U B2
B2 U L F L2 F2 U
B2 U L F' L2 U D
B2 U L F' L2 U D'
B2 U L F' L2 U D2
B2 U L F' L2 D U
B2 U L F' L2 D' U
B2 U L F' L2 D2 U
B2 U L F' U D' B2
B2 U L F' D' U B2
D' U L' R2 U2 B U'
D2 U L' D F' R2 U
D' U L' D' F' U F'
B' U L' D F' R U
D' U L' F R2 F2 U
D' U L' F' R2 U D
D' U L' F' R2 U D'
D' U L' F' R2 U D2
D' U L' F' R2 D U
D' U L' F' R2 D' U
D' U L' F' R2 D2 U
D' U L' F' U D' F2
D' U L' F' D' U F2
D2 U L' F' U D F'
D2 U L' F' U D' F'
D2 U L' F' U D2 F'
D2 U L' F' U F' D
D2 U L' F' U F' D'
D2 U L' F' U F' D2
D2 U L' F' D U F'
D2 U L' F' D' U F'
D2 U L' F' D2 U F'
D' U L' F2 R2 F U
B2 U L' D F' U D
B2 U L' D F' U D'
B2 U L' D F' U D2
B2 U L' D F' D U
B2 U L' D F' D' U
B2 U L' D F' D2 U
B2 U L' D' F' U D
B2 U L' D' F' U D'
B2 U L' D' F' U D2
B2 U L' D' F' D U
B2 U L' D' F' D' U
B2 U L' D' F' D2 U
B2 U L' D2 F' U D
B2 U L' D2 F' U D'
B2 U L' D2 F' U D2
B2 U L' D2 F' D U
B2 U L' D2 F' D' U
B2 U L' D2 F' D2 U
B2 U L' F U D' L2
B2 U L' F D' U L2
B2 U L' F2 D F U
B2 U L' F2 D' F U
B2 U L' F2 D2 F U
U' D L2 U2 L F' U
U' D L2 U2 F' L U
B U L' F' R2 U F'
B U L' F' U' B U2
D' U L2 F' L R2 U
D' U L2 F' R2 L U
D2 U L2 F' L U F'
D U L' F2 R F U
B2 U L2 D L F' U
B' U L2 F' L U F2
B2 U L2 D F' L U
B2 U L2 D' L F' U
B2 U L2 D' F' L U
B2 U L2 D2 L F' U
B2 U L2 D2 F' L U
B2 U L2 F L F2 U
B2 U L2 F' L U D
B2 U L2 F' L U D'
B2 U L2 F' L U D2
B2 U L2 F' L D U
B2 U L2 F' L D' U
B2 U L2 F' L D2 U
B2 U L2 F' D L U
B2 U L2 F' D' L U
B2 U L2 F' D2 L U
U D L' F2 R F U
D' U R2 L' U2 B U'
B2 U D L F' L2 U
B2 U D L' D F' U
B2 U D L' D' F' U
B2 U D L' D2 F' U
B2 U D L' F' U D
B2 U D L' F' U D'
B2 U D L' F' U D2
B2 U D L' F' D U
B2 U D L' F' D' U
B2 U D L' F' D2 U
B2 U D L2 F' L U
B2 U D' L F' L2 U
B2 U D' L' D F' U
B2 U D' L' D' F' U
B2 U D' L' D2 F' U
B2 U D' L' F' U D
B2 U D' L' F' U D'
B2 U D' L' F' U D2
B2 U D' L' F' D U
B2 U D' L' F' D' U
B2 U D' L' F' D2 U
B2 U D' L2 F' L U
B2 U D2 L F' L2 U
B2 U D2 L' D F' U
B2 U D2 L' D' F' U
B2 U D2 L' D2 F' U
B2 U D2 L' F' U D
B2 U D2 L' F' U D'
B2 U D2 L' F' U D2
B2 U D2 L' F' D U
B2 U D2 L' F' D' U
B2 U D2 L' F' D2 U
B2 U D2 L2 F' L U
L2 D' L F' R2 B2 U
L2 D' L F' B2 R2 U
L2 D' L B2 F' R2 U
B2 U F' D' L U B'
B2 U B' L' F' B U
B2 U B' L' B F' U
R2 D' U L' R2 F' U
B2 U B2 L' F' B2 U
B2 U B2 L' B2 F' U
U D' L F' L2 R2 U
U D' L F' R2 L2 U
R2 D' U R2 L' F' U
U2 D' L' F' R2 U R2
U D' L' R2 U2 B U'
U D' L' D' F' U F'
U D' L' F R2 F2 U
U D' L' F' R2 U D
U D' L' F' R2 U D'
U D' L' F' R2 U D2
U D' L' F' R2 D U
U D' L' F' R2 D' U
U D' L' F' R2 D2 U
U D' L' F' U D' F2
U D' L' F' D' U F2
U D' L' F2 R2 F U
D U' L2 U2 L F' U
D U' L2 U2 F' L U
U D' L2 F' L R2 U
U D' L2 F' R2 L U
L' D' F' R2 U' L U2
L' D' F' R2 B2 U R'
L2 D' F' L R2 B2 U
L2 D' F' L B2 R2 U
L2 D' F' R2 L B2 U
L' D' F' B2 R2 U R
F2 U' R D L2 B' U'
U D' R2 L' U2 B U'
B2 U' R2 B U2 L' U
F2 U' D L2 R B' U'
F2 U' D L2 B' R U'
F2 U' D R L2 B' U'
L' D' B2 F' R2 U R
L2 D2 L F' U F' R2
D' U2 L' F' R2 U R2
U D2 L F' L2 U F'
B2 U' B U2 L' F' U
U D2 L' D F' R2 U
U D2 L' F' U D F'
U D2 L' F' U D' F'
U D2 L' F' U D2 F'
U D2 L' F' U F' D
U D2 L' F' U F' D'
U D2 L' F' U F' D2
U D2 L' F' D U F'
U D2 L' F' D' U F'
U D2 L' F' D2 U F'
R' D2 U L' F U F
B2 U' B' U2 L' F' U
U D2 L2 F' L U F'
B2 U' B2 U2 L' F' U
L D2 R2 B U' F2 R
B2 U2 L U' L2 F' U
B2 U2 L U' F' L2 U
B2 U2 L2 U' L F' U
B2 U2 L2 U' F' L U
L' D2 F' U' L U2 F'
L2 D2 F' L U F' R2
L' D2 F' B2 U F' R'
L' D2 B2 F' U F' R'
B2 U2 B U' L' F' U
B2 U2 B' U' L' F' U
B2 U2 B2 U' L' F' U
B2 D U L F' L2 U
B2 D U L' D F' U
B2 D U L' D' F' U
B2 D U L' D2 F' U
B2 D U L' F' U D
B2 D U L' F' U D'
B2 D U L' F' U D2
B2 D U L' F' D U
B2 D U L' F' D' U
B2 D U L' F' D2 U
B2 D U L2 F' L U
F2 D U' L2 R B' U'
F2 D U' L2 B' R U'
F2 D U' R L2 B' U'
L2 F' L U' L B2 U2
L2 F' L U' B2 U2 R'
L' F' R U' L B2 U2
L' F' R U' B2 U2 R'
L' F' R' U' L B2 U2
L' F' R' U' B2 U2 R'
L' F' R2 U' L B2 U2
L' F' R2 U' B2 U2 R'
B' D B' U L' F' U
B D B U L' F' U
L' F' U' L U2 D2 F2
L' F' U' L D2 U2 F2
L' F' U' L B2 U2 D
L' F' U' L B2 U2 D'
L' F' U' L B2 U2 D2
L' F' U' L B2 D U2
L' F' U' L B2 D' U2
L' F' U' L B2 D2 U2
L' F' U' L' B2 L2 U2
L' F' U' L2 B2 L' U2
L' F' U' D2 L U2 F2
L' F' U' B2 L U2 R'
L' F' U' B2 L' U2 R'
L' F' U' B2 L2 U2 R'
L' F' U' B2 U2 R' D
L' F' U' B2 U2 R' D'
L' F' U' B2 U2 R' D2
L' F' U' B2 U2 D R'
L' F' U' B2 U2 D' R'
L' F' U' B2 U2 D2 R'
L' F' U' B2 D U2 R'
L' F' U' B2 D' U2 R'
L' F' U' B2 D2 U2 R'
L' F' D' R2 U' L U2
L' F' D' R2 B2 U R'
L2 F' D' L R2 B2 U
L2 F' D' L B2 R2 U
L2 F' D' R2 L B2 U
L' F' D' B2 R2 U R
L' F' D2 U' L U2 F2
L2 F' D2 L U R2 F2
L2 F' D2 L U F2 R2
U F' D' L R2 U B'
L' F' D2 B2 U R' F2
L' F' D2 B2 U F2 R'
U F' D' R2 L U B'
L' F' B U' B U2 R'
B2 D' U L F' L2 U
B2 D' U L' D F' U
B2 D' U L' D' F' U
B2 D' U L' D2 F' U
B2 D' U L' F' U D
B2 D' U L' F' U D'
B2 D' U L' F' U D2
B2 D' U L' F' D U
B2 D' U L' F' D' U
B2 D' U L' F' D2 U
B2 D' U L2 F' L U
B' D' B' U L' F' U
B D' B U L' F' U
D F2 U' L2 R B' U'
D F2 U' L2 B' R U'
D F2 U' R L2 B' U'
B2 D2 U L F' L2 U
B2 D2 U L' D F' U
B2 D2 U L' D' F' U
B2 D2 U L' D2 F' U
B2 D2 U L' F' U D
B2 D2 U L' F' U D'
B2 D2 U L' F' U D2
B2 D2 U L' F' D U
B2 D2 U L' F' D' U
B2 D2 U L' F' D2 U
B2 D2 U L2 F' L U
R2 F2 B2 U' R B' U'
R2 F2 B2 U' B' R U'
F' D2 B' L U F2 R
B' D2 B' U L' F' U
D2 B U L' F' U F'
D' B U L' F' R2 U
B D2 B U L' F' U
L' B F' U' B U2 R'
B2 F U L' F2 U B'
B2 F U F2 L' U B'
D2 B' U L' F' U F'
D' B' U L' F' R2 U
B2 F' U F L' U L
R' B2 R U L' F' U
L B2 L' U L' F' U
D2 B2 U L' F' U F'
D' B2 U L' F' R2 U
R' B2 U D2 L' F U
R B2 R' U L' F' U
R2 B2 U L2 F L U
U' B2 U2 L' F' U F
U B2 U L' F' B2 U
U B2 U L' B2 F' U
R B2 U L' F' U L'
U B2 U B2 L' F' U
R2 B2 U' B' U2 L' U
F' B2 U F L' U L
B2 F2 U F2 L' F' U
F2 B2 U F2 L' F' U
B2 F2 U' R U2 F U
F2 B2 U' R U2 F U
F B2 U L' F2 U B'
R' B2 D2 U L' F U
F B2 U F2 L' U B'
R2 B2 F2 U' R B' U'
R2 B2 F2 U' B' R U'
