U L F' U2 L2 R
U L F' U2 R L2
U' L' R2 D2 B R'
U' L' U2 F' U2 R
U' L' D2 R2 B R'
U L2 F' U2 L R
U L2 F' U2 R L
R2 U' L' D2 B R'
R2 U' D2 L' B R'
R2 U' D2 B L' R'
R2 U' D2 B R' L'
U' R2 L' D2 B R'
D2 R2 U' L' B R'
D2 R2 U' B L' R'
D2 R2 U' B R' L'
U' R2 D2 L' B R'
U' R2 D2 B L' R'
U' R2 D2 B R' L'
D2 U' L' R2 B R'
D2 U' R2 L' B R'
D2 U' R2 B L' R'
D2 U' R2 B R' L'
U' D2 L' R2 B R'
U' D2 R2 L' B R'
R2 D2 U' L' B R'
U' D2 R2 B L' R'
U' D2 R2 B R' L'
R2 D2 U' B L' R'
R2 D2 U' B R' L'
U' F' U2 R F L'
U F2 R F U2 R
U F2 R F U2 R D
U F2 R F U2 R D'
U F2 R F U2 R D2
U F2 R F U2 D R
U F2 R F U2 D' R
U F2 R F U2 D2 R
U F2 R F D U2 R
U F2 R F D' U2 R
U F2 R F D2 U2 R
U F2 R F' L' F2 U2
U F2 R' F R2 U2 R'
U F2 R2 F R' U2 R2
U F2 D R F U2 R
U F2 D' R F U2 R
B' D2 R2 U' L' B R'
B' D2 R2 U' B L' R'
B' D2 R2 U' B R' L'
B2 D2 R2 U' L' B R'
B2 D2 R2 U' B L' R'
B2 D2 R2 U' B R' L'
U F2 D2 R F U2 R
B D2 R2 U' L' B R'
B D2 R2 U' B L' R'
B D2 R2 U' B R' L'
B' D2 U' L' R2 B R'
B' D2 U' R2 L' B R'
B' D2 U' R2 B L' R'
B' D2 U' R2 B R' L'
B2 D2 U' L' R2 B R'
B2 D2 U' R2 L' B R'
B2 D2 U' R2 B L' R'
B2 D2 U' R2 B R' L'
U' B L' R2 D2 B R'
U' B L' U2 F' U2 R
U' B L' D2 R2 B R'
B D2 U' L' R2 B R'
B D2 U' R2 L' B R'
B D2 U' R2 B L' R'
B D2 U' R2 B R' L'
U' B R2 L' D2 B R'
D2 B R2 U' L' B R
U' B R2 D2 L' B R'
D2 B R2 U' B L' R
D2 B R2 U' B R L'
U' B R2 D2 B L' R'
U' B R2 D2 B R' L'
D2 B U' L' R2 B R
D2 B U' R2 L' B R
D2 B U' R2 B L' R
D2 B U' R2 B R L'
U' B D2 L' R2 B R'
U' B D2 R2 L' B R'
U' B D2 R2 B L' R'
U' B D2 R2 B R' L'
U' B F' U2 R F L'
U' B' L' R2 D2 B R'
U' B' L' U2 F' U2 R
U' B' L' D2 R2 B R'
U B' L' R2 F' B R
U B' L' R2 B F' R
U' B' R2 L' D2 B R'
U' B' R2 D2 L' B R'
U' B' R2 D2 B L' R'
U' B' R2 D2 B R' L'
D2 B' U L F' U2 L2
D2 B' U' L' D2 R2 B
U B' R2 L' F' B R
U B' R2 L' B F' R
U B' R2 B L' F' R
U' B' D2 L' R2 B R'
U' B' D2 R2 L' B R'
U' B' D2 R2 B L' R'
U' B' D2 R2 B R' L'
U' B' F' U2 R F L'
U' B2 L' R2 D2 B R'
U' B2 L' U2 F' U2 R
U' B2 L' D2 R2 B R'
U' B2 R2 L' D2 B R'
U' B2 R2 D2 L' B R'
U' B2 R2 D2 B L' R'
U' B2 R2 D2 B R' L'
U' B2 D2 L' R2 B R'
U' B2 D2 R2 L' B R'
U' B2 D2 R2 B L' R'
U' B2 D2 R2 B R' L'
U' B2 F' U2 R F L'
