F L' U' L' R
F L' U' R L'
F L' U' L' R D
F L' U' L' R D'
F L' U' L' R D2
F L' U' L' D R
F L' U' L' D' R
F L' U' L' D2 R
F L' U' R L' D
F L' U' R L' D'
F L' U' R L' D2
F L' U' R D L'
F L' U' R D' L'
F L' U' R D2 L'
F L' U' D L' R
F L' U' D R L'
F L' U' D' L' R
F L' U' D' R L'
F L' U' D2 L' R
F L' U' D2 R L'
F L' D U' L' R
F L' D U' R L'
F L' D' U' L' R
F L' D' U' R L'
F L' D2 U' L' R
F L' D2 U' R L'
F L' B U' L' R
F L' B U' R L'
F L' B' U' L' R
F L' B' U' R L'
F L' B2 U' L' R
F L' B2 U' R L'
F2 U' L2 R' F' R
F2 U' R' L2 F' R
F2 U' R' F' L2 R
F2 U' R' F' R L2
L2 F L' U' L R
L2 F L' U' R L
L F L' U' L2 R
L F L' U' R L2
F D' L' B2 U' R
F D' B2 L' U' R
B' F L' U' L' R
B' F L' U' R L'
B2 F L' U' L' R
B2 F L' U' R L'
B F L' U' L' R
B F L' U' R L'
F B L' U' L' R
F B L' U' R L'
F B' L' U' L' R
F B' L' U' R L'
F B2 L' U' L' R
F B2 L' U' R L'
L2 F L' U' D R L
L2 F L' U' D' L R
L2 F L' U' D' R L
L2 F L' U' D2 L R
L2 F L' U' D2 R L
L2 F L' D U' L R
L2 F L' D U' R L
R2 F L' R2 U' L' R'
R2 F L' R2 U' R' L'
L2 F L' D' U' L R
L2 F L' D' U' R L
L2 F L' D2 U' L R
L2 F L' D2 U' R L
D F L' U' R F' L'
R F L' R' U' L' R2
R F L' R' U' R2 L'
L F L' U' L2 R D
L F L' U' L2 R D'
L F L' U' L2 R D2
L F L' U' L2 D R
L F L' U' L2 D' R
L F L' U' L2 D2 R
L F L' U' R L2 D
L F L' U' R L2 D'
L F L' U' R L2 D2
L F L' D' B2 U' R
L F L' B U' L2 R
L F L' B U' R L2
L F L' B' U' L2 R
L F L' B' U' R L2
L F L' B2 U' L2 R
L F L' B2 U' R L2
L2 F R U L' R' U'
L2 F R U R' L' U'
D F L2 B' U' R F'
R F R' L' U' L' R2
R F R' L' U' R2 L'
R2 F R2 L' U' L' R'
R2 F R2 L' U' R' L'
D F U' R F' D' L2
L F U' L R D F2
L F U' L D R F2
L F U' R L D F2
L2 F D L' U' L R
L2 F D L' U' R L
F D L' U' R D' L2
F D L' U' D' L2 R
F D L' U' D' R L2
F D L' D' U' L2 R
F D L' D' U' R L2
F D L' D2 B2 U' R
L2 F D' L' U' L R
L2 F D' L' U' R L
L F D L' U' L2 R
L F D L' U' R L2
L2 F D2 L' U' L R
L2 F D2 L' U' R L
L F D' L' U' L2 R
L F D' L' U' R L2
L2 F B L' U' L R
L2 F B L' U' R L
L F D2 L' U' L2 R
L F D2 L' U' R L2
L2 F B' L' U' L R
L2 F B' L' U' R L
D' F B2 L' U' R F
D' F B2 U' D2 R F'
D' F B2 D2 U' R F'
L2 F B2 L' U' L R
L2 F B2 L' U' R L
F' D U2 R F2 U R
U' F' R B U B' L2
U2 F' R B' U L2 R'
U2 F' R B' U R' L2
U F' R U L2 B' R'
F D' L B2 L2 U' R
F D' L' U' R D L2
F D' L' U' D L2 R
F D' L' U' D R L2
F D' L' D U' L2 R
F D' L' D U' R L2
F D' L' B2 U' R D
F D' L' B2 U' R D'
F D' L' B2 U' R D2
F D' L' B2 U' D R
F D' L' B2 U' D' R
F D' L' B2 U' D2 R
F D' L' B2 D U' R
F D' L' B2 D' U' R
F D' L' B2 D2 U' R
U2 F' B' R U L2 R2
U2 F' B' R U R2 L2
D' F' B2 U L' U2 F
F2 D' F' L' F B2 U'
F2 D' F' L' B2 F U'
F' D' F2 L' B2 U' R
F2 D' F' B2 L' F U'
F' D' F2 B2 L' U' R
F D' B L' B U' R
F' D' B2 F2 L' U' R
F2 D' B2 F' L' F U'
F D' B2 L' U' R D
F D' B2 L' U' R D'
F D' B2 L' U' R D2
F D' B2 L' U' D R
F D' B2 L' U' D' R
F D' B2 L' U' D2 R
F D' B2 L' D U' R
F D' B2 L' D' U' R
F D' B2 L' D2 U' R
F D' B2 D L' U' R
L F2 U' L R' F' R
F D' B2 D' L' U' R
F D' B2 D2 L' U' R
L F2 U' R' L F' R
L F2 U' R' F' L R
L F2 U' R' F' R L
F D2 L' U R2 U2 R'
F D2 L' U' D2 L2 R
F D2 L' U' D2 R L2
F D2 L' D B2 U' R
F D2 L' D2 U' L2 R
F D2 L' D2 U' R L2
B' F L' U' L' R D
B' F L' U' L' R D'
B' F L' U' L' R D2
B' F L' U' L' D R
B' F L' U' L' D' R
B' F L' U' L' D2 R
B' F L' U' R L' D
B' F L' U' R L' D'
B' F L' U' R L' D2
B' F L' U' R D L'
B' F L' U' R D' L'
B' F L' U' R D2 L'
B' F L' U' D L' R
B' F L' U' D R L'
B' F L' U' D' L' R
B' F L' U' D' R L'
B' F L' U' D2 L' R
B' F L' U' D2 R L'
B' F L' D U' L' R
B' F L' D U' R L'
B' F L' D' U' L' R
B' F L' D' U' R L'
B' F L' D2 U' L' R
B' F L' D2 U' R L'
B' F L' B U' L' R
B' F L' B U' R L'
B2 F L' U' L' R D
B2 F L' U' L' R D'
B2 F L' U' L' R D2
B2 F L' U' L' D R
B2 F L' U' L' D' R
B2 F L' U' L' D2 R
B2 F L' U' R L' D
B2 F L' U' R L' D'
B2 F L' U' R L' D2
B2 F L' U' R D L'
B2 F L' U' R D' L'
B2 F L' U' R D2 L'
B2 F L' U' D L' R
B2 F L' U' D R L'
B2 F L' U' D' L' R
B2 F L' U' D' R L'
B2 F L' U' D2 L' R
B2 F L' U' D2 R L'
B' F L' B' U' L' R
B' F L' B' U' R L'
B' F L' B2 U' L' R
B' F L' B2 U' R L'
B2 F L' D U' L' R
B2 F L' D U' R L'
B2 F L' D' U' L' R
B2 F L' D' U' R L'
B2 F L' D2 U' L' R
B2 F L' D2 U' R L'
B2 F L' B U' L' R
B2 F L' B U' R L'
B2 F L' B' U' L' R
B2 F L' B' U' R L'
B2 F L' B2 U' L' R
B2 F L' B2 U' R L'
B2 F L' B2 U' R L'
B F L' U' L' R D
B F L' U' L' R D'
B F L' U' L' R D2
B F L' U' L' D R
B F L' U' L' D' R
B F L' U' L' D2 R
B F L' U' R L' D
B F L' U' R L' D'
B F L' U' R L' D2
B F L' U' R D L'
B F L' U' R D' L'
B F L' U' R D2 L'
B F L' U' D L' R
B F L' U' D R L'
B F L' U' D' L' R
B F L' U' D' R L'
B F L' U' D2 L' R
B F L' U' D2 R L'
B F L' D U' L' R
B F L' D U' R L'
B F L' D' U' L' R
B F L' D' U' R L'
B F L' D2 U' L' R
B F L' D2 U' R L'
F B L' U' L' R D
F B L' U' L' R D'
F B L' U' L' R D2
F B L' U' L' D R
F B L' U' L' D' R
F B L' U' L' D2 R
F B L' U' R L' D
F B L' U' R L' D'
F B L' U' R L' D2
F B L' U' R D L'
F B L' U' R D' L'
F B L' U' R D2 L'
F B L' U' D L' R
F B L' U' D R L'
F B L' U' D' L' R
F B L' U' D' R L'
F B L' U' D2 L' R
F B L' U' D2 R L'
B F L' B U' L' R
B F L' B U' R L'
B F L' B' U' L' R
B F L' B' U' R L'
F B L' D U' L' R
F B L' D U' R L'
B F L' B2 U' L' R
B F L' B2 U' R L'
F B L' D' U' L' R
F B L' D' U' R L'
F B L' D2 U' L' R
F B L' D2 U' R L'
F B L' B U' L' R
F B L' B U' R L'
F B L' B' U' L' R
F B L' B' U' R L'
F B L' B2 U' L' R
F B L' B2 U' R L'
L2 B F L' U' L R
L2 B F L' U' R L
F2 B U' L2 R' F' R
F2 B U' R' L2 F' R
F2 B U' R' F' L2 R
F2 B U' R' F' R L2
B' F D' L' B2 U' R
B2 F D' L' B2 U' R
B' F D' B2 L' U' R
B2 F D' B2 L' U' R
B F D' L' B2 U' R
F B D' L' B2 U' R
B F D' B2 L' U' R
F B D' B2 L' U' R
F B' L' U' L' R D
F B' L' U' L' R D'
F B' L' U' L' R D2
F B' L' U' L' D R
F B' L' U' L' D' R
F B' L' U' L' D2 R
F B' L' U' R L' D
F B' L' U' R L' D'
F B' L' U' R L' D2
F B' L' U' R D L'
F B' L' U' R D' L'
F B' L' U' R D2 L'
F B' L' U' D L' R
F B' L' U' D R L'
F B' L' U' D' L' R
F B' L' U' D' R L'
F B' L' U' D2 L' R
F B' L' U' D2 R L'
F B' L' D U' L' R
F B' L' D U' R L'
F B' L' D' U' L' R
F B' L' D' U' R L'
F B' L' D2 U' L' R
F B' L' D2 U' R L'
F B' L' B U' L' R
F B' L' B U' R L'
F B' L' B' U' L' R
F B' L' B' U' R L'
F B' L' B2 U' L' R
F B' L' B2 U' R L'
F2 B' U' L2 R' F' R
F2 B' U' R' L2 F' R
L2 B' F L' U' L R
L2 B' F L' U' R L
F2 B' U' R' F' L2 R
F2 B' U' R' F' R L2
U2 B' F' R U L2 R2
U2 B' F' R U R2 L2
D' B2 L' F' U' F2 R
D' B2 L' F2 U' F' R
F B' D' L' B2 U' R
F B' D' B2 L' U' R
F B2 L' U' L' R D
F B2 L' U' L' R D'
F B2 L' U' L' R D2
F B2 L' U' L' D R
F B2 L' U' L' D' R
F B2 L' U' L' D2 R
F B2 L' U' R L' D
F B2 L' U' R L' D'
F B2 L' U' R L' D2
F B2 L' U' R D L'
F B2 L' U' R D' L'
F B2 L' U' R D2 L'
F B2 L' U' D L' R
F B2 L' U' D R L'
F B2 L' U' D' L' R
F B2 L' U' D' R L'
F B2 L' U' D2 L' R
F B2 L' U' D2 R L'
F B2 L' D U' L' R
F B2 L' D U' R L'
F B2 L' D' U' L' R
F B2 L' D' U' R L'
F B2 L' D2 U' L' R
F B2 L' D2 U' R L'
F B2 L' B U' L' R
F B2 L' B U' R L'
F B2 L' B' U' L' R
F B2 L' B' U' R L'
F B2 L' B2 U' L' R
F B2 L' B2 U' R L'
B' F2 U' L2 R' F' R
B' F2 U' R' L2 F' R
B' F2 U' R' F' L2 R
B' F2 U' R' F' R L2
D' B2 D F L' U' R
B2 F2 U' L2 R' F' R
B2 F2 U' R' L2 F' R
F2 B2 U' L2 R' F' R
B2 F2 U' R' F' L2 R
B2 F2 U' R' F' R L2
F2 B2 U' R' L2 F' R
F2 B2 U' R' F' L2 R
F2 B2 U' R' F' R L2
B F2 U' L2 R' F' R
B F2 U' R' L2 F' R
B F2 U' R' F' L2 R
B F2 U' R' F' R L2
D' B2 D2 F U' R F'
D' B2 F L' U' R F
D' B2 F U' D2 R F'
D' B2 F D2 U' R F'
L2 B2 F L' U' L R
L2 B2 F L' U' R L
D' B2 F' U L' U2 F
F B2 D' L' B2 U' R
F B2 D' B2 L' U' R
